,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17C,18H,19C,20H,21C,22H,23C,24H,25C,26O,27H,28C,29O,30O,31H
1N,0.0,1.0208369186491462,1.0200718980562207,1.457213219687006,2.085117814841832,2.097001010471026,2.5127925669945372,2.8460985924125404,3.6952245280552347,3.9330190033079404,4.917230815120893,4.847966538675233,5.873676044644657,6.730667716800759,5.498001837742682,6.561858470829353,7.8231806149984475,8.291652261632755,6.26056070776778,5.432053461281196,8.66982732317996,9.67009301525952,7.279795661945331,7.348368943744152,8.429739054281304,9.534914880186536,9.434722106602266,5.844963906801886,5.844322635375598,7.0049132445026085,7.615516803370445
2H,0.0,0.0,1.6160761448148104,2.012999865400026,2.4251079228654087,2.922902372619974,2.596871952522365,2.4864025933935654,3.935383433761501,4.397221761403688,4.991632090167263,4.772722395241782,5.801720660806306,6.5927014442878145,5.269714463044083,6.63001469584054,7.9475148329045595,8.381049186199732,6.381857568423731,5.497719067537153,8.87518096874046,9.89528024518716,7.4949869976073655,7.5917290383498095,8.676718356383612,9.836492388894182,9.752763453623027,6.102749409370894,6.294207131347038,7.160391366058482,7.86270253344907
3H,0.0,0.0,0.0,2.0307660238148673,2.9296142119901085,2.367930803301255,2.762963626015839,3.029367053604939,3.842400694741262,4.052148670347255,4.944996155276852,4.7544126690374355,6.100416507832684,6.869235611023583,5.8430403991972115,6.894645990910521,8.07899521880529,8.439910998968251,6.7636111720653025,6.037281716683889,8.989438000735952,9.941776921406454,7.819264687900554,7.98446767684999,8.87429518933381,10.005122813260213,9.977196751754137,5.706670078899682,5.659977464806046,6.8144635507791484,7.363383935279048
4C,0.0,0.0,0.0,0.0,1.0996672743063554,1.0972446680693873,1.537640049504354,2.416662632689497,2.462241349928227,2.6085211635103565,3.8287742981480113,4.03135457307284,4.713706223911279,5.662860670394294,4.44626099669693,5.223508295234293,6.464904692635444,7.002356050944856,4.869461313230614,4.097078420829444,7.2483280634862615,8.250693427784526,5.8579619341820885,5.967320114762406,6.985098720506298,8.087031274706785,8.009262982174278,4.7448240980810805,4.718881174448908,5.98078301646012,6.586162552725782
5H,0.0,0.0,0.0,0.0,0.0,1.7588243218369812,2.137073904891906,2.9173289168028576,2.9121562120144375,3.0356272925883103,4.266561007513937,4.60262538593681,4.827779564751423,5.850660338481245,4.430385726751991,5.132109744948115,6.4284011478539576,7.099378550503793,4.512777876152534,3.6043883325385213,7.088203304962457,8.133065561863656,5.396599704896116,5.343896856805859,6.64250801522605,7.681177015079449,7.496290171290835,5.288809941899334,5.297004905290739,6.522434249162437,7.1624379820035955
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.185487419387412,3.2660015965716838,2.598029956855207,2.3173737749854757,4.015260074083302,4.375841349890346,5.041242024175311,6.002168607270345,4.991389683353812,5.36369107677954,6.46973209154271,7.01890804180717,4.994465800613668,4.372807283104272,7.139804629186098,8.088957876611461,5.824608103549019,5.921567790216308,6.855129328732111,7.873139351117235,7.794801454626502,4.601426000134872,4.298102275288287,5.914446541721863,6.378457218598207
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228084981614466,1.3660371569392968,2.068209576103213,2.4564755619994463,2.5364822105544267,3.3776299547063986,4.235138797902473,3.1333005750478256,4.187389278994401,5.4316591467758215,5.825873424230074,4.187113375160947,3.55165781285095,6.420338823432456,7.400547526110734,5.399965078702154,5.765006342084457,6.408322228460539,7.648287667235644,7.732857747832191,3.604075917070035,3.913405190327581,4.709146003579352,5.430518679265848
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277439470609542,3.1691435264518724,2.7959330492770924,2.4218425183261485,3.5241441166644125,4.1800725511284345,3.0418895198593274,4.640625523251418,5.901414971382329,6.171551840815378,4.806318236321823,4.147063492823485,7.023393519551861,7.992300354418833,6.1255309920827266,6.539636319506664,7.121287190515307,8.418151346735762,8.542472664639174,4.1195295442093505,4.686750270260434,4.978621427784308,5.803089482316185
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012839206372532,1.4506469827982533,2.065814706967337,2.516099697578363,3.4203075070595568,2.699120710562472,3.129968159556935,4.241693545077306,4.627971136146282,3.3171455222111805,2.998919449958209,5.217870697899069,6.153048554519357,4.491993812245912,5.025693804801725,5.32306320307542,6.574269509734242,6.764599942794345,2.404821551812209,2.696999161359939,3.610668647131729,4.278306453135684
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1012620252828884,2.8785686180976566,3.132656697075178,4.045028820224101,3.4923717686792815,3.3438248913130786,4.286921178707404,4.752118754040373,3.369057065048393,3.177136691074634,5.064285674207972,5.960435871493702,4.307308446518319,4.781660708392459,5.073022107134949,6.220729432657051,6.380987441475658,2.4595189937971806,2.2799009157250967,3.794854074247795,4.2687030706386775
