 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,H31,H32,C33,O34,N35,H36,H37,C38,O39,O40,H41
N1,0.0,1.613372328197074,1.9638322061965554,2.8548860587095715,0.0968672158758328,0.19037557414684186,0.03304972870985645,0.004472049067157924,0.02891404937054215,0.004387512157195669,0.0005590600492209052,0.005817226022512834,0.0002069469738983365,0.0007395252527302582,2.6840624283375192e-05,0.0013783868608376049,0.00012301053479046864,0.000953092624222121,0.000275894218203121,1.5212133687825258e-05,0.22814971164178946,0.05542101040114475,0.03566737129158541,0.002046783019191034,0.007612658548204254,0.0003658767941290275,0.000555038037123895,3.856619811959394e-05,0.00017204285810012987,0.00011351881294927035,4.83393596732995e-05,9.397999844118488e-06,2.6728119041780074e-05,1.3395788215367355e-05,0.00020144850685914484,0.00022117264781562618,1.0801688885897498e-05,0.0011773875290841118,0.00011051231557097918,0.00033134950527831386,0.00011262695081859508
H2,0.0,0.0,0.027503389034365666,0.10978389980371728,0.00388064432099422,0.03448090993305064,0.0022931027906105683,0.00012206244547496858,0.004610548389632596,0.0003729745792941941,3.8488082543031155e-05,0.0011882322763786535,5.446827364941065e-05,5.166190024707973e-05,7.5008562057110595e-06,0.00024983454771809743,4.69146305599466e-05,0.00010914794326877253,2.7271282880381165e-05,5.239387565580955e-06,0.020939247660023863,0.059134310267124235,0.0035173030486301826,0.00011248946299757812,0.0004898686509533512,4.4224564537787e-05,2.9729542561307554e-05,7.069759223821137e-06,2.5991096963551286e-06,2.162283580975366e-05,3.815834548115404e-06,1.6473640815917179e-06,8.914475717491932e-06,4.63075236722954e-06,4.9174762715265e-05,1.069009663012821e-06,5.91268793437294e-06,6.913310673750672e-05,3.016374074260586e-05,1.1446861031050304e-05,2.9418386451318668e-06
H3,0.0,0.0,0.0,0.10033406770098274,0.036760458109710514,0.015173959042871998,0.0021602628305594784,0.0032536678811190267,0.0013527704151932163,0.0007898125467939998,0.00012746329186374972,0.00022403862388187257,2.1989201927308244e-05,0.00018656210092882208,1.9968820267335374e-05,6.592059456156374e-05,8.15059332981427e-06,3.213019117098703e-05,7.791200206663795e-06,9.638091256203296e-07,0.007447658651348998,0.005633063779345804,0.0008376115125837691,7.820904257349603e-05,0.00018004803134885616,1.1159455653997341e-05,4.842105640368022e-05,1.6731594592034327e-06,1.1154195542539824e-05,1.4015447202808673e-05,6.07588413092941e-06,2.3576531029689818e-06,4.6344191054759065e-06,1.8425885113249052e-06,4.0354492525152e-05,2.954431704993432e-05,2.7976156471432034e-06,1.0030380852121823e-05,3.385022848911845e-06,1.732847209834354e-06,1.526675945662248e-07
C4,0.0,0.0,0.0,0.0,1.9164044416486923,2.360298821792033,0.09741289727707403,0.08099637414689842,0.16945356706515888,0.03494324268353169,0.004343259323188242,0.03379133483410027,0.000834262482370729,0.004749609458805232,0.00011177186486577284,0.005816045935190278,0.0003225221231406561,0.009245036370921472,0.0023824587788548457,4.482827031870862e-05,2.7188711811725326,0.2757191270457474,0.21140707311854148,0.009848569416562758,0.03545693476925235,0.0037540365652309893,0.0031110174715446026,0.00016361446001678104,0.0008757824061809139,0.0005560777895300545,0.00041447830134466734,1.7271930454976214e-05,0.0003636573611700833,0.00011089960384236264,0.002649511139462629,0.00629598371028528,7.580845989030305e-05,0.0037420182304138405,0.0003490027673734436,0.0010525087802942812,0.00023549082015750233
H5,0.0,0.0,0.0,0.0,0.0,0.07934247676176853,0.0022048247286707845,0.02980337270397948,0.015021408350564647,0.012090684287710873,0.007105795040742713,0.0014778797679111388,0.0002508075305975854,0.001177956865273444,5.048524000139665e-05,0.000868321000994654,4.482495738389325e-05,0.0005627447855414136,0.00010433276081323051,2.255467212020079e-05,0.10837214961189257,0.025875142418204877,0.014877906598424584,0.00030044668033468724,0.0014636798583009814,0.00014911381915072575,0.0007090868710635245,9.274670128345264e-06,5.831669836031672e-05,0.0001816647581264208,9.084792104374628e-05,9.410079194305254e-06,3.7022871849368144e-05,1.9283480713894185e-05,0.00019802334785579134,0.00022528385756070968,1.554186273233782e-05,0.0002512130006739888,2.867377960735773e-05,3.8445883440041406e-05,8.487386557787246e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9711271682911993,1.8000639045454268,2.8338216268080627,0.22211964333779316,0.012189148918714476,0.24223473421589672,0.014980251371174536,0.03604819383922117,0.00246949023146259,0.03581019556718518,0.002307635498896232,0.01959745602952756,0.005111481164002604,0.0002731931741751792,0.16269194997872852,0.03621796682865487,0.02420495795580299,0.007783409502639227,0.0026464424381426876,0.0003032176769254269,0.0008612669420966779,1.0933582367034234e-05,0.00011614040012597471,0.00010095039476666623,7.715851000344998e-05,5.059632701920336e-06,4.120003433064068e-05,2.966956463071324e-05,0.00022501160308997792,0.00043398550094320143,6.177747835955927e-06,0.00039164053290424716,0.00032584916821350174,9.415101855467234e-05,2.0772376599809128e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025482139382108304,0.09751118860728458,0.018554770572475787,0.0015927140695262132,0.031249730102973716,0.0002819561179556729,0.002181493028388548,3.411725550717115e-05,0.0032172591151995444,0.0002859358242286447,0.007565532910164263,0.0019302129225181597,3.180848923367563e-05,0.027110104538203172,0.003711267513711869,0.0035022283907367724,0.0008292494198931522,0.0003307659485001224,0.00010116056348552505,0.00012161216402384323,1.912627685118906e-07,9.281550311879272e-06,6.810737352980212e-06,9.190341692111303e-07,1.0255283742210963e-06,8.836497091380124e-06,7.848447585945273e-06,7.658321111858601e-05,0.00017080510014677586,1.1973142832744088e-06,0.00011478710083445698,7.974555501888414e-05,2.2965037525857213e-05,7.1545379478621385e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0968362724632561,0.022712004976760625,0.0008873614402735708,0.018817824773563974,0.008388903280385662,0.0027969151071165488,0.0008240460265189764,0.0015128245716189426,6.695754680929866e-05,0.0005226408160261542,0.00010276914782947344,1.2838794943625942e-05,0.012944910556668576,0.0016716906780979146,0.004290780383065407,0.0005266419099410058,0.00027416788927325797,3.153869581806745e-05,0.00016735388108823912,1.7152837188394443e-06,1.3308558011848604e-05,2.1106394167080822e-05,1.1932967527217286e-05,4.1687041352211907e-07,6.943118366020684e-06,5.545254969208102e-06,4.12679992343179e-05,6.144010090136653e-05,1.988724835255695e-06,8.706357504673079e-05,0.00014066068246676444,1.9800795169055974e-05,4.230693366524818e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4661424585562544,0.1225104918906692,3.827245916649593,0.12460812735126714,0.3237079159674681,0.02640627388269623,0.33205153341666743,0.025511366490244658,0.26324616339873064,0.0556915495507114,0.0013550135014155362,0.00857498557139949,0.002375632190240229,0.019444509729027698,0.055315337748961135,0.0025231881128299494,0.0005636140424583047,0.00012523751017623486,3.2349984832924505e-05,2.5193814132906667e-05,1.5146139723934415e-05,4.243659360803065e-06,8.07752695841657e-07,9.811359516886942e-06,2.9807965208211717e-06,2.7474120531348345e-05,2.6122655214178003e-05,7.248009915583609e-07,0.0008081759353893991,0.0031332187882955193,0.00029467904568371284,2.4363960351103664e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1441688808847834,0.32851311494735463,0.028962224344939003,3.9418269295618895,0.1315535209701333,0.29985002482716283,0.003956839288338232,0.3469036476979568,0.04436309538862292,0.003993390340987668,0.0025126131521191475,0.001125682759545707,0.00427316061234248,0.003962132963298282,0.0007677502812171166,0.00019450258815822963,4.905070799025857e-05,1.391164431208125e-05,7.400453224115644e-06,5.222397465268203e-06,3.0875000300856215e-06,2.454841194765578e-07,3.300042373283185e-06,9.743856389937688e-07,1.3996712489000585e-05,1.5119186164480602e-05,4.910737978480739e-07,0.00014221044718870646,0.00038059109442425965,3.811551913884825e-05,7.674544208802203e-06
