,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31H,32H,33C,34O,35N,36H,37H,38C,39O,40O,41H
1N,0.0,1.0204289349488502,1.021654847549386,1.462433331622167,2.0721743905504093,2.457859716845279,2.435108615382432,2.887550436978284,3.7982020130238814,4.321558268190867,3.920322614143642,4.9361472814460745,5.060625292151852,5.69506835614401,6.320815536100966,6.182490087371996,7.071973272735954,6.50475174904262,7.832513953239014,8.361028452293489,2.49256375087578,2.736102480447148,3.7231528925119184,4.015436693760528,4.955495620153103,4.897445712159196,5.905398726331937,6.137635722176949,6.880485385262626,5.748753958005312,4.838972313665322,6.592261636616223,6.280652860097993,7.498443011908667,5.557648115674184,4.550378056541614,6.197744643120124,5.903455490795664,5.992490871235039,6.988007647903465,7.633750127659316
2H,0.0,0.0,1.6126289215324863,2.021251154308753,2.424099424148488,3.3322065750784797,3.436379989533291,3.711858193770184,4.583186707690381,5.0370431337195525,4.586572624116011,5.6867166750903255,5.791045909227438,6.368412469616087,6.94021435672687,6.9017246839828195,7.776599434278084,7.197475100686367,8.497527765523108,9.035114976265348,2.5273139244091496,2.328984272570286,3.8711638860892927,4.3763691228339,4.928417882457791,4.717272871624634,5.7506651750123785,6.1082768644894525,6.698635996008839,5.360468139619946,4.4312576645757025,6.201558531138536,5.721405149876646,6.931274695658953,4.882980564104247,3.8913386111331905,5.47208982556792,6.056472207334682,6.340072720454995,7.031855102811656,7.768279531528979
3H,0.0,0.0,0.0,2.0324195251028714,2.9190183671025416,2.6111519127560463,2.557933954393592,2.649842234639735,4.104433223707315,4.872275841850598,4.616018415162664,5.070993076906714,4.9927363945702155,6.246378636136922,6.969310287920868,6.409327332172895,7.210510796871328,6.913076366400315,8.2710427217852,8.715719341137776,2.7723270420606347,2.9092685669188505,3.944373027266206,4.2543482577008405,5.069845169512351,4.895359923053866,6.217923581454632,6.536819971332483,7.112434803493448,6.203585140961564,5.39971600596333,7.134799856994066,6.598212192901134,7.78518546933632,5.7826919575455085,4.76615662342709,6.31467400502076,5.850151106566202,5.907324655825122,6.865534842551381,7.452190200199835
4C,0.0,0.0,0.0,0.0,1.1000891083112097,1.5514351944010965,2.1200476435172346,2.180639655594147,2.60681197928643,3.2233250814912657,3.0756422694201433,3.690497271320907,3.9053446813007766,4.532086139838967,5.251018901886042,4.881440564320618,5.765588195231952,5.2280218769404625,6.548543552482648,7.041361516205211,1.5523225342797835,2.4153926703830506,2.4917463012588335,2.6243981345286844,3.873427226326435,4.0887666176709745,4.773520025772031,4.854252208729606,5.786844615617762,4.835483027930209,3.9850267032959024,5.639643702747882,5.634410717951138,6.834589982096074,5.198369454636969,4.2533358991061885,5.985966231841619,4.773517461149138,4.785311309899538,5.967752190027991,6.587195622516351
5H,0.0,0.0,0.0,0.0,0.0,2.1611801643241773,2.5911438540194447,3.05426133879755,2.6899994145786272,2.805553483658228,2.4396370709679234,3.9069240988039042,4.378585448175907,4.040556293621684,4.591265227737387,4.8778853640933235,5.8477067642497325,4.935794698947686,6.176416067860409,6.78028087144772,2.1277572432970957,2.945697738222493,2.8582057450484077,2.8942590150277034,4.227337447011988,4.57828437310347,4.797244890271941,4.720767611444763,5.874738611547669,4.683744609811354,3.7286954712293654,5.319106028809272,5.658516651255462,6.851681488298339,5.371797801605395,4.502675060852563,6.245336124108721,5.246384161612479,5.273596941699191,6.463796510573559,7.116151081357191
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.097120178724929,1.0980313287419186,1.5180296370413433,2.540853495210541,2.738293933139724,2.550179144172665,2.762932744686695,3.8284340078150363,4.703204715673312,3.8392053544261393,4.70609473792566,4.341836723618623,5.706935149649121,6.127066966562677,2.6206092207859606,3.670290439686861,2.9910046945250124,2.6279069337930037,4.38548077284776,4.783923888481304,5.439645849294108,5.340575811678887,6.388290865878404,5.866916294597398,5.153085751215255,6.643441652921781,6.775284830370288,7.92065535233766,6.454308686242386,5.540700300475,7.228159103329527,4.826335328568429,4.451229293024611,6.10816846377876,6.524460407823549
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7591702399015754,2.1444389838373965,2.8013149576207654,2.723494888616594,3.2631588171186556,3.5396931465765897,4.118730124709417,4.869878915290479,4.453167372151195,5.356365210062939,4.7983573833388355,6.1300686922551835,6.618903021679803,3.479133742882843,4.377081636268374,4.045077468790854,3.715985839212373,5.447381617323766,5.773779105697086,6.487357550688965,6.38421386269371,7.455779355744095,6.804927707138077,6.008118803044456,7.5638302973488525,7.678616465927908,8.854065944634575,7.257561102936803,6.299883204652281,8.000425643893152,5.90245077682706,5.494169448662872,7.168305755821105,7.566411878117732
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1536888968567545,3.4353444962223096,3.7911809075038114,2.633901402672281,2.3932294048618865,4.591322802449654,5.555941151314408,4.028039759965049,4.7018490653503555,4.830813430097019,6.183094002717427,6.452581010531065,2.7627235540722923,3.706873696657667,3.0053259626087296,2.7053105600204095,4.209622699776972,4.506192763043911,5.485916552695547,5.504367026417908,6.320595848974989,6.084992685031885,5.5062643702071155,6.955618758748785,6.847825057931524,7.946619040320592,6.4724487339457495,5.571158791484177,7.155912792593292,4.4044056328445516,3.972082393494321,5.609373726913563,5.943138717915729
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4070954450029813,2.1613944657282134,1.4005172094473919,2.1582805482058425,2.4418856769802764,3.4301573243780155,2.4401256297821106,3.420564260715161,2.8241329487028497,4.189609377636893,4.625743813293885,3.394135858155979,4.6045226169247515,3.2122027205544237,2.431590007394727,4.528164140644087,5.224113287320868,5.3304233603188065,4.933293351664316,6.2600852239873275,5.9427545122118035,5.326111818908252,6.545380889973668,7.098338180705059,8.166567598750856,7.062005065844059,6.261963676381198,7.927794181234154,4.770404295576763,4.174900060809256,6.115167715653843,6.4289735629307945
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881613923878304,2.402397801620018,3.3947001769471727,1.3899050176033778,2.1632190394556634,2.782212767271711,3.870887444719801,2.415122337578146,3.6410429147926746,4.329203246242951,4.178401141640144,5.340765466916656,4.070235148224628,3.3355683231926005,5.385129179461537,6.142012684798316,5.8726390899840695,5.3143066490999145,6.858568411781685,6.286931821301616,5.579518672733862,6.704336399680031,7.5795274279751865,8.643841594529102,7.6361995561526355,6.873816584238435,8.567167581426304,5.79458452072112,5.2661012607929365,7.136838815817734,7.49452096481874
