 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,C30,H31,H32,H33,C34,H35,H36,H37,C38,O39,O40,H41
N1,0.0,1.9903413667741263,1.8346503113544128,2.6250101330066986,0.08434380583522583,0.19477717844660908,0.020406348027645405,0.03311381140257624,0.0032402545635190627,0.0006985510856782895,0.023198593692466074,0.0006524176827462647,0.002123011440411382,0.01177573755918071,0.003305361696351386,0.00028812221982521535,0.0010210729413622222,9.843228084638334e-05,0.2323507639798182,0.055648034087188186,0.036054701711580664,0.002330188443840586,0.006888978805401708,0.0005213131443611019,0.001429013400557233,2.94582888853423e-05,0.0003174197603672546,0.00010976431587081392,8.035927922867003e-05,2.102063704488566e-05,8.337284625570263e-06,3.4498055438980657e-06,1.0261988210302775e-06,8.878607618062473e-05,5.963722822244222e-06,0.00010775336174906336,1.988605933034293e-06,0.0005641281993118696,0.0001250749043201077,0.0001650772965639674,3.584866986483526e-05
H2,0.0,0.0,0.02780633181293579,0.10747738757104053,0.00931599415395401,0.02960844110274896,0.0006973323734311698,0.003550434476654818,0.000997726914359287,6.07278879207751e-05,0.002779004395345286,9.016508563663983e-05,3.26597420541308e-05,0.0008275735938523265,0.00021013192308161344,6.360640141300777e-05,4.851857623955347e-05,3.4789201350804433e-06,0.006626563119866868,0.0021427068557345885,0.0004076963674396472,2.960910332605593e-05,0.00015340712294320547,9.243687151494484e-06,3.618454842557739e-05,8.746351347621584e-07,1.5441592404519255e-05,6.00788753030157e-05,9.936141224620165e-05,1.06382235963709e-05,4.4209748437662455e-06,7.764109244412509e-08,3.73668578301789e-07,5.936577382348318e-06,3.3256478630949715e-06,1.2936841720101455e-06,1.7325440060389496e-07,1.6705392518301387e-05,2.163773213381681e-06,4.823863396286043e-06,1.4274126902691364e-06
H3,0.0,0.0,0.0,0.10425958176599537,0.03203842212272545,0.005118009633173548,0.00014533994184007248,0.0005120576541279842,0.00021419827615254405,2.7096957621708384e-05,0.009083157012151677,4.8532923987654186e-05,0.0005446222576537263,0.009180762480349491,0.000785548068272468,0.00014043724157963844,0.0004385552507257806,7.646145692374873e-06,0.024230215286582202,0.05836537393792729,0.004092046226771062,0.000452091741538041,0.0005837858276956931,7.955039370255435e-05,5.712101121557733e-05,1.073281006491733e-05,5.650258447342793e-06,1.1572227644474076e-05,7.793447662329811e-06,2.3886847175802473e-06,7.777562449629016e-07,1.6559642257440998e-07,4.620487079609603e-07,5.7932740511801306e-05,1.4474911653739042e-06,2.942799872696078e-05,3.24785760552615e-06,5.775733876989264e-05,3.2886214020977356e-05,7.5376577968189196e-06,1.427868673520294e-06
C4,0.0,0.0,0.0,0.0,1.8413562701076183,2.626242917006968,0.09645627590854522,0.14915080069946612,0.02905857803659262,0.007445086209070695,0.14818482227646734,0.00714632351613087,0.031343824351969696,0.006669745158317086,0.019904618131284593,0.002398351105945995,0.0077488882494027855,0.0005370381517231237,2.67359365003574,0.27459736644670835,0.22525812908882117,0.014321272816649855,0.03486544606247538,0.005104947348289368,0.0036791451021851163,0.00013691453894049133,0.001002179086254662,0.00038342716536352017,0.0002807426009565628,7.258557220404804e-05,2.9419832521693223e-05,9.90580113513495e-06,7.639709726836585e-06,0.0010625159445975807,2.070506110296577e-05,0.0020664134825523206,9.532977943038645e-06,0.0032709946650898714,0.0004526078186753435,0.0009839818231307529,0.00021288922007056676
H5,0.0,0.0,0.0,0.0,0.0,0.08238327382142985,0.004854108109827671,0.007435608166730612,0.000986039511141179,0.00011772794888575966,0.02711927087484345,0.00034796793216673727,0.00100231016654595,0.0007084715145941889,0.012873569973424703,0.0008587560357475876,0.012914514921228637,5.5331552961890296e-05,0.09783009295848122,0.023757023517772646,0.01216247399845738,0.00681369911408547,0.0018872767337583252,0.0002891867279599669,6.588699114629115e-05,1.2403930382154371e-05,5.318985177860114e-06,3.832009403881287e-05,3.121877826983699e-05,6.655544894096366e-06,2.6869694120801313e-06,5.59937919808462e-07,1.1967507957955092e-06,0.0001615342818379606,3.762634751547367e-06,0.0001655840235306183,3.374762143737442e-06,0.0001870770332474958,0.00011067508961271066,6.122376193895551e-05,1.930102459790639e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0750207780610506,2.4071530425571708,0.09364692175100364,0.08272244458248168,2.659166915001933,0.08231467882583643,0.08732033693431362,0.08716928809937241,0.15757458831376825,0.02831712118562124,0.005331979165716039,0.009930026903187006,0.17007552941682375,0.03381019681069661,0.025449960122269716,0.0006656182795519161,0.0031405091572109523,0.00020118767921917247,0.0006451797476954846,2.3180758117913314e-05,3.7722705692244674e-05,0.0001262196832663709,0.0001396474360340072,1.5424817590509177e-05,6.5968828681928215e-06,4.074860455949292e-06,8.420428878608277e-07,6.259841271702427e-05,2.803027299824734e-06,8.554205926780689e-05,1.4189090458138764e-06,0.0011372629811499668,0.000518676589254391,0.0002805836961497221,8.227348171063742e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08406407169129193,0.0036283615287933113,0.03559964666236226,0.08326554856471124,0.03504567212321419,0.0046919277418251415,0.004974740781332976,0.010918972603377264,0.0005291107432094933,0.0001215163243579731,0.005622295912635078,0.02968580458644121,0.004324351762125422,0.0033657889356593085,5.309243896856053e-05,0.0006919422523095076,0.00011453826803675682,4.8939957239202414e-05,5.427114271983058e-06,6.6729595351588955e-06,5.226679570702331e-06,3.1471712151898146e-06,7.002215858253891e-07,7.247412088240424e-07,2.2238997021695184e-07,1.5568562239387518e-07,8.42866207140247e-06,1.5817535992113108e-07,2.6123057858873366e-05,8.323934252985055e-08,0.0002824841663247035,0.00019552947829937217,5.424855256108696e-05,1.0982438636286673e-05
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9593669873016712,2.1070329875518734,0.17623042344346063,0.008304473540718282,0.011492082298352635,0.030613584116085724,2.7002299018598976,0.09001080873246581,0.07878761662650291,0.08081256422008387,0.013789170373115306,0.0030243213710093586,0.013354543903953714,0.004072767549253231,0.00099236101638836,3.507802473867727e-05,0.0005311650933981504,1.1490424887794504e-05,4.9395817135478026e-05,7.793288263485687e-05,5.621935304400694e-05,1.1724562900522484e-05,6.049476619640615e-06,3.05212420981249e-06,1.0363508340383021e-07,1.2842142817187652e-05,2.0148877057923897e-06,9.524965923546347e-06,2.9929660394500956e-07,0.0020140740410160007,0.005243280020283778,0.0005726528681316428,5.47966889492546e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023302263321307137,0.01565094424283353,0.0002285766176834958,0.007427832445203286,0.0010478671928879635,0.08400076481840935,0.005743401023208916,0.03416367977123702,0.004322670373726911,0.0016284381158329087,0.000614827200818624,0.0006156608550238474,0.00011375473383945511,8.478170494585768e-05,1.1382753422051195e-06,2.9461525014040646e-05,8.101792883241643e-07,9.420576019492088e-06,4.199165702711838e-06,3.493874839222144e-06,6.28582268902278e-07,3.80191085058712e-07,1.6495210886091627e-07,2.683569588768364e-09,2.337270338825803e-06,4.2016515866549753e-07,2.1063342805494045e-06,2.3579707075782608e-09,8.90601508309885e-05,0.00011126344138667754,5.66964090564781e-06,2.329239914278247e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006823170783942789,0.0032898945313293293,0.0001490496419422893,0.00023366491618159735,0.08061400094448179,0.003886299399245674,0.005167875902377883,0.034197170470605665,0.006077396968912296,0.000569072509154056,0.014494839858908648,0.003069007148726932,0.0008823525682073452,6.207002617686364e-05,0.0006493007327486033,7.628816120597293e-06,1.3955194096304524e-05,7.924055578389932e-05,3.173065752903881e-05,1.2086947993150687e-05,7.487239204406748e-06,1.973112606190597e-06,9.350844742961328e-08,7.226293587292432e-06,2.337153756748478e-06,3.4805421191830277e-06,5.277974608475233e-07,0.0044398820256141835,0.014704263852717503,0.0014979444190204028,2.26231659072873e-05
