 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,C30,H31,H32,H33,C34,H35,H36,H37,C38,O39,O40,H41
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.136464340161007,1.9255932839343002,1.6756081438001327,0.033489660843272595,0.002836324594459372,0.0008836713875661761,0.0008913733245645705,0.022904696517946216,0.017542528540442887,0.0034593633038729893,0.00016546294389119254,0.0003708289480841981,4.6873250419521284e-05,8.55257270968579e-05,2.6370587296042913e-06,1.3191629502307123e-05,2.0905161830439556e-05,2.326560434873226e-05,4.106813527235409e-06,1.1783490532213392e-06,3.096824572335066e-07,3.2605230693150133e-07,4.476855188316475e-05,2.151429031593821e-06,3.919713742561726e-05,1.1890608857534346e-06,7.272967010235609e-05,3.617747062878429e-05,2.0591552848212014e-05,4.426049132089105e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02351809514443426,0.024542419603504007,0.0009294503169523516,4.809382891357572e-05,1.4734101925428789e-05,0.00034653868135570143,0.011114440591812436,0.013619222947879761,0.00103209895853551,2.7668816204640123e-05,0.00010876119183333977,6.555575580113882e-05,3.12871979724072e-05,1.4808621933148913e-06,7.176769053485188e-06,8.999497140171897e-06,1.4080686304263068e-05,3.188283021815508e-06,8.118768279885558e-07,1.7546337161000736e-07,1.1557063861467043e-07,1.2059193362778942e-05,7.1089494135812e-07,1.2665016002166851e-05,4.825399517738305e-07,2.625949908607872e-05,1.0757285928919558e-05,3.24838667098426e-06,9.526176025786981e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024279408292719795,0.0011361926655450993,4.356643044434172e-05,0.00026562203528412986,4.4565991693445994e-05,0.0021473002391616536,0.0015194197834329515,0.0008460941636241337,1.0733103104287878e-05,9.85801958661714e-05,6.035092104728079e-06,3.5001761051978164e-05,8.129549557978066e-07,3.859205278455846e-06,2.5477487588521086e-06,3.7218875359457115e-07,6.757897241804756e-07,5.567169814035822e-08,1.7699038501461928e-07,7.903111276519326e-08,5.952920424157071e-06,3.1313010540046093e-07,4.174732892714417e-06,1.7681707742411845e-07,3.0458599044047574e-05,9.627929313138495e-06,7.242102362026159e-06,2.5327553556664384e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004236335128951274,0.0008019163771955107,6.433394539717696e-05,2.535779997026033e-05,0.0007086510497702481,0.0006080925606066767,0.00022002086283712252,7.612180175309291e-06,2.329587301352909e-05,1.24812801494123e-06,4.273423595435588e-06,1.3721116398635047e-07,6.607626006349676e-07,7.200162841503044e-07,1.1213548178901078e-06,8.913539417676475e-08,1.502431534738946e-08,2.5734085751238922e-08,6.965917842549629e-09,6.458483370330725e-07,3.4033379670006525e-08,3.014981007076756e-07,3.9886007163758563e-08,4.451574311836737e-06,2.5955088978069085e-06,9.43987020551873e-07,5.034183174768003e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7325686434878849,1.9667448738212316,2.157289716195705,0.002507425393606988,0.0007604172161179701,0.005072354035456611,0.01190524930578063,0.0006723201388803696,0.00016373142470782476,7.521686790479265e-05,1.167434417959079e-05,1.533621098026572e-05,7.992773499429506e-06,5.7265967194908285e-06,1.954517886898488e-06,6.310160831635159e-07,3.850421450568575e-07,5.8499793453847815e-08,4.927602045054491e-06,1.9719906307891222e-07,3.5676174531262816e-06,3.844624998361468e-07,0.0004104924724086523,0.0014694174276033423,0.00012719828503952868,9.190241251788578e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023763345936651747,0.02340142873430806,0.00022789074167306467,0.00011384342558162786,0.0001250822973044574,0.0004995475364804047,1.600220835551447e-05,1.0448257021788976e-06,1.6245034646367174e-06,2.98743187521211e-07,3.0975595577409365e-07,6.21794007171772e-07,3.5314617941040183e-07,8.071116086583174e-08,3.0408379592117285e-08,7.572182880721812e-09,1.5901952865604585e-08,1.3023799985134588e-06,4.576001555456344e-08,1.3538941874280397e-06,9.360707542427349e-09,2.9723556263405726e-05,0.00019569580257527974,1.0594677184450063e-05,3.608012177913622e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02276075319256865,0.0012914425272101404,0.00025929000783952993,0.003095595125106154,0.011242605377113302,0.0006084696059178718,0.00012078787388647427,4.594277028147076e-05,7.591467774847871e-06,1.778794987128407e-05,3.0244662259093502e-06,1.675958428482005e-06,5.219598075978382e-07,2.815422845969806e-07,1.0131488759057561e-07,2.4364371187246547e-08,1.209435872118192e-06,7.889782915881938e-08,6.785555062283066e-07,3.170961695442287e-07,0.00010458402171131809,0.0003654372155990071,4.314757854095852e-05,4.2066724781353315e-06
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003494561019359299,7.511273811955377e-05,0.0003585346135781542,0.0007380505284579897,6.012666861887617e-05,2.2778108877963277e-05,3.957278165600542e-06,1.4584079481849699e-06,1.5038928435906485e-07,1.3671403762405276e-06,2.5756542463284404e-06,1.9817657603837802e-07,1.590120191075073e-08,1.787206915793149e-08,1.1741074112947558e-08,1.0921676913966394e-06,7.949620961511528e-09,7.947747164838148e-07,9.077475948693348e-08,9.48386924304323e-05,0.00016574799613100488,1.61069391633184e-05,4.4941692767253016e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.935648923219291,3.5702955355177597,0.1381167711385337,0.26616266746931344,0.026319898030128908,0.032311984923938025,0.0007782704700138865,0.00397653016481847,0.005063192107995745,0.0061739407416769865,0.0007940594328152695,0.0003376205070713123,9.716553443039899e-05,3.442623570526493e-05,0.0038197205027027392,0.00019160379326921273,0.005784369458786243,0.00011875798464777709,0.030013458571827745,0.005322581992306841,0.0055384294222771135,0.0013066235451252295
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.540159928443559,0.026459203775272555,0.06635504291357922,0.047099599982700524,0.010112754755792805,0.001026399951096657,0.0014982647846429886,0.002099921603586269,0.00046435064313588015,0.000517161172217187,8.067688728119471e-05,4.0320397850290846e-05,5.868520403606858e-05,0.01649828285873982,0.00040064700147568466,0.03866473388737102,0.00026664668232867506,0.010733971609191095,0.003631554651581742,0.0015925589922897165,0.0003766401797793417
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9265660036333296,2.8837821839900237,0.09846943248806472,0.1807461239682761,0.007980792586922858,0.026343602867521465,0.018636842229429046,0.012655801370990316,0.0028499503167867812,0.0005763304793466872,0.00028809458300504964,7.135429314919506e-05,0.002095635611695873,0.0002833588792980901,0.0009124052784414971,0.0001523357178618845,0.19508051959344883,0.048557549076146345,0.028258749970167987,0.005211236337850811
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09647821317636163,0.027585915524317883,0.004718288838375662,0.001637250051346184,8.739534458146458e-05,0.00025517722421108946,7.59106996846004e-05,3.999527906917155e-05,2.370107023264012e-05,1.8811486124370447e-06,7.173894082779242e-06,0.00031639285930185057,1.7731646081431407e-05,0.00018679692172729467,3.351088447267614e-05,0.024117045244447022,0.054275463020044046,0.0037441852054134195,0.00012549171717046725
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8622492009207932,2.61462961273334,0.08657070980593096,0.09409633885525404,0.1524377149528405,0.007857173901070658,0.033083957653733925,0.0007302655917129641,0.004660479907572679,0.0010255815421984504,0.018028993849674713,0.0006362422359165176,0.0065183371119550415,0.001993758731775541,2.5246075806281723,0.2751600982338603,0.2177577097021957,0.05370678364666037
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07974769660109282,0.03203876422418528,0.0037534616833210244,0.007719333176245624,0.0001297397555144464,0.001216251642814914,1.8768821115289214e-05,7.887862753341857e-05,0.00020119163580867294,0.00940673569516104,6.815640883828245e-05,0.010485802433482405,0.000720972367077577,0.11150179741130484,0.02751150728856855,0.01093735658262085,0.0007735357394138553
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9362619111028723,2.1424964118502174,2.6186452281361032,0.08405489616384498,0.18548751185382373,0.009543181433369075,0.030646706227781095,0.01070657122892893,0.1585536265507489,0.01047736278657685,0.00515120108228273,0.03071610060679264,0.2046295038244869,0.043154181743162656,0.03125104865992928,0.0020477105398849504
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02315558389836614,0.08318528504104306,0.0036427699783119216,0.014204605305033757,0.00024129319224441836,0.0009840216489935827,0.006425986311391352,0.02975731293665662,0.0005148760629163363,0.00030682802100989726,0.0016237389578936945,0.01087644302749946,0.0020013646759946546,0.0009368110552998576,0.00015819698161223528
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08043641005341806,0.03539376148785145,0.008184445829730214,0.003992097780920245,0.0004376994242869525,0.00017848003941089985,0.010140261405067408,0.005160476138917458,0.00012224755565437562,0.0005461752968041189,0.01106523305318241,0.0018618057013642941,0.013424353689794666,0.0002685883277069312
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11495812918675,2.7434296367892346,0.08268745947567213,0.08500608192077164,0.08350601566669269,2.7700694919552014,0.08067801401168428,0.08647739553997691,0.08815549281381019,0.03048474248929381,0.007919965973677182,0.005239401507419195,0.000399320334828146
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0824505003964715,0.03497494229725695,0.004713904778352873,0.004385387050437339,0.08088016513114082,0.034688054970541504,0.005485706777532684,0.0036153859056315962,0.0009603734721741475,0.00018519775051528686,0.00042043099819477625,0.00015005264882184122
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1713708417438466,1.9252037993667213,1.9899826400668559,0.17165169487150755,0.0076817208582942165,0.03026124404265884,0.011983445040962604,0.005953753109182003,0.00200864191167284,0.0007186343276174428,8.478252787558205e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02300582779345106,0.022733974391945466,0.009103728079118856,0.0038625721850209516,0.0005249614011408887,0.00018554330643127948,8.485103630540003e-05,2.6344599304728433e-05,5.115232221086785e-05,4.150591329965536e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024037733693351715,0.009829561876832038,0.00014166799348314107,0.0006272743362443212,0.004995668419969679,0.0013846404040456228,0.00047831077665283495,0.00019726524517515998,1.745818892562312e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03140991743960697,0.0003855051971120016,0.002736519926485048,0.0009264535211961356,9.112409839540092e-05,4.8296957310345334e-05,1.7338359077578858e-05,8.07661491020184e-07
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1838653913701727,1.9688864440404277,1.9608832166172794,0.0029125018018625604,0.0011528359422371404,0.00038635085286962967,3.6525449848445746e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024802992697358528,0.022868228656007572,8.91111609726547e-05,2.3074029141589847e-05,4.701547279006846e-05,3.3402686416827976e-07
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02584089666031031,0.0007323965209491412,0.00039210725921923206,0.00010997682658897556,8.988240094431887e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004947430244104378,0.00027039700082820417,8.730348534324861e-05,8.825345227947423e-07
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.239588454937629,3.5438687882987576,0.16930221094098807
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508354722917598,0.06633644025800645
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5570307690612561
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
