,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30C,31H,32H,33H,34C,35H,36H,37H,38C,39O,40O,41H
1N,0.0,1.0200980119406333,1.0209542505213873,1.4671305807056862,2.0767750085407184,2.474228199637754,2.5648300106638233,3.8623293604362607,4.61498667179793,4.250697779116769,3.023518216625959,3.500824041763554,3.9736182069809174,2.6824794669331293,4.441453818385809,5.507100911641672,4.230994134421275,4.508011756817723,2.480610137548109,2.8134758441957555,3.6442079069653235,3.9310005248228475,4.910571436469595,4.927667278762101,5.712109650494653,5.992076442825357,6.697888809985557,5.409688162315392,4.496127887403204,6.635708700959524,7.550929812675586,6.76094484990756,6.803256348909661,5.632082487137988,6.6246170913019204,4.961899744838754,5.83845701890213,5.951969414573095,6.057427208029623,7.0741622975628715,7.744275228945703
2H,0.0,0.0,1.617036030439969,2.0404842805836094,2.271737258725513,3.346916093890793,3.4217790026178148,4.593001667964565,5.446912991488092,4.90865806351989,4.00769785861909,4.381396602070124,4.981144615064138,3.666852254965445,4.956537449293635,6.014752773017148,4.53584702461704,5.02979777855158,2.767898018929924,3.0939661400073017,3.757584095023339,4.066598471357705,4.98111849096304,5.079106280352661,5.512496409379002,5.737003637067728,6.537132657062647,4.997379676501447,3.9913438044460916,6.0710700169462335,7.051022480248457,6.084670444294213,6.20606753561856,5.3092062320815785,6.364521253704945,4.79815206961295,5.383554904667628,6.159554673752599,6.331977442136981,7.281691872588879,8.003924513475184
3H,0.0,0.0,0.0,2.020235748499134,2.8906594179996747,2.835550812958545,3.115312677424415,4.2709648394884905,4.935316358346009,4.509627212498725,2.8602154839279024,3.1534573332532654,3.8645161469014724,2.2986864785428414,5.110148659829287,6.131229734418268,4.97225969001494,5.2742809291079364,2.509630057639739,2.369930041012378,3.837287681673274,4.3368499669304885,4.907207210548794,4.698455357419932,5.753238648810219,6.210456154387935,6.6531303863304085,5.370133354429201,4.561514229864701,6.6767537579521115,7.523820111546934,6.7615854951926195,7.003698375584655,5.30992354497847,6.264192064078505,4.5181828517276905,5.476196271465277,6.022015349325034,6.287684365630507,7.013957403805695,7.7375666011540485
4C,0.0,0.0,0.0,0.0,1.0966540536619702,1.560560384031102,2.1100359613380184,2.6049854947554265,3.521918411578229,2.873357754727465,2.5735063600043264,2.8883241583625976,3.5196277673689513,2.8029925780788543,3.198358530191882,4.207298939017663,2.9677853918827526,3.5277315339376565,1.5428055986342757,2.420701853060351,2.475748680308929,2.5991515950480597,3.846158705434188,4.032246006453955,4.8374366685998735,5.031995763550012,5.810090886555693,4.913837690215813,4.117058596102242,6.214633295562966,7.054964009619227,6.573139516157944,6.2916799732859605,5.3432387834005795,6.234844527550972,4.692160676663994,5.809042353459536,4.6760103697193385,4.651892204459776,5.872223304978972,6.459503697957069
5H,0.0,0.0,0.0,0.0,0.0,2.1633600163369913,2.4300078159865977,2.768338497952668,3.7803766659203375,3.120555539515382,3.4969325667558553,3.861758314130695,4.316765063033909,3.8001423439609816,2.7867994722526133,3.803544236676205,2.2693103106283483,3.0524332949066117,2.1616990251203876,3.2453379742454485,2.5642506594643324,2.336571236456549,4.017315220552759,4.468502738493007,4.810082982577126,4.7640726700877,5.847150780836874,4.937996907110444,4.071926364658339,6.067942272191156,6.962694475374884,6.4537862947219296,5.955861240385559,5.657286917442807,6.564233578413983,5.187991144667813,6.118988958119562,4.7558482404845055,4.565116067575094,6.048464788474876,6.578004235204172
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0990904893470141,1.5438778364316432,2.1455831735646234,2.1844768598519373,1.5373077783587017,2.196008026765456,2.172926511231771,2.1884641354181853,2.600430753269381,3.537579198088073,2.9425684997491923,2.840276218999098,2.576962959166597,3.28842086397151,3.355267631517446,3.2816750714925393,4.590268139341414,4.696047112091022,5.853540986591859,6.04616151272284,6.718003294896033,6.192242924386302,5.51963128440955,7.559226273714833,8.314896422060789,8.008899900675726,7.628847163369819,6.53584369667949,7.3146116250707225,5.766890546596142,7.1029296977369025,5.021818093467594,4.772346081732977,6.16986043775107,6.590594515739095
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1519674501924717,2.510337480115571,3.0700786860412026,2.1420905393977585,3.0738934203584716,2.4808082404760756,2.4783230546268173,2.761729093311238,3.7525269319835455,3.1838981221776566,2.5541469471855613,3.46448253445351,4.171544046357357,4.255408899728537,4.07195469369686,5.577989950211059,5.7378162710472305,6.749340555552042,6.855607006572803,7.66924671993166,6.993053836968499,6.2147977446031,8.288582615943568,9.115395242241146,8.66723410806354,8.290656327891023,7.391801782738005,8.235511787956177,6.653711035298066,7.869240117718339,6.021741751090267,5.678036228873655,7.212442868126036,7.6057420899231785
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0985572502302812,1.098192057891172,2.536975887166693,2.836010949940268,2.7505163524993277,3.497703708043113,1.5349295963397063,2.1785864122722516,2.2075756952689964,2.1845669777074437,3.1883568540106237,4.086322092200298,3.369686051802292,2.9611211371174995,4.434950877014871,4.734352634850722,5.7716612111464585,5.811064832526294,6.54007231535381,6.469418961969747,5.946133752067644,7.783455103972427,8.43901191753363,8.40942519515506,7.734978548524205,6.993178339830901,7.637106827063792,6.312092615574063,7.728121336766204,4.391402768144337,3.82725046775465,5.545331576700978,5.761177495134184
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7499111986545115,2.64561953169427,3.01363737728625,2.3983532013167097,3.656955876319367,2.1478121938755477,2.4575191029072716,3.086187728361279,2.528708857376463,4.12388886001627,4.867738877129973,4.374847297191426,4.004100487770562,5.315479125422787,5.510367108715675,6.724818772173364,6.800027953941035,7.419689035271317,7.471669990753862,6.988211038787954,8.818174246470582,9.434533598090693,9.45542263713705,8.795938285696964,7.901687888470342,8.496127835617584,7.154078646217262,8.651815675291092,5.109556781985634,4.490807619152426,6.138987945712997,6.246213809647006
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8412055670856904,2.702454785933945,3.173056832482133,3.8533230062612547,2.165636518692399,2.5089200787985684,2.544810624625058,3.084733909937861,2.88168208730647,3.712929458709488,2.794530231352217,2.4773045473316064,3.5959952474760923,3.877355708369807,5.015923821749343,5.1263293993209045,5.676793882160741,5.873030933763765,5.513869650408096,7.212605093774525,7.761973024833593,7.92297296284061,7.219274533848824,6.358100330766288,6.888786243739216,5.69353486765134,7.191986200926098,3.3870672407421054,2.88405520794363,4.480514561173349,4.690118516882293
