 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,O34,O35,C36,O37,O38,H39
N1,0.0,1.9663027803156292,1.9268981411951536,3.005111276732829,0.08556352098566122,0.20544754555533556,0.013609306251514464,0.010428258054000716,0.032686759825257566,0.007695019543408996,0.0005638025975437388,0.004665070350983319,0.0013538547673930396,9.057683979385445e-05,0.0014222524399045006,0.0005215287573116234,0.00011108680931637416,0.000274841778209689,5.3762706539117744e-05,0.0001329684020691807,4.968033244567849e-06,0.00021038450493990335,2.2374467785191143e-06,0.21990410745818142,0.0586720230662309,0.03446997327649687,0.0024136612578695704,0.005894251681989912,0.0005225650036196905,0.0011671615787204742,0.0002326545731482499,8.569256388624158e-05,6.533108348696914e-05,3.444431571056339e-05,8.482471098718303e-05,0.0005741235778435605,0.0002455403317987506,0.00018638709428271671,4.615827262932637e-05
H2,0.0,0.0,0.02691877224244066,0.1088978513945883,0.007881220573402459,0.03220467892102685,0.0005063777961689109,0.0011361378127796584,0.00440455171241283,0.0008462431463566178,2.8569717695603458e-05,0.0008759683517909345,0.00019507361730375372,3.918553543291736e-05,0.00020161077216518386,6.132720851748097e-05,1.8079175990948215e-05,4.5072762646869435e-05,1.3028884328747381e-05,2.3519487268752748e-05,2.8037215638043733e-07,1.5643719361690955e-05,2.5905028477879455e-07,0.007776563617737486,0.00211544629109639,0.0007269230197193277,5.7405820314659906e-05,0.0001853257542338005,4.3502644219151065e-05,4.002661767832372e-05,3.891350167428698e-06,5.7606581549407565e-06,3.4457060186232624e-06,3.8958381447518065e-06,2.207270838328057e-06,8.666141501523228e-06,9.552688058467318e-06,3.90659782822933e-06,7.634254242105953e-07
H3,0.0,0.0,0.0,0.10588103107384961,0.03520942338807065,0.00857077149963481,0.00021125940638277996,0.005502895779655015,0.0005310148065065246,0.0010490256819605248,0.000295414453494125,7.077052249182536e-05,0.00012288253050296571,1.1470872264718324e-05,2.3858813473998097e-05,2.8780695067065487e-05,9.98974040400391e-06,6.270654688722566e-06,1.930881790013217e-07,8.06034732347971e-06,1.8573840465663238e-07,2.7413305296875023e-06,8.555270820664873e-07,0.025344960717273324,0.06881684522281517,0.004539658329759333,0.0005252359779428506,0.00047750569723992164,5.237631421461941e-05,3.644141376735188e-05,3.082738531556828e-06,1.0594046418122005e-05,8.485699920068868e-06,1.8148285050312296e-06,2.335342430292986e-05,7.886860644568117e-05,5.052438039354623e-05,9.041034964130112e-06,4.1440978806317474e-06
C4,0.0,0.0,0.0,0.0,2.0632912224158373,2.768791525613838,0.08721072790685325,0.08151661371330543,0.17954851495331217,0.04684557804566147,0.004398742298303837,0.023726535551918032,0.008644642939029223,0.0002874932946881348,0.005764577348048333,0.002731938363133374,0.0006797585066911083,0.0009489485790298013,0.00013294137819941376,0.0010395663832451496,2.585847602065705e-05,0.0009933431803169634,1.57835519163374e-05,2.5940109589732274,0.2892349659690378,0.23220471311121163,0.01608218947960305,0.03696731019415464,0.002955155560340872,0.003826992069979468,0.0007092649849693711,0.0005671842399730398,0.00028643165602676435,0.0001136019483805456,0.00021794000834751692,0.0034746553009858405,0.0009951582339599446,0.0011339212862060272,0.00022395083380011283
H5,0.0,0.0,0.0,0.0,0.0,0.07894664859664302,0.006355672317021721,0.033151607207877465,0.005317188817376639,0.006132174163244075,0.005161032828420398,0.0003725869647246416,0.0006187171791318669,3.787539613453461e-05,0.00038555411593366173,0.00043510025009707576,0.00022484491020180464,5.972246411078963e-05,5.809186458538562e-07,6.401390613874902e-05,1.1583998102970838e-06,4.331406121327319e-05,5.679609283548714e-06,0.08650657735888889,0.02265666965539137,0.012200508762865603,0.008338993661459737,0.0017709573998843098,0.00036933312698073095,0.00011232128991034429,1.903197507302501e-05,3.067920770760679e-05,8.885007158676572e-06,2.4488282813761586e-06,2.5398220557137918e-05,0.00010736050071336045,0.00028248568504929406,3.193538164847354e-05,1.0517706094947954e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9691672192056888,2.0153937897884906,2.8073757286502334,0.24722709343296104,0.0055517282905725995,0.19015460385475882,0.04645657445582396,0.0023303309059345967,0.0323385439142215,0.01651291436695701,0.004357909293497331,0.00475359451413232,0.0010260189113526774,0.0038562739282808345,0.0001533397357049715,0.002207686038344217,8.267314145293803e-05,0.16411310080306848,0.03565990939334909,0.030576072861841788,0.000969035620571157,0.003820480769155643,0.0005191779387316853,0.0007633005600379134,3.796592242300001e-05,0.0001287350342287219,4.807637342324478e-05,2.113048376360671e-05,3.137078068055077e-05,0.00052274819009962,0.0005237108374377131,0.00020670116364547575,5.903996668177314e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02309361604649096,0.09456526538485899,0.03302517311529507,0.00018429308937473188,0.0157559210770164,0.008007019948602867,0.0003872369276616272,0.0025519238693962887,0.0008897290690137449,0.0001645345180123492,0.0003615920463855282,2.103601000502664e-05,0.0008147653944283739,2.5304768143108447e-06,0.00036379333763081334,5.743269382296745e-07,0.027292581063208976,0.005730549531085538,0.0030575394380072396,0.0001881735711890542,0.0007918933484580837,4.5951001998556507e-05,5.342763365545622e-05,1.5055443802980406e-05,5.193721427820819e-06,6.2114665222434695e-06,1.4138612766112502e-06,5.606492253784623e-06,6.146345092883365e-05,0.00010153142324664799,2.4308480870094407e-05,6.351862354758708e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10913930335129018,0.024186559887095394,0.00042973782485855594,0.01359394417152493,0.0030062646654034353,0.0008519434575957607,0.0012968033186868677,0.00590360037761406,0.006655122797329938,0.0003240815244787143,7.392191049793162e-05,0.0008278418580898173,7.436411795747055e-05,0.00047534740150889654,4.5406839770611995e-05,0.008379906909017354,0.00811619894304172,0.0012458942112631988,0.0002193722105912066,0.00010080489782948732,2.0502580690529015e-05,1.888778595393603e-05,3.543072021106042e-06,3.123652290160095e-06,2.6813790305890706e-06,3.737170362061448e-07,2.75742817734681e-06,1.8468178768493715e-05,3.960145774328794e-05,1.5556555924556292e-06,3.016905336661324e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.852052907544178,0.1168395468346004,3.039205634679446,0.45086508639627354,0.032570706691653406,0.3431490443435077,0.23064267271365863,0.008184331964521396,0.03752227092004923,0.0037316146483039603,0.06508652956294658,0.0028548688211404993,0.0281048487992933,0.0003658224500981966,0.02646237887641581,0.0033630159288339095,0.015151029062025395,0.005387181667992791,0.0013824804948792402,0.00016704464755945558,0.00048075997955568384,0.00012104855110117718,4.430563818091926e-05,4.161207360592334e-05,1.1658653919527362e-05,7.903109941746755e-05,0.0011144980567932283,0.005897730242542837,0.00042320197470528675,5.198513081061673e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.058241067006942,0.4045336775759742,3.2039791300154317,0.11961046235653872,0.46083037347255956,0.11752856509996674,0.0010541816956808336,0.07876888918035799,0.0009149802723014133,0.030033786032269527,0.0009099423095779713,0.07693828854228314,0.0009179679768864801,0.010964968480199039,0.0032100096033619574,0.027665676437602954,0.03186907076375545,0.0028666831260383274,7.98468880642833e-05,0.0010910034915635192,0.00011081111529920307,2.8104776851778368e-05,0.00020281421409146239,7.831576519742867e-05,0.0008792212636531405,0.005062754869691433,0.03633206059134704,0.001451318926496803,0.00017917302272663083
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155229183675523,0.09863621527800603,0.006631942960076298,0.028559857041412506,0.0032522388838625016,6.816108046581171e-05,0.0027769493822082936,5.463551273554579e-05,0.0010773349408885746,0.00012478538635285474,0.0009800748595963915,0.00010713822933294814,0.0008611771537621049,0.00025715566135786627,0.004848920333288875,0.015339942244657179,0.0007794159291472091,2.441082847903786e-05,0.00019696727163220906,4.01630329631697e-05,1.9402412720914697e-06,1.9533474752808644e-05,4.831383145442736e-06,7.224885724221863e-05,0.0012886798632421037,0.011309104800624414,0.0007013059819297451,5.4792389150737364e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37524020845223705,0.029998144046180286,3.2665893233084327,3.6068812146747615,0.12715675124524295,0.29502080267939507,0.027466945213076466,0.34171184441780444,0.027519631894349583,0.2364898082619957,0.003919037395715197,0.002418913457817168,0.0006501034758615576,0.0015911704461807341,0.0007345117310445515,0.0003737198958302934,0.0003977312922334164,8.446599550759881e-05,1.755869969999324e-05,4.4405131771618755e-06,4.044869100314208e-05,2.0196724723489656e-05,0.00016767815500340344,0.0005759036682904672,0.002290981461674252,7.895291889528644e-05,9.579501469625384e-06
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6439675769340103,3.3495340872628554,0.04594551793512863,0.003806086068282921,0.24980000461622784,0.00758200423542843,0.0507568117939317,0.00042922615137319653,0.06284301971305592,0.002892869194732528,0.0019672682470268654,0.0006393134343501694,0.0021302520631966693,0.0015574182847301055,0.00053171489509235,5.652001413514185e-05,0.00010786725581796164,1.5731859962730965e-05,1.2968596538209809e-05,0.0006006644442473896,0.0003081275200239042,0.003957287850553937,0.009996022153993145,0.05948328490313151,0.00050038518704415,0.00018688933862531787
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11875945934912091,0.0035001900352463755,0.0009921860158115248,0.009402580072070288,0.001953125411488399,0.002963348183646075,1.6066541623338537e-05,0.0013770573642486461,6.122242725692395e-05,4.760413434934385e-05,6.350197246018929e-05,0.0001312527082554249,0.00012245701125057629,0.0009122827916288045,4.1486183139927135e-05,0.00012489536153692526,8.567824322014417e-06,4.852253536968831e-05,0.0012551478144541273,0.0005960220740374167,0.008261941733091471,0.019898225881996412,0.16966321326268263,0.0006045270734796881,0.0009001353495325937
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3074196739550432,0.027852096256961056,3.423356773659735,0.12807627863414028,0.23655266300699251,0.0040342737657743655,0.3494283247780027,0.027517808204102767,0.0008073566897005557,0.00022709299536029237,0.00158772009874536,0.0015147163602383662,0.0003693368309004852,0.0002872411745789005,0.00012096540051861893,2.0987383177573093e-05,4.948160881701469e-06,8.838407167857665e-05,4.59213650827045e-05,0.00041163985693040694,0.001165178217464674,0.006309961304379094,0.00011061184699449889,2.186653611979672e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.955021472040259,0.29514000612941826,0.003588295214741688,3.6566541594381956,0.12360364986593275,0.32150867057999627,0.026076987502660742,0.0004479426464060188,0.00015813829706447236,0.0008507830196726462,0.0004821843407285531,0.00011816826407812231,2.6767603262700668e-05,6.379722378392627e-05,1.2555348269049915e-05,1.6106262610282585e-06,1.1956455678169275e-05,3.99513208676483e-06,4.441553307429902e-05,0.00017449177858158693,0.000823928928343147,4.326169841058214e-05,1.0518683380755789e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003461453580187568,0.0008118247458930306,0.1213077129984137,0.00838130987719854,0.02737692139235337,0.0011946654041916638,1.4739507517402828e-05,1.0682241609938359e-05,2.9790909537030785e-05,2.713599341452877e-06,3.050548272875986e-06,9.75414222503801e-07,9.861914895825663e-07,1.0710629361199153e-07,8.332690848433799e-08,6.041459477135191e-07,4.0006582269214164e-07,3.849777266529131e-06,1.0740949213383644e-05,4.17378899593146e-05,1.2207890665028032e-06,3.475719105860975e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.961062544159965,0.3305058556466383,0.026412996177930692,3.8998267945012235,0.1280263939605839,0.00014639591448487033,5.575855802708585e-05,0.0002761824419146436,0.00020356291057643805,0.00011291763021567536,5.663743709616309e-05,3.784075943553955e-05,3.672358733330938e-06,1.039550627579544e-06,2.296613240407308e-05,9.641733452470103e-06,0.00010796870900402211,0.0002847066696842204,0.001053675790769218,4.287501127352156e-05,4.401212124749421e-06
