,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34O,35O,36C,37O,38O,39H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.307611154313731,2.1231774663301906,2.394537210208981,3.2408164541082183,4.683631425825103,5.170734784303833,4.566272559501896,4.968065558686336,5.661909352834517,6.693066322237742,5.6147268597378455,6.6214551529575445,3.433676083325176,4.569749822280389,3.038715993029514,2.2025050517947617,3.983678632648909,4.340011061915031,5.294809803067657,6.124757628443096,5.659608162440976,5.449743999405914,6.457153601531613,4.718197549835703,3.7689170601162307,2.820887374459207,4.9260259921582765,5.005440621790851
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2802676499073793,3.1547000500031945,1.4252609477973366,1.4045620367961507,2.1693170588301767,2.467271345421166,3.4537207250968085,2.4122030349727743,3.3995047031506096,2.803425108258074,3.891118751258283,3.829040451141613,4.213139480527373,4.141481404923904,4.071829057050563,4.628146678793829,4.148333881136499,6.095338898020095,6.536966847997719,6.410245012839069,6.946779763628131,8.11360237164289,6.479961219648403,4.946992694618977,4.5002390124838785,5.5122820636000665,5.790738207454877
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.023671151622979,1.388702953482607,3.5975087331723987,4.449303648351291,2.52354438501243,2.848395347654858,4.144150306416684,5.231191204064668,3.7311662381368875,4.651295757695152,4.250997319381929,5.06189520588398,3.8412600016414005,3.307689299917251,4.171935386491386,4.072627515832662,5.674592593629765,6.193215627546254,6.266840126013084,6.052960178434555,7.224021934695313,5.216941369285787,3.754947130566901,2.865411636155776,4.377568854741863,4.331064174105732
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115886923762692,4.4236056699490485,5.303673131114269,2.922143141876377,2.928283401065201,4.8406714961890245,5.921091411299647,4.238648166608407,5.042669501946898,4.459357822175639,5.3002773485028785,3.745516971090404,3.1545776947739537,3.819321142818909,3.8403915951166123,5.248184927413381,5.722389108514802,5.974522251289971,5.450705218630625,6.615450369691606,4.4910016198067595,3.061534336164525,2.089660350123541,3.5964824964948816,3.417928259634651
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4377613865949077,3.43160272027657,1.3972827211268453,2.1665379852722153,2.7738955589797665,3.861790503665207,2.391597759011319,3.3815096616738165,4.480424600055294,4.99564286759261,4.3590518515408405,4.1154233486763,4.5485625303992165,4.109545192585356,6.062862545914673,6.423881583960004,6.603958806334684,6.725601374887975,7.935107560587495,6.046123192375598,4.429289046787163,3.841641257611266,4.798194884059023,4.876682154006615
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879332350866793,2.843747906063586,3.9312569541580475,1.3923098773650724,2.1494509969970452,2.4382918156014086,3.4158052399852936,4.586587734883252,4.620962404968918,5.131034098895014,5.254623931344892,5.502539056710809,4.817134436683042,6.87421766600774,7.181051608835365,7.102945103320443,7.914083946704923,9.071094310237958,7.5786752927124645,6.013905457462362,5.737975816739828,6.408612312944689,6.761867187308344
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9316221546898067,5.0191311224666695,2.1569717287452854,2.4797935326609273,3.424096639230474,4.3114852198463165,4.621192079381731,4.501749822961662,5.421546723098006,5.642276718925057,5.940124427431071,5.276049874273929,7.2147101231320345,7.559585049394669,7.28298182192685,8.337061469524137,9.439027891937963,8.132529018611677,6.658567599017154,6.448738464640805,7.149019577979397,7.588628580441564
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0875151473987872,2.43882209817542,3.4154660338427565,1.3934660604857416,2.1488601523349886,5.616784940768704,5.955799038418828,5.447812054368503,5.289901626701313,5.337312343574832,4.725023298404959,6.783166058926123,6.943450380976563,7.415404249725829,7.485863487315117,8.711432779209398,6.788818567062326,5.113137679168902,4.654518851922503,5.1075422708475235,5.09776037485648
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.429901562162564,4.318450092548133,2.166522095641449,2.4921389064886963,6.3090652152802,6.716251526202915,5.932302026334478,5.688436842117991,5.6597792304488,5.121344024720367,7.053755730396544,7.151827703852492,7.806361604209491,7.597882810638535,8.811602206676087,6.779793514240822,5.151975898389654,4.647042161371096,4.958963334535829,4.7619094739885925
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0880371549811991,1.4088649751922424,2.1631424138975754,5.6839547019857894,5.628059800296808,6.067092918433745,6.201082497728202,6.156492682341255,5.336280817800778,7.506457825009003,7.639922541062983,7.852475071367384,8.559999555153006,9.749246977076766,8.173066270993095,6.520803275151296,6.296333364699481,6.631968507973251,6.911961547650242
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161347627209939,2.4783546750332968,6.438896646132764,6.21881023286592,6.936367759322252,7.155383496855618,6.995024473013041,6.105784241299111,8.266030758529896,8.327537203478805,8.54874953668518,9.410649443362317,10.580292112423425,9.105790081925996,7.465491741615881,7.323092475706365,7.509081121966804,7.831935437801685
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878703307191773,6.122826576222098,6.215640981103889,6.200123498279539,6.214383085842524,6.080706350961357,5.291429776335101,7.461584083530148,7.5260073308333535,7.99063327574472,8.363753240542406,9.58208859260456,7.81884275664672,6.125472533113174,5.834888613893454,6.042978125616385,6.161254889524584
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.108938218359566,7.13265065832788,7.13741378262191,7.173098427320822,6.874017647640028,6.033205725709971,8.190529263473737,8.139065725398204,8.767386615957344,9.09133246917792,10.30446714502093,8.537782365039389,6.8480036073945705,6.614066080120111,6.573288236001076,6.635730874620191
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2347488133583657,1.3540341285193929,2.049841035742969,2.4844379673995656,2.66064912969789,3.351414538218446,4.156574273543923,3.1525846097518153,4.290391858859198,5.191147512006976,4.4396228982313355,3.6803654059240403,3.881420183650838,4.743751244842474,5.4265526642077555
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2903711012036534,3.172226884588758,2.891296547055659,2.726337123491906,3.4824225499505785,4.056609351659624,3.09119338871605,4.727656046503275,5.563740783723618,5.110320313223257,4.336386134666763,4.773556275621524,5.152639497551146,5.95478923619949
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0171359373133773,1.4601838952814843,2.0938528762181816,2.4951985041425617,3.404227295756803,2.6654526110626042,3.1600107929713093,4.174580074877678,3.1202512030919314,2.414442250622703,2.6811936255260638,3.6128531741439596,4.244925665691842
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0535444603062416,2.754725895925894,3.159494053689789,4.087695136177701,3.4783940631179098,3.4149942995093863,4.427985258630113,3.012777205032119,2.313979337067351,2.105286617641406,3.6649030989932543,4.085095431897518
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09468999305605,1.5256067816968288,2.165985523334598,2.2033596879945554,2.43468420990743,3.597076891882877,2.455180422152989,1.5663609798566933,2.4651121920462202,2.39430906773782,3.2049580651402056
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1928639451376024,2.398445624863573,2.7624396787710896,3.3675022040019007,4.503879618889362,3.3998345217682755,2.192689948575043,3.0037581521406147,2.5353330941283976,3.3918772731474602
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975748968765813,1.0930649614297157,1.5360848808687746,2.438499676652171,2.3503623113984395,2.4671660922810834,3.588259357622684,2.9666762888476437,3.833392533424255
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716138939317347,2.149074786530442,2.873705860100795,2.9287005879321817,2.930706272035757,4.17030668393536,2.8994373262546036,3.8181961191188294
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.186467838175524,2.703757043808848,3.202192564652822,3.414522120951444,4.4093625965116745,4.036262528282521,4.907550861944233
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2257909849501605,1.3124692220626795,2.4838352295944857,3.4524357624315374,3.072503120475306,3.6662657205583793
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2562848218388862,3.681414116349097,4.574314734125099,4.172128810261164,4.695255288853103
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6945557039535153,2.412842892196352,2.4240055015315707,2.7431990241045257
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2652643076057597,1.4093691440068186,1.881254608629308
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28735852306167,2.2767338667188755
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9724264580433775
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
