,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34O,35O,36C,37O,38O,39H
1N,0.0,1.0217344464882032,1.0239351367186782,1.4711763537245597,2.087919718214886,2.4559036002415917,2.6479789001745133,2.6297621062800594,3.81331602022642,4.485102988495318,4.4175319296399085,4.95964629256162,5.758451545048762,6.227262224880538,5.991157450386228,5.516414279071959,5.128647657256984,7.256367905351192,8.086367636106283,6.852366510189176,7.465703552324449,7.612651020317669,8.663153541205377,2.4949683037042014,2.848587064179663,3.599201679361622,3.8817920227719815,4.920616999599731,5.1445371787224525,5.541916875039873,6.418322136343418,5.030058101346147,6.2828035619775155,6.926283388442184,6.496586836861371,5.989971917289795,5.9376370759930515,7.174341006353117,7.7848967551836035
2H,0.0,0.0,1.6141328376477753,2.034812111401845,2.3056261465332857,3.337872318565239,3.534452071262098,3.601751437507696,4.567243122323613,5.029180130906931,4.783230689415196,5.762833999879428,6.301624527856123,6.639396538731992,6.673128525726588,6.405947504107049,6.078006953662616,7.950318863872291,8.712815912706079,7.71217662776304,8.354793606790464,8.393038737281598,9.436700667098679,2.739961439227677,3.125786095055438,3.6333593777978974,3.933567002726285,4.932034450342295,5.327285291221089,5.306314603986586,6.238593535386892,4.685283259091503,5.908127632043013,6.397075129772587,6.240131891662977,6.003178115343514,6.038716302986505,7.233577776264145,7.861875291131337
3H,0.0,0.0,0.0,2.000620090567423,2.890811711054251,2.752076865149299,3.1414868757874093,2.5182876600213318,4.081712793758902,4.927268192216738,5.032988714377222,4.998867966992596,6.085514772608728,6.5641395332014465,6.114959955857573,5.333198066172824,4.840656839990136,7.2740885086153755,8.15520038831344,6.613293772242551,7.118126762688236,7.472476533970221,8.480710819336496,2.5051250243133696,2.3816119442232364,3.787501277755002,4.291292107477464,4.925193705599414,4.979800741673479,5.468426265147212,6.224421686014067,4.87574152477111,6.419319403472423,7.0710873898363245,6.760431306867754,6.175769503838712,6.284905877685997,7.234045067229249,7.9298094427916626
4C,0.0,0.0,0.0,0.0,1.0974473446495034,1.5538326125467252,2.1532614680105424,2.152243758738337,2.552316312804392,3.0658627543228527,3.042125837543088,3.784698063689661,4.318365248225514,4.756744840495386,4.650136091121932,4.596861940822486,4.475331752648121,5.952133282421944,6.718243489252397,5.891331792177662,6.650113541071757,6.463768041497801,7.525730311058319,1.5493381004832885,2.4086424282996792,2.4677001176438926,2.596467365765598,3.8448089204085316,4.074769537002522,4.765394450126058,5.651115377373771,4.5274712641651655,5.461187637071624,6.288738292046075,5.4488408215574236,4.736395778500425,4.562486594439976,5.930972645834836,6.4693530138735404
5H,0.0,0.0,0.0,0.0,0.0,2.1715673215345492,2.4590238399688347,3.0539125042484674,2.84536038391464,2.8994078992923944,2.49850932496741,4.231595487785652,4.224972064111954,4.561310288004523,4.865872697290561,5.257046462546838,5.267721628365886,6.230865337794822,6.880222273875164,6.522953083091806,7.371083207799043,6.934412485371392,8.002767663760745,2.181240402717701,3.2751067133103597,2.547708747263238,2.2889162600739796,4.0001065326673535,4.460187332266126,4.900256776359862,5.88522919480638,4.756206364500885,5.287726399258739,6.0639750610737915,5.126304904803082,4.596940568260198,4.235890656813322,5.913921243405386,6.337145190487065
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0984888212101886,1.0979080726974544,1.5064604007849984,2.563940232696785,2.973498233251085,2.6494829519844196,3.7318371279899987,4.457315211374561,3.7692909098831042,3.3525569855342705,3.185980743815921,5.046062896753315,5.929140339008807,4.718259232066748,5.456967072285698,5.413826126373164,6.493130927422613,2.548704973355864,3.144772177538431,3.4123810926884013,3.405901848352114,4.589136356377488,4.5276621629505875,5.778065400124962,6.53291677218285,5.6966853453802,6.565977406699568,7.526089707738385,6.37111631568974,5.316694989725476,4.949239237251446,6.35943877144264,6.805594787423698
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7590445279633766,2.189361344392861,3.079872223749407,3.322737551866199,3.334285563139061,4.306731592703471,5.09527755812582,4.433363765562344,3.971267570911295,3.6971332209978605,5.717926315268361,6.58947991806189,5.344247405385674,6.036101436724134,6.0792467978243225,7.155077035571585,3.480911938277206,4.108716797089391,4.304456924943529,4.154591782326513,5.572733185233981,5.59114559790561,6.72873088573002,7.54095230101054,6.606020195553925,7.404930346051102,8.310287183523922,7.16636260057592,6.201538742288073,5.700831361769251,7.306696506821161,7.6868153489317725
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133517105994098,3.404038815568809,3.971144360143232,2.7514431320998245,4.369651738991995,5.1202241695524595,4.074323701703556,2.979236662883292,2.517308307265706,5.179543975611835,6.16029435966032,4.344666362760726,4.912626952560021,5.26935738002734,6.305359828755739,2.801137318201744,2.94524434902517,3.896422445775001,4.129919724878758,4.910468927482329,4.646185077961864,6.027600148794268,6.666567840414134,5.859649899365969,7.019390298268064,7.977225453198134,6.959269385449693,5.838210943543385,5.641950533983089,6.745614372973088,7.2805727992346965
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.368733396713672,2.2202303425907495,1.4477913948529693,2.285268385898472,3.1107271691453953,2.309430391537297,2.6260595958359674,2.964551147445989,3.6465335441587534,4.472467203143971,3.8258475983216127,4.752048185744044,4.220405752082389,5.306214596084153,2.9755906939078423,3.679293923321152,3.3392555403217976,3.125243550987033,4.229048684135544,4.069039169977535,5.6456362139066165,6.303821988774283,5.848121508599854,6.35269588152326,7.4441431448408455,5.910896337749602,4.6049769884104785,4.058682114903923,5.506276565567418,5.812476576882259
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0808113154735792,2.243212266818995,1.3868695996134122,2.034584043172508,2.2321213900268355,3.634709965143178,4.2016077049546245,3.6046470276517852,4.142896914203506,4.582723618376114,5.617229889704487,4.5714868447434025,5.59993631643946,3.3309748070263283,4.2924766742458,3.1411520325081073,2.5577879660092013,3.9375629531194107,4.013090406770268,5.38653311256894,6.09315305303216,5.773188989786033,5.793345769075614,6.893050138580948,5.1162938177865875,3.8648035453869807,3.0337718311291195,4.83574955802658,4.9667194686846905
