 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,H11,H11,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,H14,H14,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,H19,H19,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,H21,H21,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,H23,H23,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,O25,O25,O25,O25,O25,O25,O25,O25,O25,O25,O25,O25,O25,O25,N26,N26,N26,N26,N26,N26,N26,N26,N26,N26,N26,N26,N26,N26,H27,H27,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,H29,H29,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,H31,H31,H32,H32,C33,C33,C33,C33,C33,C33,C33,C33,C33,C33,C33,C33,C33,C33,O34,O34,O34,O34,O34,O34,O34,O34,O34,O34,O34,O34,O34,O34,O35,O35,O35,O35,O35,O35,O35,O35,O35,O35,O35,O35,O35,O35,C36,C36,C36,C36,C36,C36,C36,C36,C36,C36,C36,C36,C36,C36,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O38,O38,O38,O38,O38,O38,O38,O38,O38,O38,O38,O38,O38,O38,H39,H39
1N1S,N1,0.0,0.023378399428003682,0.0008043123858394452,0.0010779861826129,0.00021229799922495296,3.3794666048025945e-05,0.0018075003801640843,0.0016921543515251436,0.000908167455864195,1.9096581510558153e-07,7.064080032159747e-05,7.90216704502078e-05,1.15543916431593e-05,5.4962248278861425e-06,0.007796616582639526,0.0013443826135324244,0.007700989858008933,0.001303227511958327,0.0011320781069070751,0.0020084454931827977,0.0038561359129032358,0.0003096698018081323,0.005167533502285826,0.0006336941172047084,0.00044118149554450703,1.138268592493219e-06,0.00042283521372943333,2.823569196508391e-05,1.3370830899417374e-06,0.000823579873521163,0.00024177509363562666,1.1759199142202803e-06,0.00017083810076412576,1.7693960135067854e-05,4.788552424492276e-05,0.0002241280163830517,4.899839340932743e-07,3.584656584054713e-05,0.00025077102970483267,1.3307435444698257e-06,6.36469841279741e-05,3.293875868171092e-05,0.00029905474989000425,3.1507259042079516e-05,1.1809882232427515e-06,3.645268459750994e-05,5.3130200143414186e-05,3.024747034760522e-05,6.310542090792737e-05,4.703506451164685e-05,9.658083818897545e-05,2.710680418127609e-06,1.962924541584754e-05,5.8782235438537e-05,3.849149318457812e-05,3.457106551918443e-06,0.00010787934967249058,2.6004195376794215e-05,4.370741645054466e-06,4.1028107178320283e-07,2.438869057819204e-07,1.8356989900103482e-06,1.1216438221828273e-06,1.2015433217826832e-07,2.952082834073444e-06,1.2075144439904761e-07,6.193080287486552e-08,2.7230358190521997e-08,2.0709576480371084e-06,4.59346305214936e-06,4.475410232629429e-06,2.060809996207169e-06,1.0756552637491978e-06,7.521661187226414e-06,3.9833873222150373e-07,8.34613575195764e-08,1.4950612808872776e-07,2.316843067617924e-06,2.8578134775303354e-08,3.2752628198462475e-07,5.540167657969164e-09,1.7102516667311107e-06,9.308736231838921e-07,4.2852051758135445e-06,9.304026060696913e-08,2.3325700269083427e-06,1.0026479474234407e-05,1.228413820664187e-07,1.9955873753474407e-07,1.3440028978628504e-07,3.839915046599529e-06,1.0364737573764771e-07,1.7117520773046735e-07,1.6883621355434641e-06,1.049830909594096e-06,3.2877846201095906e-07,2.573083642959384e-07,4.032607681114797e-07,3.334903906360154e-07,7.37122817895397e-07,3.0118407767787403e-09,5.873175421555743e-07,1.1784230480316182e-08,9.478598226309032e-07,2.572721831128888e-07,1.0932595823076596e-07,4.719550553144991e-08,3.509595135342547e-07,1.0091447955051791e-09,1.5628600585904096e-07,4.410527572051848e-07,2.6396232533087982e-08,3.537985622525941e-07,1.0800087402174086e-06,2.130875857986325e-06,5.092980799314972e-07,5.067106678691147e-07,3.8648013833686434e-07,2.3219577549582482e-07,2.8351258674064184e-08,5.910078648696526e-08,1.6961890272892965e-07,1.371316811216161e-07,2.414140414797039e-07,4.649709537396518e-07,3.71835662538178e-08,2.6500601352230646e-08,8.310232790798011e-08,1.7040557542813417e-07,1.6730833229949837e-07,1.8080598152003802e-07,1.7888003744914727e-08,1.0604940037239885e-08,2.3784624070266602e-07,1.0371776992812443e-08,2.956056887326586e-07,5.262235092118317e-12,1.1157761314883885e-07,2.174189303594254e-08,6.19782179467343e-08,1.4156093697259564e-07,2.3204843091484406e-07,7.206810098692173e-08,2.841418491605907e-07,4.266909048311618e-09,5.72400797871353e-08,4.710417405018319e-07,1.1530181254215677e-09,9.531057387768271e-08,1.5643941697618402e-09,1.1708161107293336e-09,1.4159931283064253e-09,5.270520131439582e-12,1.9946519311253574e-07,3.3638044016903734e-09,2.0957788643416464e-08,1.9883013369081937e-07,1.67915645832295e-07,6.3333450150970805e-09,1.809208027836462e-08,8.624745362340036e-11,2.3533339055248348e-08,6.636958849171037e-08,1.4861565311719005e-09,2.276759403230244e-08,5.88212887286943e-08,1.9133556961037357e-09,6.778554384467839e-10,3.676665735752316e-09,2.9427671410786616e-10,3.1671887334994153e-13,3.108789270456214e-08,3.5234721806887137e-09,1.8499110243652694e-08,2.622704553534305e-10,3.2674200234339423e-08,2.4987567570633473e-11,3.2645009651055545e-07,1.3047907199137398e-09,4.330132474805737e-09,1.1261690691100057e-08,1.7080559078230806e-07,5.842370387476592e-08,6.928506046666172e-09,5.816335746366974e-10,2.4434131939976567e-09,1.1744163974647392e-10,5.651355772240407e-10,2.1956727547234323e-09,2.203954574397926e-09,9.313927394616339e-07,3.6473546423110292e-06,6.141858169605996e-06,4.3174599451134554e-08,1.3560250174515787e-05,4.17752534187521e-05,8.698303490639603e-05,4.6872225850091986e-05,6.758189699207495e-05,2.195782844438554e-08,4.89862616187553e-06,1.0171026575633846e-05,8.71914920638761e-06,7.580083667274584e-06,2.4880061492843497e-06,3.563602919642861e-06,3.13860468810212e-05,4.04063080023942e-05,4.9970535698440344e-05,6.924767381732977e-07,2.852267075637016e-05,1.8023460603977526e-06,1.1668258429908818e-05,4.0420225225212825e-07,1.1089694987309606e-07,7.912457217623681e-07,3.169270031133653e-08,5.611792820714445e-07,7.476059493694009e-10,2.042430975013332e-06,1.4009839288675607e-06,7.971566603259816e-06,6.753396666336897e-07,4.959199568776995e-07,4.936214679229778e-07,7.420669256852364e-08,1.1738538449712621e-05,4.4690394102042674e-07,3.7255222601340066e-08,1.1502619752384868e-06,8.025087909480089e-08,4.152849460148378e-07,1.5541357916148968e-06,6.740736280264059e-08,1.686529499389522e-08,3.7992659929209083e-07,9.070781625819535e-07,2.633519691208619e-07,2.208637051026585e-08,2.9096136677786433e-07,1.0039599156463908e-06,1.3061500925282132e-07,8.604583023874568e-07,2.1860167648268813e-08,3.341379950505541e-11,9.197110656389285e-09,4.738326314646102e-08,2.184209452193997e-08,1.9467395029337808e-07,4.5004711524132546e-07,3.688366190246484e-08,3.854597085961586e-09,3.008766302770027e-08,2.00175703790606e-07,5.939669711629847e-08,4.827982902355643e-09,9.287399937996099e-08,1.9498507630721917e-07,2.275005739349467e-09,1.963785661862616e-09,1.492439449801708e-09,2.589478909076348e-10,2.3865215359464287e-12,7.75452804746557e-09,9.819007829037218e-09,3.1127584954049325e-09,5.4980962005402034e-09,2.9123174094536353e-08,9.285278657067408e-10,2.8358961845498243e-09,6.5043279651177954e-09,3.994360397996388e-12,2.7066182628487923e-09,2.5525987989993837e-09,1.575152230870458e-09,4.916693607803779e-09,6.199988300537029e-09,1.490368384260421e-10,1.9040461984864976e-09,3.0601171596700283e-10,5.81534820298657e-13,1.619381295725475e-10,1.3386544650551002e-10,7.563625281648001e-10,8.585169464225828e-09,7.596807849452603e-09,6.363923610308575e-09,5.586553442071818e-11,1.1374474695458048e-09,6.687708165031836e-09,1.8270873702874724e-09,1.23274571106613e-10,1.2202641674896597e-11,6.82413847652441e-11,9.19458953418939e-12,5.03000419094235e-12,2.0134638401003713e-10,2.511185703824026e-09,3.059143027783762e-08,3.6122216329204093e-12,4.2016283785528685e-09,1.5433165856393316e-10,2.631228568361621e-12,9.894243202523967e-10,1.1049186010581025e-09,3.9286554565087783e-10,3.552557970021297e-10,6.094180715621178e-12,6.763033189027823e-11,1.6679213565851114e-11,4.41712191823207e-09,1.7813328589966204e-09,1.5793395480301342e-09,1.6362955435056392e-09,2.3501645074475164e-11,9.399406031285196e-09,3.281809268784741e-10,8.116739946828488e-09,4.206549553131822e-09,4.96676405559171e-09,8.385645955399923e-09,3.553247807097648e-09,1.0085857149455535e-09,5.368483102508037e-09,7.294658627143846e-10,4.270883646739776e-10,1.672755427506445e-07,2.4671631404515892e-09,1.5673826903039867e-07,1.1323826321074648e-09,1.1630349949776075e-07,1.2123079429215977e-08,6.280782582912536e-08,9.591301364242355e-11,7.80928932631042e-10,2.832263173990768e-10,6.640124561307914e-10,1.703197666236278e-09,3.445958240977376e-10,7.396860901565105e-11,4.389601793164388e-09,3.290206107564586e-09,3.977284279699234e-09,3.339536203128546e-09,6.238306315964337e-09,1.4191721131595614e-09,1.2290835016415258e-11,1.8231718912353756e-10,1.2759593381872492e-10,3.363476164253143e-11,1.3180059821316092e-10,1.8930801370942163e-11,4.856213209336602e-10,2.6360136295977554e-10
2N1S,N1,0.0,0.0,0.014498206497694621,0.024054470844532272,0.002463044286964866,0.2622750948446346,0.02881610663097467,0.036118951324192405,0.00944196324894886,7.68920429550235e-08,0.002638033230666803,0.0010942922064141047,0.0009582840280268901,0.00020277968585480366,0.10088364220718127,0.15498597926106994,0.10164357844853544,0.1551443087225679,0.0032247016832729347,0.004890745661170204,0.039573874144111176,0.004208415996732828,0.04999892534222239,0.04001934339116575,0.11140610552879426,0.0039278887353146885,0.1301704994337891,0.0016043988554519384,2.635194461286794e-05,0.04026867842412307,0.012629467709202258,1.2699695271178868e-05,0.005459293476538729,5.8570685609549145e-05,0.0002630832096433,0.003542528329156358,0.000469570148782239,0.0010927708594650198,0.008086374950446285,0.00012264739182965556,1.1772612539484584e-05,0.00029158085569314096,0.0019134020901634408,0.0002787025896981987,1.1577570790954894e-07,0.001372103834131,0.000905982034157482,0.0002917170970901939,0.0010548793195441775,0.00017843638533943107,0.0022088850627204337,0.0003131224544765665,9.935336818944762e-05,0.0013068373539044664,0.0009396490424080639,0.0002039999977037077,0.0033212444199599567,0.0008561002965907782,5.069334963847538e-05,0.00014248480603074043,0.0004169097900468266,3.6522824320872616e-05,6.168665152350705e-05,2.916133552566258e-05,3.538494879573584e-05,1.5963028971999194e-06,7.69878040873806e-07,9.65823361731566e-07,0.00010067830939952671,0.00015723155695157587,0.00011134125246270443,7.396326193154223e-05,3.2831491130203005e-05,0.00034209364264992104,0.00012248754132970774,5.125544166872942e-08,1.08512796686e-05,0.00014154683573330828,5.057287277843159e-07,2.9819606331304982e-05,8.439460126297149e-07,9.153112801030261e-08,5.4899828021426345e-06,8.741789097665986e-05,4.379382631647388e-06,4.890437951798887e-05,0.0003237567060923041,2.9069018401273183e-06,6.015385345392588e-08,2.804002732670341e-06,4.5025212722205055e-05,9.430485656825027e-07,1.0405404275548591e-05,9.647705739435075e-05,3.619722605585629e-05,3.394602294104487e-05,4.6439811129950215e-07,2.4195152749761917e-05,1.3282076251286412e-05,2.1697208462345685e-05,1.7842826327552075e-08,2.0309325780676346e-05,2.7596195550927405e-08,2.5038828664669666e-05,1.096555676038946e-06,3.6233517237693746e-06,3.8628905001392155e-06,2.7533124776768503e-05,6.857836742923951e-09,1.1217117058093251e-05,1.2850604077296879e-05,1.150624425516611e-06,1.6941818965499067e-06,4.218828808655317e-05,6.961650428927157e-05,2.8540464921622544e-05,2.9528751230856187e-05,1.4795780377774292e-05,1.0663135319610717e-05,7.599521186119063e-06,6.045005136456894e-07,1.0355610550183414e-05,8.08056020362713e-06,1.07958256634344e-05,2.516415126740945e-05,1.0584697198723347e-06,1.7074701652575186e-09,8.238555899708899e-07,6.838534850395206e-06,1.065801213639972e-05,8.867288441294363e-07,5.06928126142725e-08,1.0687680513932207e-06,1.099001475646233e-05,1.1809833821985194e-07,1.8072542101510436e-05,8.551221419850208e-08,6.642777618415252e-06,2.0004203011847466e-06,3.3836024266875597e-06,9.962342400360313e-06,1.2746748496716975e-05,3.4427962836147685e-07,8.716792808449725e-06,1.472777473310316e-07,2.5483077727983527e-06,1.8484324834755483e-05,1.8946728541635594e-07,2.396741540788838e-06,1.7950826469714798e-07,7.58074758522298e-08,2.369679985569917e-08,2.1237152703079687e-08,1.256998058396519e-05,1.0051777188380129e-09,1.672615038694758e-06,7.296182769067627e-06,5.666389394143323e-06,7.913358546218774e-08,1.0418529341471583e-06,2.0994479044134096e-08,2.0193579963745378e-07,4.203270207892018e-06,1.2523685199994361e-08,3.7881992698274303e-07,1.0914575256926184e-06,1.2832842433141423e-07,1.580022257474667e-07,4.5090288569582526e-07,2.132645393615462e-09,4.1103828340993687e-08,2.416836348606566e-06,1.3594659797888653e-07,4.231885464278662e-07,2.0939694422850152e-10,4.259416535035143e-07,6.523440010397508e-09,1.4370849797273877e-05,4.0567155989990056e-07,1.1348065598326684e-07,4.723717057508736e-07,9.114296007695089e-06,1.7084021251001502e-06,7.584178196573532e-07,1.9999710332285758e-08,1.5229002281458293e-07,2.7852210537915312e-08,6.473340086188273e-09,2.9603942675038297e-07,2.5309696560782413e-09,3.9205125603292146e-05,7.613939690287452e-06,0.00034103366272075775,1.3564207067329193e-05,0.0012856102897544908,0.0001418356175868496,0.0001366833031748449,0.0015809105697366377,6.061805349144578e-05,7.058443858776187e-05,8.014871404116164e-06,5.400304489810992e-06,1.7181865135995622e-05,3.4415644197371975e-05,1.3084173151378664e-05,1.8750509008569338e-05,0.001317796325226439,0.0009342848987174968,0.001930013925884655,8.874032405303822e-05,0.0019366572141210625,0.0007230746501578622,0.0022031716311339267,1.9934257059261995e-05,3.071325068204622e-05,3.7059998410082784e-06,2.3783898563944916e-06,0.00019240835566347592,1.1339400378673758e-06,2.957273150805406e-06,5.942506406908521e-05,0.0003605991992223778,1.0557963975088569e-05,1.8090488013378092e-05,0.00010870620034708622,0.00021462034660935103,0.00011268210841119952,8.814212344798733e-05,3.7413833982036238e-06,2.413632019848677e-05,2.2986275526992728e-05,8.484862717761388e-06,7.324531015617808e-05,4.4498499361722565e-05,1.8777916255263705e-06,7.256538969713233e-06,7.933503060986169e-05,2.7948697453261673e-05,1.9578960674948576e-10,8.315492872057462e-08,5.062251950960217e-09,2.5020128875397063e-06,9.554004133605076e-06,4.423285269172794e-07,2.9808869324021714e-06,4.204952163355813e-06,3.264427987259566e-06,1.1683250593197414e-05,8.359171199678883e-06,2.2132832073751274e-06,3.663307961421225e-07,1.3317490057396242e-06,5.218909718163189e-06,1.9275192667311813e-05,2.3344360449151225e-06,2.227473925309198e-07,5.736677866963191e-06,7.0907120690577585e-06,2.7555986159555346e-07,2.6229526262078195e-07,1.0166634778485673e-07,1.4722928654009593e-08,1.0258521365713591e-08,1.555892708893225e-06,2.9486547887813686e-06,6.272206296564775e-07,7.462757345422233e-08,2.1254227093869815e-06,2.07040016242388e-08,3.386722569054257e-07,6.620134613832818e-07,2.587802594433697e-08,3.2377564940233583e-07,6.825032983215351e-09,5.1824791125199e-08,5.845443551422136e-07,1.1258542365055746e-07,8.321713806935804e-08,2.7256165657796316e-07,2.8462174839205545e-09,8.128467454682209e-09,8.712672605604155e-08,1.2197731713570192e-10,1.5421594223852253e-08,6.670224270699521e-07,7.346994994605893e-07,4.3177766784197047e-07,2.881028748902281e-10,1.4436968109876602e-07,5.645023177791586e-07,1.5231378336366674e-07,2.1777551983959142e-08,6.109173167345716e-10,1.8913040245038815e-08,7.993605777301127e-14,4.177846291142373e-09,2.3124095971382985e-09,1.120915067431838e-07,2.586005551918902e-06,3.26669269412605e-09,8.248020271217626e-07,1.522588055635765e-08,3.5211468762952336e-07,8.487841984816669e-09,3.801069503595045e-07,1.308482138195899e-07,3.977384599451739e-08,1.7468690050037594e-08,1.2114786063222027e-08,1.5640821970919205e-12,5.519848422785856e-08,4.405624247638684e-07,8.977852403724285e-07,3.4353103783857364e-07,2.454175067612141e-07,6.826969602968802e-07,3.391530078999949e-08,5.622013583561625e-07,2.461316479518416e-07,5.2737332056906894e-08,2.3398780064631808e-06,7.690639292068369e-07,3.694057126857331e-08,1.6343918676220426e-06,7.155530257207943e-08,4.306968217626661e-07,1.0379960736717209e-05,7.970573836502126e-07,8.733483026546196e-06,5.989648896864708e-07,6.6637619542397886e-06,1.5951267515745826e-06,4.6372288342588774e-06,5.461684660090782e-09,1.0291278051965946e-08,1.2235657109727072e-07,5.7803880793017015e-08,3.1380541054559785e-08,1.2092999268631388e-08,2.3293359907583522e-07,9.464016237359374e-10,3.2154026419206616e-07,9.5867213723011e-07,3.045182150884784e-08,1.3817379240776972e-08,3.037615492473833e-09,4.0303151749299104e-07,6.688050779857235e-09,1.694462592460866e-08,7.415128244758762e-08,6.57129684000779e-10,8.407516904895829e-10,1.314113884376411e-08,3.2104816138911474e-07
3N1P+1,N1,0.0,0.0,0.0,0.02211921444477749,0.0008367168920182522,0.019034089074683624,0.26142481263384276,0.025937915902836117,0.0005992939334680258,0.0011300093758108698,0.0233029157182556,0.0035789137865707144,0.019198130427072968,0.013288802053588844,0.14831664326216565,0.06197972437190247,0.17324147991656025,0.11602683738803732,0.00645602565386727,0.03783926918263436,0.08619297889576227,0.007770031025963409,0.12951174238484686,0.011457234933300864,0.0032440444222574527,0.010960398307978902,0.06156660499304678,0.013713289499685422,0.0013025334024308055,0.0014485010839446755,0.0170737936242793,0.015301821820353112,0.006243278821568055,0.0005481937219169453,1.79365910997209e-05,0.0028436982947810385,1.6094497873098135e-05,0.00013291020965899847,0.0003914670362763495,0.0009001338051835006,0.0008653140735561671,3.7383390604883715e-05,0.00027055019064858854,0.001441529805283892,0.0003732141118477639,9.271082357464877e-05,0.0001662517137959174,0.00011404122809488548,8.30614673796859e-06,0.0012481247355244918,2.7639900648246396e-06,0.0007949509699245461,1.3102894740768534e-05,0.0001730689197154689,9.577791794779245e-06,0.00020386788086179664,0.0004634465782320518,2.6646244468686575e-05,3.524621017847451e-05,5.448912208905199e-05,2.436808404393531e-06,3.241837426282146e-06,5.270677424062953e-06,4.8040631134060874e-05,7.1282910252268294e-06,2.8500847653045724e-06,4.804846606587532e-06,8.682167208862168e-05,1.4470102733810108e-06,0.0001469967990939125,0.0001658977588325783,3.3894540387713334e-05,5.22052744513779e-05,6.404344754251667e-05,4.728435089473848e-05,9.091805957428534e-06,1.559746852008992e-05,8.78323831887684e-07,1.4697128653873293e-05,3.2308405728542766e-08,6.107090033991014e-05,6.557792018480058e-05,4.901901373699502e-07,6.616816430327077e-06,1.1338338539168547e-06,1.6985378822553798e-05,4.3508830553484756e-05,1.622952432445146e-06,3.5600429058035843e-06,4.0219852718959004e-05,1.9524680583415943e-07,1.4715404477172456e-06,4.613007265064084e-08,4.1276411111290656e-07,3.411594055258149e-06,2.3643710704401855e-05,9.229445208092102e-09,2.5656542277374683e-06,1.6795171631223127e-06,1.1522495912519304e-05,3.902644924336229e-05,1.4410810766918303e-08,5.942406637871045e-07,3.085014375514561e-06,5.13630017628941e-07,7.074612584645479e-08,2.7132585522782193e-06,1.8215329298243432e-06,6.7179784724036296e-06,1.2116236320025564e-05,2.4693898033056882e-06,2.0600445793661493e-09,1.5919697404775945e-07,1.3428925189629126e-06,4.884855400622001e-06,3.8214064626451716e-05,1.2524167836147626e-07,1.4147226967686777e-06,1.5704186013820731e-06,1.942587229875059e-05,2.7279783765266075e-07,3.3821561868929706e-06,4.041927449183191e-06,1.3232773321547597e-08,4.400204460575097e-06,7.808935569286746e-07,2.81438643501275e-08,1.2657923598169418e-06,1.62510184686937e-06,2.5209181668817138e-05,4.5731384146208143e-07,6.364206672770933e-08,3.7617081538598995e-06,9.53444168994011e-06,4.723122063232665e-06,4.179741576848528e-06,2.7919905720708016e-08,2.986922793546398e-07,4.1470073353089276e-07,1.0632529414689174e-06,2.604237905323714e-06,8.131723236992627e-07,6.543379660328696e-08,1.2052651738869713e-06,5.18344211997146e-09,9.214892742193115e-07,2.80149261033813e-06,2.9570070392281878e-08,1.4803331005452947e-08,1.830663531876553e-08,5.7563324773468594e-08,1.4891585964349474e-08,7.047500576451426e-07,9.664186801927599e-07,6.61580340066692e-07,3.4541645930197262e-06,2.5201667686047813e-07,1.8407601487524516e-07,1.9125474093328876e-08,8.825592336947352e-07,6.210529868155845e-10,5.665781417363291e-07,3.2641718736847736e-06,3.077494259429159e-08,3.6918112567008166e-08,1.8087348085948918e-06,2.0799232114399047e-08,3.9455857847592313e-07,6.00591933297423e-07,1.124515680572813e-08,1.526988511191263e-07,3.2268158363102373e-06,3.582227403597926e-08,1.3557072664482916e-07,2.950881761165647e-09,7.914283317589366e-08,6.735001369939653e-07,1.5376437677794286e-05,1.1055379638413854e-06,8.597978773394743e-09,9.329676213809535e-07,1.1306548722611609e-05,5.153023900916764e-07,3.449604073502144e-07,6.070950164804856e-08,2.4389607222730092e-08,5.3156486101713085e-08,1.877368793756773e-08,1.6840095362624652e-07,2.043675046969895e-07,0.00024899823237722885,0.004527386429962199,0.0015948682219937282,0.007462320996653116,0.001225650418712032,0.00015148994213465272,0.002663178168039071,0.0005604739036271233,0.0038535504741026294,0.002153496980235703,0.00034883996252310645,0.0020927847946934364,0.00391877687401232,0.0008120952651053948,4.2197901928275883e-07,1.6946301100162486e-06,0.0019771341960503896,0.00021397512641430083,0.0017569863206881031,2.7639543140889344e-05,0.0010764815553754303,3.693256680348256e-05,0.0012625279229605546,0.0002498537538229151,6.650867372171021e-06,5.686907157675947e-05,0.00017374613563547747,6.297202832628024e-05,3.6554204726924056e-05,0.0014826353627950262,0.002702463349719242,0.0010056202629491473,0.001159557530019839,9.422175131046373e-05,3.700829431796393e-06,1.2811329297424123e-05,0.002292432285164736,6.0415563154725405e-05,0.001236289993525208,0.0005413255213451151,8.058420836620783e-06,0.0004204704734518394,0.00048291641516584605,0.00018763415917266713,6.375603210706515e-06,0.0002232039839689115,0.0002912013796469992,0.0004768052269747969,0.00012642844557086974,2.778894987276459e-05,8.245568228204547e-09,3.2571401162861946e-06,7.189806345575533e-05,4.0649367309963935e-05,0.0001720125509261372,2.47313789247805e-05,0.00011273136281420015,4.3469434459320055e-05,0.00011960488376328016,2.522842314967022e-05,2.9407795485436594e-06,9.135689059203145e-05,5.0484982535792255e-05,0.00013370314182958865,2.3712135784670352e-05,1.0356745863582262e-05,9.032869074943051e-08,3.5896797454526563e-06,1.7621308389781376e-05,9.213249159145676e-07,2.3601610039003518e-05,2.829296353645816e-06,4.6939693512992875e-05,2.906541927583106e-05,4.7747088684158e-05,4.566947214401651e-05,3.0471108007024128e-05,3.773458070455149e-07,9.791579502760328e-08,1.6432172778024778e-07,2.3894033196469877e-07,4.504721025089253e-06,3.2098932534196933e-06,5.502601545970265e-06,1.5094072658428104e-09,3.769218994698065e-07,8.408578988650106e-08,9.882302487440597e-07,9.65043752465533e-07,2.6650622582113925e-06,1.6418350945457405e-07,3.517002192143792e-06,1.789548798036833e-08,4.422593624653359e-07,2.0541094167825236e-06,4.365209620882382e-06,4.645405651260148e-06,1.9595134403971315e-09,3.499224945358037e-07,1.2065370209590753e-06,9.054854910317545e-07,4.2934777955139225e-09,3.845383389489143e-08,3.912010715367842e-07,4.413345613407671e-07,2.614908771736424e-07,3.5244109852783367e-09,4.7334993702463635e-08,7.036715210517741e-09,1.9838281306583383e-06,8.44071656969092e-06,2.5005508774711416e-09,1.1773716224183772e-08,3.0224956626412336e-07,1.8004577855279535e-06,1.0991556531614322e-07,4.076659965157603e-07,2.837603704675118e-06,3.78732361916434e-07,1.9883238122631042e-07,3.1674639044965147e-07,9.470190595717298e-06,1.4715379847984877e-07,1.0165885449442413e-05,2.0708024042193074e-06,3.704520397107558e-07,8.396520074782643e-06,7.744125412934011e-06,6.55174838692929e-06,6.988639481786407e-06,1.6412412288779876e-05,7.004177860814309e-06,1.6400792899773364e-05,9.409445884900336e-06,5.594004903741734e-08,8.561582811594803e-07,1.451175694366924e-05,6.59967307781173e-06,7.23630758869831e-07,3.135027584200145e-07,4.826456363460352e-07,5.693876325985059e-07,8.451006294762919e-07,1.6695673212829831e-06,2.134356993366282e-07,9.844281034787628e-07,2.6518381290863147e-07,9.574043335902616e-09,2.2166731517003768e-07,6.521937319092785e-06,3.063837645811418e-07,1.1006410640668207e-06,1.1256352707267325e-05,1.7677682651040527e-06,8.63214467461404e-07,5.024484233118187e-07,7.891000457505015e-07,1.2702916274420772e-08,3.0722518551407063e-07,7.917474728724727e-06,1.852808514835047e-06,7.872316354351483e-09,2.8087453824987563e-06,5.55205415597726e-06
