 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,O30,H31,C32,O33,O34,H35
N1,0.0,1.6869351686801741,1.8879583329489116,3.037615989820728,0.10126508062075013,0.18697387963723577,0.011506711882403264,0.01473809904678769,0.03171138123440022,0.006334441823763637,0.0004489908877136628,0.005774590075530217,0.00016459925349798787,0.0011701953223926254,7.739669338957533e-05,0.0011462702917810763,7.62106400048479e-05,0.0014459833943852307,0.0004144053758551869,1.063493591912934e-05,0.1907132270218094,0.03732151413994381,0.07158820075143536,0.11124503291522647,0.008521029388465884,0.0006389085481460777,0.001631603908180193,6.500535658560125e-05,0.0003168870527217038,0.0004874000066859563,0.0007192855496312989,0.0014846432959526867,0.0009690519517471796,0.00023786095009140779,1.2067417867300811e-05
H2,0.0,0.0,0.028667915476116468,0.10321144626999856,0.0027763407768754966,0.023367638971268034,0.010375514769561889,0.0009600991596216968,0.002129803332667435,0.00043259470311607373,2.534332608461476e-05,0.0008828830246979669,1.85318446475069e-05,5.775857662515538e-05,4.462041244490678e-06,0.00018078329517257075,3.198275803750761e-05,0.0001992576706533189,5.708371910784216e-05,1.080726347524319e-06,0.03028924750515971,0.0056174520536944605,0.004610133624817769,0.0007902016596847972,0.00039835086860617874,2.444651028365996e-05,0.00021290408748897427,2.9783253800985676e-06,4.597828887953348e-05,0.0001413077713843247,0.00028800273768836426,9.212627736421286e-05,2.6054600327451993e-05,1.547533558277081e-05,3.553992811378137e-06
H3,0.0,0.0,0.0,0.10156201749812199,0.007721348314884358,0.030980417138203098,0.0004680911238110763,0.0013555068722712615,0.004440249016359754,0.000980800340099286,4.2275495447219313e-05,0.0007424200025585304,4.8348830086641925e-05,0.0001872174107068192,3.353784891624301e-05,0.00012905320285849786,2.0916049510599777e-05,0.00022363044973927604,5.660197699641767e-05,3.7121051399413574e-06,0.005757084594675499,0.0008104672550048875,0.002692777175046568,0.0013646130436490989,0.00020410211051336002,1.8803953640622595e-05,0.00014391964975057903,2.6279415714647314e-06,2.0738948097065446e-05,2.6690055417111225e-05,3.3159426731987907e-05,9.005133607908888e-06,1.425826954848386e-05,1.4919306894345397e-06,5.344279474517322e-07
C4,0.0,0.0,0.0,0.0,1.6574595297309733,2.689702655320454,0.08979990047085051,0.0838135820908863,0.1618461609604313,0.03549542446222684,0.0006399562972592143,0.03489599368693985,0.0005688223921269664,0.004537425546459695,0.00012655558655128019,0.004647319682961504,0.00013941821302609902,0.012006154154668408,0.003089886347129811,1.888221233625753e-05,2.52737353586941,0.2740953709946992,0.22702005802368716,0.019580436314752925,0.037288037921823836,0.0019829122657084586,0.0026579853490842076,0.00029510461452852965,0.0005841146493799076,0.003184868909727981,0.009001643317784747,0.00455755545362696,0.00040651543462429107,0.001309726180647272,0.0002771751201413597
H5,0.0,0.0,0.0,0.0,0.0,0.08185139521612284,0.006345715990569989,0.034614942869946486,0.006629425493699825,0.002947075777721464,0.0005736982284092473,0.00047470794727422216,0.00019591775931426803,0.00025093481581683896,1.3074894519515823e-05,0.0003909848346843603,3.878591164241385e-06,0.00030198923738988803,7.871416171789658e-05,1.286339168293793e-06,0.11004834669130958,0.01836889292091659,0.02343443894084385,0.0060497109828396844,0.003024589900071817,0.00017498415997430072,0.00034141835708356716,5.147263078741915e-05,1.0924006372370343e-05,0.00026225011270186727,0.0003974606851233631,0.0009686778564292897,5.551483256072132e-05,0.00024260957854072007,8.012138121005208e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8600709569885296,1.6746666062228297,2.8052403967505484,0.24603416101503656,0.014495163884149065,0.2398064988588065,0.014042005376600164,0.037352177928981406,0.002408905806222661,0.035658667266279725,0.002438840803438147,0.02123610496812614,0.005425131851054907,0.0002768814494716887,0.17884784309780907,0.04007834179243977,0.029834064029361923,0.0010063930703579915,0.0030146518624930285,0.0007587334871828055,0.0011465758992851016,0.00011140795093012024,8.960922510969915e-05,0.0005974627700356117,0.0009251134506756964,0.0002977065194779416,3.22855256763982e-05,9.806115385953273e-05,1.461514887146631e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02352430405593786,0.09708042315693888,0.017534892442579775,0.005874802531725454,0.02608485099853941,0.0006636657550020963,0.0017652041892481929,5.363549613068841e-05,0.0027809956079614118,0.0006122054011901135,0.002690158711636359,0.0006490458662613552,1.441264831925082e-05,0.028162775222990044,0.00396473433407607,0.005129885278605473,9.489774548754326e-05,0.0006872857005821853,0.00020446910424998244,0.00025705916359108905,4.120952723285498e-06,2.8466873676080695e-05,0.00016621890056567334,0.00041132660992904135,6.34878905971803e-05,3.696662816299323e-06,1.9906395242852426e-05,1.947277808778125e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09454897091904368,0.02644902759930101,0.0006261514250416322,0.01681971935383153,0.005265161735548585,0.0028487277314388493,0.00059593205939934,0.001684884629613581,5.5917608321021106e-05,0.0027506357088140643,0.0006725279717374466,6.484013851171255e-05,0.008587461105867167,0.0009967676668100056,0.005133457820420961,0.0011975433839213068,0.0004477004513159244,0.00021485854452008013,0.00014582803227192187,9.993534548069505e-05,2.015769405616652e-06,4.442597420473149e-05,9.791547976645276e-06,6.992040329634186e-05,1.9903509788088414e-05,2.3188738764723382e-05,4.741977108313478e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7583523124455045,0.12413878993024796,3.745031008752504,0.12435651090887179,0.32875850768959564,0.025573318503070652,0.32998432351809914,0.026471074324265098,0.26618222682857384,0.05487898715715113,0.0013854694863522088,0.021065413714383058,0.014216375508599194,0.0037269159883847047,0.0001512380711181649,0.00042707078921397357,8.765176240510542e-05,0.00046187975116906976,0.0003523492189947408,1.828624411426283e-05,0.000873348788659703,0.0006412578974418492,3.5223515452098564e-05,1.0870951291000464e-05,9.124041764757562e-06,1.5263902645168415e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100781455882004,0.3309922057080097,0.028478142017797525,3.817157191517281,0.1287955320074501,0.3049035968944165,0.003987134658406388,0.3431433569821293,0.04441685640324798,0.002793527375613447,0.0035918872639873756,0.0020094686917827564,0.0009380416046218532,4.2434444804562155e-05,0.00011289317172355484,3.293795777514763e-05,0.00015160481961026817,0.00011234632811762957,1.2871482557574865e-05,0.00014822586466849141,0.00025437982435994044,1.3776360077849548e-05,3.887857940254591e-06,3.0967575623680466e-06,7.584577282893079e-07
