,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30O,31H,32C,33O,34O,35H
1N,0.0,1.018369579534396,1.018657040931319,1.4682754692215843,2.167592820675261,2.452976832656278,2.66482977343911,2.600848744738975,3.8374993810466753,4.702483476531784,4.600241248187356,4.659541963608845,4.5175998046505,6.011749255935329,6.781662761890406,5.972362246824193,6.7192030199125306,6.55420262727041,7.896267839236372,8.295861470752055,2.4639114157653554,3.579810147452432,2.702333212485931,2.2345790444864204,4.1105952276622775,4.528074432422157,5.160703138072336,5.0403699429522595,6.1017102932325535,5.595871463927981,4.939062656299892,4.605771037042075,4.238201553612672,5.9179913338625045,6.345663948002017
2H,0.0,0.0,1.6359433864561572,2.0571073367484147,2.5777456766727087,2.534348987965375,2.319082427292482,2.6897205277639813,4.0059353687395,4.730548290788365,4.458042953207968,5.001749149929725,4.957150393188258,6.107457045362677,6.803929044358033,6.317434913954444,7.139222426824183,6.791253730668067,8.153941978987545,8.48996395388148,3.3430622469331084,4.408860743177484,3.6339482263636014,3.0893574649889,5.059818937561497,5.531785034504531,6.021391257994707,5.7799861359941485,6.979158818353898,6.446296599464275,5.7786292864983615,5.49140132426569,5.001614707534399,6.823544430498498,7.195094664263602
3H,0.0,0.0,0.0,2.061566396533346,2.3859164728459916,3.3392147315357352,3.5022031697140736,3.5972474071542972,4.6184311879952835,5.358869663773068,5.171677173860981,5.446986180937773,5.330132004248496,6.635677881697438,7.339225337145474,6.7007279057979545,7.440844859251438,7.22212351198762,8.534828866911019,8.89351387290101,2.8162903564009207,3.8058701946599323,3.055572450306579,2.640749588604235,4.321223391685912,4.532797517613408,5.563877923748308,5.616098883121832,6.440578305917303,5.980077108784689,5.301694169328531,4.73341542288074,4.379901032546022,5.971916099101171,6.3708119317971486
4C,0.0,0.0,0.0,0.0,1.1000373679165654,1.557115351230807,2.1490212377283147,2.15490058645652,2.5953013624308405,3.435985855148822,3.498550483117573,3.4375076173445915,3.497010034642704,4.664882572547669,5.465042334330599,4.660115051803106,5.454555664968729,5.170985193883099,6.492684248384696,6.8862427580766905,1.533683763118396,2.4161802021615126,2.4355273405238402,2.523794343044169,3.824763740986121,4.152149452433286,4.585681138470568,4.522746290430889,5.630242142717265,4.684679743308449,3.8970487957915174,4.768810004729196,4.749035749633693,6.01056885886013,6.6265057517489785
5H,0.0,0.0,0.0,0.0,0.0,2.169865420541398,2.474577265557859,3.0558531006781067,2.828480102070019,3.2282600103064913,3.0872922612843774,3.837717059894951,4.148867529335241,4.402810505683528,5.042369016820553,4.8643966514408845,5.74113096898127,5.101395963724847,6.370853589424306,6.630381260216077,2.112498605965466,2.524840734116845,3.2730376848811815,3.4886980169736557,4.541294444334925,4.642123527983581,5.299745415468646,5.3705027694399226,6.340017604278091,5.166051082831075,4.268708577784986,5.5876366314768635,5.654462983276696,6.7593747826454535,7.420288994667186
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0991844544097724,1.0972196602219864,1.5120644892376536,2.535831986892039,2.7422476890922165,2.5387828191738206,2.7441491596102536,3.8246014714509484,4.693127481186743,3.8247769318211984,4.6961260839438435,4.331124277426249,5.698031145474188,6.1112880183509235,2.5327763891162007,3.227898949022537,3.251974837992726,3.2866049028654407,4.574503643438924,5.123203635503695,4.913855125978191,4.537837963212514,5.991473242534865,4.9638011695630855,4.260595878916046,5.52138793427026,5.454479022288759,6.771394937328765,7.37665362078031
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7626555600954348,2.1470995499076055,2.677184213986372,2.479936780647802,3.3859929298808593,3.7195179381379377,4.052772384539445,4.748221703789621,4.555537280161263,5.5042139965936805,4.823398851773996,6.175921203568747,6.458428138510709,3.4601233048061877,4.159639148251127,4.181036862152488,4.051571570481111,5.567678779645534,6.096968662948099,5.993009061438704,5.587341171450598,7.063366015799808,6.058422845938784,5.332803717546859,6.412192397742344,6.206115220403952,7.703564504621885,8.250621355074548
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158111044308737,3.385468220201965,3.711495050713119,2.702047398464065,2.511786546978316,4.559302400200077,5.5005174502970515,4.072795749922685,4.780214936266357,4.835943452441265,6.171298741383212,6.696732125013967,2.801267275770961,3.677691106892193,3.053280480322253,2.904451649859017,4.307378590548425,5.057016157273015,4.568056931920662,3.9966486088863142,5.588737277928041,4.875297202005662,4.350703769808228,5.054612805539754,4.8747242995335425,6.316966297712953,6.842728868721018
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3990362914840733,2.1565474655040315,1.4032986072907285,2.158968698929159,2.4364040067821646,3.4195507521883823,2.439475366316842,3.423864974199845,2.8195231273024173,4.18666128572331,4.618520319768308,3.0327178733281057,3.1755305765293373,3.9423358953354937,4.2951384612460535,5.00131263896697,5.453453291999444,4.942597938340479,4.596955088664428,6.017888962479811,4.612524823199543,3.8917896630562487,6.1913823744097956,6.3700009998209435,7.303813068788487,8.02578788014607
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884928287105635,2.399492324945341,3.3896904110069284,1.395460970138224,2.158189181496356,2.786208693706787,3.8711734334588375,2.4178984018947376,3.6880869884203524,3.8377626268056906,4.045388847965193,3.9427345310019173,5.145745680380866,5.5250644813223495,6.200452803073407,6.50488955699728,6.151691789430089,5.899578287363051,7.21768523873619,5.61565307932079,4.821448808715033,7.460332821132429,7.6649412022408185,8.551690775575553,9.30629387238483
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3917820815233237,4.298264655998094,2.1454661143628906,2.468641066212246,3.874629063838486,4.959547715951905,3.397984877840574,4.568887327651346,4.546045321311877,4.430700350716645,4.446995437957352,5.579587059509674,5.839282795364335,6.765132763324779,7.032296644079391,6.920591269936921,6.693697664121989,8.006373618521955,6.463278436727098,5.613596036363897,7.957048408794012,8.054099621766502,9.11313379718097,9.82851478970335
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872322374611885,2.7798945054966215,3.8690289062759287,1.3904082474866781,2.1589206972747554,2.411839893514304,3.641609911009928,4.326008182208872,3.264188257170208,3.19713531700155,3.914099163716497,4.436453314428107,4.625637321960933,5.1330732023564165,4.149449417747837,3.73861707743461,5.151411732739137,3.7020363981117184,3.175432602413695,5.867055245550493,6.221725273552437,6.824649118096452,7.591798210687245
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8670434183212885,4.956182761825251,2.1368175980709267,2.469702565744204,3.390048397628572,4.501957914773825,5.273590904636281,3.0607610276828026,3.194417975524725,3.3328326798959353,3.8258106438299606,3.897001172943401,4.561484526486559,3.304010444831609,2.7336849067226705,4.276120083821871,3.1310604852531183,2.8110971183287314,5.023287064112073,5.37823908991845,5.952342822586089,6.682120522524587
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089160477708058,2.419345091764864,3.399735522778178,1.3986124414294283,2.4287289417983353,2.4533018518042846,4.985854969343869,4.594445889031136,6.0836066859057025,6.600618225994177,6.9370178202732715,7.166388024436729,6.637806296313009,6.430039720483627,7.637076873097135,5.860778778347425,5.135705032875295,8.2956443776213,8.643431850537723,9.269248987498951,10.085611502816874
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.407907810439999,4.3004667271732115,2.160627907571805,2.692545173610228,2.2977037941178713,5.886830698091727,5.4427212194271055,7.052444721642742,7.559150373960311,7.927211839392474,8.088252951870672,7.669991427592116,7.503465717658723,8.662629614863485,6.833822402878196,6.084280597833925,9.302404982008593,9.645499550824322,10.275801509290794,11.101556989792085
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085143003954137,1.3994908791365874,2.3666938740345973,3.175949435200241,4.362580699429331,3.9582019238968766,5.068107283510551,5.706373372922682,5.553752803417432,5.928631493480117,4.8169813263756645,4.5066352215434335,5.699583580993721,4.038891671672763,3.611526161198015,6.878090600917011,7.376113489510849,7.682909276381115,8.507954301446759
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151417789971454,2.579554264055075,3.526476262638904,4.920702286092742,4.451550749819483,5.435178476653282,6.127867363003949,5.658762166616851,6.036989214482543,4.65359849399569,4.343860479995406,5.384526459151349,3.808269804638647,3.6305111389780054,6.943850235246924,7.544083945445624,7.593900102898941,8.425974343266448
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.368046797236732,1.9165429007194468,5.11786432638533,4.5992410928808045,6.051050856861543,6.678520944060249,6.656096096256536,6.909733414275879,6.058967172271204,5.8379248083763535,6.962732101111219,5.1667218201167,4.6085596934684325,8.039466270830507,8.517349384058761,8.87914222771757,9.725594251888516
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701558662303351,6.324801176517344,5.6656190268027435,7.2294349547327315,7.919862600971233,7.677097902489661,7.859990715560852,6.918071358186511,6.749206274379879,7.713232288120262,5.881101822452553,5.4383281440008115,9.086175189968703,9.656616687775907,9.810042798785679,10.686089690702104
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.855839626086471,6.178386912004027,7.863598852939262,8.534818638647215,8.39444715119069,8.525840664150058,7.737626413592185,7.60087835558164,8.563958088392717,6.682761341646739,6.162374026435986,9.826122376872885,10.37030275456461,10.58756078489765,11.469904480860285
