 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,H4,H4,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,H6,H6,H7,H7,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,H9,H9,H10,H10,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,H12,H12,H13,H13,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,H19,H19,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,H21,H21,H22,H22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,H25,H25,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,H27,H27,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,H29,H29,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,H31,H31,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,H34,H34,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,O36,O36,O36,O36,O36,O36,O36,O36,O36,O36,O36,O36,O36,O36,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,H38,H38
1N1S,N1,0.0,0.024986650335330873,0.0004713458352472166,0.0006912686051492312,1.7062599335870843e-05,0.0006202918505280319,0.0009490052319207631,0.0008593918470469752,0.00030806880766154343,1.1172055158076288e-05,7.021382653379926e-05,1.5375746336865337e-05,8.066689156951967e-05,2.1569679515387463e-05,0.008934139552900788,0.00140947234972022,0.001241920448628142,0.0023628781642299757,0.0006835139195848772,0.002465690932753395,0.007518329251114064,0.0004467584985616835,4.5103927592826665e-07,0.00012727909578202912,0.000485933840769448,0.000259192266112096,1.1054526093123851e-05,4.7121765626989554e-05,5.538942456206897e-05,0.0005529655607043604,0.00032728768588397017,2.515507193656674e-07,2.0447769461112708e-05,0.0001754087564631579,1.8742232990032193e-06,1.0134308905396239e-06,0.00016404833046612666,1.641709265842728e-05,6.912369970857313e-06,5.176603349976716e-06,0.00016370573750590367,5.397209935464886e-05,5.774692202170639e-06,4.771709245596223e-05,0.00010746319002241655,3.3362768308287105e-06,0.0001214237502646931,8.968421587485231e-05,2.077823626289721e-05,7.924385424074032e-06,1.573137572469241e-05,0.00011592107697699916,0.00018917004885721234,1.0297851347429443e-05,1.4567505321139151e-05,6.565222794518988e-06,3.1625562919357364e-05,8.417336405663889e-07,4.1707604602203574e-05,3.625329776768549e-06,2.9511043284080607e-07,9.963245562724654e-05,8.015389557552988e-06,1.1057191343200046e-05,2.174149151823457e-06,8.52445770305188e-06,5.0002209056376756e-05,1.9626236299252753e-05,0.0012485906171074423,0.002385938085187389,0.008614698234766127,0.001716705878108682,4.310729169021421e-05,0.0004701312275074976,0.0006183914610773389,4.3355415597412517e-05,3.080220315632154e-05,0.0007788888743087141,0.000200968580939348,1.1184341146885934e-05,2.637195317789498e-06,1.0724862815558733e-05,5.557674004341706e-05,4.5371171640828933e-05,0.0003179905169832242,4.507913375917383e-08,1.7922987273211177e-06,1.7429219111964045e-05,3.7537133423803937e-07,2.851283022531348e-05,1.075445349685289e-05,1.1047987859447161e-05,6.813413700124116e-06,0.00011803047938696576,6.928885628010306e-05,6.448932078906289e-07,8.166078620974737e-06,5.341557268723207e-08,1.362215855837956e-06,3.3339680067523414e-05,1.4611042691292653e-06,5.8425870970157945e-06,2.187626438443502e-06,5.293793014171655e-05,5.81230408247535e-07,3.948498144445978e-06,2.2713354885794956e-07,5.9808756189827506e-06,3.3681412452413184e-06,2.0171368249333188e-07,1.8775421321837182e-07,1.2854933395534118e-08,1.7860725398666233e-09,4.5616562291406204e-07,1.4163379829651435e-06,1.4521080332619007e-05,1.4827802915284849e-05,3.1364566917657655e-05,4.007563286334559e-06,5.186176310623125e-08,4.1540289363872773e-07,1.7595295833228164e-05,2.709469555384203e-07,1.5087694900384196e-07,7.235438692632101e-09,2.233199708490119e-09,2.269612776883978e-07,7.810849189660019e-11,2.1615229636839928e-05,3.73780002482782e-05,8.970346943026897e-08,2.5466492150627573e-06,6.777560932480498e-07,4.9874750025491466e-06,2.6962362564830755e-08,2.0029484737449366e-09,4.725508873093531e-11,2.441056945468034e-07,4.078460209555601e-07,1.386749647613872e-07,1.6505110472797568e-07,1.3547215571563243e-09,1.1352197659686425e-07,6.784507192159062e-08,4.915917517500645e-08,1.1420044876420121e-07,3.200145204385052e-08,1.8543957613914586e-07,5.459712679733997e-07,1.2751706268687713e-07,5.788841850318249e-09,6.848455136321263e-11,1.984786890396606e-08,3.502542100797257e-08,4.576459211591555e-09,3.3947197275452368e-09,5.0722888791931986e-08,9.8630617562101e-10,4.639507558690248e-08,1.528017712359997e-09,4.0671910284117985e-12,5.6834537076611014e-11,1.2184741615683947e-07,1.0245296788724545e-07,8.10185252220208e-13,1.818387596053128e-08,1.1756972728704795e-08,1.0668879557584887e-08,7.991105777094276e-09,5.396566749027443e-09,1.3859669856230994e-08,2.1927222260131884e-09,2.6389479490518397e-09,1.0449386356192747e-09,1.9724076816274305e-09,5.7819777299350505e-09,1.202885069329085e-09,6.812949371326482e-10,3.3461025339409645e-09,1.592771914360469e-09,1.3497706952136923e-08,3.936466708154285e-10,1.4781240675887375e-09,2.142784616410154e-09,1.5797496644154307e-10,4.3934305082871106e-09,1.8689172431862744e-09,6.708619770812163e-11,5.187988094679241e-10,1.3731492887192331e-09,7.291015569066417e-10,3.062700926204087e-10,6.966642152050895e-09,5.911366729449696e-09,3.963402883666589e-09,2.0278593249045684e-08,6.166097632487322e-09,1.4514705437562725e-08,1.9538382023398526e-09,4.954192389661216e-09,5.831881866313893e-09,2.905731211200191e-09,1.9698063180584313e-09,4.81693018805629e-11,7.97317295520017e-10,4.250687857254576e-10,9.610356954681265e-11,1.5287981158795816e-09,3.85853993201124e-09,4.793206276332285e-09,3.6266920022676175e-10,3.4126976800052944e-09,2.6115221096745245e-10,8.162803766254001e-10,1.5125405372629075e-09,1.3073035987076764e-09,5.48631762242735e-09,1.548173012011489e-08,1.1115817155626928e-09,1.1251442277870893e-09,1.415698669404719e-10,5.1784521115649795e-11,3.215588906257949e-11,3.097216927372415e-12,5.5496052198122925e-11,3.6025649130522197e-10,8.10305988974136e-11,5.54444423706002e-09,3.542400772715837e-08,6.796153217969447e-08,2.345132976699915e-10,5.361353583310802e-10,5.200049280063013e-10,8.463452161322493e-11,2.1633621560823713e-09,2.4454333003021134e-10,8.591247158129534e-11,1.0467340882946985e-10,6.720082268429906e-10,1.2197201582075934e-10,1.5136503161983228e-09,7.041800476059734e-10,6.177841571641807e-11,7.908280696966585e-10,1.5658063734491634e-08,2.6493333749044723e-08,8.2983109273016e-10,1.1877452354980278e-09,2.3082269429153257e-09,1.159746743084611e-09,6.292266707674798e-11,5.497082788963326e-10,4.414983101330705e-10,1.0116561477424568e-09,5.7008009424208694e-11,1.7231747695412025e-09,2.5918295287752358e-12,7.224665310445744e-12,2.765397022486127e-09,5.110205147929037e-09,1.9045209853629785e-11,4.263966957296361e-11,4.710540846275535e-10,7.813232283382376e-10,4.363265304618835e-11,2.7967503313242048e-11,8.909956106251116e-13,2.3973598106685756e-10,2.8163332776998118e-11,6.203793867509688e-10,2.1352031254195936e-11,1.413524852722503e-11,1.1720166226414364e-09,2.571045887300727e-08,1.3541979537734505e-08,1.1479889239218721e-07,5.7596227787115595e-09,1.928235349168972e-12,2.8603450719089096e-09,1.0715190679189135e-07,3.599735620696265e-08,1.9362770969921783e-08,3.0513632176543126e-09,8.937778933626461e-09,1.2384435033041541e-08,4.5280431903993446e-08,1.9638501561058952e-08,1.0442739784011223e-08,4.6394984520858884e-08,2.194714550096677e-07,3.911367585374137e-08,1.3425774980646565e-07,5.0630131420703606e-08,1.515550086761408e-06,2.605232156671633e-07,4.68588108593071e-09,7.528693501956951e-10,5.1887008578610505e-11,1.5814981629835856e-08,4.7501543948280656e-08,8.356756953098454e-11,1.3701770829044335e-09,5.203927955221843e-09,1.2546137240221356e-08,3.080650401443563e-09,3.594096131820379e-10,2.0977131143240513e-10,4.437892719977299e-09,8.873086709826339e-10,3.98583943628239e-12,8.771048054523334e-10,3.287628919101948e-10,6.5898952961163104e-12,2.0877734263624603e-10,3.369976964151533e-09,4.250870988542488e-09
2N1S,N1,0.0,0.0,0.007608275307789292,0.012922543418152799,3.276319993084087e-07,0.2825109842999627,0.013780182967643828,0.015834087136489483,0.0015482769289487663,0.0001407871460266108,0.003949202252330863,0.0003414425789680653,0.0031035489026602914,0.000142483114061287,0.12058864107984446,0.15965058825096934,0.003748764992551612,0.006459386349011442,0.007202681975188696,0.02469243866442339,0.08300490660607496,0.03591074990408716,0.01180159290479299,0.06184689482446837,0.1575100858492977,0.015792689185535336,0.001018000331255653,0.0038915164209336606,0.004007004558268745,0.03274743428448268,0.007734753144517548,2.6294178980812433e-06,0.00023300773462775481,0.003973610400946459,0.0001650643233879201,0.0003717542186563172,0.010935770037993287,1.57155629945116e-05,0.0006904125711315601,0.00023444133557237734,0.0005700708529334797,0.0010931419474218274,0.00015995015872505292,0.0010563198574533583,0.0007624319118173517,0.0003048821973246074,0.004570510409568129,0.003134086159598759,0.00030747475332804086,1.7573446027263628e-06,0.00018096980681070463,0.0024714737168909373,0.010019613814514106,0.0009039720171832855,0.0008202733701003773,0.00010086671132381042,0.00031605020691527486,0.00020552943599705387,0.0007261856147646739,3.516177052209635e-05,1.6335522032839833e-06,0.000995413642677745,7.873452587681129e-07,0.0002298114440177912,0.00015050355684431693,0.0001442367780191134,0.002280762786307289,0.0010158297500604263,0.003414070795051849,0.006075297625578457,0.0909768581949808,0.016986892388948682,0.0005158080054457059,0.03254394292788865,0.1785696318611114,0.02871046868409577,0.0014078928164260596,0.03852153768581057,0.011517710175219076,0.0006809573959858373,0.00016648540899510955,0.0005072413829156908,0.001296570709058642,0.0006160612217374073,0.0074629164469368625,2.2256083719085495e-05,5.429441183024686e-05,2.2102368157916885e-07,1.0240319703314071e-09,0.00045201111854797915,0.0005232785226740866,0.00012630894686083138,7.917291243941804e-06,0.0011248580675147224,1.4792539455577014e-06,4.931860947765543e-05,0.00016416517089878901,1.977724358415145e-05,0.0002863437757898435,0.00011350967590151306,3.3028324566419798e-06,3.713316508102693e-05,0.00012003484004097231,0.0020227160440868808,2.285706446203406e-05,4.24261764795375e-05,7.0404563508486e-05,0.0015106570593363955,6.868654083280745e-06,3.825162843584806e-06,3.084935469610528e-05,5.463638126368409e-06,7.577564332672537e-06,9.666130425856068e-06,1.314204344260439e-05,6.428487785203885e-06,0.00021665736650211542,0.0005460691406500295,0.0002028148775119476,2.0072748809774055e-06,7.314716240447439e-05,0.0002713001771010859,0.00019458137331485048,5.1733729440339715e-06,4.284003064736197e-06,3.3293673755707687e-06,1.2170850438586456e-06,3.750676886693505e-05,0.0006559599896416302,7.911568752660969e-05,4.888863917695829e-06,1.0751373704209755e-05,2.5846530733009132e-05,0.0001934271843500035,9.362536079748907e-08,3.084109856388295e-09,1.4043740836910956e-08,1.9485183768264136e-05,1.6111771379279105e-06,2.106417205149924e-05,2.641279967408039e-06,8.042509547223631e-08,2.656250079335898e-05,7.379634465953799e-06,4.227167216708239e-06,1.5798283123036327e-05,5.857722649160735e-07,8.823746891373219e-06,3.332008743184289e-05,1.8746848997164278e-05,4.1374569414998064e-07,1.6103406639267348e-06,8.966211253458312e-06,2.4951652095595023e-06,7.653789775297071e-07,2.1895883863809473e-06,9.921579453564533e-07,6.613818579470632e-07,3.472504596535586e-06,5.063583996545162e-09,7.347580277539123e-08,7.887969832864883e-08,1.328378357534632e-05,9.445386145667811e-06,1.9403415763008525e-08,3.067080465157801e-07,1.237032698497842e-10,7.86324516610648e-09,5.84568789818718e-07,2.8811257823946335e-08,7.033603921513532e-08,9.077328786410988e-07,2.547546458231409e-07,1.1440062230860804e-07,1.5068482905888914e-08,1.031550290298e-06,2.9756486008558625e-07,2.3699293838497226e-07,9.212224760801746e-09,6.211676284451073e-07,2.1393738767194748e-06,7.167438642596835e-09,3.016489569240832e-07,3.778303847568054e-08,1.938393658917903e-07,2.48687602066866e-07,2.27063443603015e-07,1.1561496204848254e-09,1.914696174942776e-07,3.815249338678939e-08,9.333358974572548e-08,6.118661133314163e-12,1.2388588359613095e-06,2.430354091309539e-07,1.2059908627293225e-11,4.903160037983412e-07,6.559552900853305e-10,1.0907398095838516e-08,1.0444822784450025e-08,2.697401724205406e-08,1.0823252556413365e-06,1.7839416268650155e-06,2.4702345946536752e-08,5.801237890068478e-08,8.235513404564188e-08,1.4253048075119068e-08,2.447064550992195e-09,1.3973658563593006e-07,9.375828202706771e-08,4.2456969007176326e-07,4.107336692982244e-09,1.44496783427428e-07,1.881619304811011e-09,3.610798593456366e-08,1.2044674901900976e-07,1.7053150003221162e-09,1.7351791381514658e-07,4.6912136886234634e-07,4.259955499463786e-09,2.0999728578274812e-07,2.693806733233828e-09,4.7332670005673094e-08,6.823037690395495e-09,1.4250823854311534e-08,4.164591338451373e-09,2.2750934469684125e-09,2.4030715195522134e-09,1.341919499964206e-07,1.0195080517583222e-06,1.955496068184459e-06,3.435637685456072e-08,2.1110693637638178e-08,6.477753045075474e-08,1.6133662805728477e-07,4.397176400772196e-09,9.578881687843932e-09,6.161168242257986e-09,2.0484150597965822e-08,3.576582163766773e-08,6.341499170225973e-08,3.1011509804557136e-08,1.8187977790518062e-08,3.5797831365869115e-10,4.34565894380512e-09,6.62213954782942e-07,1.4271301327362096e-06,6.514300654458793e-09,4.242749707117355e-08,1.560281877033276e-07,2.0401320810492507e-07,4.0361980424563626e-10,3.399739956222447e-08,2.1988472820311245e-08,9.758779895285841e-08,3.801403636316536e-13,8.923207506228437e-08,1.2619461031704304e-11,4.6271697584643334e-10,8.161011288976283e-08,2.9331002515675664e-07,2.5165420858286325e-09,4.595408498175857e-10,1.5633331074127454e-08,7.815199687399854e-08,4.092044036951847e-09,5.602113661851149e-09,3.197442310920451e-12,3.263614933857184e-08,5.080269538382254e-09,7.379216859781934e-08,5.59928103882612e-10,1.4852261642772646e-09,2.673072874159743e-09,1.0720454612922481e-07,4.435150984249958e-07,3.6722098695207706e-07,4.144904242053826e-08,8.43019080321028e-07,1.3220431327454207e-07,9.933262896666406e-07,4.3160826024291055e-09,1.2000781570709051e-06,1.6515363721048004e-07,1.4408010424737938e-06,3.3273595212435225e-08,1.0114966406682413e-06,4.5293080397357244e-10,4.2320819293450995e-08,2.2932583920720617e-06,6.382742392396779e-07,7.967205997161386e-07,3.37979343179029e-07,3.3624706379242753e-06,8.607123123560712e-06,1.9456750748325646e-06,6.133676122566101e-08,4.828364374986904e-10,3.929967462568129e-11,3.113709001745235e-07,4.5041975460513584e-07,5.9042772670991894e-08,6.407934831642592e-07,1.3027536382992366e-07,4.206594672595543e-08,7.078425992013138e-07,5.769631061802727e-07,7.195565743245425e-08,2.3399582493865978e-07,7.815837115288105e-07,2.556363809524953e-08,4.468456427098033e-08,3.330245101906826e-08,1.2070017429977042e-08,3.583638363835462e-08,1.986287991861957e-07,4.975478695712354e-08
3N1P+1,N1,0.0,0.0,0.0,0.047428933582546406,4.541393215262701e-06,0.009278519365640836,0.28121184004044686,0.05013895466301266,1.4517829169946594e-06,0.026680418892571778,0.0017022504696875274,0.00019976585385172996,0.0061071889480099895,1.999771631955305e-05,0.03991093374847576,0.029053613090015862,0.0007160295671064798,0.004321208981866498,6.812257707045077e-05,0.010590690173156947,0.028260423737773266,0.004564160228445413,0.00988307032259117,0.01597276358488564,0.02481312846506034,0.01734368747690751,0.004918124643805477,0.02551179856446173,0.0012479973501999808,0.011165524933195226,0.012413489495284313,0.0018578164996729818,4.3594670436464256e-05,0.0019059694407865813,0.005326114329746279,9.886448593565689e-06,0.0015332107329415479,0.0012766396871337626,0.0011461251383120263,1.7240219918335242e-07,0.0012537316764404949,0.0004562905773382031,0.00029731636927388116,5.409667763611736e-05,4.4646432688866255e-05,0.0004265218813552796,0.00038184033773580595,0.0004426057367861169,0.00030068481252198964,1.1390709851788472e-05,9.021445021328844e-05,0.0019897493371505703,0.0012914092753435469,3.362805592965756e-05,0.006054869838218124,1.074474990625518e-05,0.0018590218229346256,0.00016815945346992933,4.0652304599486655e-05,1.884094466775288e-05,6.619344592673215e-05,0.011346969262578277,4.148616854249276e-05,0.0027028470819683292,8.282390531144657e-05,5.342293953880528e-06,0.004305199444094132,0.0028749170395885315,0.012485599641861578,0.0759214503090373,0.26124582964575804,0.07446903097371749,0.005426969585744512,0.028376042574920213,0.09187910174097658,0.050576857696392974,0.0028588865729806123,0.0015488041552251808,0.04107295678624201,0.002181957754684216,0.011167508412772698,3.357596949671304e-05,0.020052972673980207,0.005828609905124793,0.0004222283724359954,0.001013817551017926,5.111187518780369e-05,0.0022713977584989387,5.4784867779211766e-05,0.0032377108152195078,8.539164552789913e-06,0.0016379736153044888,0.00011248871671121208,0.00020331165703391108,0.0001659192139489285,9.167055351411157e-05,0.0003989740435932365,0.0002576884561196202,0.00013122432509060644,3.213686604031096e-05,1.7333118274009962e-07,2.3084850919730115e-08,7.137301296911147e-05,4.5727082000901476e-06,4.218732030381034e-09,3.9746780999383446e-05,4.750600427705365e-06,9.428741337025315e-06,1.7687539380251138e-05,8.556887154398396e-06,0.00015715038397368097,2.6417351228991137e-05,0.00010227588302735846,7.579095052312468e-05,1.4142737889910606e-05,0.0003664373936813625,0.0006721135058764816,0.0008633007761247313,0.00084717147995228,0.000221924438606802,0.00023457051628161807,8.983539184415079e-05,9.589715023849976e-06,5.7934876475318475e-05,4.2404284912977985e-05,3.438270954214673e-05,0.00022638833415955517,0.00034983036406388557,5.4958587027975625e-06,0.003699118930338141,3.044175167499219e-07,3.6536167884015924e-05,2.645703518489029e-07,0.00010112436665510316,2.2918927902182418e-06,7.377509430028795e-07,1.3952875725919966e-06,1.686111161802728e-08,3.674442358292396e-05,6.990464672229635e-06,8.982338144680746e-05,4.074630188810602e-08,2.3692070762137973e-05,0.0001652765534811973,0.00013084796832041334,0.00015077570750232638,1.9130311668114075e-07,6.478504954277042e-06,8.368008773906865e-06,1.1703466391566053e-06,3.7086003845665516e-06,8.380489049386597e-07,7.932976942015557e-09,1.256378858727203e-06,2.1023977962997265e-06,1.1229687935099264e-07,3.957994829217881e-06,7.946654452251067e-07,5.773613753756734e-07,8.381964582415691e-07,2.4572704360181774e-07,1.157079753166812e-05,2.911332330768346e-08,2.0419346928868265e-06,1.9786314808811767e-09,2.9301056247987844e-08,2.116232851179234e-07,7.930612468953768e-07,3.1315039450419135e-10,7.674593982542888e-07,7.896633920090323e-07,1.5368986527874995e-08,1.566347052062156e-11,6.864041404153198e-07,3.975358686680863e-08,3.527028535899035e-08,2.470605320326058e-08,1.0993422927541019e-07,2.347145877656942e-08,5.189507104041979e-07,1.2460298814964688e-06,3.7055780266470606e-07,1.4013910032417698e-09,2.485196781698562e-07,3.599125886211141e-09,8.398083028993142e-08,4.764236116727716e-08,3.1304081549166085e-09,6.074644787190664e-09,6.755286685589112e-08,1.0660895988223729e-07,5.384972001643007e-08,4.7261081093097346e-07,4.522522580430177e-06,3.207991650100439e-08,1.0778277603762376e-07,3.067432086112376e-09,2.1903074642892761e-07,1.11193005869481e-06,1.2232112971410913e-06,2.5737399145242534e-07,4.3355829459912343e-07,1.5325980839975273e-07,8.669396511784555e-08,6.316770351233458e-08,4.16889409660115e-08,8.503827930717023e-08,4.5530999415177575e-08,1.5450113677317745e-07,2.192350047280911e-06,9.42338873599624e-10,5.844709605185017e-09,3.666875203478526e-08,2.6135292019446865e-07,4.2878682382507805e-08,7.104787869138818e-10,6.719259371124053e-08,3.587139651983762e-08,2.833062673346376e-10,4.065612935200136e-08,5.871334241014381e-08,4.9458324991036307e-08,1.510110392288766e-08,3.73402666564715e-08,2.381181696264889e-08,1.0425760699206421e-08,8.710285825941355e-10,6.550833053786675e-07,1.2394573056795366e-07,2.517873731733289e-07,3.5498114092646915e-07,2.2786721887158023e-07,8.619280182919908e-07,1.354929145325201e-06,4.053301707607204e-07,2.3546856686706974e-08,4.435004274938592e-08,2.3068894128286388e-08,5.091493227027399e-09,1.1575098657345961e-09,1.1778755082403336e-07,2.006278649879789e-07,2.7485727027709572e-09,7.917685129754659e-08,7.184027595030784e-09,3.4131389714531224e-08,2.7735249652494076e-09,4.4421761380419866e-08,7.548983660399244e-08,1.5174208556345548e-09,4.076693826959854e-08,5.764718213896458e-08,1.4651730273484986e-08,3.099408796281011e-08,8.58668802727891e-09,3.9248959637916414e-10,1.184412568022708e-10,8.434302145587935e-09,1.1268801447528176e-08,3.1496356633908817e-09,2.7558464399390914e-08,1.0573764086529991e-11,1.2531926607550758e-09,2.12851958281135e-11,1.6434178462532145e-09,3.71665365150875e-10,1.3185239566837481e-09,6.101865679397633e-10,1.282902672983255e-10,5.061796315430911e-09,1.9175772081325704e-12,1.7688188691522555e-09,1.1564911495121066e-07,1.1519002199644746e-05,3.055955116071374e-06,7.072981365041642e-07,8.350294799619462e-06,1.314579759714718e-06,7.298568744928957e-07,1.2182035920016432e-05,3.497691025700078e-11,5.151395114921797e-06,1.5230383310083084e-07,9.249002230760084e-07,6.769482157054085e-07,1.2526169879123472e-08,1.1572466762643785e-08,1.9695680641973468e-08,1.9119945720014186e-06,9.710545656460567e-08,3.846974516719115e-08,1.7848535982523117e-09,2.3766164081173713e-06,3.4555127159663357e-07,1.0357148343409506e-06,4.1821635043959304e-10,9.115231902612209e-09,1.1744483763287406e-07,8.952500629710869e-08,2.834669865503514e-07,1.1108136632742571e-09,2.7113505218778755e-08,6.820756230929703e-07,1.2418998056595854e-06,8.585290753870822e-07,2.5176197615550677e-07,7.361308318465376e-08,2.7933290525083976e-07,1.6937158209273662e-07,8.195051304227263e-10,3.119107816473843e-07,2.6746101511321285e-07,1.0147024855911013e-06,8.467824295088633e-07,6.084144299478567e-08,3.3377300923120856e-11
