 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,O29,N30,H31,H32,C33,O34,O35,H36
N1,0.0,1.9624186030001858,1.8030095291552757,2.8128138993002825,0.10189985282807967,0.1659371718210912,0.006955348401494144,0.03848487000106786,0.0013514295486386496,0.016248926528786845,0.033574101569535,0.0012468088971633318,0.004123339733451692,0.0011321347704323914,0.006142270909920498,0.00025300311517051366,8.731554463303759e-05,0.0010195214147541432,0.19487801733138937,0.0379506090148263,0.08493937026355307,0.13091341472245488,0.010466100079563279,0.0022188251022533523,0.001042799162980626,4.3997930409434005e-05,5.761648159396948e-05,0.0002723538685675264,6.430369490659921e-05,4.9028798686109876e-05,1.1848746356291073e-06,8.629171669660707e-06,0.0007632138946850608,0.0001978415875489581,0.0003840533656282036,1.8576032120853903e-05
H2,0.0,0.0,0.030349863697749946,0.10379246508094386,0.004252571413599027,0.009078519508128546,0.00012486239315956382,0.03004602120275801,0.0008743954718819502,0.029050831226067997,0.0008699523406952014,4.5629026053317645e-05,0.00018702621646204953,3.6497713785443864e-05,0.0039225144976606785,3.435469017754045e-05,0.00012200365352654785,0.0013252573258726308,0.03027188293146621,0.005378040632158632,0.006173244179926485,0.0011406016347617065,0.0006924049073023797,0.0005675771761208814,8.709284097740966e-05,3.905615918897709e-06,2.1504282463613578e-06,1.9385394164572745e-05,8.49223129617549e-06,4.256941622315935e-06,3.1326228566719294e-07,8.988672375309648e-07,0.00016652099477387772,3.382194345791234e-05,2.5778967256750995e-05,2.9971628816571894e-06
H3,0.0,0.0,0.0,0.10457678013658356,0.0062953086143135994,0.030970472902502322,0.00036427943685923836,0.003168223815819271,0.00011328317977854496,0.0010881924804695409,0.0036453687313102723,2.5886618382875426e-05,0.0010302418796972468,0.00010530356186455592,0.00023439881542397512,3.086686173059405e-05,7.721954925488106e-06,0.00018340713432341005,0.009035562942746656,0.0008313958280360412,0.005974627639936392,0.002622044730907769,0.0004091867024210716,7.285084958708055e-05,0.00017981128365074373,9.183725527606157e-06,7.341318333242697e-07,3.8289963585680376e-05,9.417404297606957e-06,9.250549339201442e-06,1.9881921908826428e-07,2.884383262014012e-06,0.00028953665613995483,0.00011993119799480478,0.0013467312138728538,2.6114992626835587e-05
C4,0.0,0.0,0.0,0.0,1.9864358898883696,2.5848181095658362,0.07970324341490231,0.1582386444207586,0.009612190555416733,0.006833361744373212,0.16834195330353777,0.007066854302878456,0.029594098248199696,0.010290176962674424,0.03219295181040012,0.0031508145624230544,0.0009753632347107022,0.00035234866671141063,2.6709612521575647,0.2821199872580361,0.21996949891503415,0.020722334342280102,0.036433754542706004,0.00744264543623363,0.0035998515245011797,0.0003706098645477329,5.660218399183847e-05,0.0011894843128743005,0.00028550463633356116,0.00025603614396693675,5.03129663742552e-06,5.718225200113114e-05,0.004050700259857903,0.0016038774599375638,0.0006082239220588509,2.7832865757582148e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07896528547031445,0.03548980433000404,0.006978760330458522,0.0038442263269491406,0.00015842745354199828,0.011358419556058763,0.004739063986366032,0.0008449938821559755,0.00033983974408302586,0.0005418505394980677,1.3496094865894648e-05,0.0003752111714816486,1.180230592234821e-05,0.10728826992422902,0.01819987796544198,0.02211329883725166,0.006616658881482218,0.0029502086203214706,0.0001414261245793469,0.0001294172343340172,9.952019126369116e-05,4.437864763229271e-06,1.804929939019928e-05,5.8801010429654355e-06,2.9177846502248528e-06,6.827341321180569e-07,5.859143006325951e-07,0.0009914897535681089,0.00032575026294567877,8.612781625316757e-05,1.1963497867029105e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9872205261310796,2.8022586611358764,0.08038037400906783,0.08469023316014712,2.6920794821619802,0.08219833321764991,0.09013145928778998,0.08899553731931342,0.1589717900408684,0.02812607086133312,0.010334271058488387,0.005313341100712021,0.1781311565495922,0.039591291536178255,0.026542955125388873,0.0013211263451249344,0.002885087903872152,0.00033034770893125565,0.0009935937631746494,0.00015267378269845366,3.00893579585626e-06,0.00019989746864082503,5.617899901547152e-05,5.3957302665233464e-05,6.919170106867156e-07,9.90337691386678e-06,0.0008433552549661494,0.0001941197545100859,0.00024146243780819032,4.133685953755517e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08197925769534908,0.03516505794493008,0.005212809047504097,0.07993349020948393,0.03422664207647941,0.00591094383312063,0.0029393432567179634,0.00748808005036572,0.0002425031015447221,0.004263138459271731,8.146799610475597e-05,0.011882331463532791,0.0015534617911659998,0.008256844794862106,0.0015146745158298724,0.0006286475294647875,2.5637868460437474e-05,0.0002382377263596691,0.00026238275342671535,6.50641081234582e-07,2.0395761699987247e-05,8.199191262603378e-06,9.85231153682875e-06,2.3576929231161614e-07,1.2120570627160987e-06,0.0003614594017202766,7.933735629039873e-05,7.913212199750497e-05,3.5789256276341774e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0400637464196163,1.9272986140481443,0.16389127019422467,0.011608758824190213,0.00545175704844203,0.030706201619255857,2.785677508865218,0.09210901612184963,0.08156360865182477,0.08261880309189484,0.02883802122270232,0.006148656715991865,0.005712946665957452,0.00020427736388706208,0.000881958129085425,0.00014051378764345923,0.0003206206999253197,2.357651075568512e-05,1.0849527967149442e-06,8.69254075524517e-05,2.566304194608071e-05,2.1334054822547133e-05,7.011339231421942e-08,4.470711361004298e-06,0.00011257785017973476,2.1813084628605206e-05,3.3260480365240874e-05,7.91187193538434e-07
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02201493570163704,0.008062772023264886,0.004678102130745598,8.279692892454449e-05,0.0002512478879479474,0.08104876751183754,0.00332453546315592,0.034519395317708756,0.005914984376613974,0.0008884588687358974,9.923238582110194e-05,0.0004302525795962797,0.00014937865391551064,7.409911648559309e-05,5.237763955889818e-07,1.4535135964610646e-05,1.0402104638540521e-05,3.103945767080063e-08,2.908924412681202e-06,8.516933142077576e-07,7.817748055582996e-07,1.8169302729020842e-08,1.8665508272341924e-07,1.3017979329843499e-05,4.882618334756117e-06,1.962595548077317e-06,1.1367969454667559e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029458599617720793,0.0007124618034028973,0.0004177527116582258,0.0017838643199674653,0.08602202100325729,0.006522453401082151,0.0037078929548215456,0.031307526519033235,0.0005588463383994213,0.00017104298038661536,0.00015667865305002415,2.7771476597715505e-05,2.0641568997614712e-05,8.181138984042491e-07,5.553781819322978e-06,1.414003649724549e-07,2.3206781163409573e-08,1.1511691413446101e-06,3.8235196475611133e-07,2.915246528623072e-07,5.162962946059224e-09,4.5857099451040995e-08,6.94824239633185e-06,1.7496601820710111e-06,1.2022786515242245e-06,1.1381438058677418e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0050381156197634,1.9175421523793181,2.1364868801518684,0.029004228356893785,0.003352073255773913,0.0010953312815566996,0.011058676886741559,0.02553187901406792,0.02541202474285821,0.0029809138126772883,0.00022954227735694221,0.00039878245977229,4.949187591296589e-05,7.444257631063211e-05,2.804637704845181e-05,4.323452408971917e-06,1.9464139648539547e-05,4.191997283048421e-06,4.6164697727058e-06,1.1129678789689734e-07,9.397782184672465e-07,8.481956941466806e-05,1.89005110591417e-05,2.6588539842109515e-05,2.3834211000384187e-06
