,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29O,30N,31H,32H,33C,34O,35O,36H
1N,0.0,1.0166277476640335,1.0198817132399423,1.47495046468076,2.1616535953596046,2.509083613981166,2.7639838513081174,2.941767979422188,3.213690344340796,2.5822575897631355,3.8566635326147414,4.19977944355563,4.677501046918154,4.137757351369449,4.390816698351031,4.942085737710187,4.631962926590441,5.061534812326789,2.4440082310245916,3.5525812552491596,2.6595668934282433,2.16766848986393,4.058998225783556,4.554204649868055,4.987392467137878,4.879045529877957,5.067115596239195,6.429318471958823,6.999232219951632,7.240218138012328,6.93876301794776,8.147539251251347,4.541027352313436,5.5141003044528,4.230296319743667,4.940182342067888
2H,0.0,0.0,1.6283330633091628,2.061757219953386,2.497693881886204,2.6961720405327494,3.0754494145922973,2.5486682183932303,2.6960640694810074,1.9727702766605237,4.101969162868718,4.311359653016574,4.833269685212794,4.611327077434975,3.9871160234581255,4.342122946456474,4.360193791448871,4.744244889593524,3.3431818201695123,4.389041071776427,3.6440210621800047,3.084133467358445,5.056908536104279,5.551488237213302,5.904150688111891,5.718455447745397,5.923881817558441,7.372905906448393,7.927837472528419,8.19070886465616,7.883414037575575,9.114488224624463,5.527058307737803,6.4600468249052865,5.178055781107846,5.830712283319886
3H,0.0,0.0,0.0,2.0501738067178943,2.403050386296518,3.388777574201228,3.704614703820198,3.8487477629814117,3.9312657758290777,3.4950838408238263,4.584868090890264,4.810011784085258,5.50020406954281,4.735518335625523,5.341886570536341,5.852088155202888,5.639509361985904,5.968291908043319,2.6730144273102443,3.6476898461034133,2.8583247437924433,2.4604178801238143,4.094293943117646,4.5588607882490875,5.228860686556568,5.3160063189177125,5.297331440917001,6.602022608664674,7.2369617324038344,7.29377165693853,6.892618454593404,8.169547050086694,4.256715135325922,5.228729710781994,3.6808319251051214,4.284049485896851
4C,0.0,0.0,0.0,0.0,1.1015612221542614,1.5599748556900166,2.1548749771163465,2.5690800652453865,2.777663733250949,2.797893842417168,2.545637749915228,2.876494971843113,3.5004483380511093,2.7289037128780476,3.9624920186173367,4.74184360671086,4.2717722622503675,4.348907658356222,1.5400620296171423,2.4321578861226594,2.4364130923741962,2.484426531797618,3.816420511632835,3.988839847102481,4.782932917944155,4.49858936087571,5.166308084224513,6.085307171032071,6.4123832643743475,7.095409995210867,6.978261974823845,7.92325564239278,4.656722704574839,5.772099957127806,4.4009023366425355,5.268175055741585
5H,0.0,0.0,0.0,0.0,0.0,2.169242309350274,3.0503455673706488,2.8939280266112193,2.6717541288716444,3.2889159298339927,2.6912003964561793,2.5855049157868737,3.7429327291228143,2.8932747591134804,4.298561260319015,5.007976910961951,4.830443389262162,4.51230778528626,2.119061636710479,2.548903898802999,3.28155448091389,3.4595499979925237,4.541776826139348,4.517661193859992,5.65755440708915,5.411288724275007,6.123153978307575,6.855348919255421,7.09656149264143,7.871200323793202,7.757378381667927,8.640536034365175,5.273382833572277,6.444830125753782,4.786091019384094,5.614912763884227
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1004601444591804,1.545887717798659,2.1724157151236874,2.1740904011483106,1.5387107116146375,2.183809221822932,2.1834236971960874,2.192476015269515,2.589837309320166,3.52850587220308,2.817779115809398,2.9263128969701144,2.5423474302787072,3.259015207510817,3.257718574842,3.2419783186894375,4.567479409320654,4.734138655516038,5.124870151937382,4.519701283030163,5.515978675977427,6.40752948392597,6.580370874654923,7.5514707722097665,7.585774131194241,8.38282138927685,5.6937911589990575,6.73303404782856,5.705556842196717,6.609974245990597
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150216017351688,3.0601172620164663,2.457177920415579,2.159957725920386,3.0768322481600023,2.4641932676078966,2.5636539920726116,2.8327675618058965,3.78691394436089,2.621443506809526,3.31180603469977,2.6965799850718453,3.544969041255672,2.9585299629363564,2.836117888352585,4.165367449432883,4.4875099629311315,4.426724661143917,3.7279068354430556,4.729164379737559,5.74595739342838,5.97049501850848,6.8753701739734066,6.940200944819835,7.738604432788171,5.377242217714782,6.299353831382757,5.63589754748076,6.533885783258531
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101052106080832,1.0977246818820434,2.5486869501983564,2.7623080309690224,2.84351888634493,3.506990433921057,1.535076585453378,2.176373741298769,2.1844502631490257,2.196160421705447,3.918342692365817,4.683565955228893,4.550243865302191,4.280129355432731,5.938651915250832,6.208085319861314,6.457597718537424,5.850492841633052,6.690323217738916,7.8166886647052385,8.047787098403774,8.909238221493545,8.879464410460193,9.783780825200074,6.931367091971795,7.927634238330366,6.848483186452386,7.682401092550842
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7659744662898214,2.8381666210815597,2.610566718145544,3.285510243951116,3.8015223038470576,2.1650473139013204,2.530123004328246,3.0846856905288917,2.5070510843240172,4.23635996374336,4.854874916868011,5.081609139267587,4.887468066450468,6.4864758082826555,6.654544725560364,7.1944906097338865,6.65683459260988,7.484981747124625,8.525603966694625,8.73100931812511,9.617434278408602,9.558840735458649,10.467350511460552,7.386691815035981,8.449378698767292,7.113565593421635,7.921923084844522
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4933777684862553,3.7862363957478404,3.8167473885088925,4.33955091364139,2.136644733031569,2.4223840025500434,2.533112251201685,3.0667479608234944,4.170566971803396,5.130367960767698,4.543392791041912,4.040967041027716,5.960053590289445,6.405121318879237,6.452079561150847,5.942845030086327,6.509004599888339,7.904420870326728,8.291053483679665,8.883934027006106,8.750008082693832,9.811509786080778,6.793387231946049,7.703909757221621,6.712098521501277,7.469092260498367
