,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29O,30N,31H,32H,33C,34O,35O,36H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982864071219798,1.0943625722320216,1.0924078059457414,3.04851030680487,4.080263541551512,3.3318977608698566,2.80164185061646,3.032177652288515,3.176527671886363,4.012173878578883,4.3254279784252825,5.071298728243591,4.917571452766232,5.592963507749991,4.8785427861171105,6.21632254707065,6.62158083650225,6.5115892086596805,7.890745501700867,8.090097609183845,8.603160045444938,6.352316005633747,7.43992361059661,6.378677436192665,7.333779226350226
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7714256724236281,1.7658305803053986,3.309731986320555,4.193157689669631,3.886442758982002,2.883836789676847,3.553780110605402,3.5308508839911212,4.722938857279988,5.046027863696352,5.814658180289493,5.574037703659264,6.509487267090169,5.871695019415107,7.152024564130701,7.51455505165659,7.383813683959849,8.767677559894127,8.934227215661656,9.454447526200893,6.985601583564178,8.130896680704879,6.822246337184862,7.751233116979995
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7701988110733358,2.7548371749213483,3.8089280868794133,2.859283190453618,2.2913413780803804,3.9576948933495384,4.113330651153803,4.759024897823618,5.013102213671019,5.739792141805649,5.61621751427759,6.00917383046499,5.149631008619639,6.6081338565795695,6.976147158343545,6.77232427111292,8.283969768563193,8.569596760035834,8.981399340951768,7.113446179136724,8.134490880648926,7.2795408599430225,8.241829452396336
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.085496877440338,5.139677716491205,4.226277808617231,3.845424632747113,2.620148233443051,2.440401795755792,3.6160587013080296,4.165336302302396,4.439316864055953,4.1071042219250495,4.984039747090272,4.313452407357201,5.749810721337506,5.849841942931403,5.639588195379891,7.144222262951691,7.407684471782271,7.785664163320255,5.774173026156616,6.86351974904268,5.858626646247568,6.830539848415654
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0961571824698133,1.097412120666037,1.0946317729575918,5.128055563898393,5.796873701382298,5.680252284516594,5.42497692920327,6.972170739485353,7.223363964591116,7.230957566581394,6.453666957913199,7.457695330714367,8.517079820039244,8.631912354469925,9.668822316647862,9.746237193685145,10.525210359360557,8.107038938178478,9.04735441633015,8.178263430812828,9.038959312008627
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703288694595172,1.7668510630060426,6.030317754622008,6.753302243209363,6.54752934070956,6.18452425832728,7.884173129469584,8.19601565905835,8.15454971759545,7.410543431004123,8.293580938039861,9.489059589082904,9.659718843234817,10.597077035152182,10.623143860587565,11.480776676852862,8.933339679481788,9.848742108556445,8.950020940058074,9.767051360258684
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7709438735784901,5.2263343023359505,5.95468916038485,5.555086308344196,5.261062752199252,6.744731069373548,7.071373634924159,6.774071658817536,5.9281326571577635,6.938156480402682,8.032653499770772,8.15214258480612,9.16725721089229,9.287465290488989,10.02751000473376,7.939796715045865,8.787833196606712,8.188649452249296,9.051487517916552
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.406000658895779,5.863205031768408,6.125978626021743,6.035635435338957,7.352338093037096,7.450095240105511,7.629170266726242,6.794868536115276,7.988856401273921,8.803297201774182,8.771421312393366,10.030957439290837,10.193165657613319,10.828139535474673,8.57573131096389,9.569141652161404,8.631142354496715,9.532386062344433
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2247393374816395,1.369539119119793,2.02993941473391,2.468080069354079,2.466508806407935,3.595393695718477,3.460447214180813,4.178821928445198,4.742983259692663,5.042317162513469,5.7620963442865785,5.701589191523581,6.526255715752082,3.4476644186977836,4.61177034653914,3.347027306504617,4.302947332998138
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28703007148157,3.15134549374435,2.827188477758133,2.3093802906325727,3.9921463615329635,3.87313421006789,4.791639995516697,4.809219988279868,4.869021905615538,5.881893165079892,5.941077852359985,6.499829887663128,3.8052615876209055,4.987612587559444,3.627909554370978,4.574323882293721
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0155998338645997,1.449345090732613,2.03139570357827,2.486040260811428,2.5725314279019638,2.887287769668865,3.81822071412608,4.391627032066171,4.701909632676945,4.54215638868267,5.561461271508236,2.4498777980784183,3.4897264720724954,2.76078140230223,3.67571956315534
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158940889206596,2.970472844261318,2.8797882027969015,2.953435362367126,2.9116693054361766,4.358762181313005,5.072590272504964,5.10943724326626,4.829410136489219,6.045949283082303,2.812910694236503,3.6778331208692543,3.1043400629030464,3.8908608971858456
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982824390771426,1.5440165788470617,2.138925930108479,2.1782398250001425,2.5717200567547613,3.265428703136152,3.360988367338212,3.2354647197114996,4.169020341100438,1.5330442552959875,2.451261486958067,2.394178332553032,3.2248102623580452
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1753487558541456,2.5706367686717337,3.072881915663767,2.6875989771412705,3.0081273394614825,3.614990743910081,3.683615906652312,4.225784934291925,2.1370955873705033,3.0880096797628345,2.6892346782469883,3.5463533993032397
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921094470705792,1.095772936809161,1.5359118316489788,2.4087936613768863,2.4560095191804563,2.5891759397043543,3.366621356489855,2.5472204703839654,2.853624481275208,3.7425875793324566,4.416044552117104
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7790417763133892,2.116333128865593,2.5327988025972004,3.271915235093415,3.5836644706123093,4.0997762772189015,3.453519199319763,3.9100539958892346,4.502273050215218,5.277829853804839
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1862592339539777,3.2481088820979815,2.592585266047134,2.4403438804578843,3.598982746192549,2.7018690205859377,2.6858921019014828,3.9479600089352562,4.476251926019748
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2225750478827666,1.369314082428474,2.0491335496629888,2.0257685140753185,3.2468096163181706,3.2383263261758786,4.4796395927817185,5.021289253369437
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2833533693869117,3.141177389579084,2.4918668046438572,4.164718964620863,4.321509722185759,5.258986491155304,5.874966784515446
30N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136296504088402,1.0126062376484255,3.443963522630897,2.9408842376320354,4.720548648851749,5.01268257617004
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7307424873728643,2.910389127497075,2.1358642344126526,4.1731401523047476,4.32591921794912
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.190511919296131,3.6506524914094136,5.378278576759235,5.602717710808956
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2168255279098783,1.3472770918927313,1.8723124446360575
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2434929723696126,2.2675824907653834
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766584198312448
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
