,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28C,29H,30H,31C,32H,33H,34H,35C,36H,37H,38H,39C,40O,41O,42H
1N,0.0,1.0206286525259922,1.0220736783422408,1.4626061598664686,2.080618266263964,2.466321277823114,2.4514189525084538,2.8886932654521975,3.7955355323466025,4.369819321259732,4.025620438635437,4.868865878800739,4.940189929902042,5.726668642444986,6.363041909517356,6.1184855522076695,6.982921725619054,6.48480083352745,7.547887417241205,2.487708086754481,2.764618367800378,3.713967244163938,4.021137416253241,4.918343891658488,4.940829683857001,6.155825728045433,5.9885891863155365,7.361256275095264,7.782163084310994,7.173891052186893,6.757966283891773,7.2253579761981985,7.633776351349861,6.185645907627259,8.564415352125348,8.425548204432143,9.024765828464771,9.386391763718512,5.416957853150594,5.399403396248854,6.360753374364281,6.8199128461852565
2H,0.0,0.0,1.6071476074819293,2.030708413927518,2.317347882614875,3.350337230351358,3.406869779624358,3.8062275555109384,4.545061691481105,5.00705512497892,4.602390777623475,5.592831122882239,5.672963293734477,6.307199817418505,6.873755575374076,6.784517891186514,7.641238355205214,7.0962876047243615,8.12879290005254,2.7114579036693742,2.850959254503064,3.870941910254664,4.291873887919785,4.989013738640817,4.82559950621059,6.1689388054460155,5.879146548295025,7.275580083885975,7.793235255826753,6.96618739735169,6.957987675644952,7.5118149136225565,7.778578218303427,6.484593258743241,8.42361466902434,8.195941963791553,8.9816079765024,9.197848034559337,5.69154559957353,5.878509220741837,6.532015419434773,7.094513813268548
3H,0.0,0.0,0.0,2.016583305770278,2.9055187637563704,2.764185595071623,2.819883660077438,2.7862905272072602,4.225526877025657,5.028958815256025,4.810084819468775,5.122448101913179,4.983182835943009,6.38528091310436,7.111922402352138,6.461684464522125,7.233653546751487,7.006681298077909,8.08655966493251,2.5562401893177253,2.4136937740542272,3.909237769881045,4.372212896939294,4.915798173679842,4.861915182960543,6.3056875225704125,6.291519214524514,7.403305844613752,7.705791658064611,7.1649861151916125,6.954194405569188,7.2896521024486,7.907602590774809,6.46464443953534,8.716523177041212,8.686444766050228,9.205176110075183,9.475248854611866,5.175893362484968,5.135744386091466,5.991417039577223,6.359408659562821
4C,0.0,0.0,0.0,0.0,1.097247693750941,1.5597019226657058,2.12804461818221,2.1818804581924214,2.595358626178353,3.3124253061163653,3.2622208058826345,3.5644970329339998,3.6991193386934653,4.583515153964611,5.331286921063727,4.770826938438006,5.616490654120034,5.193370753187831,6.247760491326935,1.5450993972167104,2.4227622056879037,2.4857675307022395,2.611431345683153,3.8374016886659246,4.1170550051834285,4.949839039215771,4.814759173975769,6.28215400717446,6.705390011159585,6.2659044682027725,5.389456006958965,5.884808525571198,6.2523514979646615,4.752489627853327,7.435929387165281,7.329465799060477,7.790105353973728,8.329979124175578,4.403538133935833,4.335260591836737,5.520992281489423,6.014768009859932
5H,0.0,0.0,0.0,0.0,0.0,2.167495705629213,2.6009951268683027,3.0523980844767804,2.6715419460912804,2.9446834242725775,2.7609939850073735,3.7426355392797626,4.129094870101728,4.117473682329198,4.7212688790881225,4.723134771893597,5.642441305233503,4.882453173020404,5.87759138176339,2.1669692833498497,3.197432512216622,2.655659747115396,2.5382500411923767,4.087968689031618,4.3972915007442435,4.917462431696873,4.5596843375524,6.309161287059696,6.877713346259202,6.331695199776326,5.323904674236211,5.99106015078936,6.044148914592448,4.633609097714377,7.287909753513455,7.035809704407524,7.61998861993743,8.23037776179091,4.9344091461672335,4.9561920620497935,6.090688941349581,6.679448576128303
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.095646916996859,1.0969950648784552,1.515906140717403,2.528506632038363,2.71691579541388,2.55089587886772,2.758594160268382,3.8196999326535126,4.681206773407149,3.835112070195065,4.703390982129151,4.336016957142711,5.423075608565389,2.5564839258903174,3.3883852139597535,3.192617120339434,2.984354629813968,4.4635555857337526,5.012339419164745,5.504836218204037,5.5559026361751345,6.916610183848302,7.176527029776184,7.0967420271680615,5.541450006546377,5.862576261231649,6.428853850646651,4.729642919219322,8.072962396342117,8.088758165389079,8.244522201786063,9.01480213399598,4.629443704376967,4.1434758689637965,5.8562861750669795,6.14627162941497
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7638561951165075,2.1474308329270064,2.7082654768776626,2.5408668033729653,3.3469266770439727,3.6634791290033037,4.06248335965842,4.766998692948385,4.514055308255637,5.443155328091998,4.804718004465671,5.869105264343359,3.427253210451792,4.132864214452463,4.207240801079233,3.9995976893044585,5.513656514927858,5.989617513933601,6.562734249294664,6.54531260344692,7.978735755027432,8.260943722029003,8.119523052539725,6.601482528628233,6.939030349327087,7.455120178043107,5.7508940372280115,9.119604321511991,9.085804784905154,9.300048433684017,10.066062083630513,5.685328750257538,5.173513699696755,6.875856817646747,7.134221977560549
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1575085954491153,3.409589072035355,3.7389241421888078,2.6698937163124947,2.4524922062190093,4.575541164611163,5.521435084886843,4.0548099863142815,4.740197236065964,4.836873186823355,5.90435386935335,2.651136538607338,3.1825845909167483,3.353317396992387,3.3239726645651264,4.373855065082427,4.914596625350567,5.561445395624633,5.813702558489657,6.865293188350573,6.9655911068511625,7.038839691330583,5.591784109132931,5.7169035593096025,6.572012033394925,4.880819149828509,8.136234242057093,8.291441528208265,8.306280023284243,9.018773126639651,4.185912198287525,3.5492159702706765,5.327304116557671,5.473553495475756
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4050585659406587,2.157563868563618,1.4032632910713332,2.1571280119850984,2.437738214530653,3.418700979046915,2.4348578240570955,3.414904485782024,2.8202941115096474,3.9073790304646914,3.324733483348256,4.381692052372398,3.3445237601436864,2.693256898717537,4.563584930839654,5.353371191117491,5.224099839127043,5.256313763772206,6.728354803297393,7.001566906907472,7.123394736175588,4.883832640540943,5.243862433781925,5.6351355556640765,3.901190497839545,7.697975158474792,7.703166403943642,7.685370046920814,8.715342211304566,4.780906690052217,4.192565997418025,6.116273511911602,6.4089549109661315
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885359151238834,2.4118112984956985,3.399030400177821,1.394983731301411,2.153183980088434,2.7840686275109756,3.8714065936685325,2.419501884628539,3.405609658804739,4.297687163457471,5.4376119848345645,4.236666584585053,3.451918982748704,5.531821163800987,6.297144362201612,5.959004774705228,5.77496592443254,7.501861172169624,7.906430614464637,7.922798294734104,5.551263588426023,6.072699235444889,6.10395444441247,4.501050357730528,8.281261216957738,8.133435354709382,8.220492545065817,9.34435799662952,5.9810202764141085,5.48667382329068,7.327406214946571,7.692272105411957
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.398845530975315,4.299755651255711,2.152606645248371,2.4741363823723908,3.8725403936332943,4.959857589187299,3.403602189597547,4.301726269913107,4.520783359552272,5.611646624613429,4.687398307253275,4.028849156123778,6.083537652166167,6.716261062781815,6.600447710827265,6.297879790352418,8.134506054541568,8.616090085371027,8.445395960682422,6.377607351552132,6.9707285101935454,6.925968147048272,5.370353234089802,8.922494346599683,8.683094486501169,8.952268376216946,9.974405440640346,6.64810250151121,6.240584164593373,7.967970521475118,8.379474532022732
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866341306841503,2.791723484725279,3.8790101199515687,1.3993369383170189,2.154086780886106,2.4253640707384405,3.4113588246422757,3.757900577751461,4.731180632026328,3.4041852563891646,2.6878677764053585,4.266638480427102,5.226931329181282,4.746066055293844,5.009957930395179,6.180852495969606,6.2929592124251785,6.741630004719052,4.085786299079908,4.237394873519134,4.845585830074872,3.1080562669369387,7.121248888676983,7.286054166545221,6.963775768039345,8.123444370157268,4.199993212166699,3.4314249472007354,5.521531180604698,5.704697305330353
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8782355636463994,4.965542365353875,2.156707325488738,2.4756903071849767,3.4071801501221444,4.305338299632788,3.5474627887420818,4.311138608876605,3.2373710821711428,2.780026692319858,3.8357770193613296,4.784978594357099,4.48936407969262,4.965981261211231,5.798184996537345,5.7526300212609875,6.332429508648018,3.9074824481801445,3.8285091943193366,4.809294608213795,3.1247113071144446,6.881360796971999,7.188107854490162,6.762521480215717,7.811400313708958,3.4255977131743442,2.489614428873636,4.685632719783974,4.755954155167726
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087321742233355,2.413261257132942,3.401250399181469,1.39780595777295,2.1598979793023005,5.36531641707423,6.547128375019255,5.00517312875346,4.069321583851683,6.14009058672937,7.0129835163284175,6.246760357891628,6.049893565623321,7.763415727275511,8.163290629590614,8.334996488079986,5.549456060557092,6.074228649768559,5.893837994649431,4.462949084000866,8.336751247405248,8.17681058335028,8.108901896203971,9.42576945446156,6.588828534162972,6.066238246255857,7.9341850586527185,8.284723451548222
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4010149721817218,4.303459158898635,2.1590395842773673,2.4905340623150685,6.220798644069855,7.418448623321013,5.875623981583026,4.942457201600668,7.038550051449416,7.8701328730287985,7.051549948684617,6.734782322118018,8.553517997507281,9.026031599973413,9.116822429024937,6.369932873007355,6.968671577280542,6.590047929360536,5.309013683634905,9.008062278502987,8.749234121349858,8.764336586426696,10.103713317895666,7.595580849483749,7.1259281080571,8.935639698172585,9.324215399228828
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087380405935703,1.3959584345965037,2.159000688057371,4.945624369993108,5.9758448715403105,4.324804723551773,3.445664495179164,5.031640799970909,6.072363989012327,5.103360739630676,5.325630492613984,6.496706161121832,6.613285375496979,7.22317245086234,4.082156812353243,4.237820531547851,4.576581576661579,3.050488001987725,7.186265773662809,7.335322616096943,6.831431251773118,8.21771522155282,5.028558436229331,4.297339046067594,6.305523013889286,6.481965330713611
