,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34C,35H,36C,37H,38C,39H,40C,41H,42C,43O,44H,45C,46O,47O,48H
1N,0.0,1.020493499671645,1.0217168844872226,1.4614978494047608,2.0776604415100564,2.4690575299198008,2.4370712415227413,2.9285231516285357,3.7704994405418333,4.932599629082152,5.282186004853623,4.437013165010082,5.98708166831077,6.906337491794246,5.76902083871483,4.446749699082097,3.7121854708891275,6.848812199303662,7.84502192546322,5.749768518722475,6.118379881157852,6.816991147462661,7.8075212378371805,2.4946793516490575,2.7650488110896108,3.7335092742988305,4.005603422255529,4.936507328492187,4.916743489788523,6.157638610963177,7.005691104506645,6.088563520691951,6.700887157521781,6.601479237390263,6.120961694300528,7.649911995043026,8.015309632784792,7.4323230004652965,7.634744011856723,8.381808200981123,9.216790231135503,8.272276204192012,9.196918797837363,9.837946867623723,5.522750447507071,5.341372228494213,6.6828465387418925,7.138595594786203
2H,0.0,0.0,1.6045365811004464,2.0283030001489606,2.363065587097371,3.3555917505251496,3.425838552467318,3.80573298418737,4.542942718329716,5.667111776054994,6.004598063531693,5.116691404985746,6.677031499303394,7.565434866210986,6.419794299368799,5.026610184408305,4.265261562384295,7.433601154347082,8.42590872813001,6.242588843035459,6.525171217005263,7.334082673033061,8.280444712291764,2.652602741028914,2.6809265696878475,3.897247871005869,4.333519360519095,5.004776317078761,4.808068734210579,6.148807420980563,6.958961714061603,5.925808132945003,6.856134198970753,6.766832595579075,6.171049519631718,7.917658274645619,8.268304444392554,7.717435025925447,7.917760459805852,8.749563750934339,9.635397172295741,8.650239057246631,9.6477683412409,10.319224167287738,5.793749679100156,5.814944700594459,6.860722924667657,7.413800737199098
3H,0.0,0.0,0.0,2.0222266809900926,2.9159274855394153,2.705980582805899,2.6826039224544953,2.7747413084820387,4.1656057679095895,5.1906882728287425,5.355664717241632,5.058173354246058,6.379886605175184,7.265431407166699,6.340740472608213,5.231007059612863,4.541822391279803,7.515331782122346,8.477659300187751,6.578962225300557,6.998894991783058,7.594629067722333,8.615904331494317,2.6362645836531624,2.566188444406526,3.9662336928603823,4.34663864540426,4.982511581299217,4.872346663551849,6.357064824629108,7.102584269688449,6.408437516350464,6.987887452947635,7.073232519412652,6.70128202522065,7.826729536341104,8.065313175648889,7.93452098376035,8.242834467496817,8.615552282428405,9.37824382413348,8.653576562239245,9.60725924267681,10.174022946691652,5.34475093514292,5.1014961935301155,6.422729893417818,6.78636521431315
4C,0.0,0.0,0.0,0.0,1.0975300843971643,1.5612112783245726,2.1322666865408744,2.186340067790445,2.5871941051319256,3.6433491923769643,4.018142644162386,3.385959240273488,4.686197433560833,5.56067134252092,4.586004969863419,3.7337273941956814,3.323518251463864,5.7421424051717045,6.6725471214998295,5.0564833659837,5.635540666293401,5.913318046210918,6.945423338712676,1.5439040934344501,2.4257218073459033,2.4763699129600583,2.5775594514270654,3.8202747079490207,4.058737962487857,4.9440966604052194,5.866086934843562,4.9583944635376085,5.322796122941103,5.190927251571658,4.789998973638616,6.256384705378342,6.693426386084365,5.992367963071374,6.2409896614353855,6.939811620838413,7.791884795121689,6.811104354239578,7.750484557022645,8.390848052595809,4.447547951732021,4.265740099275165,5.70610301887966,6.196132564972386
5H,0.0,0.0,0.0,0.0,0.0,2.1689143643860818,2.6334288755501922,3.047573147102857,2.6474682884007628,3.762945713724677,4.350782449245387,2.98788244950452,4.533372415383062,5.409752785237781,4.179222075770238,3.103985985893211,2.7360115871011197,5.164716290667223,6.121347487505421,4.306761299849881,4.832405398524705,5.192156598649889,6.172202573997062,2.157055009225833,3.148641960723765,2.6866781196017855,2.6001288757333505,4.1129203640665315,4.425136308384018,4.944681509229584,5.955712794179234,4.782298293133211,5.197480160096032,4.800769150632122,4.23308810912928,6.2600351345252285,6.842804810919413,5.555113827797778,5.649803651463981,6.862091138474428,7.793997985203308,6.540965025778765,7.437945474084928,8.170083261570207,4.980003352561583,4.906388893599555,6.242474607685298,6.819477799671104
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0970294772695957,1.0971086360925453,1.5030041591553938,2.5848011661137558,2.9951178087368473,2.6293454337673907,3.7230695677072747,4.640766901476804,3.7685033140354056,3.31234586313752,3.1290121435659537,5.047044741197853,5.939854755612267,4.683440558080289,5.416509198628887,5.394742090635424,6.473831780648119,2.558056802861238,3.466692482146735,3.088117957142229,2.7854103757497226,4.337308135555574,4.834546342849254,5.456497556330894,6.366527491352405,5.722499387694955,5.498295926061313,5.356415369937307,5.212006754217931,6.1511755884601556,6.600156389748351,5.86443148038906,6.108564245198835,6.599818383751203,7.323863596765668,6.453826176317512,7.217148548509493,7.781107524577681,4.510294830964039,3.9245335066498477,5.837907109236795,6.121692660273226
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7629276138480112,2.136728714591268,3.3325844853525655,3.8356432371030116,2.8599954675749895,4.311500809462933,5.280236658533448,4.130351421498255,3.179898672160023,2.76749462696053,5.280837237449715,6.240083101768955,4.541254268218972,5.137390059839579,5.423975098886307,6.4674065188139025,3.420608893764052,4.1823427178293375,4.125939942795683,3.842767591510624,5.398703921422835,5.8221405631050995,6.531018778344015,7.448663937701932,6.74207757839145,6.563243932636667,6.330692020805355,6.1264630149409305,7.21196435298328,7.676100669907067,6.7520017803282215,6.881681005660421,7.586654102528492,8.28695453909555,7.357079462270797,8.012358276799022,8.589885655336428,5.556832404183993,4.913883957221522,6.864852289198593,7.103572448344904
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1430185294950994,2.733194442870588,2.7366532116725457,3.4928027675753164,4.055163696380846,4.857476651541388,4.42387827736583,4.338689273331067,4.199258201016388,5.779403993948174,6.575393826918329,5.686292010669914,6.460282382248887,6.28821380787693,7.37389563160562,2.638494846332893,3.3075839516998755,3.172104235277949,3.015499146165389,4.151782625990479,4.615601187834774,5.42640195958988,6.2096356799609564,5.860051811325645,5.544712148692375,5.662513061912766,5.674787228366602,6.0228020902253805,6.306903991093976,6.206749885256417,6.607247182340312,6.535763301514669,7.151596604992062,6.607305759120641,7.4101059958771325,7.858555512818107,3.9832684181031577,3.235567651362753,5.244870915933585,5.396899364406067
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3767354571000616,2.222250808891704,1.4464316814874134,2.2614950993866327,3.222012099141535,2.3098245083876283,2.6246664495864094,2.9616943139042857,3.651053743040418,4.479485488022617,3.8218257919576306,4.748063400657167,4.217400939099735,5.302634229218825,3.349479805006592,4.471057175335719,3.2667358634815242,2.519632998749778,4.470591973842866,5.2340810819471,5.239272342928728,6.210415435763962,5.552810531410028,4.874759775643971,4.497630445345195,4.481972332273322,5.427762120473457,6.051898583584232,4.713412108066941,4.861321429016548,5.609637399760479,6.33496696008443,5.261108267694739,5.878006992313728,6.478714036269917,4.640620996076092,4.021504643453543,5.986114779418695,6.266437177648692
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0818934388400119,2.2586702812464483,1.3834885400489072,2.1279794341385707,2.2535702829634485,3.6511896781411046,4.2136123968135,3.6270529926171533,4.16726187592008,4.598177419370428,5.63184055160669,4.58778684569944,5.616145562682761,3.9348933212169963,5.016934640004342,3.439585269975442,2.5620127511148785,4.296868526648484,5.234172974776641,4.8784748831692015,5.753174111778377,5.406511168000487,4.2345598496926256,3.9944126926747447,4.3101605103115155,4.476453003922784,5.089153894443826,4.005146624440963,4.32356769781659,4.484040985026234,5.098187490480699,4.238205689256864,4.810628537371507,5.297648814418178,4.170082587256803,3.442901359219903,5.429451661710849,5.602069450056095
