,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34C,35H,36C,37H,38C,39H,40C,41H,42C,43O,44H,45C,46O,47O,48H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32139741634077,2.1511200603880827,2.524788477037138,3.2735322770524706,4.696088828902754,5.173371252100646,4.603001599751266,5.013366342582679,5.678960317568107,6.70767328629105,5.640250856658594,6.649194405759818,3.9695201147187547,4.896308486370998,3.402391892651399,2.689112305119681,3.942483728382636,4.888561763642545,4.607411976472548,5.3366030360160845,5.31953143422542,4.028050828844175,4.143979740653114,4.632096334845522,4.030932128231046,4.452562445831378,4.25313967905801,4.796563606784486,4.136609908308557,4.619681031976961,4.230392647486541,4.899629109751126,5.221466854779168,3.462641644390982,2.5818521716002145,4.637541086620063,4.685166370506566
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257119518888003,3.225580491829051,1.4223472940613258,1.4066745964382603,2.17089802715658,2.4713836220363237,3.4587388851827967,2.4099990793703423,3.3974425783652977,2.800952337815927,3.8877736933224614,4.362880390030516,5.540490153030704,4.209697143045783,3.3768058363047078,5.478192478485321,6.257044713585905,5.979256312135959,7.020167201567937,6.121502518006236,5.433355692150974,4.68815480707423,4.530173903666593,6.066598139511768,6.8596206255956265,4.650355959182524,4.466616841944199,6.042340885609119,6.816875582055997,5.36188105029523,5.7643095148073655,6.488747291050077,5.858351984017634,5.344218806004128,7.189482198088658,7.533937331688137
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0089423549808707,1.3810670598588257,3.579456080025505,4.427757098739974,2.525163901590168,2.8634986569598984,4.128568649152968,5.214420445210545,3.72188877682935,4.6455340297455665,5.0625657512979965,6.2130799679101285,4.400075783010299,3.4086658595312747,5.2104452085758854,6.218493814935796,5.440928669720709,6.32920562441506,5.897367516470937,4.469614335007985,3.8999385524330212,4.2811883904703185,4.617649237252688,5.410064403388325,3.449547578474535,3.5240180148905007,4.243563737081827,4.834028073118019,3.6274862769576774,3.8756061313991808,4.4435841204307405,5.195221991794851,4.573927433141011,6.373011369448104,6.562961497180489
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.124743314530213,4.492335418836879,5.390854139741767,2.8800053248076365,2.8353834294653395,4.872254137807649,5.954600375166993,4.224591886583417,5.010977744544098,5.757533968811282,6.875872984754183,4.92399483908953,3.9430028032747244,5.511141019105464,6.574944856412741,5.531510779230838,6.323274060082947,6.066749518358998,4.359097493791346,3.831846628708777,4.419706042351966,4.2507553494567745,5.058570008275233,3.107788901218575,3.2483808695583325,3.6084054126849683,4.078115650552499,2.949118806690757,3.000580393291478,3.4898817148382317,5.387731746895203,4.80472984253029,6.43315676848106,6.571751179957638
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436615914719592,3.429768172226352,1.3996034533185149,2.172884518743993,2.7687697604390586,3.855519796507376,2.385591801797211,3.3758214196154204,5.285643106300692,6.4940908349544495,4.795709692863669,3.8189277299590865,5.848883846523142,6.7743414232102594,6.065151755752362,7.057483338010444,6.298306808678303,5.184503603050013,4.321274044957971,4.3944481027000775,5.600846213975105,6.482577490712275,3.8788788839789285,3.5908064586908623,5.271105056020688,5.9684757781524045,4.412546204824952,4.567137048321585,5.290449429008192,6.1145732587090516,5.588479711306328,7.36334661609961,7.658038502836418
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874856083165987,2.8504181592380604,3.937724116389089,1.3903932789712907,2.1470821215630944,2.4391357445644166,3.414453504058079,4.973098187890179,6.087070844997825,5.044898217382416,4.348938559015228,6.419149863869518,7.070723088886518,6.912845700445396,7.990965334437829,6.867897716433796,6.483051625033288,5.604369563119966,5.2172933411500155,7.266686348331143,8.093561775866286,5.604362249921407,5.2281202814127266,7.274011217798497,8.099811037702064,6.482554129318496,6.831333332098709,7.625052405370581,6.986339524443359,6.555761191221111,8.326055919067187,8.736545731735085
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.937846647006125,5.025141656124437,2.156890569265427,2.4806301912928306,3.425856267213021,4.311193685354659,4.737268218055326,5.731542045331003,5.094511517726023,4.579771562278282,6.528729907246669,7.036140378076649,7.186054709374255,8.256366646530552,7.07889860299062,6.974499570447417,6.200368925721605,5.711860707366358,7.847885154495362,8.605117705204577,6.395321837727041,6.092855965257416,8.010291629186694,8.860699624804775,7.3222319130210245,7.7826199269413365,8.568168705361966,7.150481000997967,6.749851340252948,8.493686088228138,8.925145006774091
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873141306098555,2.4417008215573883,3.415364748328991,1.3913351051672431,2.1447198477488123,6.502387973416711,7.724672568964634,5.9751733786291075,5.003325054987238,7.010850778189998,7.936013481587088,7.026870883826191,8.019529246933764,7.150161758064322,6.0271515893599625,4.951197025963004,4.957137122111072,6.437627900741006,7.40577518040708,4.24558535609972,3.61952877892348,5.9182803178247685,6.589289679436622,4.813163046577537,4.658084814270289,5.441820333917513,7.377093197470565,6.917642629262909,8.586003373266204,8.91044584965663
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4324391720906924,4.317390472487393,2.165140625156226,2.4882622950002924,7.298944118022867,8.520557202274977,6.627011081085967,5.627383245787016,7.516182807694701,8.499889221292252,7.369094611035877,8.295298225520543,7.54733861222204,6.20209532364009,5.118562663300584,5.280475454317449,6.435706832838722,7.422139114056257,4.150837843791952,3.461500340844243,5.70151597466441,6.265306316425741,4.503024048642762,4.0584484246866435,4.798552577029122,7.801368648271163,7.348529713003027,8.927510902725524,9.21212300119444
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869452043165708,1.4107261885890507,2.1628314918536913,6.225601786529746,7.362786071092322,6.153238408020162,5.3931063960917776,7.473520124296799,8.171428027971892,7.753182956026937,8.836863593851945,7.639481451647197,7.157966774000147,6.084971127529016,5.679377165252234,7.914748402713146,8.836240661806329,5.847025644566911,5.230055618655498,7.742101349866325,8.555375990125764,6.747149160601201,6.879846570947056,7.71974382901549,8.095572622579276,7.700257642410288,9.40819494809629,9.83675282310247
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1610764920201637,2.4756997773222036,6.887917784323261,7.964437196283524,6.934683662982845,6.254906844566681,8.292281003065606,8.912435661284164,8.581291360252736,9.6737855175558,8.371213727234972,8.06823399941181,6.9632677609426405,6.450607310586211,8.899030787291833,9.825344780563814,6.7743692856137665,6.098119954181609,8.761875126561483,9.598555093840046,7.740644332213628,7.862998744146937,8.723084679241245,9.000012530377315,8.642983743855805,10.315724569829133,10.777779828304054
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870043636273672,6.885786157046373,8.085263240660861,6.549968189901676,5.664402139398881,7.729473180625936,8.55290037184409,7.800514225662275,8.846477051821378,7.76298770089545,6.954797123214984,5.794196131447297,5.558844502308943,7.548439822577617,8.529941469536125,5.246704828272056,4.5028814961993024,7.145159392578245,7.88546715908319,6.013239683567473,5.911733130779179,6.741719206151409,8.26327740345841,7.853882068166362,9.520953662017513,9.911834675801954
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.912622989022678,9.109900953932435,7.5436651075482635,6.66073444394033,8.692296413306801,9.517816429666757,8.6539449008445,9.68684557403333,8.56585641046306,7.747892225650392,6.511169097991866,6.261225525400843,8.319734413841717,9.336192041706761,5.846339972957886,4.974461466111366,7.81955330439411,8.530805689199811,6.592286151202531,6.330491228828546,7.159000416771135,9.261874991799031,8.880832067137241,10.493828247859899,10.896107379783144
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226793905189672,1.3758475195006237,2.046109174035841,2.4421280499919256,2.532551082185161,3.728658174585831,4.530839599105699,3.8162850759050633,4.423409147818284,4.643916564814518,4.338563490013136,5.365667708662334,5.638178778467166,5.6863878737160185,6.165887615156356,6.292011539040102,7.132647559219496,6.42277312491447,7.545577699632458,8.10817746032958,3.195113769890046,3.336408774071774,4.343606558672788,4.935880504460259
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2807727609339774,3.1462659710651364,2.769639851745596,2.3739151012669706,4.169115521616157,4.749556413413151,4.239028779208198,5.153245507476901,5.5831241126998465,5.285347987157737,6.042733325845716,6.127511174210194,6.720213498023573,7.269859355356647,7.10810866865451,7.894520147554108,7.398824468400161,8.579892033815039,9.087235019616992,3.3954125050476422,3.690418607589741,4.280048252345981,4.862307816029641
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0160100191756578,1.446562554436812,2.0511157303648413,2.490745255860718,3.4052834810955215,2.7136190717771043,3.0487479819186802,3.3406488996685892,3.174619641971382,4.03630650973987,4.392098802925006,4.441555066433694,5.034588609221072,4.9877998942266855,5.871244595824416,5.149800732047287,6.34168478310019,6.893218936705619,2.455641706581734,2.798097741347498,3.642074430410584,4.325679759824887
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1123311539473075,2.9597031884372393,2.774854290635986,3.7805496858234005,3.07327612848628,2.7900246154371064,2.7954082273644443,2.7382303425932033,3.704964651258984,4.254300823902359,3.68717103368166,4.2197066007760995,4.418883026131111,5.323819779738222,4.4017658412056395,5.50492862140072,6.097759791394575,2.822274094512684,2.8759509540092583,4.090204687972327,4.671438975782123
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943420038347296,1.554245638306843,2.157682570713359,2.1448514638237888,2.574186641150092,3.4347862008726815,3.522627457536388,3.3873514656833597,3.444438419199781,4.641861418125293,5.4540388025064175,4.6054510732897365,5.394723848323437,5.119400467087217,6.425433392451719,6.8362755531477895,1.5327843176051568,2.4525494396923135,2.3861034413976885,3.2200274796501227
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.165827932411344,2.453792128224257,2.430598769573468,3.492854306070047,4.346122004348997,4.275085741668344,4.323621687563567,4.239053503082883,5.628636736148987,6.406309257606451,5.610736976261862,6.37257920954676,6.159829201894482,7.48443627580642,7.893052145692216,2.11901103768398,3.120495675173599,2.581011026619387,3.463472504310612
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095167536919454,1.095392005198543,1.5144635506523965,2.5408884260558366,2.7415642974138197,2.5402431052209047,2.744566422179434,3.82829002411735,4.7031073016617055,3.8276757737316696,4.6964542470674235,4.331373484274009,5.70026197564814,6.119540073376647,2.5553981144848628,3.513489843228959,2.953276577719085,3.8326464682106933
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7650221273134692,2.1566836328312076,3.381698522719296,3.6944733101995033,2.7124495801137534,2.525479418587865,4.56168437787244,5.505909635203394,4.087219116195382,4.7910551153214636,4.844218011557202,6.2057650117486975,6.493522260728842,2.758344481655259,3.8578859236083725,2.6137778026672556,3.4983488892968495
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152877529103693,2.6770441746372766,2.46182224312936,3.399255559074435,3.7324992384800826,4.057113144386445,4.760411631423462,4.570097833403547,5.518122145705243,4.833050706597022,6.174791817712625,6.704468172301122,3.4703137536698003,4.418722409480754,3.8934941584369165,4.821003830657384
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4041119056867766,2.1572558081119633,1.4016465343949025,2.1567951585697327,2.441163053573619,3.4279685259925863,2.437990148441726,3.421409380057147,2.818467004730783,4.188740697989608,4.624950306314552,3.11960689846414,3.6954574704912275,3.6652219285084704,4.323759811466507
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0875213008073663,2.4028179742312994,3.393009031714316,1.3926615891360747,2.1640339166280267,2.7828191930989243,3.8719400339602874,2.412103699371973,3.644545789965593,4.330997648204796,4.190237010851101,4.563426920883113,4.956899252627948,5.60125226668533
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39157758499848,4.297050828941318,2.14271559552382,2.4821134819695048,3.8702948412696343,4.959412948334905,3.3928674576426365,4.5080377623142835,5.280444252420958,4.590163350460263,5.0309737902941425,5.4322487491399345,6.172285270348539
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874539343537553,2.788437106790596,3.8739226297908615,1.39519389731382,2.157877454840988,2.4168802712901405,3.690243433295215,3.844665789383749,3.3017821228820705,3.684947480399315,3.5790226756951364,3.9760069890004854
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8758099178693537,4.961254197387198,2.146026729575481,2.4703142353670966,3.3973103290588305,4.571720007357622,4.555016339600766,3.033235763258362,3.519506425034526,2.9174164795428372,3.2088884724007043
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0855407747226744,2.420785917682342,3.408970442920627,1.3985234256219699,2.367580782022942,3.1768486590344436,5.129380807396831,5.262185167591337,5.9026110975198725,6.398339473578554
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3996550921953483,4.299067652560878,2.14878749596741,2.574976169650624,3.520179788802006,6.046546311900225,6.1169453223135,6.904251246280865,7.413216555837148
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891344218167904,1.3985747091973795,2.431551313416943,2.4606103492376254,4.425619731278533,4.5122289005915475,4.793881348939592,5.024065861332512
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161266543868778,2.6953021766258156,2.306070136924918,4.959164631666687,4.940252254205209,5.153473913353773,5.200384119001903
42C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3721129128239116,1.9217012579033323,5.218723279316902,5.227175233827017,5.82872475964666,6.145693143386559
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9704785685352297,6.432957938790944,6.285101049586281,7.057446714967783,7.27513411460545
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6556444676808715,6.468973316500975,7.149181350479087,7.259108206517014
45C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2109524329133836,1.3560037398391234,1.8794526471378354
