 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,H37,C38,H39,C40,H41,C42,O43,H44,C45,O46,O47,H48
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030276558355035288,0.10228158369679385,0.004756710477689996,0.027555051905193917,0.003008536221324798,6.485426137214922e-05,0.0027543006233441414,4.503593131754968e-05,0.0009773495371940832,0.00010987734396272764,0.0009377932652838705,0.00010695752777567513,0.0001642137665276433,8.172493880864717e-05,0.0011662211447877047,0.0025155222658310716,0.00021362508041256056,0.00013088581277287403,6.323882422942795e-05,1.4048890528695068e-06,6.337832889835582e-06,0.00025064822813058996,8.957432722001002e-05,1.9507332837953584e-07,0.000506038235331463,8.81931335516839e-07,2.752464086963613e-05,4.729928988478349e-07,0.00031371385098299953,8.962555779756798e-07,3.0132022397211244e-05,2.3488837788798733e-05,3.8386947820434614e-07,0.0048898413376925465,0.03236881596163199,0.0016737845339912516,3.467477640906047e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38611388679502734,0.03034849419858432,3.221038445282608,3.5792364344068384,0.1309551774671851,0.28661142720402477,0.026685727899661726,0.3412919929672783,0.027927478829290697,0.23383072122814103,0.003950719636111488,0.0018923409351789267,0.0009493364940263427,0.0020757158086367744,0.0028405734557080953,0.00040341487291059575,0.00010548091937279125,2.9970258600686694e-05,1.727283326813378e-06,1.9683450607210773e-06,0.0001298390980262465,0.00018623023951433448,7.10309785691976e-05,6.954008528789468e-05,5.038971211401844e-07,0.0004420626797116689,6.411086652757803e-05,0.0001498959638350783,1.3011915116489803e-06,0.00045001780952882986,7.332106480707756e-05,6.8915785111922645e-06,8.129517337090997e-05,0.0002379061022162593,2.1474488052036778e-05,4.253395805453586e-06
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8447557171579696,3.2322707118824194,0.0460274688682783,0.004064506388452571,0.2501178323524563,0.0071198604630844375,0.04944134094703212,0.0004483922934768181,0.06520330477793507,0.003037724959801258,0.0010748578611320114,0.0004225259250044411,0.00226960056077824,0.0035396810741704643,0.0003433562332690321,4.5738967622499516e-05,5.192182524874078e-05,6.247129470171586e-06,5.045760949951017e-06,0.0005324792011137947,0.002786598975117238,9.734160208552112e-06,0.0006312030876471919,3.5031229759230342e-06,0.010957748165849518,0.0005486629446436186,0.0010765075856498385,1.1823986038494994e-05,0.006544703834355403,0.0023500307874604193,5.6024509933250144e-05,0.00035356579656450893,0.0014544608337185017,0.00013154277832637395,1.550196298172324e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11754371001399944,0.003439626293191944,0.0013291387931098075,0.007177305795527444,0.003174446103723527,0.000699783349174532,3.556281565741948e-05,0.0006231047371214604,7.430362359417408e-05,1.9239170631957236e-05,1.06977778595585e-05,5.892789843864321e-06,9.722191614658371e-06,2.259107404412042e-05,2.0250296202117823e-06,2.9122926249791625e-05,3.843382994972444e-06,3.5505344881947565e-06,0.0004364083779682115,0.00034634549450796026,1.7576975369637537e-05,0.0003393991130989926,1.4893460514420198e-05,0.004246972403719074,0.00023050615454800472,0.0011357982449312631,4.064895895017351e-05,0.01182724437296201,0.011141744483417093,8.545453102759559e-05,8.656397711526154e-06,3.268227822694758e-05,2.728725083001038e-06,1.581513486836883e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29918285575338244,0.027137942951377614,3.7190695654765804,0.13196403631787756,0.23168165792265946,0.004029587265966139,0.3575058814826237,0.0283277184049322,0.0007227915099087823,0.00044725689343487474,0.0022038036303956843,0.004226316836451138,0.00019691747784775226,7.317716503740801e-05,2.75620326496695e-05,1.0606922804523577e-06,9.827648104199227e-07,0.00017349526086091194,0.000824070977984509,3.929157925974813e-05,0.0004355493577952452,4.925322971693902e-07,0.0031901944037465435,0.0017057136683706897,0.00035246096307217645,3.1489154330710534e-06,0.0010952676512337722,0.00048123745019656994,1.5641453237513758e-05,0.00013466899055394888,0.00039439549548471453,3.299295721072293e-05,6.106822019846803e-06
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8264475572022116,0.30887927289914785,0.00362322466681686,4.082028636904501,0.1302474793514754,0.3186022454295169,0.02603631539772211,0.0008354110322451314,0.0005822225580578017,0.00121771362143136,0.0020599238529415143,0.00011971082096329244,3.8061887830953545e-05,1.4611599727043512e-05,1.1545512066390984e-06,4.083599534077109e-07,4.7439097262236274e-05,3.926217225388995e-05,4.80967526517162e-06,1.831735355845021e-05,1.1227458007745383e-07,0.00014330878097626454,0.00026785565782971865,2.888293870659253e-05,8.483314097862404e-07,7.515679829692146e-05,1.2909227071575269e-05,1.630698609811354e-06,4.001018365326625e-05,8.1179850927246e-05,8.903986521008322e-06,1.8102636810679584e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035474566801672047,0.0007761774372663233,0.12784664006194757,0.00841318929203072,0.027229295401682174,0.0011336999916367052,0.00018214597555532563,0.0003086602313894238,7.91135605517912e-05,3.046884585744536e-06,7.1426305126021106e-06,1.8309895259971398e-06,1.827010853272526e-06,3.102029650925431e-07,1.1754323425705593e-07,6.75460831489616e-07,3.204023544256529e-07,3.23962912052167e-08,1.9131096218316657e-07,4.302050715665473e-09,1.8789675468866562e-06,1.002533936311778e-06,1.6052172533420617e-06,2.5053276342390518e-08,6.453787934734834e-06,4.068618154384751e-06,5.637361324417611e-07,3.7801145533755687e-06,2.0866586518675234e-06,8.785905618591272e-07,2.3762953804684628e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8294284451604121,0.31764447758954206,0.026179152513639004,3.9308525175352296,0.13182365618502834,0.00016621140107123122,7.30777057975085e-05,0.00027977033882607694,0.000494999197849566,4.334818155618536e-05,9.178222067363073e-06,1.1553762759214381e-05,9.414023980358621e-07,6.08620445818886e-07,5.66891268010683e-05,0.0002069186425986691,7.430739879188408e-06,6.597191844412431e-05,1.1979508001136452e-06,0.0011246733489131966,0.0023562996114288026,8.476004098878498e-05,4.0324275070169335e-06,0.00035656754786181355,0.0001766144683938431,1.1805935394293421e-05,2.5119860659894577e-05,7.422017397275271e-05,7.408831038835384e-06,1.4294206150955446e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02717395794606481,0.0010578921116397577,0.12536106509608147,0.008384804960301251,4.532250426514395e-06,3.235560881886812e-06,1.6795808921443722e-06,1.0139502579775694e-06,5.296772445095854e-07,1.5052509949597948e-07,3.120040785953293e-06,5.134576155363391e-07,5.95914291245947e-08,1.4010682932275031e-05,3.687372599170402e-05,1.107150352286368e-06,1.4564770228542301e-05,8.216300411145738e-07,0.00019024764006636552,0.0003085990208324674,3.807930907018253e-05,2.948378154954412e-07,9.1020092473304e-05,0.000332010826595619,1.2581236375597271e-05,1.8809123258911598e-07,7.559103240017961e-07,1.004380173474928e-07,1.3049658242891837e-08
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0441848005555467,3.5442569254740914,0.12231240451482761,0.00021587911018924877,0.00014982299081860162,0.00023384323279171393,0.00032883228040103685,4.584929972467622e-05,1.1084625833879258e-05,5.995212714327014e-06,3.685004530407099e-07,4.4788445885401984e-07,2.3037982064183504e-05,3.2280039335225164e-05,4.622419593980354e-06,9.035136832202806e-06,9.182032267851525e-08,0.000149210947409828,0.00018235303647307077,3.4294274011498205e-05,6.669218473032146e-07,0.00012401594883496014,1.1032209108571833e-05,9.61554485479077e-07,1.0755401828654865e-05,1.5473403390628415e-05,2.984240142778205e-06,1.11810797298606e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1237283231569104,0.008127901070258847,5.605376074413471e-07,1.1529455612446782e-06,1.2144174381667483e-06,1.5346754373979365e-06,1.4608813092564787e-07,3.4354471711850465e-08,1.4668255277072717e-08,1.659831161404668e-09,5.389533264121837e-10,1.2078096389700477e-07,4.980660823772354e-07,1.2097424617607544e-08,1.1754501949567953e-07,1.6701811045294335e-09,1.8077030350394097e-06,1.753375863389195e-06,3.2683241246722616e-07,1.2609619570724817e-08,9.348320486601835e-07,1.0568376394015644e-06,2.0526833033329694e-07,3.590131716357803e-07,9.612134951320073e-07,9.337978201795494e-08,7.480642549850813e-09
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144975963148312,0.00028914687204770195,0.00021044084028394583,0.0009825032038948134,0.0017184582855417352,8.458780108502872e-05,3.493951944677498e-05,9.921358503431343e-06,4.754483002855636e-07,1.0002621930738087e-07,5.105527030740964e-05,5.025208956635496e-05,3.2599109331954423e-06,2.6630493739659977e-05,1.380459038191617e-07,0.0002883481716360603,0.00028832496362141136,3.19150366257237e-05,1.6147180008641016e-06,7.108289781621036e-05,2.0646634179680157e-05,1.94040023981934e-06,3.318452944719996e-05,7.277472719978417e-05,7.030222685722176e-06,1.8220789558265338e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2982580295826125e-06,1.4550200972962557e-06,1.3391541981988553e-06,1.2428201416891937e-06,2.2453787118514867e-07,2.814890387448088e-08,3.448897833990827e-08,9.535079614764186e-09,5.724588580946488e-09,4.4768668550076995e-08,2.7488389320318163e-07,1.2700341667226667e-08,3.964743666706738e-08,4.7087651555699495e-09,1.3219463910196794e-06,4.6260664032793386e-07,6.3099319769222e-08,1.0453491405826298e-09,8.356744449766751e-07,1.5615453117234779e-06,1.2688550965478385e-07,1.159697032404594e-06,3.755107746639119e-06,3.9242228910829624e-07,8.945050788966569e-08
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.788282837633554,3.268198806028262,0.13277387503927263,0.26908623932408904,0.023268920325971054,0.03362258327444162,0.0036623806870186293,0.0008951503190226529,0.00310742216324586,0.0018976954418264969,0.00042356781758279283,0.0006570956360066049,3.382235961102431e-05,0.00042013716966113335,6.796957322086072e-06,0.0003305733684282053,1.4518475035529832e-06,0.0002625060411838853,6.595075767004688e-05,2.334129636905047e-06,0.037196789606193464,0.008733973508850745,0.007014003763309823,0.0012507709422365787
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5232002871630608,0.02502989313640469,0.07631542194514992,0.04932587597979987,0.008369838525543058,0.0010883008688726825,0.0004812523508913591,0.002818959848108718,0.0014852441604720629,0.0004751787422632159,0.00077359775126494,3.791326799218453e-05,0.00032312137467303825,9.044635863264539e-06,0.000187221028405557,3.94216564614247e-06,0.00026428514487583654,6.288114910436848e-05,1.4050490163564078e-06,0.013558866150506527,0.0023798912502195207,0.0023908574385279463,0.0006519419099271229
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.845386364116281,2.811877068283863,0.09837624621194796,0.17257089792282368,0.024846031472667063,0.009148542731329368,0.019089741552837103,0.012374504135045705,0.003852991673478301,0.0030094872776772197,0.00017337952849150184,0.002173103938935314,3.5816664978538526e-05,0.0018692914505830521,5.392798198666782e-06,0.0011895587014979225,0.00027503252949782897,6.717763389008091e-06,0.19559477808601405,0.03127941723740989,0.02895065465851278,0.005215161358131382
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09842148274707463,0.03061887153877385,0.006789832813760555,0.000532860078716002,0.00015692414946411049,0.0138487590357107,0.020466380645719262,0.0018967450584261858,0.0008872319603865364,1.6664405245725433e-05,0.0018516816951080761,8.709282024232934e-06,0.002097987201894025,1.996397975378983e-06,0.0010593655683356351,0.00020250173797486948,1.093216247527451e-06,0.005765153506284149,0.004840837740054504,0.0008094754312317765,0.00013732590657378196
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0028992141543944,2.6513576088605904,0.09294539368811705,0.09571266173543913,0.16315578987695759,0.03501852666580832,0.0008110086677157735,0.03571357956684859,0.0005666505490486973,0.00403620689959816,0.00019229379871221752,0.0039577390604887686,0.0001415225938348197,0.011463147509825161,0.0028624062209857276,3.731774136905841e-05,2.38107329937574,0.2674744177901972,0.21079250482082898,0.05386475436684168
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08883633877504349,0.004775831434445488,0.005996643519196043,0.02368581015911464,0.003084409806318633,0.00015986395433142953,0.0033352991271842214,5.1273612814206615e-05,0.0007074038510679337,4.230331566712486e-05,0.00042320777382731656,3.119022698716556e-05,0.0009017405953479773,0.00023591706574854765,9.628642985148872e-06,0.11794819266719436,0.03092074927403088,0.011303994720071486,0.00037158026987316184
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8670523166108526,1.6728533405758752,2.8194280752744554,0.23915705331109677,0.01460265687415263,0.24057207661767058,0.0136642128799076,0.03539625270233682,0.0024271246111922107,0.03637740850560445,0.002367983690534814,0.020170853367724284,0.0050320726339700556,0.0002905872285303701,0.18811525313247746,0.04158002525583211,0.02946688108908206,0.002290431366610779
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026489494259073654,0.0968055200867417,0.026499644832777003,0.0005917313248866574,0.016565980883461062,0.0044571946484224245,0.0028480869673392917,0.0005746276385845128,0.0017150830921099924,4.926104100544393e-05,0.003177797706506613,0.0007800619998691305,6.787518153750227e-06,0.007834491538941668,0.0013356859170970958,0.013822164384169944,0.0003655979915202501
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09748321254093395,0.017338057795968087,0.006294812505463154,0.02617372023232689,0.0007319710364650511,0.00164598718173381,5.887761049971907e-05,0.002923666646282852,0.0006668119100119441,0.002195568791495184,0.0005016327975476687,6.797736367447627e-05,0.027863117312422192,0.004399262577729379,0.00369748033286621,0.0003330495270075229
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.760843794685773,0.12557645534605877,3.718286125281019,0.12418415711031394,0.3286071143296318,0.026362803761023512,0.3247738348048663,0.025627293455319,0.26648905078175567,0.05383997904577095,0.001478225449425774,0.020670634321845127,0.003925717456073258,0.0036583834512111946,0.0004313111965500438
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9183225018899928,0.329415438444033,0.028996381186523923,3.8251225638804587,0.13311935025830302,0.29667133425484693,0.0040109646881165695,0.3409459591475713,0.04232282529805653,0.003976562005329143,0.0033397480632069154,0.00048049743693387437,0.0006497833690903981,8.819596822118303e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028710831047646046,0.0016946625475902088,0.13430061764199208,0.008577521752851647,0.003530413151993983,0.0004097517599874756,0.026327634546855716,0.0031099781261502146,0.0012764395488962244,0.00046136930880291693,5.8007005916960175e-05,8.102921666552909e-05,1.0251800773186659e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0697335764097327,0.3069078911332554,0.003979713404422158,3.793407786529663,0.12888477143873645,0.34458473805472367,0.04406732762585336,0.0028061315710978807,0.014070604485096089,0.0035647017839488537,0.006305552703560716,0.0005196644699384523
