 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,H37,C38,H39,C40,H41,C42,O43,H44,C45,O46,O47,H48
N1,0.0,1.9423405711981545,1.9829787379187773,2.826174406749146,0.09429834490600708,0.1897091136315066,0.03470938831804493,0.003382360430208453,0.02700282126169734,0.006971833970630642,8.766180769559373e-05,0.002574049179586535,0.0020307736432233353,0.00017163643850470756,0.0005368206784232277,0.0009643276305153353,0.0012339105462912947,0.0001159350711573276,1.336637238358307e-05,0.0002130122162654624,9.058564275132852e-06,0.0001005546297746518,2.6581716484619378e-06,0.22473331157743676,0.046489176673132446,0.032906700456435026,0.002180150001720782,0.007309396469995691,0.0003650375272818973,0.0014907786435042897,0.00030652361233762804,5.417671893259701e-05,7.58372321761902e-05,3.85488062581707e-05,2.4731263796873293e-06,2.6553870015169623e-05,9.425205561575112e-07,9.798487643014608e-06,6.249960056159409e-07,1.0319316890772257e-05,4.88594031899936e-08,2.2761410375091162e-05,4.977806859235434e-06,1.5184075274898845e-07,0.0003705289214802343,7.642905598036209e-05,0.000106103004937394,3.1683602392251764e-05
H2,0.0,0.0,0.026562804922379835,0.10903462863877977,0.0058478102835963774,0.03468225152363136,0.0023501561578265218,0.00012223772471409156,0.004029035090190924,0.0013406085525679012,1.912406857074167e-05,0.0002711858763412289,0.0003216193809939538,5.758972275393681e-05,7.089668695403617e-05,3.9020548754375994e-05,2.86056405216506e-05,1.603002059957781e-05,2.281956748007019e-06,3.0198746795107034e-05,4.52067903111697e-07,1.5837482149727578e-05,6.995208323701263e-08,0.011371879451417932,0.015864820997176565,0.0015064053157277657,2.6960855270319328e-05,0.00028186187060730283,1.8742004794569667e-05,1.803362681362941e-05,1.2840814240799858e-06,9.99274467394784e-07,8.768450884932832e-06,4.6568799901836044e-06,1.53057026408554e-06,3.4586138213388296e-06,2.792233999571181e-08,1.5170183156332229e-06,1.8834263926237327e-07,1.5797584714816182e-06,2.521768083241227e-08,2.1551091826665925e-06,4.227719582194922e-07,3.179507079842381e-08,3.9959528633337627e-05,1.3023199313066947e-05,1.1586007375830043e-05,1.763544025035202e-06
H3,0.0,0.0,0.0,0.10585811230104614,0.03804544388050801,0.009320123188158336,0.0012581985512465366,0.0020819445334050446,0.0011204928942797343,0.0001682618086773502,7.118975753561685e-06,0.00036622526093499363,3.981163119171072e-05,5.2181111875881925e-06,9.897760576549341e-05,0.0001270863523330501,1.148088154057092e-05,2.2359708997998773e-05,2.7207067525569784e-06,2.8044232599500063e-05,1.0464313460190056e-07,2.4102240948065123e-05,2.4868479409079214e-07,0.013552058184793214,0.028372070028498952,0.0022025423726642623,0.00029610479458752614,0.0003793425192634148,3.642121320179825e-05,6.296435748931462e-05,6.625077970889848e-06,2.256845608616942e-06,1.6566667384254607e-05,7.262933620078016e-06,9.025727432110386e-08,6.500724674007863e-06,1.0521013504849464e-07,1.0278955832054848e-06,3.8678213520881854e-08,1.099512463187402e-06,4.9448303895971435e-08,2.350670161077595e-06,4.841035285974016e-07,7.252549227843019e-09,2.3580214202012506e-05,1.039943983027758e-05,3.2585281765085128e-06,1.008625692522358e-06
C4,0.0,0.0,0.0,0.0,1.9925536899390794,2.672288702412611,0.08858438317752393,0.07544205686081762,0.1731822906783267,0.04718943205952558,0.00031859763699304544,0.019399424260323733,0.012720019042055053,0.0005158679084226181,0.003716162817278351,0.004686394474511468,0.0018874955592163012,0.0007905685289751607,3.8077919118917336e-05,0.0018283699934382447,7.711784423936052e-06,0.0009709215934263493,2.0824235535954472e-05,2.476134437490559,0.27715384993761905,0.20732658075349447,0.012480009060962804,0.034260886615798014,0.005064863364565242,0.004292411715948075,0.0012946794955521757,0.0001228117430223108,0.00039316625665059,0.00014655754398509857,8.90042494439136e-06,8.533608006294768e-05,7.928199656781487e-06,7.220139305996742e-05,4.700430427106994e-06,4.732166778512181e-05,3.0024739938738776e-07,6.264599350630506e-05,9.248194453054248e-06,2.633510775007508e-07,0.002968659194081069,0.0008153594161106476,0.0007286275817790511,0.00014768408863330418
H5,0.0,0.0,0.0,0.0,0.0,0.07356200344310393,0.0015545652696580259,0.027849502308210372,0.016015594205043504,0.0017942915379318691,0.00011171369798956832,0.006013137068807017,0.0007179765212537159,3.350874874241683e-05,0.0003601581975978263,0.00581216909571225,0.0017456110694489269,0.000446162304144071,7.216964776679546e-06,0.00034313140949426835,1.9881683619438206e-06,0.0004997455244868387,1.1733798340962664e-05,0.10392056602928257,0.028086545621071157,0.009595042662638331,0.001495879954640067,0.0014497326268874122,6.098020108580293e-05,0.00010696258099818223,2.892376691265852e-06,1.2314924282330608e-05,1.5616649410299388e-05,1.8497229271385862e-05,1.6472385823806945e-05,2.3538223261621027e-06,5.000610492356117e-07,4.088447574268628e-06,7.827090100498424e-07,1.4881186849446948e-06,6.041773747966772e-09,1.6965347535702335e-06,4.336521912673419e-07,6.949266473377236e-08,0.0005828008848647315,6.581762861745943e-05,9.382239600219666e-05,2.48672944549444e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.961190659229731,1.9533440926895849,2.605845616811478,0.255569409352448,0.006025172125856626,0.18710038184273114,0.04816736343513353,0.0025300258905398554,0.034140664446354135,0.014891122461716755,0.002494303426376465,0.005141700070915356,0.0010821945609833516,0.0038149357610556545,0.00014590683257997838,0.0024557699172185338,5.682560398501124e-05,0.1813732915128705,0.04084576937125417,0.025612570980907134,0.0051668207302174585,0.002693192235200287,0.0005588345235820746,0.0004905202305052758,5.988163837677973e-05,2.0708063808383415e-05,0.0001024021863515745,7.328650400850734e-05,1.0586913894217176e-05,6.90728561206777e-05,9.717321725055683e-07,8.240356091707146e-05,6.078396628916849e-06,4.36711720507299e-05,8.921995919841663e-08,5.120482447970587e-05,1.799100855255642e-05,1.063341998897016e-06,0.0015079217926851074,0.002448222005607084,0.0004264040559098514,8.370215035458095e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025578443839599396,0.1062358257441991,0.03900063622815808,0.00010975476555108443,0.011742524939236665,0.007764986707837318,0.00026268745009083716,0.002086734755492037,0.0031674543233681796,0.0019730855836261885,0.0006032717625397144,4.0894808573055386e-05,0.0010342701152461498,3.0906318358336904e-05,0.0007744645379723636,1.4473126420888605e-05,0.026107033931376256,0.00390748032245547,0.004838624719302853,0.0010167358872767984,0.0005262422282279466,0.000144771951684719,6.261364999660124e-05,5.635435471607053e-07,5.70391737642062e-06,3.340405565999127e-05,1.9772450895683136e-05,9.798990312503975e-07,3.270402816824003e-05,1.7953282105409585e-07,3.10282892368452e-05,1.0050179812814974e-06,1.5868508546734716e-05,3.773379164684343e-09,1.2663490911668518e-05,3.3637521181795194e-06,1.2129701443264196e-07,0.0003433461592892151,0.00010405362131538087,0.00010335637423808386,2.8544975956501517e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10527650535776911,0.013824976574229098,0.0025573637428923934,0.023245191152151845,0.0012336845534850482,0.00011795269141856579,0.00308770901377331,0.0014174913307294368,6.474646791732042e-05,0.0007033123622592896,0.00011494486714247465,0.0003318239466554296,1.87484392231152e-05,0.00017455592257986652,4.855917995705283e-06,0.017845490299866817,0.003082395736339061,0.0015870105001780654,0.00014726023761446605,0.0002219132425609338,4.512720427229944e-05,7.664771959636774e-05,5.056500932187902e-06,2.454902349402488e-06,4.253564692247025e-06,3.91036979197068e-06,3.030768474410195e-06,1.6627219114884184e-06,4.5616032795514627e-07,1.50615893712569e-06,2.2291619194980683e-07,7.375227280004282e-07,3.919649493866473e-09,1.2863287157660608e-06,6.539723822474031e-07,1.1514338971174709e-07,0.0009291395711463757,0.0050328896784388455,0.00039408153799025403,2.0099575430254646e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15071568920538,0.1203752289015716,3.227953828013002,0.48998445767153664,0.026100326107512783,0.33853107695583484,0.23019752484731903,0.00801799698713812,0.03931925486155241,0.0037191872492061684,0.0710012968939108,0.0029339717445411306,0.02553383264355355,0.00036040900891709526,0.011296555682006632,0.003755992521484286,0.02207115066809788,0.06135186603677989,0.002419157498745217,0.0006867658935417742,0.000212824879704282,3.5772652899224155e-05,5.022153927392026e-06,0.0008925857357399425,0.0004573124556097874,4.6336662043344745e-05,0.0005292702838562147,1.072558840631288e-06,0.0011237726409055737,7.927149533704103e-05,0.00036561242913141223,6.167242232457681e-07,0.00046401647627022924,9.624729010064559e-05,5.4699616329756395e-06,0.0005234664609707895,0.0020031997218566966,0.00017734568269101025,1.4199173265172504e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01412249588356,0.38858855177711704,3.355665800054403,0.1125987614098054,0.45212019982099927,0.10916334065414446,0.0007735466893417087,0.07452479784721036,0.0006765985348362591,0.030980854998976473,0.0009485680615308745,0.07538529280016577,0.000907839224517426,0.004885946416328835,0.002346398682908299,0.02238143122484977,0.05689937666674383,0.0021433360282517577,0.0005397553055503934,0.00021666958570218386,1.4822749317522366e-05,1.0405244011524317e-05,0.001134694133818559,0.002835105365471685,2.909541747619926e-05,0.0005326175026013069,3.492263889404157e-06,0.0020985325001253996,0.00010177332688754426,0.00044311881775113693,1.692799716845883e-06,0.0007909064961501289,0.0004947942073966066,1.3522269384336205e-05,0.003394433896184379,0.015534204242245206,0.0012102460268611087,8.84977810801102e-05
