 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,N27,H28,C29,C30,H31,C32,H33,C34,H35,C36,H37,C38,O39,O40,H41
N1,0.0,1.9057356502124823,1.8781408801875665,2.7656325623618585,0.08429629431629715,0.2033935537032004,0.007126400682042622,0.10324047228192684,0.21428939534636338,0.030792403510184488,0.0009411543920843091,0.004143518865370455,0.001010920865956666,0.21015632151556662,0.060514120261922474,0.033582928528579664,0.002460847732075555,0.00656910497806551,0.000494043283023049,0.0014960140787324688,0.00029015658026976254,4.023057618207648e-05,8.479679105678761e-05,6.072993049686948e-05,1.197348398862541e-05,1.3261821032603538e-05,1.6651758077551593e-05,1.19153219735324e-07,5.306202949750816e-06,4.029513319805944e-06,1.372823108414245e-06,6.224954295919183e-07,1.8415322267095746e-08,1.52253758932408e-06,1.101955870996818e-08,1.6439666673667697e-06,2.3435908658164806e-08,0.0004020793714561016,8.52366826006555e-05,9.610807766838314e-05,2.023215712432247e-05
H2,0.0,0.0,0.028818436167953543,0.10533681449456478,0.0094707723599039,0.028536962526830467,0.0005523530998476911,0.003686054361508595,0.0013538330881326388,0.0033212079735509548,1.7113259137335746e-05,0.0009853656774168051,0.00010100909875654374,0.005591253235448401,0.001618354003556366,0.00039045204112619913,3.855718180889589e-05,0.0001384037205803823,4.413891112831081e-06,2.3843685244773205e-05,3.399618818900052e-06,1.0285589724379207e-06,2.2732283175841417e-06,2.442757386811323e-06,2.4372563389718493e-07,6.305887403357247e-07,9.441103534513218e-07,1.3908187490585533e-08,1.8694181791456543e-07,1.3117150832187008e-07,2.9832308401367413e-08,5.5227618367403863e-08,2.0843344827881083e-09,1.1050329207229481e-07,4.745177584197791e-10,4.3374488001290956e-08,1.9929502492743723e-10,2.338342439311969e-05,3.3429927860373354e-06,5.364718577594019e-06,1.2644705327247152e-06
H3,0.0,0.0,0.0,0.10384804895216049,0.03191448933802721,0.005883313922062983,0.002872300354920032,0.0017764549038912225,0.0017088253658741337,0.0007686388886904982,0.0003676842812982972,0.00020890966781283993,1.4790629748739903e-05,0.028952161019174527,0.07326223595437009,0.005089582118434799,0.0005478226350301707,0.0007207066108084748,0.00010530216019555283,9.691793611354971e-05,1.166630995186324e-05,3.210917173923633e-06,4.14770318749591e-05,1.4771863563134424e-05,1.7297512084901712e-06,5.777267031548128e-06,2.8844112465176153e-06,2.3479687749627942e-08,2.2671917379035733e-06,1.2071635778765355e-06,9.387243826708414e-08,3.859428414632049e-07,3.125924430413818e-08,4.994462324825477e-07,9.143119594767768e-10,8.51208198704434e-07,7.607638963236241e-10,3.826143876639598e-05,1.128283317863854e-05,6.569948928780711e-06,2.0233476649700322e-07
C4,0.0,0.0,0.0,0.0,1.8427542144830165,2.592608388525127,0.08586811295444252,0.21777538677225522,0.03528845159287475,0.16084975885006036,0.011135884733100454,0.031752910407613966,0.004118329123969033,2.742061970398348,0.28432173248344955,0.22723880848096353,0.01536966652350813,0.03490161406731798,0.006331142888925223,0.004053757188967694,0.0011213377847876238,0.0001151155323495523,0.0003814468159137885,0.00021007237546552537,4.0976926384495016e-05,3.6154900209223184e-05,3.929246630873795e-05,8.132247825143324e-07,1.840943477740553e-05,1.2605221572342673e-05,4.287536569780315e-06,2.2633322893095276e-06,8.284437491568042e-08,3.840847055458507e-06,7.141149227507526e-08,5.427424272091974e-06,5.6523198344038406e-08,0.0032217188766806015,0.000460645017848052,0.0009068802832905704,0.00019574144179057562
H5,0.0,0.0,0.0,0.0,0.0,0.07758895672048349,0.035915806718939125,0.009532897161021125,0.0014619839655687361,0.011477078013442776,0.006174459800460053,0.0006390981052295519,5.4611675794902226e-05,0.09533704555135203,0.024514613832783083,0.01150944848237967,0.007630215817334918,0.001925125458193122,0.00023831896653070395,6.404255816938598e-05,1.5941437252475765e-06,1.3530253448967855e-05,4.2052283683258196e-05,9.524195808685576e-05,8.557861666980138e-05,6.5313652795051524e-06,7.514137783326547e-06,4.917584903729733e-07,1.1051491845659456e-05,2.9455937946565314e-06,1.0976470310453124e-07,1.4630273312832287e-06,1.5901533645390487e-08,8.830096231982054e-07,5.82107895219508e-08,3.892358220403125e-06,3.917236934825041e-08,0.00029335317445666753,2.563693462376282e-05,8.350459296890822e-05,2.1011207115062547e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8317390896771593,3.128130263117138,0.11570869246590676,2.808040649570727,0.08909991310398091,0.10206294430306317,0.09812819288936336,0.17450474077522243,0.03641942705930014,0.025196660462853057,0.0010012892998750855,0.0031079085896423275,0.00027469417128400675,0.00046000526345714443,4.82441562827951e-05,3.4913573057515634e-05,3.602783120706943e-05,5.212460545117592e-05,8.869073633288593e-06,6.268035793066673e-06,1.0167363516694339e-05,5.3718373971278766e-08,2.5007861658432606e-06,2.0946228603824224e-06,4.873961536588922e-07,7.458214675848396e-07,3.0982910903532e-08,1.4109152366992284e-06,3.880366694630766e-09,9.389374844015475e-07,1.8163053727704437e-08,0.001319646690714299,0.0009893345638311152,0.00029769134474649794,8.305852021384119e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11348988869450483,0.007094416318786045,0.08594100818322303,0.0371337003694423,0.005022723292393616,0.003941645613833478,0.011076394942955536,0.006010220943100553,0.0012594938543717404,0.00027505368679703324,0.0001280414362303528,9.997527929295202e-06,3.3284994683357993e-05,5.876469097776393e-06,1.1815862255293297e-06,5.991457411758105e-06,8.724814306138029e-06,9.112234883312809e-06,7.007503151079675e-07,1.2635076025446779e-06,7.808908186746066e-09,6.012077726769149e-07,3.1117163112881485e-07,5.5005346721870296e-08,8.865029132998359e-08,3.61876528742755e-10,1.0555929152999965e-07,6.479534686576471e-10,2.691865441661889e-07,7.640437171829717e-10,2.0722630302838496e-05,6.581426304941296e-06,3.5296446423416228e-06,3.5901638129054447e-07
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7393956089866975,0.20254073422924612,0.009714532571203582,0.010838175391139404,0.029329542923904883,0.039854987765008204,0.009573054512913376,0.005617190655623688,0.00029842994944340173,0.0009922891511655318,0.0001569630146615042,7.697405747666974e-05,6.271444000782722e-06,7.0456484013714515e-06,1.0473777326103217e-05,9.986330816003086e-06,2.7101669409779205e-06,2.385050540232303e-06,2.433667429663222e-06,2.3144399174945818e-08,6.271157408366257e-07,4.205105448296109e-07,8.14439645724363e-08,2.0519919516348573e-07,9.639265940997177e-09,3.872578604319221e-07,1.489081080663368e-09,2.115565615190551e-07,4.768309080915856e-09,0.00044387856930747094,0.00043690903508913914,0.00011207658129583353,2.6396583219900904e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03280516513276821,0.0007378399698743099,0.0006986100715875576,0.002436240941397383,0.005539308753368499,0.0012856091130278857,0.0008022746186838736,3.228469783689292e-05,0.00016882154268971217,9.879623145137018e-06,1.1970102079872369e-05,2.52262569966355e-06,1.2170556087376383e-06,7.585367201023985e-07,6.68014394578087e-07,1.033359668944911e-07,2.0839044767573256e-07,2.1981098385914777e-07,7.192713091797032e-11,5.364644806160612e-08,3.734015219247766e-08,8.172965193509185e-09,1.1155800283546569e-08,5.571343386634453e-10,2.2281805955870482e-08,1.8440560189958433e-10,3.657274483259698e-09,2.9622859720745964e-10,5.1756629920296504e-05,6.24626415077767e-05,1.754575334800279e-05,5.107094308565152e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8541873604209833,1.9941950772028876,2.0772757025126167,0.012743493115039362,0.0028691551670304988,0.012318728855750721,0.007819159273392051,0.0011610505817695183,0.00016014248559292898,0.0003685600024349728,5.216726264078986e-05,1.4737599210556951e-05,5.447660088650497e-05,3.734762942575465e-05,4.536443076075258e-06,5.215083921150665e-06,5.754148935610548e-06,1.2323532139202342e-07,3.134454544279075e-06,3.814928183576427e-06,1.4017270273392057e-06,7.511148619743224e-07,9.515459087339195e-09,1.6152606150399151e-06,7.47323491978591e-09,1.5004129065021576e-06,3.065127240908794e-08,0.002786658292039751,0.013603246832864721,0.0011905363482255932,0.00015729101021533243
