,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27N,28H,29C,30C,31H,32C,33H,34C,35H,36C,37H,38C,39O,40O,41H
1N,0.0,1.0184872320086171,1.02238548084849,1.4704051149155364,2.094142404090375,2.4367075121684687,2.724184835730495,2.678759992586035,2.0439755871586778,3.817579833124669,4.08457773985792,4.573041677251836,4.254844515057824,2.4759225133209912,2.784179211207874,3.6519580119392145,3.9438426787408694,4.897332526344084,4.836319550541131,5.853856380047429,6.769011278407027,5.54916492343569,6.399114247578075,6.170562576298639,5.538538292505208,7.628220285528354,7.241959073314964,7.55869539700168,8.06656834171,8.602900758356448,8.570697880607987,9.3323834618311,9.816799781976588,9.781698120835387,10.592477317670044,10.10672281090442,11.112608756198396,5.818444897176825,5.839401846017134,6.964171793434106,7.575072753211982
2H,0.0,0.0,1.6300268484819251,2.0580454031888724,2.2870286042694894,3.312661517191705,3.704775816242404,3.488721730874594,2.8084211163266692,4.562252847128115,4.652689866843398,5.401004786042797,4.955387501860789,2.8445672865939966,3.1623682028761904,3.848720131223311,4.138578068405292,5.057889708004408,4.996701034986056,5.774726296472763,6.712514525284897,5.299904464823586,6.298230296352481,5.950132030464087,5.185745337890978,7.611531663214232,7.062822990351458,7.326272732977486,7.9980276718555805,8.675514587122533,8.682383246242269,9.30705675658988,9.758868037254178,9.877210257814303,10.735036412795008,10.15741952240437,11.182120357111112,6.175900535240408,6.331812261451228,7.284763621712986,7.980969408785539
3H,0.0,0.0,0.0,2.0209247863230173,2.89653062896509,2.827609359618971,2.7106115009982523,3.2739323869253636,2.668584274907467,4.244960849097213,4.714717470404825,4.947991429149024,4.520549691531853,2.4676384349687526,2.295514253686769,3.7985403243868157,4.311311413653841,4.83995234866165,4.560107894333513,5.903980463520833,6.709862716451144,5.5914451446888345,6.664742353458592,6.6255938312532185,6.06078163316952,7.907433201513305,7.780426552466082,8.19640235053267,8.503862108570054,8.772623416829644,8.613097083223069,9.791167651144848,10.361735519964727,10.006891274706959,10.751883592389847,10.463585302916236,11.487078957750963,5.743098045397738,5.8639409868146455,6.770365142888816,7.3922735096458885
4C,0.0,0.0,0.0,0.0,1.0973618639437097,1.5602265538680604,2.1574342097185757,2.4067534668632806,2.331083697134811,2.5879077625913034,2.8299418562568195,3.520137635406433,2.897348350740208,1.5352440671487642,2.4071081416846045,2.4688564390276544,2.5952444385709965,3.832974022437755,4.024228568770732,4.86548475279508,5.816336309912209,4.785861413710586,5.259675741500741,5.091957103584695,4.631822135927403,6.3759142841617225,6.085121554539703,6.46325906596527,6.804382097268596,7.320278948795906,7.340619368547094,8.022074355502372,8.529206157173107,8.444783577125753,9.251139147069697,8.753893787114317,9.7399129073983,4.595668427767623,4.495404869782145,5.838899754243853,6.388368053609523
5H,0.0,0.0,0.0,0.0,0.0,2.1597345689516936,3.049156165861276,2.688841405278536,2.6904607521850132,2.752131115575399,2.5461648861274817,3.740665419277968,3.1473247539438383,2.1806121516222645,3.254780572805779,2.592568878164829,2.362115098344153,4.03641270111277,4.448121348217195,4.790238359074754,5.831757584891818,4.684581272723997,4.898089250754683,4.467925860656939,3.915656346000619,5.99803023162001,5.358384935728424,5.612831298311058,6.221091436323099,7.083064462471731,7.259053491745245,7.422922441023519,7.827195639315396,8.139990064997797,9.026696624200165,8.287763537736309,9.25729654814577,4.8557573861263235,4.725819089831387,6.146619016703381,6.705814377319578
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1056169947701662,1.4140489186510792,1.9035332881614244,1.5233944550374352,2.1631826457080012,2.148706248999732,2.1866413193630407,2.5687189647767847,3.266563805452413,3.354248720129236,3.2947320317558733,4.599415099587001,4.847894412719996,5.834039195386035,6.717140005913981,5.982114777049315,6.118892400982587,6.028482025509583,5.740776268295312,7.006679621353082,6.824348658013713,7.183631893333411,7.391668213320806,7.808879701833566,7.831513188388255,8.459049248396466,8.937654202526428,8.808422202039765,9.541735619129293,9.099577489656564,10.007205001053874,4.894083023986417,4.431855552991514,6.161316931150306,6.498051711558507
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0783499468806528,2.390122428999424,2.157702527643007,3.072525962193794,2.504776128923954,2.497987197502183,2.7061676904648757,2.998547059834321,3.672988123290619,3.8577951473850702,4.702407075323636,4.744298601634065,6.096547196266543,6.864438527258302,6.26938595317456,6.593257951755747,6.699313677857632,6.471816728927641,7.4732602667664905,7.572022731416995,8.026927216758166,8.023685699209839,8.134945568106001,8.015537924987704,9.095830417278219,9.661425950850935,9.176352961615367,9.822342114314962,9.611397681403544,10.524674061736215,4.8827039767967255,4.463826349784695,6.028709138509246,6.325998653584246
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9799116596300473,2.3793939482848847,2.651974981701091,2.594483716184662,3.3472648976172974,3.7729298283001182,4.42703795739084,4.594236997916233,4.420437971265294,5.924318263485365,6.179019107757783,7.056005681522804,7.996421199310302,7.111822435498928,7.225805587264775,6.929653521617296,6.513764599524753,8.120137950359592,7.632860159662414,7.8330386974993065,8.334606637049239,9.01143894138163,9.119350256382306,9.361029089482663,9.714490619466476,9.953256090958881,10.730082800622684,10.110434952484587,10.982348721250553,6.275885664040416,5.763049314881299,7.561490464497971,7.8845551299401775
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1835725249055775,3.4285195370612933,3.5269103336978964,4.045790950303364,3.7594649767514485,4.2733688646186625,4.756231190936715,4.71658124358304,6.10285847546995,6.2379868418415105,7.186372041857682,8.136714283495833,7.096765788189461,7.467779092812224,7.1373497431244015,6.600038753135295,8.490737132862899,7.951364910980483,8.14353960938184,8.74298410684484,9.437206295296454,9.510282913740221,9.85081798520117,10.216279247929494,10.456518078142837,11.257470933622402,10.642600996703516,11.55685054355923,6.652540846472509,6.295690505274858,7.90861568934269,8.32462336546106
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097851415341639,1.0948217682450911,1.0944043314041205,3.1901755212334857,4.081622706281382,3.3887382401308446,2.9958794938531947,4.4885523634478295,5.008048943383431,5.663284594061758,6.510766966913632,6.056155576918471,5.670688168882867,5.616533867020704,5.560471521442181,6.285243950234366,6.168608391229178,6.53026793649844,6.56634277230885,6.99898767115379,7.122401888213329,7.472451394456669,7.921122907103523,7.837667761178513,8.5442778800257,8.04961524764782,8.880874545019687,4.4022242256424216,3.6363798532992453,5.700390517083953,5.870177049323234
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7675605852770981,1.7873996500980913,3.587001335064887,4.661192273614865,3.5477858620805556,2.884001429766442,4.734992998860943,5.412239185741308,5.666173292151214,6.593238383508705,6.028629728975885,5.41353499069881,5.124718176464659,5.030503302713928,5.988950752295464,5.525754564280641,5.754011592435,6.0445878997862295,6.842415121833543,7.128027676740186,6.912402561024803,7.241526576602986,7.602810685328531,8.396074815395673,7.632535304923676,8.440837211393566,4.763302777476265,4.024005995422821,6.099775504111399,6.304514050669425
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7755238999049805,4.171403503883009,4.929954605786123,4.427359841312665,4.048117144139088,5.427389148511829,5.909276335191522,6.651568388528803,7.443859885891564,7.102022195813563,6.632723071852816,6.6055422233169985,6.597972829889896,7.1200092037760045,7.048258365004065,7.374239356842014,7.361825403610651,7.728468802692829,7.845184272197031,8.146152570349008,8.55485978174733,8.463226542012755,9.102516321242973,8.65322156041772,9.408285758709981,5.136072951002209,4.221153323319111,6.361313523876646,6.391278197216916
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.935039915653676,3.7663160749072064,2.8549873291011045,2.5393151882057534,3.6965018005469403,4.258439347478888,4.9348092587356645,5.683609766494971,5.468476312992884,5.008386704774392,5.189193636308638,5.305199217040442,5.5352305555687416,5.769298725404309,6.276103915540333,5.980400141793558,6.112987913729655,6.156441631395749,6.881162349269576,7.446517392173564,6.976567126049924,7.623936428422495,7.320648941344818,8.168134100783407,3.385176031013012,2.5565514781679046,4.653888311221075,4.782633918004073
