 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,C27,H28,H29,H30,C31,H32,H33,H34,C35,O36,O37,H38
N1,0.0,1.7001187040892636,1.9183370907618182,3.0312879084891096,0.0867088903829133,0.18365615291069215,0.009774473054005806,0.04285894998745274,0.0008586472698335346,0.04845183083124638,0.03180363982022326,0.0009493631984387463,0.003557682285853403,0.0006426252372317975,0.004291817263130465,0.0010505938238867252,0.00029095947342394624,0.00020770763171262807,0.23012670482975447,0.05417322923741921,0.03432235046759556,0.002415352085778699,0.006021459801134027,0.0005854251991277426,0.0015924591899708906,0.00027089143529690496,0.00026306941726685074,0.000261208635513821,1.931365393104123e-05,4.238419535051996e-05,0.00011289720055060459,2.3345885762360297e-06,8.374228766871994e-06,2.8860002629471637e-05,0.0004851385229376337,9.564873936578067e-05,0.0001375638223375525,2.528642773269585e-05
H2,0.0,0.0,0.027326293974065052,0.10434420636995312,0.007573794536781531,0.031104200021177975,0.0010061531231095877,0.0017753555020820766,6.299498646833435e-05,0.0003832738417115511,0.004060934253254156,4.1398236193312954e-05,0.0010145748381185093,9.157794777991946e-05,0.00013871615258831405,8.473923765417446e-05,2.0234175449385106e-05,1.0028043355703176e-05,0.007807292382598252,0.0014905832432957622,0.0008232139542082573,5.545623070868366e-05,0.00018005926806674566,2.4856421541707974e-05,8.915436524237208e-05,3.691992619048179e-05,0.0001603884046784687,0.0002437653097320247,1.8971987603810803e-05,7.571198853861816e-06,6.277874188387322e-06,1.261221844739424e-07,2.188238166889178e-06,7.252095439946871e-06,1.9936916924034875e-05,2.326405344588167e-06,6.572340981003677e-06,2.137341444496954e-06
H3,0.0,0.0,0.0,0.10095123658460037,0.03523669628011028,0.008133227522360897,0.005432191473797809,0.0007552960672922993,8.482884570493177e-05,0.00037562219815523434,0.0006606019887733794,0.00042989591894260215,8.02824181111994e-05,2.6338556450955508e-05,9.346298795709362e-05,4.523317816351735e-05,1.3179149083164532e-07,1.4320372393683556e-05,0.021714957456296813,0.048227545656707504,0.00371480948879932,0.0007433279411772631,0.0005399535384263965,9.113963211193621e-05,4.375336867734614e-05,1.649151638138946e-06,2.9805586362119385e-05,7.5064720217454806e-06,4.218335027061926e-06,7.709978832481923e-06,1.6244335053650083e-05,1.1418033540877559e-07,3.05295642966108e-06,4.626407253294218e-06,7.100604455478887e-05,3.517004965913895e-05,7.682546051879235e-06,1.856866602034657e-06
C4,0.0,0.0,0.0,0.0,1.998509567398994,2.501214482121647,0.0822759267964075,0.16848318169013657,0.00599248837834665,0.01736910906976208,0.1611875772248189,0.009662421088445061,0.029942195794082416,0.006483072250156541,0.03144667391232876,0.00060968252997462,0.0032958384714891764,0.0008077046800318843,2.30762437073886,0.2671316151568114,0.22880614515672232,0.01791271591652155,0.036238696786483865,0.005421259267614054,0.0034688184870323158,0.0008216418131048453,0.000987723864398743,0.000295522997248554,0.00010953233534483076,0.0004968357142438595,0.0003828162759939441,7.640674263953429e-06,4.6679040488273316e-05,6.902104496009365e-05,0.003517980883955385,0.00041675078468718374,0.001070269600188703,0.00022680866600932603
H5,0.0,0.0,0.0,0.0,0.0,0.07716466510072184,0.03523422139255583,0.011371022653965612,0.004089141136154328,0.00043902991307032124,0.006114775433165631,0.0035033771125312363,0.00019170536090062917,4.737848338476347e-05,0.0012017690642828205,5.1211129426853574e-05,2.1591665876119492e-05,0.0003700097328032115,0.09282287939089051,0.021370500931980785,0.013242389697335932,0.011512386761122873,0.002104294286094932,0.0003596402795731368,6.780488307644994e-05,2.0959662886177455e-05,6.881216499654563e-05,1.4227562029622831e-05,1.4631340630621992e-05,3.6033469969165566e-05,2.1762808431136094e-05,4.226635330617512e-08,1.4614393661904757e-06,3.8337686460998555e-06,0.00011246267435893742,0.00012828399875708385,4.09861917292087e-05,1.1381442317048851e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.914009344044901,2.3884152992450356,0.0824530087500559,0.08934604787905753,2.8624499992108348,0.07923694276143167,0.08876063826060743,0.0855881607023865,0.163350614548959,0.0061135569460200045,0.028771963547957302,0.009561457524007277,0.18147264857358122,0.03436590855805993,0.028180359080222872,0.0011861669913785233,0.0041407785259442165,0.00030352429390534397,0.0006563213779066379,5.406362407356369e-05,0.00024212984448648833,0.0001984466881155278,1.2809540095082284e-05,2.2926956708468893e-05,7.532789715622434e-05,3.840728293624807e-06,6.827210442095222e-06,2.2851915762123198e-05,0.0009845736698087526,0.000171425208045084,0.0002697100149322562,8.926616909976648e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07912130407145579,0.03476771953240765,0.0025652015914563453,0.07847711322191431,0.034796310886731296,0.0038107254819301772,0.005053968737559922,0.012505239877696694,0.00011697722613424055,0.0007611662742776915,0.00559705459738602,0.008422309894630331,0.00842375294173281,0.0016490273795672916,0.0006688186858523348,0.00016294858767795795,3.072508590595824e-05,2.2852596162969974e-05,3.181873549529257e-06,1.185991982688428e-05,1.9652590055319052e-06,4.720715591544078e-06,4.53863411875588e-06,5.022214293770588e-06,8.306039966932133e-08,3.7408884301370904e-07,1.8929608847084722e-06,1.7401940819450346e-05,2.1695306783531265e-05,3.521863084721133e-06,2.4233100526238616e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8611300952185525,2.064135102035784,0.16713183312111876,0.008329943784154858,0.008245204242244952,0.03155931791447464,2.828702838262974,0.08098942637203166,0.09065363890806699,0.0804559291356417,0.02973480911084736,0.007221258934973315,0.0041875991124672995,0.00015395830505204877,0.000905727172953702,0.00011798626656911448,6.350633098442526e-05,1.4233557076082093e-05,2.2216784059711503e-05,1.1348173323488808e-05,2.0140474545904397e-06,3.3797866214602124e-06,1.3489986096543172e-05,6.419982865324414e-07,2.812199008106475e-06,1.3811323595902536e-06,0.0002488542337698574,3.1381734070315415e-05,6.660364903630922e-05,1.6270063067813645e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024178837401333864,0.012892002029367688,0.00528346435779814,0.0002458163529428514,0.0008661902598150473,0.0793340207687665,0.00489774352962713,0.004102434748818329,0.03463590014079698,0.0007288973556385248,0.0004990159192450605,5.146745885586945e-05,9.934952046153356e-06,1.0021113484803834e-05,4.040582836761786e-06,7.419902201544204e-07,8.64704856606835e-08,2.5182607754636877e-06,2.8621112657667425e-07,6.949442912240755e-07,1.192507157465883e-06,3.2739637378931263e-07,1.4358673805503486e-08,6.531271079524004e-08,7.34482499264999e-08,3.3102472105639436e-06,2.95526408522484e-06,8.651595315711802e-07,6.029057963985451e-08
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028631496968250292,0.0003382032978689331,0.0010632729207233904,0.0019921594613356852,0.08490494345965582,0.032878367495614125,0.005190059516377632,0.004697084367842219,0.0031694132739579217,0.0004034168903299662,0.0003860734151666101,1.5153824362901247e-05,0.00010318345088733416,3.145160736517383e-06,6.5387659229365624e-06,2.099607818495386e-06,1.9765399100757364e-06,7.938926989137229e-07,6.762763193890464e-08,2.712540110305639e-07,4.419077674899796e-07,8.663743722436834e-08,3.228907852204088e-08,2.5032037997974044e-08,1.67475218968427e-05,2.7152388454299015e-06,4.177449068776262e-06,1.2683228869381225e-06
