,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31O,32O,33C,34O,35O,36H
1N,0.0,1.0213023956021052,1.0243945752426942,1.4684923993077266,2.0938314913908735,2.489944810830933,2.5416277302411876,3.377804556518065,3.267470348254185,4.446627119753499,4.800083485657271,3.454756876978782,3.008368441053801,5.475469424747171,6.425367716196781,4.704786819275379,5.2236103938933,5.584608333924976,6.870878496546918,7.021453826748362,2.506802998562163,2.794185061663564,3.688229582306858,4.000499739275568,4.955415970280102,5.256857648480922,6.116470104647855,7.043044378985032,6.288304282788139,6.275433450440271,7.440014434125704,5.416329273627893,5.319508782978064,5.044423468151147,6.478847356174338,6.858108906561914
2H,0.0,0.0,1.607220306545388,2.0312026257662463,2.269658450100086,3.3515461192001506,3.540989863037577,4.165641439382721,4.0152401218369596,5.062540329826047,5.378351764876809,4.159434091336299,3.7484659588991187,6.0147323483796695,6.9140460783292825,5.276403151631053,5.738460902710251,6.1086133147967825,7.327636177347853,7.461099129219892,2.809175141337444,3.0079700497201123,3.923933179938067,4.308937070236432,5.188475155654255,5.324914675595218,6.32896934584381,7.271707198519296,6.335933949877978,6.63624874993497,7.847079189477434,5.806478870526717,5.769405512550068,5.683452859929002,6.858532781061252,7.340387930272732
3H,0.0,0.0,0.0,1.9968762479884865,2.875479536435158,2.8548697501838136,2.595375781225865,3.598043280263161,3.917896702407437,5.140279686761708,5.4062280569159515,4.155273633300281,3.5907318449426566,6.258975337781133,7.211424161084044,5.477971618488908,5.969750216907072,6.402736267807752,7.717022878641218,7.858096690209159,2.4756639138885492,2.3136102740013365,3.803730715510723,4.314908773884091,4.869557854358292,5.073250733402299,6.197939809901785,7.023669299822871,6.468949684601564,6.505973294448241,7.6440491366066965,5.797301498038393,5.021413917504339,4.726937530431599,6.067549311155217,6.3742409835500435
4C,0.0,0.0,0.0,0.0,1.0963719022104623,1.5594928830936232,2.1574118952264594,2.1790347838541986,2.5661584347473845,3.470425135864383,3.5707071984955956,3.3331139459573564,3.3269705327143995,4.679061697128303,5.5125058133804465,4.579936191908576,5.357030096090176,5.136917825395046,6.474248062098369,6.8221983328726505,1.5454023234005552,2.4324578603314673,2.4213239907123074,2.5658609171496423,3.779449887351727,4.2828848972524,4.783561852584758,5.750141008290336,5.000143519787529,4.823892742622008,5.986851233594533,3.948871028937491,4.253826549003315,4.02453417748029,5.518872458491234,5.957595720811813
5H,0.0,0.0,0.0,0.0,0.0,2.1641180131131676,3.0196907921028595,2.682153811846635,2.609305761082725,3.1906483103387044,3.281007416571121,3.378466606039627,3.5970193102893577,4.254667962147847,4.9987589994888895,4.399882634602215,5.213098204739327,4.766796309856123,6.025865413986842,6.426137072892885,2.157024806953593,3.1976919882174726,2.5790696792480947,2.45371916096916,4.025422236053754,4.528528759802828,4.75756128345865,5.808044124915373,4.769062974093694,4.704130455082026,5.888574032430251,3.7056483884346405,4.801758634349936,4.717119553723264,6.070130946696464,6.611603519138299
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.097773006525984,1.0935750727491038,1.5124251991121875,2.527173177662015,2.717436565060417,2.5454146577635397,2.746774327786936,3.817062145081601,4.691129304878681,3.8311529134633435,4.706658390404113,4.328070891494413,5.707400990435478,6.100294276361506,2.525565860588821,3.3799646837689514,3.0481803268350203,2.843303316221688,4.206987261856188,4.9805561801594,5.023494384989424,5.923549997692415,5.480280795458186,4.6491200015855165,5.639399818422478,3.6972801802550457,4.280239780820321,3.660912740471762,5.618121169028988,5.857420223836845
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7612352892572392,2.1617483182797956,3.357076692815825,3.6497296584556294,2.7533464688289606,2.5975337476028795,4.540155371646217,5.475007948816995,4.114063501618679,4.834298748125759,4.842807283413715,6.205426772893469,6.480362274317648,2.961301285423146,3.4582210904160937,3.7383328646117464,3.735855074201905,4.744034263758085,5.44415527678149,5.733325612932201,6.538526902014021,6.28797207437191,5.451127423521374,6.380553581231547,4.622989209926207,4.5204073198627315,3.725752909903873,5.7724419196342724,5.86537744536142
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13645295229268,2.6184124193990606,2.3825090442721426,3.4004543656257864,3.7508960109710507,4.00071293948827,4.695215601898777,4.554791675934056,5.514712068721897,4.792722087773117,6.13779900772138,6.655312181917476,2.5296974637935508,3.4427076870663376,2.622901260027065,2.291894442823855,3.5408190011262666,4.455813560685711,4.210634073769066,5.043841455557594,4.807863641632885,3.725265315652041,4.643613360625759,2.894264105568725,3.4884430034043334,2.8281503013619855,4.837636211558007,5.055462477460177
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4066758424531274,2.160590343286791,1.400180103767571,2.1502944149369227,2.4379763239700196,3.4265729788984083,2.4359631723546933,3.4225364890870975,2.815926573661028,4.1955604788317435,4.604805210867651,3.828644649025282,4.788330411120341,4.151736878440225,3.643021189767233,5.378586206224474,6.211936156717467,5.90636538637522,6.86186056227649,6.253913384063064,5.218101604931787,6.109297976468792,4.057493985123279,5.583889615768185,4.9542500928890565,6.943478124301424,7.186209301312953
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09066207298586,2.409735014739439,3.3951166211118227,1.3950012181910687,2.1649444199691334,2.7893078044767234,3.880345336921888,2.417572407055357,3.6616901418048973,4.328972672349057,4.501720144741302,5.617389586673332,4.405330565718802,3.60737178805334,5.518500196948376,6.450172903748634,5.666381948811589,6.6129365938694455,5.959855751075325,4.680159343858375,5.424777670715439,3.4523750909990576,5.84626200597045,5.30575191261519,7.19052244765141,7.476170165663649
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3984658975631765,4.296223064641931,2.155609985541762,2.4959967343549727,3.8798926705279886,4.970920242553752,3.404942185586456,4.534556661167398,5.289249824012647,4.253428606969864,5.418522668393023,3.8519536024906205,2.9287993087335877,4.795919379018745,5.783984242447195,4.743392720391907,5.654399829747469,5.070998762857219,3.641132936579693,4.343691381182917,2.433370834743787,5.163113166330631,4.725537958664886,6.46601212857371,6.787794073206963
