,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31O,32O,33C,34O,35O,36H
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868956319501522,2.7883968249385687,3.8748318030138575,1.3971023001622538,2.1625943451599103,2.4181850020086557,3.6959374112694525,3.8205379695061197,4.786754713542109,5.591764533608854,5.341056246278164,4.93482993246753,6.630186611396531,7.3834444560680215,7.2540988125396835,8.222790570578297,7.55212738947397,6.611401386925697,7.501365877459508,5.433260414768404,6.811474940466468,6.133078822766144,8.15595258410054,8.361382542366396
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875153183616906,4.961559710747115,2.1540859396699226,2.4856438606274365,3.4019299623760495,4.580274876706151,4.533727218528342,4.7751383523382565,5.370641257625483,5.57548249868979,5.364793398670879,6.861241550032308,7.514432486581459,7.6855311012838605,8.634459474121616,8.003456826160082,7.220216128909792,8.168556977721552,6.106664607955519,6.960851072748414,6.262838583805671,8.261071579232595,8.432120760715028
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086506826057417,2.4188296135483536,3.40771103158945,1.3975760880965058,2.380743889963875,3.1763939823707967,5.820655098566085,6.9408806805459005,5.713207846746887,4.867109645445347,6.832721225084159,7.756617506888961,6.8412840834189055,7.7827285345797295,7.044716740516849,5.735838703047106,6.3493791145303335,4.51109026286558,7.210560773976221,6.667248861109516,8.543488943886572,8.823998801331951
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3976583236815068,4.296663163785364,2.147135200011849,2.587308123908336,3.5287032006378993,6.518467614567574,7.688909579959469,6.212666551062788,5.269527136274272,7.221059940389844,8.171846755868025,6.995612505915932,7.890494899009727,7.151196349064893,5.750029443182472,6.20397097197961,4.595148197055644,7.653891278854026,7.176778438342452,8.942157450371882,9.242097400687788
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0910379814391422,1.3974440100362657,2.431402983583799,2.433068929898453,6.0467612938161155,6.922266864963257,6.466871176883561,5.923853166143379,7.763495022430924,8.553267667396725,8.211075576737503,9.196418310399393,8.441094963385398,7.4033087491567375,8.2022534592147,6.167195456994874,8.017785471737213,7.346893230205111,9.37535332289331,9.59004794622251
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1598634224632076,2.6860475221541864,2.2672385552690573,6.867727949607723,7.65145033598946,7.4037376452647194,6.925119174351594,8.727166241551597,9.47242089659703,9.244658201218868,10.236179282154934,9.458091132990994,8.480059897626179,9.290585271308789,7.24436593468421,8.960571152098415,8.265091594014365,10.309465607618229,10.502983952515695
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3802419718577443,1.9130142281655795,6.485979386840877,7.50998298708387,6.6250212946029245,5.896338214015967,7.851471994555813,8.717861701205027,8.032016390272313,9.002789507030524,8.219105342665125,7.028089732026912,7.699344417795786,5.782919428764438,8.190785862539125,7.576143896981365,9.546710090732095,9.795271575180806
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696945343077327,7.826197773917965,8.866275353899676,7.910130726155839,7.1323572032352995,9.121388156984423,9.993879902265423,9.187586528031582,10.148845592162257,9.32016647630236,8.099342638191644,8.675831769641311,6.869913352393603,9.498100312407136,8.892127866765728,10.846526873149065,11.096537588146145
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.253537923762702,9.223892116251777,8.473704211535974,7.768121617689371,9.736879505799083,10.573578556071103,9.91518091911176,10.894274338020294,10.04950037922574,8.89519657453571,9.522889941353627,7.6498260908759335,10.08577900069453,9.444015335395008,11.443893706176567,11.675579530945354
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2359412225984743,1.3507315814468939,2.092122523161533,2.457298912591092,2.810096495878949,3.7333511625567595,4.588808451441843,4.0150701772669795,4.202190959966435,5.375584138153959,3.7071185007904104,2.9954993236005985,3.0924552840614794,4.145760299324387,4.688193709024233
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2962167068079635,3.217283285922633,2.875898279545039,2.863097452043262,4.372334681656812,5.042179315785088,4.692891683932457,5.099021103471507,6.21096292356021,4.7966882826865245,3.104484441095801,3.268894825792185,3.977952688650085,4.457937951745415
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0489769477797715,1.4463767950086897,2.102222956342313,2.435738336882183,3.3789414314895168,2.7161979678370924,2.945982221623725,4.144872530509882,2.6161522225157885,2.4614273684115413,2.854504215826184,3.6289991593284303,4.310382082951999
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.045405479482166,2.9097555812046805,2.3913196965574803,3.4381380991115544,2.6576670004991656,2.3296520140863977,3.5499351518962565,1.667486614721165,2.96750416874182,3.164571598230465,4.200470495490524,4.820299937724476
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970920845755865,1.555096279350649,2.1805908517055306,2.148324911653115,2.6481345159597685,3.6419115385721024,2.976126533700469,1.5296549777442472,2.460571040925187,2.3867812046959425,3.2071761963306593
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1882904930724107,2.545599584367113,2.4290496280445093,3.577566152177368,4.505722213321065,3.9673396339201186,2.119690348191794,3.2033893940009452,2.4676376582343744,3.396502606783725
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929273390048344,1.0991950090177884,1.5768732465645519,2.39945754412052,2.4162151298519228,2.5216748051019495,3.358004346245199,3.086905799236908,3.873254743893998
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726523709046502,2.1926441325497534,2.4958002599871008,3.30290344699468,2.695438495709814,3.634325094601243,2.7695074501778585,3.518186068107445
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178627280992301,2.996193565587194,2.7805213382239,3.4438341488343474,4.327709398878762,3.951000348668882,4.819108190208434
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2391640262412444,1.2798335134576342,3.2140508929411573,3.552938730763529,4.03736307835741,4.582462072933745
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2684398109100816,3.9144512343813207,4.1893544295774685,4.480973416390191,4.889092435537223
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6336092795560417,3.7138195863477437,4.738900126572542,5.25528270915258
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2098886234152515,1.3650583632516193,1.8687356159837603
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.248646198139288,2.248470255921308
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755179961980499
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
