,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24O,25O,26C,27O,28O,29H
1N,0.0,1.01981110566784,1.0212051722561406,1.466271948712243,2.0790595277669173,2.6077899259101205,3.3614708470852106,3.2892750533866915,3.124849577090897,3.2223046138013816,2.4634140795193913,3.441395875036265,2.8981260704473484,2.810886178637856,4.293907954252453,4.915725396979361,5.091702518179223,4.8643180569611735,6.092485789207451,5.469664918781892,6.494814271036889,5.7009240340537195,4.903297364874173,3.710247275733059,5.883230473652912,4.799817237461243,4.578406750493665,6.048447076377191,6.480411651911422
2H,0.0,0.0,1.6129136042651995,2.04056773616214,2.9115621376474885,2.9464865102344655,3.474555205893274,3.8438150281305687,3.1845945593806606,2.8439497268367435,2.567333002689083,3.6861043477577575,2.484815196559962,2.1686194188204078,3.8115702930806585,4.585289173948507,4.364616153735451,4.005994250931932,5.385027819819931,4.760061746481242,5.729228833287395,5.151657477725278,4.161251804261996,2.9331369934605296,5.176408110543936,4.372768408283998,4.1371994842593,5.6903329886842,6.141691503633439
3H,0.0,0.0,0.0,2.0274885054847958,2.5104305962041966,2.6438412442654733,3.5742750091585536,3.185539992455926,2.6471598816972053,3.02489669623523,3.3210269414848557,4.31399325585549,3.71628644131756,3.422925699923029,5.144189533548603,5.733557069536592,5.807058980915213,5.550665779059406,6.854299793425305,5.981762330142362,6.978052458581736,6.212187471423856,5.174682266199369,3.944965993782477,6.002648678823994,5.768067057216648,5.561352009890554,7.0219673511836,7.48235572307194
4C,0.0,0.0,0.0,0.0,1.0954406055194117,1.588084345323809,2.2208185483299037,2.2033395630752333,2.9345882547170405,3.191813063510539,1.5407577849086849,2.4369863796193534,2.431555296236105,2.6059400440099774,3.7954644710523313,4.11220120664472,4.828547681943333,4.926226042860109,5.78881454225279,5.082242000054894,6.170132513666357,5.033081365883536,4.713753283532325,3.74790197625105,5.683382333218277,4.508183607918563,4.624035401881018,5.575543972122747,6.1367304162050305
5H,0.0,0.0,0.0,0.0,0.0,2.176765578003847,2.8689933928427522,2.2665836195268265,3.6419317961587336,4.162085550930774,2.107966705043604,2.489723057433291,3.3016257918820746,3.6496377063596555,4.5414947281288995,4.728126732163821,5.737768088824015,5.8821722162785655,6.630451400329484,6.06038488640065,7.155530225601784,5.9146397277015295,5.773501202570643,4.839581230030028,6.723550628855797,5.062669381583821,5.132459899516228,6.0143705057058785,6.500363898859757
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0932762000999239,1.094681778448413,1.8427819639291465,2.4113335421367252,2.5531522974404095,3.4220207185911593,3.072570030742107,2.8956460937267114,4.333769074881169,4.441085831820273,5.103809443023259,5.352040220853902,6.101535535425496,4.869482002434707,5.913285167527746,4.646102854662731,4.258408711680032,3.485743245389288,4.967360429669606,5.426249858715526,5.779368187423064,6.394602439062272,7.109178418849449
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7582589107549893,2.406628374879119,2.5457431165073405,2.5183088585765323,3.293734132274145,2.7897187472499048,2.655058031017002,3.7994245572491407,3.720833774386309,4.503105079237811,4.941985381486821,5.435570261583843,4.118652238117054,5.142154376211417,3.72544991474312,3.6994261291964867,3.2274380293506577,4.385122546059001,5.062072965235942,5.627663361272489,5.892889338737257,6.69939339803405
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3752607308901537,3.307378808472867,3.2559557934184857,3.851436571599855,4.019818207871925,3.962444382055492,5.221551887629051,5.187528544888191,6.096065942087726,6.406209054877624,7.052286581593037,5.832518323232264,6.864162196814085,5.4835959676572195,5.25330357299274,4.548496358053003,5.8635701031205025,6.251875784683692,6.618721563985449,7.128309647362963,7.829219319222338
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.382667090560897,4.011217719827369,5.0797632462773255,4.081462645724636,3.435195207600939,5.352774869344082,5.654468328955133,5.6752382160997525,5.70241815220398,6.748854758353118,5.153594825081795,6.052961672857026,5.158808603559177,4.021744872911408,3.167352589614759,4.416780084551679,6.5329323777816235,6.770235981733019,7.6314887866608485,8.347999782967847
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8267929334662787,5.002826020482847,3.4351929571774424,2.551511560465364,4.55399231303464,4.9824036084754875,4.576677647865037,4.528792299045191,5.652684250332162,3.9860352272019965,4.824923488719904,4.1850817034168175,2.729695909033893,1.8403975009195073,3.195566002435646,5.797460059255271,6.063194952460086,6.916817647202311,7.650205911896235
