 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,O24,O25,C26,O27,O28,H29
N1,0.0,1.8951737856483308,1.915830314044771,2.8950319385594154,0.10495753498262128,0.19397317679090723,0.009159798223776217,0.007995797745852018,0.09070775116274125,0.0016601199038237535,0.18368921316267528,0.03772812759600929,0.03826375688395,0.009741474015332097,0.005180346382236439,0.0011993901331779355,0.0005316390690812689,3.970504219219517e-05,8.0031970623895e-05,8.922562711204812e-05,7.306464382406119e-06,9.474781066054483e-06,0.0007633031377753674,0.003512204682554858,0.0002884459852720289,0.0007907617361802843,0.00023842516986170154,0.0001563335014015399,2.2769355372598277e-05
H2,0.0,0.0,0.029062577689688673,0.10491068814896609,0.03338518996397899,0.005156896135856681,1.3663763386295713e-05,0.0001588208180103301,0.00693249749035485,0.0007447516973118073,0.01933232169229493,0.002915789624688414,0.02720176403895913,0.011928769679199869,0.0023312167423207297,0.0013658335356092621,0.00013666281611435238,6.539977798603047e-05,1.5215031010429314e-05,0.00022978945221707736,3.1029020118644723e-05,1.6287048678620408e-06,0.0014547023377883272,0.007808180935128917,0.0009134989292420848,0.00013745977892021255,0.00011641211908575144,4.2363606577833224e-05,4.696987195629276e-06
H3,0.0,0.0,0.0,0.10703703198301462,0.002814184603220804,0.01613259071746831,0.0007378186365796235,0.00020537127406483613,0.08430430324051763,0.00017407201582742005,0.031065213765481547,0.0050692337251081465,0.004423223596394132,0.0004548624460376516,0.00046741007625905606,0.0002595481722837967,4.7880529267074756e-05,4.164302671805231e-06,1.4955245146275331e-05,4.945565892922055e-06,3.459752118128989e-07,8.229774710599713e-07,3.1717463816138824e-05,9.17333032817158e-05,2.0614793412310206e-05,0.00025984855411020913,5.4534791423255236e-05,3.858656749633482e-05,1.6731205043640784e-06
C4,0.0,0.0,0.0,0.0,1.9703024848205297,2.709336194207817,0.07459129840424916,0.08128102383423963,0.17532505214812263,0.0019502286469870178,2.628193124350768,0.2774213051194643,0.2218208097950014,0.009164242970076453,0.038008616811427365,0.0016329688239653528,0.003932530748777696,0.00017086113022779514,0.001581063466325805,0.00025479569254638346,2.980204328095759e-05,2.3874758879660618e-05,0.00023831378262284542,0.001103652264949892,7.789892884448035e-05,0.005567903972280019,0.0011048234583974081,0.0008893723965806011,6.955103223393877e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07966696246205274,0.008031222680953132,0.013194755323853391,0.013878398682342863,0.00013666786486710158,0.101777681839885,0.021798326832663806,0.019429040782877438,0.001828472001480952,0.0030093069304422126,7.1647967357924e-05,0.0005851655013364709,1.7225789973762673e-05,0.00012687564035251953,3.394820153079792e-05,5.957547418056208e-06,4.228262355132628e-06,2.77587045351968e-05,0.00018777827204286002,9.114285247968645e-06,0.00034246487564448813,6.716651047000699e-05,6.984508341534301e-05,2.689885032158834e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.967719096597538,1.959225508637618,2.7313625215747406,0.04903506344104014,0.177676955681751,0.036736531529365235,0.030693896438251822,0.0029390198618542973,0.0029329911712095147,0.00046925581552947904,0.00033519029981607384,4.251415899547695e-05,5.605218852755556e-05,0.0003901416283234732,2.7779254593962577e-05,6.987771347932714e-05,0.001508199160022372,0.008309713052602863,0.0006714742253088879,0.0013870025374353445,0.00017327461987008685,0.0001634941518785793,2.545809717469094e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026507799938394028,0.09238885504947314,0.008014655383655978,0.02776313941683828,0.0026973993639660687,0.009663055719806524,0.001187941800431691,0.0006162988129210234,6.72723957348964e-05,0.00014793581913563614,1.802156810049027e-05,2.3862545730723994e-05,0.00021695552177203314,3.419634721835152e-06,9.631329848125425e-05,0.0008978583217849057,0.003128214583994815,0.0002652201284419897,0.000252229057826181,0.00013620510562484256,2.0993445130734756e-05,5.322245879790799e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08560221317567873,0.0209864921749201,0.00880428413064216,0.0008192896383150128,0.003088430943939957,0.00019969238796946343,0.00032190960240896516,4.073904861723321e-05,4.668991413336876e-05,6.832346477469997e-07,1.0162063638352592e-05,8.386697838846935e-05,7.354212680388272e-06,5.712059352402932e-06,0.00019932586194726376,0.0014554219568897464,8.38671631985255e-05,0.00019912400774058092,1.4597510340497166e-05,2.6065470588476636e-05,4.766999105232372e-06
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75258810160558,0.022620500900453935,0.008899961844612995,0.0034091723294958284,0.0019937371777821733,0.0005682810640176561,0.00011082444913412814,0.0005681106514822537,0.0002515792281945206,3.914943879346211e-05,0.006787249079200287,7.377653243356708e-05,0.0004623076515396507,0.022062660934579523,0.13538208461526421,0.007681405396086569,0.00011966591676175475,1.5427517918147754e-05,1.4742108616135063e-05,2.5577338285120987e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003367366355657708,0.00014351080033758734,0.000278431225408049,0.001626423304996294,6.553804782094552e-05,5.226789891565886e-06,0.0002917514415363698,6.241354068592386e-05,1.0819136446293953e-05,0.008894224887781244,5.9329649153117e-05,0.00012120115648417418,0.02184790347018306,0.21711913217131484,0.004465040872280612,1.406196181696906e-05,2.425463377919712e-06,3.012346237785124e-06,7.909198855848842e-07
