,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18C,19H,20H,21C,22H,23H,24H,25C,26H,27H,28H,29C,30O,31O,32H
1N,0.0,1.02044663953124,1.0219174033784424,1.4618382877306553,2.082031291532648,2.4518069701219347,2.6677085995294445,2.72553409699241,3.4148494479271294,2.497576495853309,2.825661922857074,3.676796457309606,3.9479039852851834,4.94624238849218,4.952181478633058,5.786296693835461,6.734867096939524,6.3093480475284425,5.619323407778504,6.755660372949413,5.418861822514028,4.6275012084897025,6.350818494486122,5.338932794172781,7.549471523572731,7.443894419469745,8.095782386505032,8.304654556634498,5.952255587705269,6.01812895725928,7.0927006917283295,7.741756780553604
2H,0.0,0.0,1.6162958240020582,2.0373178213965435,2.322477336491863,3.3378594432911783,3.574163145431982,3.6820555867655336,4.1937009052213305,2.744791591215768,3.011616990112641,3.8030192637285465,4.138443116566206,5.031215648057916,5.104425768925381,5.605441420199495,6.5995374555978135,6.050192931472141,5.297694827829346,6.630430634944365,5.039755525715004,4.129060459581611,5.865785910650271,5.043953882673734,7.149834654479497,6.918266749423201,7.683686863256724,7.95780885964329,6.188714332291843,6.339515105373052,7.320535756794918,8.030687922150838
3H,0.0,0.0,0.0,2.0138252832467103,2.9058654049930155,2.7386197094227116,3.1157188765831827,2.5959463505520404,3.7240773533663316,2.5665111770394082,2.4446830341983428,3.907704256903394,4.370644112970121,4.984833667287839,4.764849657880193,5.870261341593479,6.723941946482669,6.622082566064526,6.063352332789818,7.101855565387194,5.403387233668586,4.730889463412686,6.348572860333467,5.117616984708113,7.85503831006631,7.721660722420325,8.510618142347713,8.51654215422989,6.051599881599204,6.2647757470256105,7.067854176873033,7.763250703198389
4C,0.0,0.0,0.0,0.0,1.098400406580993,1.5388369402323463,2.1647378269225515,2.174205640356466,2.194981207284594,1.5426942957883734,2.422054141800096,2.466168903578175,2.5759350146724618,3.82936869149653,4.003897850026356,4.849618994019401,5.78676115163037,5.292166869718391,4.657693137718562,5.572627933562975,4.846927132428058,4.185026105121878,5.859815621857221,4.892609484159319,6.665688251326949,6.749980769618511,7.175917495988124,7.384838560988651,4.641861766614219,4.594114552946831,5.851201996697825,6.426528501660153
5H,0.0,0.0,0.0,0.0,0.0,2.1589838040896474,2.4915589949856267,3.070602238972345,2.515282347193608,2.1666443622558966,3.242409697994714,2.5738019214642622,2.3510464514054976,4.028276317382229,4.469726149975362,4.871048082293506,5.884561509629323,4.9844908487902595,4.191586807454075,5.226205179070087,4.967856675307948,4.21037376726444,5.903900262390131,5.2453569895393946,6.313025207815631,6.424527290244213,6.674558073581028,7.1348608942070255,4.741345271235767,4.526058400784795,6.0423819493921,6.5584494620597775
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0938396575206308,1.0965422193114536,1.0962076741470166,2.508171039978483,3.243685065388535,3.228570935197212,3.120865648788798,4.422712878190443,4.500545470182609,5.733205744320139,6.539528883484158,6.212634432742431,5.695110417785475,6.2625393958218805,5.99016004655513,5.495195338622401,7.055918292364816,5.941233048311114,7.688847364734648,7.928139837657015,8.171907161278348,8.317863702405832,4.825897031376376,4.559547487923292,5.980087742370852,6.387703613353649
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7760767590334785,1.784346577013072,3.4617592347189836,4.196806620214157,4.17315525196286,3.9322554152236378,5.444575175713492,5.579588659286087,6.698436277364816,7.550220874894485,7.047278401729138,6.424970723192323,7.0814274489348215,6.917074438361806,6.3235680241134915,7.957439293923007,6.915091016758306,8.499782167940051,8.719499528291303,8.9000550397357,9.195839582565062,5.800635267739275,5.403052608648012,6.98910009573358,7.340262582516165
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7746826868052223,2.750270165008342,3.0817178608572906,3.666889186597958,3.791591294286339,4.643910192889674,4.459630149542163,6.023775311935907,6.726398675277755,6.735749373346821,6.3384279347750265,6.8204756173030034,6.196027078510692,5.8040819215315045,7.280329368510753,5.951863519485529,8.206984073756368,8.417582847471383,8.795978004751671,8.744845285234565,5.084665089211503,4.986130952093288,6.0811836282331075,6.522036652625491
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7612059998047536,3.641220465898576,3.0179523178575947,2.682330765166191,4.076135179777219,4.282510944365202,5.4720807688608,6.205237045276046,5.8510869435696495,5.423612817423241,5.7193644849712415,6.007750544078316,5.6387883563011085,7.072035171418,6.043284639014505,7.370449039480784,7.755683058968685,7.799036967122689,7.942888966824379,4.150396301441276,3.697167728144372,5.3081464031648204,5.590024033059947
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22751526227125,1.370387275239872,2.0544224440126877,2.4684192219192163,2.5147313211305504,3.5044146492596933,4.367909897021289,4.25548274612381,3.8651336741644586,4.619258545365922,3.5106695081454276,3.069732736442438,4.580057983988241,3.4592131606852146,5.626748425619456,5.7223149404135905,6.302502734366992,6.211603273910432,3.5447395099906913,3.8568764330974226,4.6253706410148165,5.334551004848089
