 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,C18,H19,H20,C21,H22,H23,H24,C25,H26,H27,H28,C29,O30,O31,H32
N1,0.0,2.0536949165110343,1.9480821242313708,3.060983652518073,0.08695028736511856,0.1959609309771203,0.01349228547826642,0.007811502312672136,0.030478101841023952,0.23226710358404498,0.04983587657917413,0.036163977845744905,0.0027385928739220855,0.007162257894416185,0.0005345733859404289,0.00125562422471108,0.00025268155637336864,8.203319762598027e-05,1.9887249288252917e-05,1.843626958319966e-06,0.0001323322233156704,3.956705391527926e-05,1.3113468894432323e-05,3.0441386910995405e-05,1.9898844236504454e-05,5.944392280632371e-07,4.244364448013904e-06,6.804577512120602e-06,0.0006385974477313011,0.00012072309587268099,0.00019822422581905474,4.948206141319744e-05
H2,0.0,0.0,0.027090730923605477,0.10749998518475412,0.007391902492463132,0.03372214871597046,0.0007341968838605606,0.0008228784374906262,0.0028449627625419804,0.007597473378762154,0.003533451444947766,0.0005121189330388187,3.18384404462968e-05,0.0001925135730340699,9.689454247396867e-06,1.8964408060151428e-05,9.595361599057384e-06,2.8408141344860027e-06,4.560679947029911e-07,2.5998347474853745e-08,3.161512479699091e-05,4.712451397859141e-05,3.4423621542156724e-06,1.1367446715038199e-06,1.2979912997757026e-06,1.4850649376896286e-08,1.7668277463300797e-07,6.918074069162117e-08,2.681741788634895e-05,5.465149106376188e-06,6.944795236329959e-06,1.7090462236524218e-06
H3,0.0,0.0,0.0,0.10745966906202853,0.03675082351890402,0.009079084831522533,0.000162519595426458,0.004546917866354638,0.0002607886699510509,0.019695878902581843,0.04985739595183336,0.0034112214306332156,0.0007444078043159497,0.0004909551095430009,7.279824384531786e-05,4.163418920022366e-05,2.6155710277642186e-06,1.5476153736759812e-05,1.3998609247334315e-06,6.280917823620058e-07,3.360227830828677e-05,5.568806194622411e-06,5.937824275381587e-06,1.3813204329915507e-05,2.650857527708439e-06,1.6167950223078265e-07,1.6162351546000764e-07,1.3342591453913144e-07,5.668044339590672e-05,3.5013756796486994e-05,7.5530663206091475e-06,1.0440338433781449e-06
C4,0.0,0.0,0.0,0.0,1.964872324334929,2.8583300822533078,0.09218503848105142,0.08566725292489563,0.08689630574409635,2.667549342927475,0.27824145201371103,0.22699663079150015,0.015433874335579745,0.03595378779252789,0.005589059363323767,0.0037275255195977075,0.0009053163779446649,0.0003890389174467379,6.607220941856617e-05,1.1769486661705741e-05,0.0009253414468493593,0.00024285408352464621,8.853667395070097e-05,0.0005374997086224909,8.158796483556663e-05,5.187045827304004e-06,1.3617909056851119e-05,1.5730104926836574e-05,0.003242323916098494,0.00041911285336480864,0.0009823759505182272,0.00020904982068825628
H5,0.0,0.0,0.0,0.0,0.0,0.08245822677454662,0.005152211066086876,0.03516290962482671,0.00414557123670245,0.09502304874292067,0.025182311798009782,0.012129617349531996,0.006772252531794587,0.0018944217862568724,0.00035708332793049635,7.97749944283499e-05,5.904716656734976e-06,2.2821581676435443e-05,1.208530291152421e-05,5.652366046327018e-07,9.416110896420804e-05,2.7802344811922453e-05,1.7502342396946702e-05,4.1583109292142595e-05,3.6310940124684166e-06,5.334684252122912e-07,9.108552176950724e-07,2.6169406042164667e-07,0.00014880470232991883,7.337563685005932e-05,5.227968553489504e-05,1.5610193851101073e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.081219753647309,2.0157720071547365,2.0988793950034914,0.1960919418217143,0.03944723180824872,0.03067020658455051,0.002782577952254117,0.0033299428976896056,0.00023892763369437464,0.0008876953569474516,6.389349592406113e-05,7.234198466138375e-05,2.1870313422711618e-05,5.506494641371873e-06,0.0002636750699091944,0.00015981863225844606,7.449437739337483e-06,2.6833117070301782e-05,1.6364173113292413e-05,3.1811057699115963e-07,5.474147023454279e-06,3.824478277625332e-06,0.0009216121709652025,0.0004710285704873918,0.00026405009998313467,7.170240695841823e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02461167873942105,0.025485439221184736,0.03139295410797294,0.006126971244703072,0.0043637101296072345,0.00036619027358142375,0.0006863790772242417,6.8637458456422e-05,7.271325754931723e-05,1.5132827426711515e-06,1.2359174300868858e-05,1.392605891048504e-06,1.0828330589962576e-06,2.5199524414043495e-05,1.3283199088887088e-05,9.223382060330465e-07,2.4423123916594847e-06,2.322716101454958e-06,5.4682631978053564e-08,6.9387426493428e-07,6.736690354447461e-07,0.00019246840901465667,9.557159933781811e-06,6.01431419087195e-05,1.834606637940439e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023800168366425734,0.010761269927414663,0.004626499627577552,0.0010645944884428715,3.264283292581105e-05,0.00011360889261702312,1.084149591878969e-05,2.6772264740904106e-05,6.210168923770354e-06,3.7170303690547968e-06,1.271588721651895e-06,5.818447057492904e-08,1.06312467863523e-05,3.3454540737665184e-06,3.8100201122936994e-06,3.915620321093272e-06,3.7895824378519904e-07,5.648580070349851e-08,3.829833561397322e-08,9.145564505708137e-08,6.092261800594301e-06,7.4986195914839016e-06,9.252724789687861e-07,1.898654105048081e-07
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007787134203345758,0.0015429027458366829,0.005151840098544858,0.0021655962088458214,0.00038943908028632457,3.2704974564090605e-06,0.00025654992353607575,1.8071887441628576e-05,1.1103133929157849e-05,7.463225571990861e-06,8.848402122119126e-07,2.6968701170138054e-05,5.032975213259405e-06,3.1581014625636783e-07,1.7068239157591591e-06,1.5617654803845582e-06,8.485570401894904e-08,6.257691380628927e-07,4.0925016109305545e-07,0.00039148883748585384,0.0012386851754359052,0.0001520787878794838,9.629196038085652e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8136386161189675,3.490296030816619,0.13838822345199686,0.2728268368590995,0.028901492085123603,0.030541683041152873,0.0030482236692044307,0.0032836940969849238,0.0011654348890655086,0.0001719864076406008,0.008242180104623714,0.005643378309833302,0.0005353877756424374,0.001635473709944213,0.0005839841529000911,1.6808920432653807e-05,9.557459442421923e-05,0.00018304609511887726,0.02968607868288703,0.005764182126299824,0.00565866611274729,0.001262877159007525
