 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,N17,C18,H19,C20,H21,N22,H23,C24,O25,O26,H27
N1,0.0,1.889130153707132,1.9122639325668391,3.0919790293135945,0.10184624604614079,0.09219914856103628,0.23222568063862722,0.04639643340707965,0.037596055713666865,0.00272532043515894,0.007766601779516671,0.0005055477089739302,0.0005673661542889702,3.441184340169379e-05,0.00016236105074285412,0.00011503585849906295,2.000114788935914e-05,5.987976202781464e-05,9.88464555773394e-06,7.791260695125257e-06,7.322824668865024e-08,9.930963670301551e-06,2.932585551063127e-07,0.0011903024838882947,0.00012171576940694928,0.0003591103895240061,0.00011353066431130099
H2,0.0,0.0,0.02668178030889279,0.1083619735180037,0.004120943759715612,0.03594256942573315,0.018531123648230285,0.04528387133543832,0.0032254927006666323,0.0008281727338286249,0.0004926011756383186,6.286660177146075e-05,2.1657828832122306e-05,7.638805726184472e-06,6.303596089551888e-07,1.4082490314204499e-05,4.289396490997355e-06,6.077453066799521e-06,2.021043192801386e-07,8.481483345645913e-07,2.856198455525316e-08,1.009738119672754e-06,4.995940638963248e-08,8.3976725176238e-05,2.8314374593385594e-05,1.3025143687617202e-05,2.774374620262421e-06
H3,0.0,0.0,0.0,0.10671776823811308,0.03554836765629843,0.007705039544510628,0.007632506008216189,0.00579356364078798,0.0009199182513283111,7.333009472643148e-05,0.00020534321467591266,8.165084138367362e-06,5.1827663868242446e-05,1.1581674324023794e-06,1.1191594925907822e-05,9.951961745024995e-06,3.089102385223086e-06,1.3401717983252404e-05,4.124502134272845e-06,1.8292986007084622e-06,2.7456705131712056e-08,1.9936715968116303e-06,2.269062182591597e-08,1.1529395146925303e-05,3.995230723252696e-06,2.3922333945991525e-06,2.6993822310750204e-07
C4,0.0,0.0,0.0,0.0,1.937254768994082,1.9503512499373012,2.7001506288702215,0.28628177920087183,0.22886214553094583,0.016776445211216906,0.03651216392137685,0.005763937769751926,0.003270645024325558,0.0001596998879791478,0.000897781484402338,0.0006670997047536764,0.00010102027551500692,0.00028138227846036257,3.434291353188179e-05,8.379688805879026e-05,7.929895635694351e-07,3.978167699879298e-05,1.1700317779084202e-06,0.004036368799552437,0.00044645734478543364,0.0011429347590712208,0.00024941701482628087
H5,0.0,0.0,0.0,0.0,0.0,0.025719828612446705,0.104448569032904,0.02983992626692089,0.014343905383037425,0.0003393206716932884,0.0014725818363476861,0.00017103807346585675,0.0007076150321596586,1.9966180003549994e-05,5.5274057821019795e-05,0.0002433224852016469,3.0324627462330334e-05,0.00036639916865421895,7.504334206420715e-05,0.00010022291812350481,2.633482352187855e-07,2.8565063088681342e-05,2.4449771851564606e-07,0.00025748352661958407,2.123844496848548e-05,4.849594022082737e-05,1.4471277344663136e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.09605825038522231,0.028610467087833213,0.010491270985563128,0.007684752623554836,0.0014449795489510642,0.00012118171399877475,0.0004268953149950683,1.0907082527378265e-05,6.943178101570524e-05,7.464489371011851e-05,4.138835522304873e-06,2.609813746201617e-05,2.0320500822013088e-06,6.787771780647489e-06,6.43163144964376e-09,3.8858204951530695e-06,5.285768511775757e-08,0.00013902057721093541,2.0351794450812477e-05,2.3331684307348333e-05,2.2900763481104036e-06
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9299272567210455,3.5088170028860826,0.13616982694807422,0.26215015596399943,0.026015085809391936,0.03280032197925306,0.000891342739980816,0.004022646558660803,0.006554515313337006,0.0007140328131198803,0.006328576234477551,0.0002155908371010984,0.0010655913774012815,1.197700865618323e-05,0.0006355174798151064,8.878752096763698e-06,0.029737582587316208,0.005781746903441409,0.005637637960607678,0.0013183929372568848
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5407293424890529,0.026524032123953045,0.0626505774704789,0.04627337995968539,0.010375729817800827,0.0009747097287550188,0.0014978366382411012,0.004540875282371071,0.001422047599772075,0.002197874735197697,3.9323274412694786e-05,0.0006888128201306271,1.4525500009021641e-05,0.0003806492443043791,2.555611228749477e-06,0.00971500818924706,0.0036817823852997728,0.0015115129354422718,0.0003534210031573837
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8593226383727341,2.8122291834554085,0.09659504673677854,0.1813070083552054,0.01010899341825433,0.02564594762847061,0.016808142279358645,0.002196476425540189,0.008322967103813833,0.0006989169381876881,0.001634899155962266,1.1586668944518763e-05,0.001415980451577134,1.9717616887127143e-05,0.19699931075150498,0.05195720786169829,0.02819613203496657,0.0053561554110903575
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09810658079792878,0.027269131339819896,0.0051069865990007735,0.0017478486562312323,9.645447083883596e-05,0.0003988914684738276,0.00017733012628717848,6.11306167527248e-05,1.4721195963351974e-05,0.00013550826782982028,1.3659819995126554e-06,1.922732635151192e-05,3.1798279258588025e-06,0.027470984828658063,0.06514459703095687,0.004461364457670203,0.00015538313115137647
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9517898892947323,2.475944019863319,0.08221668687082984,0.08785975631591891,0.1845657845750257,0.024743362571859884,0.05074461312929435,0.00024781437248488913,0.007436882919157145,0.0001393965638079031,0.012246516911129712,0.0002829816967435672,2.650507436861204,0.27909800855017913,0.21526090340520715,0.053551241501771374
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07877418644786327,0.030345602760291746,0.003353223752604606,0.011954168535486698,0.007560071621012687,0.001370053944856342,7.163140919419497e-05,0.0008400346621424415,4.2314890419836715e-05,0.0008269210514287861,2.3876452624804756e-05,0.10753836747304946,0.02778250203263888,0.010487774496169777,0.0008271125362027121
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0164980991076797,2.0357084226170747,2.7757269773484237,0.20530554143713703,0.24643174299813309,0.0040513513544984114,0.048691576326753166,0.0023878854205283684,0.04668319488276365,0.00243244661352382,0.20056538410274635,0.04330724737180923,0.030351015785620036,0.0019053696861940361
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025270619539258243,0.10153375634756068,0.023440639592944956,0.01169837327037282,0.001476896490259394,0.0036263305204546903,0.0008213381082764482,0.001940377014602035,0.00012126690982294797,0.00857324116037228,0.0017135738644015186,0.0007340812823102283,0.00011891606680203282
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10850063140730604,0.0162931431116754,0.033466780884537806,0.00017597784485534618,0.0037795109039095998,0.00011943057297325588,0.005637820586747888,0.0005109527626383503,0.012464730675478597,0.002178645959186709,0.01320656498837891,0.0002296204661149659
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6117968351951495,3.77624059829656,0.11474867869658079,0.543379492528437,0.03688665201918395,0.49863990489213783,0.02932396554169181,0.02863726568863248,0.007494913779039242,0.004810740175955314,0.0004617029961002661
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41809507685236047,0.025728041986115224,4.321508570106188,0.11294759832975787,0.5321803000268297,0.03001224799188651,0.003846527187187393,0.0013755722066635528,0.00047420626590392867,0.00010271274990059087
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9708428101378668,0.6145701380063623,0.029735560598486588,3.2553292561085416,0.10855247221667164,0.008830186158525655,0.002879969645104341,0.001380926602052912,0.000332982230349832
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03059132269322018,0.000855023084294082,0.09447203391222492,0.004581186349355448,4.4735816964402986e-05,8.500651677900706e-06,1.265080542134367e-05,1.0322201429158184e-06
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9754194970470047,3.2928868039355246,0.11591847257698829,0.0014158265801131886,0.0005677089160950471,0.00018058432770456934,4.630964424412465e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10156565781700921,0.004697559432015552,4.99063921877152e-05,1.6750269744014723e-05,6.1699376778801e-06,1.2978318137957245e-06
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9172913080280038,0.0024391226946486877,0.0007332794070237514,0.00034606315630045237,9.282606865690379e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001147787027325764,3.521124152661148e-05,2.54607420037134e-05,2.0716462412195824e-07
