 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,S23,C24,H25,H26,H27,C28,O29,O30,H31
N1,0.0,1.9518277616410922,1.8996935316662307,2.69687631732826,0.0842000442109565,0.20792124307127358,0.007490248581685899,0.02642852378864835,0.08494413718931286,0.17361219402835915,0.21333475765690477,0.05505056006407867,0.03356838509414166,0.0025943577085021374,0.006901159712036947,0.0004662553294096927,0.0009676495141913849,2.386286402566995e-05,0.00023127281750123796,0.0001347969492708906,2.440240783918579e-05,3.775751637746794e-05,4.406184171300981e-05,5.07445843067611e-06,4.938427786704835e-07,1.4320189223315793e-07,2.679417396844741e-07,0.0007359975358713078,0.00013624733405376288,0.0002364738547574463,6.194300449491319e-05
H2,0.0,0.0,0.028847098046729247,0.10451034793375413,0.010156331621383963,0.02976525435842048,0.0006493761507349038,0.0017796798498639355,0.0028366255642225946,0.0011988571411551963,0.00520858149842407,0.0016695641655040117,0.0005256074324592186,2.33732006802434e-05,0.00016965507715915873,1.562298027901754e-05,2.7009126453814147e-05,8.351200133649428e-07,7.909309542197818e-06,1.3676929236816626e-05,7.383831417406839e-07,2.8057582021512317e-05,7.870346954930163e-06,4.531819105535462e-07,3.9310714372575717e-07,5.627289834109206e-08,4.1032025555054474e-08,1.798563813615317e-05,4.351194398788394e-06,4.7037277809414135e-06,1.155311953660032e-06
H3,0.0,0.0,0.0,0.10366866020068655,0.031665409110842146,0.006470095420435307,0.002658520513437068,0.0001382093859314537,0.0015649252149979587,0.0012195263010494894,0.028691147365605518,0.07430979902266588,0.004890848425368577,0.0005951911930910381,0.0005961989533274092,7.030232918348034e-05,5.219767781527995e-05,6.796982614298841e-06,6.673330196216298e-06,5.4620619289624806e-05,1.59433788302632e-05,8.612010365505185e-06,2.281705010132029e-05,1.170661905081083e-06,1.787731196412068e-07,4.8170855304618954e-08,2.1859444632177372e-07,7.957607307229608e-05,5.015960679621845e-05,1.083646334465449e-05,1.9443648631156663e-06
C4,0.0,0.0,0.0,0.0,1.941870711383767,2.607508120814635,0.08589627104905695,0.08784464915462409,0.2179527754001036,0.03203848629674022,2.693610573022355,0.2822218105477088,0.22726654702028243,0.014198156589024014,0.03539090667327907,0.004590164358645676,0.0037207261610381903,0.00014780402542502458,0.0009309248254782965,0.0010947551666809774,0.00041700590484006206,0.0003997690388581887,0.000266227299826019,2.52880784333831e-05,2.1948670587690344e-06,1.1574487335241912e-06,7.908427832603593e-07,0.003409413300157288,0.0004588877203017816,0.0010146137188339066,0.00020866838384436814
H5,0.0,0.0,0.0,0.0,0.0,0.08090922241999898,0.03545666345684628,0.006040362782304243,0.010783272502184027,0.0014218392962344062,0.09693786560926743,0.025773041902898197,0.010735855248060089,0.00432893821722713,0.0016761347649687508,0.0003349596595227933,0.00012341565426354784,1.3561349140545076e-05,2.213665181605151e-06,0.00012060495549870431,3.178243666623892e-05,5.256884046089816e-05,4.2680829733465764e-05,3.125635915091074e-06,4.6345085902288474e-07,1.320089981771133e-07,1.7562905796353334e-07,0.00014350413668928752,5.270877211716041e-05,4.925745371253676e-05,1.644917248655453e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9443281385463103,1.7279000023870639,3.173468466824262,0.11928736066908041,0.1890440363578448,0.03878193961661677,0.032092464567516604,0.003521007515780661,0.003156056671915014,0.0002020220297536124,0.0011162941287202466,2.6278362171394676e-05,8.10956614889502e-05,0.0002940165115611071,2.085906824933481e-05,0.00020357805657544858,7.385436922967281e-05,1.0725505456166129e-05,1.5579879548699438e-06,3.3737497773245195e-07,2.0573068448825893e-07,0.0007906731954490931,0.00037100653661564786,0.00022752188377049565,6.094758126429234e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023774992748380797,0.11773440869447938,0.0072465622011774755,0.011749625034179978,0.003614778320375711,0.0009239623805199493,0.00019773207886153443,0.00012559718286242472,2.815995785443448e-06,3.1872606950589244e-05,1.020871077894725e-06,6.3687027263004126e-06,1.5061137779825984e-05,1.578763761944657e-06,1.1508656164282982e-05,1.0423845996032632e-05,3.9887059100074396e-07,1.2577428387672285e-07,5.674571745828416e-08,1.485857503702448e-08,4.259613396229156e-06,6.306016152590743e-06,5.435932168840196e-07,6.070919522649376e-08
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016026379756867,0.03528898768782951,0.004977049625560337,0.0009651020503118612,0.005011452866948929,0.00360009113048787,0.0003800658113843891,3.680378095616277e-07,0.0002516866423738495,2.575490984257911e-06,2.380730563755762e-05,2.209655161777846e-05,2.17879910979768e-06,2.042970408844269e-06,1.0471133572664826e-05,1.7568683872148938e-06,2.1701454788747299e-07,6.021095622088524e-08,8.200213863496231e-08,0.0002688795892078488,0.0008285682568097696,0.00010116338812715675,6.9127739497076846e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.635610718703493,0.04040819732261808,0.010145105482264577,0.006190180053776417,0.0012915728116856817,0.0008319349082783756,9.512657155130722e-05,0.000181199296680562,5.290521016609873e-06,7.111546915350431e-06,4.5135062843135176e-05,7.681988939078899e-06,3.940153412762548e-05,1.0158741987391362e-05,1.5873311411257474e-06,2.3039382668343933e-07,1.3918877794782958e-07,8.662591910457706e-08,0.00025485787577758656,4.887822884526438e-05,7.494876927624516e-05,1.9000156645021526e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004756958953326285,0.0012596643852531564,0.0008616306893755032,0.00033976117265788197,0.00016651952378643475,6.042305372933043e-06,1.3727979403577173e-05,6.042610802836634e-07,4.974598441620515e-06,1.6005011802544544e-06,1.226230854634025e-07,2.275691753927944e-06,4.449732242672866e-07,3.662640846169296e-08,2.8963487164190838e-09,1.7118395589932334e-09,1.1846399861070722e-08,1.7964226558309093e-05,1.4025264671091442e-05,4.961344290843606e-06,1.4708747690939106e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.040639137915599,3.3850480630539814,0.13749819429882837,0.2645998292170283,0.026200276903489028,0.031054961107090384,0.0008039036423330703,0.0036815695390519654,0.009976688127967481,0.0012977813040941921,0.009169998920505185,0.002391021636812374,0.00023845132607780428,2.9713828774813322e-05,1.1634547438355014e-05,5.498284892269112e-06,0.02948465581940732,0.006318215066438648,0.005617957617461006,0.0012749044632729412
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5425352644610144,0.026001626234422037,0.06606262968413412,0.0415274390735868,0.01068124715234764,0.0009250936273342836,0.0015053238163125204,0.014459197006358351,0.007002305198512526,0.0033168306997425345,0.0033416211607058405,0.00014451332059670086,1.3473009195408281e-05,1.930435414654319e-05,2.1934480964769243e-05,0.010140817945306663,0.004109065841444187,0.001483972914775089,0.0003570037385448588
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.939122344211801,2.8582802893062556,0.09518135454925647,0.17971105905697005,0.008059021971812408,0.025978845612156687,0.017553496752507225,0.0006820404071259389,0.0070860816596342024,0.004211081289908845,0.0006145313766743044,4.858499500026703e-05,5.130075357406838e-05,1.951982547065967e-05,0.19631147175654742,0.05715170077197396,0.028664736696328325,0.005420265967562288
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09669748558896507,0.023276648537409628,0.006071375820132507,0.0010296294306484377,0.00016545412052604291,0.0004468871670999519,0.00010865990920483348,5.83125594124656e-05,0.00017539799205235074,1.8868768535740266e-05,3.0975349052386747e-06,1.2096468644529068e-06,2.5011405850872137e-06,0.032421395779451245,0.07682406149580512,0.005192847729843741,0.00016996640455624323
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9487466204301793,2.4880947108914184,0.084440604048724,0.09512952364988547,0.16339983491260685,0.008752997057487999,0.006348272729852278,0.04144229079778532,0.007003485258558678,0.00010514505998093782,0.001193420072089113,9.732657179228887e-05,2.655027004655126,0.28007383011772313,0.219580210598832,0.053487246344518624
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807224401164951,0.032238920449090935,0.0036914446108058385,0.010669190730895672,0.00435829077650296,0.0002118781565327854,0.0019037558497045914,9.962357689996537e-05,4.890404043278451e-06,4.714586429432899e-05,2.694121093305135e-05,0.10962899659797665,0.02868981520030678,0.010601205204003317,0.0007228283474800534
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9950537779281698,2.066743118157408,2.7612985869461197,0.08442047723788482,0.08312512550040463,0.19062567766732272,0.03297731579329899,0.000769727235272688,0.0041660332724202664,0.0007996258538076617,0.19888949140610793,0.0426462522048776,0.032138773272759394,0.0020398574713546003
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023635581833446162,0.08243495772324039,0.03396288566067929,0.005308097512822574,0.01732950230258945,0.0012357536989978657,1.6338812734773e-05,8.4243233435366e-05,0.00043818102601278497,0.009682809876210063,0.0016137030916024697,0.0008356967962913631,0.00015909426105276125
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08051987666085647,0.00451771042551008,0.03396040400289779,0.01875216931969481,0.001526152503854905,0.00046245907699926647,8.624353333597234e-05,1.7102170258853633e-05,0.011122897191639947,0.001847358294304935,0.014325299812177117,0.0002885610905734026
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9963088538300142,2.0414396980581238,2.531074284381349,0.1197422841138216,0.008593098187316794,0.02727300410880118,0.008682366190814417,0.030737895663237813,0.007753083520277593,0.005322298213590718,0.0004258044965664842
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023530914559741323,0.0946994063638813,0.00736011833488226,0.0008928836625892167,0.0002996784522020235,0.004025407699143502,0.0010887738778120326,0.0002973098665505214,9.827484239233186e-05,7.250841580930256e-06
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09216095965700244,0.008230775412968239,0.004232924298219309,0.0003789773896842874,0.0008626870277559373,0.0008396348103025808,0.00016095839838192738,0.00040866870768629937,0.00013734465060255552
S23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700839772923501,0.09779031504852154,0.09038117423922964,0.09828350683788067,0.007000212371147979,0.002518528008634592,0.0007813778469604876,0.00014249111564623718
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087667186332201,1.743157606392454,2.0356420806329174,0.0016420355850685908,0.0006484425468978733,0.00023707301427132454,2.688170511722099e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025153890303877935,0.023633978847903636,2.8184385272300716e-05,1.1195135335095863e-05,8.560479138441934e-06,2.3456888387229924e-07
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025247928076147508,0.0003640070901060888,0.0001392375498249221,5.180425845330294e-05,5.485002745775347e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23222765437059e-05,8.660206056942954e-06,3.9822467007288864e-06,1.173733691128831e-06
