 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,O28,H29,C30,O31,O32,H33
N1,0.0,1.8124312945661907,1.9087513644669405,2.802343359214611,0.08370525029589992,0.18535501811969746,0.00752810489693756,0.048527961969074926,0.0007104155574635396,0.053151883753612794,0.034327235862787825,0.003966069522696847,0.0007919407519955124,0.000862394512509912,0.005383653498575433,0.0011840772138456135,0.00035751758961244384,0.00017055948758204487,0.24388249763038747,0.05706575266047889,0.03749285351766253,0.0021463666352975475,0.006661573141571134,0.00046163744573290977,0.001753493743712628,0.00036745813906102764,6.304131182943706e-05,0.00011346488885030648,2.759822278819435e-06,0.0005934092506281741,0.00011911990138856882,0.00010343790116117135,1.9512263477960978e-05
H2,0.0,0.0,0.027165853679930185,0.1067253107367856,0.00736262568043955,0.03113120570201844,0.0007090889548335699,0.0022288547231478217,0.00010208859968319217,0.00044747633390995745,0.004053022520119742,0.0010108372947650324,9.408707133373717e-05,2.8679469762149523e-05,0.00015781735346787062,0.0001238238329781538,2.1975605331903125e-05,1.0579559362122737e-05,0.008253461568390352,0.001789569542961722,0.0007784802021048032,5.376387532396443e-05,0.0001469029279966838,3.036789401500428e-06,2.982381992744365e-05,5.22288772675239e-06,6.326848703608334e-06,7.283518981382464e-06,1.2015252615071859e-07,4.199746421740258e-05,8.501173013208962e-06,6.843386544552743e-06,1.9981688084147464e-06
H3,0.0,0.0,0.0,0.10127212533114516,0.03561319705985255,0.007924198426070284,0.0048598355670148585,0.0007343994580694124,7.501380537955349e-05,0.0005174065604858225,0.0007682940265798521,0.00011308830929190883,2.306196662504867e-05,0.00043443706726220555,0.00010574253034301151,4.098162188737042e-05,3.136409110204852e-07,1.1288952129762109e-05,0.021848935653963064,0.049697932143599965,0.0038826784771314182,0.0006892931617925591,0.0005315946643197345,8.25153519818933e-05,7.265537001011069e-05,6.966857293289053e-06,1.91380478775649e-06,2.8881536458413848e-05,2.500780667880065e-06,3.53772865786528e-05,5.093072110273766e-06,9.89972137821482e-06,1.2567201805868677e-06
C4,0.0,0.0,0.0,0.0,2.051990516415211,2.4856436717836803,0.08332986753227356,0.16415730670898132,0.006328317227097369,0.015441651410809554,0.1689949956150314,0.030096773268696086,0.007748170894296136,0.008734378401456855,0.03164956337554009,0.0005249496678758625,0.0033014446800563313,0.0008505828404894444,2.631845574970895,0.27658551446824864,0.23026601064158503,0.017238539086371185,0.03522100714417736,0.006940544920228442,0.003955155687804995,0.001170882181749766,0.00016694387846905023,0.0003698016411494004,2.267343346673556e-05,0.003523245143649406,0.0006113561286291008,0.0009729420619284668,0.00019963583822057984
H5,0.0,0.0,0.0,0.0,0.0,0.07767535206423615,0.03590671896773201,0.009065842287155013,0.003902551066099713,0.00026862147541040216,0.00768486030646498,0.0003967181651327589,8.90996989855175e-05,0.004172327232363049,0.000941181962150317,3.2290149837077564e-05,2.0370237142408598e-05,0.0003644279079890733,0.09301360148053073,0.021543618295088995,0.012500000684182444,0.011522399778673087,0.0021012675024714156,0.0002971338646449162,6.061005512614237e-05,6.267492152378651e-06,1.2181900077123942e-05,6.789566106824019e-05,2.1607059108585958e-06,0.00021012119051722067,1.7169133899930245e-05,6.614381113523304e-05,1.3514023572414047e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0353216348757828,2.73703310650784,0.08109208178933214,0.08747137958338702,2.6255167743338914,0.09141585249800355,0.08637363614188365,0.0801897804830729,0.16264923220763713,0.005839964872879522,0.028686575783058332,0.009873692595780748,0.18031976872603844,0.03462692038917459,0.028189147108191398,0.0012538622263907895,0.003877494639699164,0.0003571928194354701,0.00044806635693248054,6.326022782299212e-05,5.380431353518844e-05,5.465409092711426e-05,2.422779434074762e-06,0.001485658244389565,0.0011130648230528867,0.0003586079564514705,9.750241964212591e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077204361275661,0.0352555048286991,0.002904975525772402,0.07954315936857204,0.004648882268729837,0.003975655277924428,0.03521427103135499,0.01148734043873123,0.00011074765477658843,0.0006326179039812807,0.0054974641608276364,0.010551824950387534,0.009485965306466726,0.0017888195913247085,0.0006466920928254183,0.00018790668495749507,3.222037031580527e-05,4.269634909093156e-05,7.160341670919834e-06,1.3927364317378732e-06,8.989076915266736e-06,3.264859365081918e-07,2.262064931435326e-05,1.6589313151404994e-05,4.8107875603164985e-06,7.182999510746413e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.049828710964814,1.912644042536503,0.1616695258645109,0.006976420032358321,0.030570242609169407,0.010017012573865669,2.5961880567532187,0.08414602734570531,0.09022699648687316,0.08267006212444428,0.029448705578166035,0.007166291911041012,0.004374384936318476,0.00012975447936214302,0.0008246222709562823,0.00010886810911447942,6.73686323817424e-05,1.818265024899901e-05,5.435527166697263e-06,7.177414455203368e-06,1.2343345032750364e-06,0.0002972164462481941,0.0004323362323357116,7.647410340333449e-05,1.605141550820033e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024147877006323704,0.012190462076131281,0.00018737830621429197,0.0006997908191155311,0.006128296734549066,0.08208005184554557,0.005151821852235505,0.003884155862061478,0.03482894551865123,0.0008620433304225017,0.0005214653452332296,5.89471597878255e-05,9.231548678156898e-06,1.2573595373766011e-05,1.002462707822005e-05,1.3069825184341965e-06,7.316749583985427e-08,2.552885236539737e-08,5.920034173989563e-07,4.4222195683119025e-08,4.247515011934766e-06,1.4282892012884574e-05,1.4683423983363753e-06,1.8072001184421538e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02892519733350718,0.0008514774037471362,0.0019029010941653546,0.000463635972673071,0.08781561749095079,0.03272439500841928,0.00550313571122496,0.004374616528743269,0.0029804154534123217,0.00036794109543436537,0.00039588379189314793,1.5011363238670583e-05,9.436454501221547e-05,7.61798721260476e-06,8.244636543475181e-06,2.2013905518480925e-06,6.840170403421553e-07,5.133745442087445e-07,3.3894132167588964e-08,2.8357712412718783e-05,5.599142769596721e-05,1.0273876512534308e-05,3.6619489660605353e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8362008212921068,2.0173668035889025,2.106061202457492,0.021552166718299334,0.009170411864282135,0.0022756778120323062,0.0004370637418209533,0.027197039639194148,0.005605820880918808,0.012285172127535965,0.0023184694517056625,0.0010408246335975313,0.00011681947072850196,0.00037292506240466095,6.028479617259386e-05,2.5229398125214963e-05,3.250990482504823e-05,6.91062692836919e-06,0.002513070735846834,0.012479064497191272,0.0010883378215403028,0.0001806607821923656
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026782973897058637,0.023460541728438367,0.01072042192568956,0.012565933106158722,0.0006823325085649756,2.552894041407683e-05,0.0016911630200220351,0.0003152720498575956,0.0011337229761825274,0.0003896899306714552,0.00011795021639171566,1.8255050130200345e-05,4.301415634722083e-05,1.395568472140063e-05,2.8389400961170708e-06,3.5630926521479367e-06,4.800538537796939e-07,0.00010311519820516146,0.00022880335399511065,1.3923725821429755e-05,1.1217755263581708e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024257551353844553,0.0018461443987050075,0.0006344259168513666,3.1942753601521545e-05,4.410047558689456e-05,0.015717452154412337,0.0008801607014925494,0.006569839834138946,0.0005261839558223791,0.0006305072388033128,2.2337011017947717e-05,0.00028232677058404043,1.849848903057172e-05,8.425792895616624e-06,1.2532937149978274e-05,2.317187088429762e-06,0.005439080037809463,0.03837963379261289,0.002188484509261013,9.33503764253274e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004868869652452368,2.815641219799936e-05,6.893531737395264e-05,0.0002453787139085062,0.001004208086954339,0.00044888895150996255,0.0007105715490818287,0.0012069209959071348,9.089067094270042e-05,2.6561985377648867e-05,9.532311268767302e-06,2.4431268867974865e-06,9.254280275428073e-07,2.0723148967949356e-06,5.3877126537926756e-08,3.970062985247935e-05,0.00020063067013442737,6.0878662546670625e-06,2.253930931450654e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.957396374030641,2.046850072274952,2.095412929665992,0.006102653366314853,0.0015785752156235316,0.0014154751380508201,3.674419502763815e-05,0.00023221337322038016,2.788754591154241e-05,1.561899008087342e-05,1.6618632732168237e-06,2.6065058484903147e-06,2.1531728567475428e-06,1.1040901737313646e-07,0.00010185818770117039,4.972417538162688e-05,3.025816059111508e-05,7.4828312875974134e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023246129708831775,0.02297614825077332,0.00014369351262333296,1.2265488025686722e-05,5.588159155855976e-05,9.065495300886184e-06,6.072698374604002e-06,8.569305898209478e-07,2.4398658997615286e-06,4.0543780333024415e-07,1.0111523018885293e-07,1.621759122549804e-07,2.114305108769088e-08,6.291525078472304e-06,2.233528948036856e-05,2.9766215454696265e-06,5.426622056159403e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02318216001962914,0.0011789877590191455,0.00026757560757584287,0.00028160407351895955,3.4592576227954197e-06,5.690972560823404e-05,5.877836975143325e-06,2.8446425448525048e-06,1.7814252006864706e-07,7.457653725673197e-07,3.591434762917345e-07,1.2777964242260964e-08,2.4319061898703254e-05,2.597336521414917e-06,6.334882878711312e-06,1.8711761788914316e-06
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80190155646099e-05,6.055069318855466e-05,4.1997996649723035e-05,5.814652287439159e-06,6.082489234726651e-06,4.102464772337555e-07,5.84370587697336e-07,2.0823864632646405e-08,6.546739483859199e-08,6.460331936075647e-08,6.288087828210109e-10,2.7163602616120386e-06,9.88586537298275e-07,6.190876622458319e-07,1.5779094564294383e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79304998995303,3.4639388183474935,0.13534528218194797,0.27011463808561365,0.028838267896558856,0.032876380056685306,0.0041171252329010866,0.001269865515735713,0.004015752598693467,0.00012881194903846538,0.03529256054298363,0.006315750443464441,0.006754471100603593,0.0013676126090773622
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5461735100892271,0.02591042177660885,0.07422163354712204,0.06174453262499868,0.01068247310521575,0.0016357561645717889,0.0004705247058440776,0.003157666753274946,0.0002585898596609848,0.012571730275030973,0.0026828943168624234,0.0023413085933699507,0.0005109671739641497
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8763499789306917,2.860415029258068,0.10104307004252555,0.1890314044190011,0.025544343427264415,0.013347172359704285,0.025481228516958943,0.0004912314527808492,0.20822156113957488,0.03206098181423632,0.029632143512821993,0.004693536937832032
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098376403784602,0.03259646996394694,0.009226111287377159,0.001320943081264847,0.0005553348115550083,0.025467115066099333,0.0002121140476707417,0.0065600615011987,0.0033251795315257793,0.0006614528815107601,5.202938250170597e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.886657718962564,2.635675691622931,0.09529262653689874,0.09685739494756729,0.22211789890699354,0.007244624881756367,2.752885224783065,0.271647581197548,0.20852621866306506,0.05322878525262542
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09607154442509835,0.004279818094831356,0.0031839805630278217,0.027026741565664203,0.00017354007003578253,0.11294188901114599,0.030806157194445016,0.011157006242709433,8.025945966094739e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0323322995028814,2.110194343996712,2.9825122935972552,0.10949851048190518,0.17844923525593803,0.03858457700787084,0.041636658659342615,0.0032047257344033353
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02916809082488636,0.10318627151037296,0.01182969387233257,0.005491784606579619,0.0009239854251145152,0.016121545662091452,0.0006481059260450284
