,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28O,29H,30C,31O,32O,33H
1N,0.0,1.0200915376978412,1.0217493747611701,1.4693198171285702,2.086075895427215,2.484576399358469,2.6928116995608686,2.9259868542810685,3.39795820726437,2.428181682689433,3.8474852961784194,4.657471370952881,4.173439048309518,4.188935205089697,4.2637780495587485,4.995003714400417,4.851056891260499,4.358800177678195,2.4616458134287416,2.85574332785747,3.554127738495171,3.8200985447371996,4.793717749041858,4.742870710365858,5.636814007343083,6.542074637988034,5.224731600332155,6.1700079571129045,6.899611488285035,5.813965691672943,5.8150264405888175,7.055773839248663,7.685319149249728
2H,0.0,0.0,1.6248996872612091,2.0480931933060353,2.3230760304258937,3.368405547419947,3.651051485097797,3.807725852705368,4.09581462882719,3.270636858148086,4.590818209052235,5.494243202066397,4.8169397934453935,4.79255885545013,5.2130557148371945,5.930389839450489,5.738170871695265,5.362645540534215,2.7102933887744034,3.137050840357885,3.5609644104171645,3.806876472007101,4.719555545031263,4.675089862769294,5.308024567324294,6.207033373624966,4.723844149283086,5.858677746619356,6.6754349910876,5.934235053811746,6.1260632155025965,7.0834093510298075,7.807189103943508
3H,0.0,0.0,0.0,2.0199379641855746,2.9093652159402974,2.7726359250141273,2.5609684972665496,3.404935352326484,4.098047125462872,2.9177760639604453,4.144136746822297,4.865906228776118,4.323599855565633,4.702974635464004,4.519793258363484,5.264552922822383,5.181600681257719,4.364139828175095,2.5225460105342785,2.442593243773266,3.797992091682671,4.290691539174583,4.847286051138682,4.572485520177194,5.812976607780945,6.606362349701042,5.430546031626555,6.54223839835344,7.227012962615007,5.841691846857774,5.858882373348197,7.047854925511395,7.665267341534818
4C,0.0,0.0,0.0,0.0,1.0996937567386198,1.5544549016758755,2.1390841538724334,2.5459582590402077,2.8546657678765786,2.6400000979333154,2.555300359669948,3.511073387582101,2.813167063198478,2.839981064887458,3.928569210819487,4.367924545481189,4.708435346976621,4.1882405842415915,1.539546702226437,2.4147587173817158,2.4776742873650366,2.620903642360427,3.8411290248226426,4.023905011217777,4.829954307774107,5.786650787813667,4.666183531097556,5.202376339420483,5.825387520659372,4.641419730531883,4.508689514520984,5.947718377267941,6.497464073648453
5H,0.0,0.0,0.0,0.0,0.0,2.169573464906428,3.0473240650743345,2.7814302905041663,2.646939749152615,2.9357523174255626,2.8044316060438637,3.8110518394125723,3.164217380183198,2.6438130391483017,4.265448993336342,4.62344166660252,4.917625136086425,4.764299743506847,2.1743924746323913,3.2809533755649403,2.54573445855683,2.2705178388339338,3.988022112575112,4.418096917787952,4.717909636268273,5.765072023264734,4.522669387088673,4.812497055126226,5.482045412627832,4.800722851737288,4.7079921641081075,6.065130727505591,6.63138353879714
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1012522182928242,1.5427397498630433,2.1648890003384316,2.152328860096336,1.537477502969731,2.18203792199314,2.2050888558412334,2.183271756035393,2.5832625606896507,2.8961474292292113,3.52661301443167,2.8375681241121287,2.5429670397256823,3.1380603537516367,3.460759253323954,3.5352884156060407,4.712072110792953,4.895661233476491,5.9190403618628675,6.826749652872795,5.958548036999242,6.200753563110044,6.660079926356903,5.084690033934919,4.579860704050946,6.44480276228312,6.79365896009878
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158907217254592,3.062846979334666,2.5366034415791368,2.1530811633745843,2.503146631271371,2.520126940889466,3.075514079232043,2.7503966175708046,3.1354295059670543,3.7536440190481524,2.555955001297752,2.7282610194348016,2.8663388426008134,3.869298054483532,4.193230780193034,4.935836851317573,4.888996123940804,6.270796873918983,7.073852786701134,6.321184527563005,6.755023816196253,7.181261738849153,5.270975247704309,4.762083911075776,6.5981785887530044,6.92019721484056
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1012947762219563,1.0943488721955144,2.552800570281244,2.7969309105331197,3.5199827019796035,2.8137790781163914,1.5339718406955958,2.2002710912646184,2.1779062227760506,2.183356516187241,3.9087836797451163,4.526072958542913,4.7782447973958915,4.666386697848903,6.12436766632226,6.355998088497281,7.203369679763637,8.174468728349327,7.13924657640488,7.3482262536471925,7.859831916093515,6.538593595868177,5.99842714658467,7.898529114866461,8.235335215600637
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7587079212836574,2.741001745747405,3.061307347673323,3.7659653546516894,2.548894292875815,2.1656874736561886,2.5328680512691375,2.5137956894601543,3.0856257593358287,4.2613476958914065,5.100656524395375,4.866736892418771,4.526061288022817,6.262371945798093,6.664539025486465,7.189036244128859,8.21641837206253,7.127869652611648,7.126786383132285,7.6415686876532725,6.662268441466558,6.132498157375595,7.99788959070364,8.334454449086367
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.475899889698203,3.8227211156111993,4.329373624671628,3.749741743980695,2.1610930591935276,3.090087854180823,2.47984137506044,2.536264322427471,4.0898119293674595,4.600461599687688,5.08966813259149,5.058990484475589,6.455019725797774,6.581929932833872,7.453059860553167,8.425220532844387,7.233317148744857,7.700199080986687,8.310320904283705,7.080992133861438,6.684529257978767,8.429824756759594,8.859725576150248
