,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34C,35H,36C,37H,38C,39H,40C,41H,42C,43H,44C,45O,46O,47H
1N,0.0,1.0225538795762097,1.027528680864173,1.484363144412023,2.103527443088506,2.465063701992888,2.6494542096823284,3.4146224348007523,2.9921832514894713,3.994129308431255,2.701050861877905,3.546336311969906,3.16775874355545,4.528850257908185,4.134733417456661,5.08086100517009,3.8994161863685983,2.863617666667062,1.8224050240499634,3.323510478815765,5.11105698201615,5.9593271638001735,5.354056553123169,2.4577775484279587,2.7486952243240235,3.6161517866530235,3.8400242348191846,4.8273306475173845,5.608008921330908,5.559138219720793,5.187726995136896,6.528592740385121,5.9903741205005305,7.086994072083855,7.589696286778416,5.680295753718619,5.048364179260716,7.794137775901984,8.726182334099821,6.54186499373921,6.649305852460716,7.553617413108801,8.339244375055568,4.9763681556558295,4.4040424088687695,6.236216138638761,6.521595398419352
2H,0.0,0.0,1.619020546855222,2.0502405527573777,2.2818666911584926,3.3343002864196913,3.627910391285867,4.18379580291569,3.803017572031498,4.739553673610418,3.2898159359809056,4.443793999943269,4.120508781871825,5.464955582954172,4.843134682207399,5.763987458820641,4.405173772913325,3.2531718651045445,2.331259805892114,3.4768004038334888,5.480379956322877,6.402906077677081,5.548682068803238,2.772907078582368,3.1105468161540815,3.739426892670214,3.891547669410788,4.848262030739486,5.575338358888125,5.78837825756825,5.47529281286159,6.669745300562175,6.403788819825233,7.449887461882188,7.822359170676287,6.2941078982865415,5.7231644588429855,8.266233416357212,9.155133029050878,7.243073786486707,7.456778379012017,8.175730780472884,9.007427031907655,4.729823489120476,3.948274460934627,5.993853526242334,6.154584025433565
3H,0.0,0.0,0.0,2.0079840217523595,2.8838589885913324,2.8142766791187164,2.6048783683611307,3.71650901672273,3.599537343630915,4.626998176035516,3.53961537116996,3.9074436728584554,3.2616863672308303,4.8003090922739275,4.617564883238347,5.605257754825816,4.388166393639029,3.306144397054574,2.352167769239074,3.6518547218173376,5.5974750052205104,6.4228939277224315,5.848192636457403,2.3935576360411828,2.193917144937517,3.7039505915927116,4.176431024141991,4.715902870537647,5.6332023398589275,5.235010617645094,4.6842221433117945,6.172958999387355,5.771949014213746,6.991126231480481,7.515222421311768,5.42009287739336,4.649784614461191,7.7649058320664865,8.752991526866017,6.386937688551614,6.474124854676649,7.502047997401657,8.333293177466311,4.775978621235181,4.276781211306967,5.928266383771352,6.192582832610604
4C,0.0,0.0,0.0,0.0,1.0967174859868334,1.5401345087442342,2.1315409795686353,2.1741567942553153,2.559253446775748,3.3113894248005193,2.5197689866647948,3.622191805599342,3.493270206780797,4.418251498028342,4.540192526224966,5.36432096991671,4.693496935387917,3.9503261001390078,2.91587064677554,4.6050862295591495,5.979288025430964,6.721161471527919,6.362951894438308,1.5422924465860621,2.39182836774241,2.466558395061993,2.5729875646879408,3.8486160978049244,4.506930423943473,4.596634653982906,4.447420388586932,5.620690350240797,4.807417622799666,5.784132210218854,6.3132995308747715,4.545087534463903,4.118267251469736,6.4203493439388035,7.316322718429875,5.332331351898325,5.549226053066298,6.223201567538899,7.0045190939102255,4.393081202475588,4.10438022627179,5.68569192584965,6.16072277072712
5H,0.0,0.0,0.0,0.0,0.0,2.1717168508856624,3.0480139108116173,2.5646003753189017,2.7695186802438956,3.3031209610993053,2.4171082713424568,4.079616245037796,4.193057368116045,4.889648693059396,4.808765871534696,5.5309093834035945,4.929299853667182,4.261861255846612,3.3023220990720548,4.900434952568755,6.125434042698248,6.87597333767766,6.447994682602981,2.1942250545494635,3.2642324857112945,2.600329266962577,2.2836574302532022,4.025550686572156,4.455918165954502,5.033068975180022,5.08740488321531,5.999986223722729,5.214836421173964,5.988896228642556,6.4105804808508715,5.126491171355086,4.890691440127247,6.5942155378606415,7.382392797327931,5.824234078369524,6.125422528068025,6.52138976642649,7.264132583117499,4.555455734832399,4.186653880071708,5.891091118851801,6.345285289054738
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0982458111121483,1.0950773528895679,1.547480722865327,2.1899524446249026,2.1715164436418704,2.5762013005294433,2.6169488035056503,3.1207986075967455,3.8112097273098873,4.523831807501548,4.381788920428988,4.025023829050192,3.1513694722411643,4.889852525483647,5.71480328294915,6.272025125301476,6.319515580597389,2.520148148518379,3.1363564347260313,3.331726982130173,3.41430316342849,4.6699566306039175,5.277448150876507,5.044177105693979,4.875492759291955,6.134010167060485,4.820563003136157,5.756698222088537,6.4979366266506755,4.1557518229948975,3.724723063531276,6.087422074190176,7.00545042758189,4.602975478269551,4.565468770182021,5.575352764512181,6.198197377893845,5.530060420083115,5.457673639974898,6.736570830767959,7.330323491971627
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7482888373335776,2.1903129939251267,2.918253032551464,2.9351254499093997,2.5659709093312775,2.205310866660239,2.9943119671568783,3.9168389014100873,4.694963087516234,4.47725113531299,4.081801320946542,3.2590386349275073,4.895098134173561,5.8212905973131095,6.347583711476959,6.456826819054043,2.7069126715146035,2.873391221579226,3.7332761626610584,4.075087325838378,4.894573928997357,5.65101003967517,4.991971545860386,4.610779328574262,6.075759925229659,4.801005808785912,5.898100580199066,6.709464246490516,3.9474969687102073,3.274974757136791,6.249092242867612,7.244845677264199,4.453504538200153,4.2755754626871605,5.619590291384068,6.258102978135798,5.696491218850876,5.679753538570702,6.8074408114733,7.39051297784529
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2007612875545193,2.3396913133737587,2.904302557377091,3.3350851880850905,3.5063528042946817,3.609857672456584,4.631632154642374,5.209429116693594,5.3491210405113865,5.08923718773026,4.230029812369971,5.970057365572497,6.658360850113097,7.147725960604804,7.3019961301131255,2.709146476223917,3.447931226252372,3.1159278137228426,3.1110178956396948,4.367913978797432,4.82757941257802,4.627822435779335,4.641285260178099,5.703628274088741,4.129004503206201,4.908705722068894,5.69979309571664,3.449332683325328,3.270826805351311,5.101819053784821,5.986504737456357,3.719251885719496,3.7610764065644866,4.571459234439671,5.165433568935312,5.480915648441217,5.617879183162105,6.617492543492893,7.321125328032814
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951173254601543,1.0959834540428544,1.5456154155898676,2.186755279472788,2.196527570694633,2.527516613640032,3.1025456233345983,3.293943109433137,3.3442163305679244,2.7738067547262077,4.3274711328717155,4.541804892262862,4.995311062052408,5.236832054523584,3.911201045868978,4.5458438368349645,4.676003076199457,4.540773867836007,6.086174113494508,6.603088070336189,6.566746891000914,6.42089372043306,7.652230462330307,6.275274792974743,7.095541634362383,7.839820156317949,5.555442972271246,5.163954949754706,7.266492360225742,8.105788406340723,5.772396889675105,5.571966479633988,6.654387545302315,7.106284129137888,6.880459977839739,6.658588966879846,8.142687237156105,8.68414936897212
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7478462299697635,2.1793659896705933,3.040957707092268,2.384673334111795,3.0316333136916316,3.2858296353227976,4.00138559815849,4.279598960268005,3.8067953990026666,5.272719352919679,5.115856985185027,5.422040242635687,5.865653638604559,4.5594090165737935,5.313194992014699,5.084722471796098,4.801809325346527,6.478309173028997,6.850489367582523,6.933178001199794,6.921361683434346,8.0052340081504,6.43418929695479,7.072218586245963,7.838008492421711,5.697018685896248,5.484501808011592,7.053983624590291,7.801942570885891,5.674876665222726,5.444951338553809,6.390281653447457,6.70443428256318,7.430606104259434,7.3061362105405525,8.674907723956858,9.283983539562833
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1511907850338994,2.7363337608878853,3.0138190530651894,2.5459881032094627,3.146637539610618,2.938646274162568,2.8660193094152193,2.3230422504415382,3.782085039966148,4.107326233933687,4.692103560274514,4.654125272657604,4.041113336030365,4.772113816603953,4.773697757860242,4.5217200607161825,6.22430110597571,6.702948536628554,6.934150059232112,6.822952839123388,7.990956199706264,6.814329798190428,7.613200186577276,8.248841292062083,6.2709608971048985,5.894173028417965,7.893923613886843,8.696967411806469,6.609907349352095,6.520740724724092,7.4280127549479165,7.930248441984775,6.845970693570862,6.454508236862543,8.163110642200316,8.61720768131127
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0946921190777312,1.093095565449579,1.4710203201461531,2.144880511838621,2.4857849975857507,2.8695188835820593,2.6790918077290655,3.8531431701596945,3.694136456156839,3.9995370891696034,4.536012889603309,4.870821461199991,5.182309857552504,5.857408176053351,5.890708065881714,7.197396783972504,7.842958679128798,7.496772322002439,7.16174084684622,8.587717286047225,7.221550457861362,8.164301925989594,8.986694821405745,6.3096023246845245,5.730934831231673,8.29724116046272,9.193340629478552,6.479716624849391,6.059284895634297,7.516392611739069,7.9056174991690975,7.903919588421272,7.644966163047123,9.122151393470737,9.620018526500553
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757154547064183,2.0757692244754202,2.9218991507892067,2.6602289389094027,2.6759720126407665,2.4019609936974344,3.546095075414693,3.9100097961615288,4.319075504625501,4.661745224599905,4.549883833203078,4.6124904892043785,5.695979603843924,5.908689573045113,6.940527534315081,7.707561615523984,7.140082061575158,6.662215331932871,8.211046075608424,7.001268791049024,8.081230010838368,8.902000365799239,6.073521591367981,5.340246164181126,8.333758536591862,9.299201492718604,6.404129289532056,5.987385315559919,7.569646735504292,8.05041328715285,7.534333064987882,7.267205308069752,8.697414982677193,9.152583307336325
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06670203155044,2.3173306377266822,3.2974830719065644,3.8802498940509684,3.7594754639927492,4.836454470841981,4.330119949751954,4.404449454827967,5.263145771140981,5.536507706120426,5.815887340796031,6.445141811816766,6.48468719058585,7.736868599589169,8.348809485260766,7.873856424695157,7.554906735527761,8.962787249105938,7.409892448006288,8.287706196535693,9.187574224605738,6.3578997357303075,5.829543839010004,8.25144321209505,9.12312300813397,6.308916868512394,5.734204982723581,7.322669908901932,7.5793220289423715,8.581465555875962,8.44062497594154,9.753111002986877,10.317966218475826
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0113447009995895,1.3407207443317342,2.3307348103529937,2.6789897376400953,3.2221678530053146,2.314634790903089,2.5572520371085234,3.228445377021724,5.932534665666959,6.264477644369451,6.934423003473466,6.8809747919537445,8.31924965638063,8.947887929777217,8.76610942178294,8.42444736278497,9.849246948347007,8.586410363465749,9.516621225137294,10.290835263696643,7.739986574441233,7.15329788807531,9.673219516209992,10.539548042951749,7.931185307541473,7.516930644543206,8.92874043270048,9.294264432167124,8.8825654875423,8.461290244483946,10.146257178854512,10.557398135588674
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0157297645051906,3.2133633016897383,3.6426096153436287,4.025346580617723,2.482527397571169,2.351167551432453,3.4547494068376268,6.780729077613458,7.177260655466201,7.702116365306723,7.571632350332083,9.108380970505522,9.675098713000684,9.547839484276624,9.257538380925169,10.638169116826742,9.25864781342317,10.107763614762865,10.904816274294177,8.371979466406202,7.852511524349425,10.149468421346155,10.966287071345807,8.421771923934667,7.947272497821842,9.346837330445778,9.610075016820735,9.746365117175733,9.350370905866667,11.019806030901968,11.46001729402244
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.331623673823165,2.1277600839777953,2.017360676173221,1.3507732753112058,2.0666652418386704,2.062580474728459,6.083320004125713,6.342109479518283,7.159923623751556,7.135143793549648,8.518138805341248,9.195516005618158,9.091085806817643,8.69151421540032,10.142247062326504,9.12638770453765,10.129153231635444,10.824322420705997,8.399531078670885,7.741794743947211,10.44302887111001,11.333701980142337,8.77524288471132,8.450788526497774,9.81077108878128,10.27655954760635,8.855316145760321,8.270402279800876,10.124538483582075,10.417562571293692
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0563386276908082,1.0117574812991035,2.322334754287218,3.2304321916443453,2.5690300983888394,5.231515842405337,5.4050457434890244,6.370159110314226,6.432613880459323,7.658612051661356,8.394886573262314,8.295135266217192,7.849588404577059,9.304642337962893,8.5255422313952,9.599713706156358,10.220707312391356,7.928182204125322,7.219552351204402,10.080157816322936,11.003266763360376,8.503537829610835,8.302802402060975,9.575665388810618,10.167311109392873,7.825369245942562,7.160771581070362,9.073070998903903,9.293372203955297
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7544708718018682,3.3016794291343823,4.165436761369452,3.5845250917213716,4.177899185784881,4.397647434855324,5.318778822014104,5.4129657530131725,6.602433550150689,7.344500129028076,7.256101228441582,6.839028701128402,8.26321559419562,7.516964716297919,8.593628655011786,9.190764369909559,6.985154355898951,6.300345391287522,9.127077111204926,10.054415067147168,7.6319847354189845,7.517324998807352,8.689818134923057,9.337157502059416,6.7968036003536865,6.175226455944637,8.052456769173316,8.30748579180153
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.508773288115273,3.476527217161456,2.3751397595712787,5.768124477430053,5.837772415430632,6.92575210805781,7.027474758696697,8.140255046066718,8.907864438620917,8.820953106506595,8.32402943067227,9.78524632912572,9.189259855968915,10.303588674084526,10.874224758540164,8.658322441797281,7.906101514211106,10.869913894919101,11.80437232238206,9.325098924957524,9.155888698475522,10.419422697209141,11.05544590119544,8.1269217571099,7.355058451494127,9.337996630376027,9.456920428054058
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0099650884217128,1.0097284386100887,7.380663768361818,7.629921636383378,8.442011402120633,8.37520051477276,9.802564898528946,10.463722511975272,10.419673503967593,10.012578372560023,11.463103621344118,10.473375118504766,11.463025654300857,12.147672777546967,9.745921658916869,9.084760069542595,11.758638878303167,12.631453480299529,10.091782301820722,9.733534734808138,11.111876215882152,11.539730409322011,10.071910206866349,9.412831238914109,11.344741196920495,11.585821622269568
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7251574461669548,8.134364645099957,8.386042539450624,9.182378519438899,9.10017338555372,10.560429793924966,11.206964081966111,11.110852322171699,10.707548844507327,12.17273789889058,11.060042555686143,12.020575293420453,12.754266338896363,10.248045856872526,9.602231713346487,12.218010876635217,13.075451579518054,10.47850412358078,10.035197890584621,11.485148069383913,11.831531289547508,10.916399414618976,10.308581741166178,12.18944883794858,12.470096238610429
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734566930803294,7.96881627569777,8.790617965121495,8.716471886991572,10.121266046465777,10.784102387618383,10.83009451316086,10.414752633330513,11.843118832902007,11.00298341034339,12.009579267169446,12.634881656629174,10.363431414025401,9.68794194222872,12.390342816638352,13.26339312678891,10.802479811086842,10.506700366208575,11.821393597649454,12.301855263134696,10.25072371638179,9.49182989923484,11.51629188304489,11.677354618733768
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229179477600545,1.354379313572106,2.0362679947558058,2.473002569979843,3.324089887796271,3.1420945886872964,2.966687028610146,4.135699960807106,3.6316160651097453,4.727883078892312,5.174831983620303,3.6340478756592858,3.2242359453300455,5.6028955283034065,6.536877095190991,4.717458824480582,5.146455644670831,5.60117140310077,6.532758552476737,3.046988564066721,3.027242610948086,4.26321007555417,4.814239156740602
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.286983490532735,3.162613982161423,2.858381249736332,3.900224281899175,3.0857280373472564,2.494344537059472,4.008537158531922,3.7878979694960995,5.07611408749603,5.550512605486204,3.6825942058334467,2.9951917309682057,6.019850605756794,7.021555604471823,4.902047344785096,5.251469871914271,5.950286973052591,6.914080154695769,3.141220548267367,3.164878086060989,4.149300796343964,4.626551351793955
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100751198261082,1.4587466051549605,2.054292708027583,2.526353856567632,2.837860526546602,3.424667830627953,2.998215554475802,3.82142773484836,4.093265185480297,3.4477183177734343,3.4408811263878394,4.794052142979153,5.61699786836854,4.503947648396574,5.175050757186047,5.084925246732289,6.053858282096365,2.444651094286388,2.7485455901393956,3.6322370322985575,4.320669532906174
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.120976091654437,2.2420542830348085,3.3166075700854836,3.7871263383294975,4.134115971386084,3.5482034180187556,4.080956045277522,4.287224230354558,4.006927545159788,4.152024110699842,4.905195599130594,5.6077183845209335,4.846765143943816,5.520505151038742,5.244726132269952,6.1286657703024545,3.05398047796117,3.2181299490091577,4.2456557144729254,4.89995681644859
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967842357944608,1.5531166934344065,2.1660499826816126,2.1439244217557163,2.5491785032673793,3.27327669499733,3.2598666539968923,3.4953193334820347,3.6380866113620836,4.527052045749322,5.284330538327339,4.692169867839847,5.537463016379639,5.117533231007101,6.168693891655917,1.538824626745133,2.4437334761215537,2.3818131571363894,3.223867278037312
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1537143183107084,3.0500794813455037,2.4272536737553536,2.7865154578702653,3.013135381585903,2.725233911709711,3.9333031852146116,4.330723885039291,4.2376709904969605,4.80984804673391,4.937522483776815,5.882619123012983,5.064717487856524,6.068065524923242,2.1217767260044864,3.015301872349524,2.697002931978481,3.545885999628961
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0920626813298073,1.0945078401511719,1.5143346424236588,2.5360130324853514,2.7384255580333914,2.534823904627476,2.7273053651519326,3.8230108769844646,4.688783312408894,3.8226764787526526,4.689421652296704,4.3299262718931155,5.416666318913602,2.584056787233749,3.6314020589639617,2.8425377392408944,3.7677518760403124
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7641796125180722,2.156230617408267,3.4162434464862406,3.759851781034225,2.647010087953619,2.4015836789895855,4.576629998296398,5.527136850815932,4.034229608838383,4.715422441033238,4.826102877581453,5.892664568176312,2.7965201673824676,3.661388183840787,3.0812904162273314,3.8615650406997815
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157139638554829,2.7405652928600346,2.5855661325835677,3.343799208717815,3.6302405614397797,4.097379678447864,4.808728990102674,4.523747355992705,5.447737651041877,4.828682278418349,5.894725433989925,2.772970994355832,3.9512125044737445,2.4945125439444213,3.423500894537526
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4022991292830347,2.159216897392289,1.4015920342587527,2.152219863014592,2.433783152717185,3.4148184237043546,2.433212504252464,3.415030980580353,2.81566679912096,3.9023888845884858,3.927250853157219,4.90069325071525,4.280003113298874,5.232696130996641
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088880534022365,2.4101581174710067,3.395115550777309,1.3958665410108735,2.153716600268919,2.7865524102329777,3.8738728961453464,2.4198881140366955,3.405252078688433,4.669912850516137,5.708577500285757,4.872572454998096,5.849045409067337
