 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,H37,C38,H39,C40,H41,C42,H43,C44,O45,O46,H47
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029728321403682756,0.09787824593597827,0.020274610269598092,0.01956854843491551,0.018701629125186803,0.004401707557597723,0.00026471142085537913,0.0031008855602830954,0.00019492217112548893,7.563579290348343e-05,0.00027189018818885025,0.0001684325785702434,6.091857090984032e-05,1.8114621573861456e-06,1.1961091976875338e-05,1.6963909830192136e-06,2.493807134129611e-06,5.928705693047931e-07,9.949458685820645e-07,8.583984300036818e-07,3.541645254845349e-07,3.695778927337301e-08,2.5795474709600086e-06,1.344287310800496e-06,2.618972960721777e-07,2.687834399495159e-10,9.910517591027457e-07,3.784400548489941e-08,1.4941821813163614e-07,1.4964645078663352e-08,2.5969030861272557e-06,3.4390409875406647e-07,2.3509270186128362e-07,4.259080510493618e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11552455502565373,0.008680669686595532,0.02205721492553092,0.004130328411024786,0.0001487340793695502,3.788555874773003e-05,0.002850250830722878,5.99190777987868e-05,0.00036616030680325373,0.0002966879998740346,5.0463596013239354e-05,2.8145053389216912e-05,3.5553341681815454e-06,5.709559778521722e-06,5.742928557150861e-07,7.595337171428795e-07,4.940497491112694e-07,2.8946490848724693e-07,1.5030276989680402e-07,1.199743688840016e-07,1.9380226312648574e-09,6.173744476756227e-07,1.2696411391122098e-06,4.416680055019384e-08,1.2739007626549892e-09,1.5153533794443064e-07,4.7255410695612454e-08,2.447907776481628e-08,3.2723357357156146e-10,8.193145735191365e-07,1.8560442816006884e-07,6.833422938612443e-08,5.64479063491774e-09
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8334146591195823,3.3208191750695937,0.39711396165098056,0.006918202012776153,0.031019593736782425,0.3666616307269993,0.01237100042947259,0.029491474395449413,0.0007639885845241723,0.00020712923848756337,0.00023202771885527662,8.910430903785738e-06,3.4573758304110025e-05,2.4542031324958913e-06,1.0229779317805221e-05,1.1705753683033393e-06,3.2546134595135e-06,5.318589939670715e-06,1.1505405691086823e-06,1.3407907339946235e-08,1.3112691603936466e-05,3.162484657037723e-06,1.9912369051688916e-06,2.2629818019481718e-09,6.284943756179606e-06,2.2987872660973352e-07,1.1055914150848167e-06,3.0946990525748674e-09,1.16561880020849e-05,2.0672514829817024e-06,1.3599602740332895e-06,2.4053219771502654e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1561983501839772,0.029508818107730206,0.0007143986982065531,0.0018293074799611286,0.015390630798317817,0.007070111106226573,0.0008996196861719152,2.604342083878386e-05,9.11199902331461e-06,8.263715496559243e-06,1.2938544657892237e-07,1.394234629303881e-06,8.103185078489616e-08,3.897340234981783e-07,3.22202933222826e-08,1.462152305897746e-07,2.6163537203416354e-07,8.347132518515821e-08,1.3951078070562062e-09,5.963745527415298e-07,1.59792146625648e-07,1.4995447217280855e-07,1.0246448134410002e-10,3.8506482813449594e-07,6.604046198788183e-09,6.03146903532803e-08,3.6644975942579094e-10,5.797071770397011e-07,1.0425889795939725e-07,6.349010128747778e-08,1.2719943986994053e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9262178407624457,0.13972194008421446,0.16726464921726059,3.7055675736540965,0.14910552239046782,0.1491748648352098,0.0008016553184901909,0.00024196605517629033,0.00017351477598581688,7.608532145431113e-06,4.1738676782948625e-05,3.2000732792525355e-06,4.630377522268914e-06,8.530781767657203e-07,9.799534739229898e-07,1.5571454571039478e-06,4.4228946036173333e-07,2.2298857649261095e-08,3.429003845256684e-06,7.705567059979046e-07,7.574318392489232e-07,2.045161817676444e-09,2.01268565649948e-06,5.010996706467097e-08,2.9496733289224863e-07,7.751743469341932e-09,5.494479160039756e-06,7.036047956904268e-07,1.557876948221626e-06,3.191590922657639e-07
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6987745306005317,1.6831075460606144,0.38239927933360807,0.03078602648180162,0.012463361290588226,0.005044241105441494,0.0010195715229152358,0.0009230430264740991,4.63823059319024e-05,0.00027581213269906035,2.1550995136010442e-05,1.3196543204696543e-05,1.3545463111164224e-06,1.2475180489746052e-06,1.6048853403866081e-06,4.0492905252487166e-07,1.379044400895424e-07,3.3140191070396563e-06,1.1345681318886136e-06,2.7270105704135794e-07,3.172885287838767e-09,1.3196682897148593e-06,1.0410766093649215e-07,2.8305714187826236e-07,3.17161762408702e-08,2.086727256475629e-05,2.090595361450842e-06,8.152953680853892e-06,1.6387161866360245e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03964420937575208,0.02500738213644571,0.0022822891597558126,0.0006356874090187592,0.008098405971629807,0.0014409283203992151,0.001132667986582292,4.984945260777529e-05,0.00037727761592387665,2.8620221645958566e-05,1.4481182806114212e-05,4.303716059084195e-07,2.503548679921863e-06,1.7138261150240197e-06,3.2525966475738244e-07,1.7466791679687788e-07,2.9698315651138785e-06,8.736994219216143e-07,8.722802236071914e-08,3.4503546686437403e-09,1.1910307857743163e-06,1.0109357972964972e-07,3.321016464052917e-07,6.802344509893032e-08,1.9855447685901417e-05,3.256825346298342e-06,6.2880643348917076e-06,9.747900671097653e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014662607605636757,0.001062448758787582,0.0065839258502551345,9.867583371014899e-05,1.5604998149121307e-05,2.1077381670897566e-05,1.3887960612635197e-06,6.06992985607846e-06,6.322498800059861e-07,2.907034989396706e-07,2.4920033148134735e-08,3.265123549311966e-08,4.6346906867889004e-08,9.986653282112457e-09,3.5224507755060586e-09,8.59749262893672e-08,3.25709412773989e-08,5.608928654865508e-09,1.0628897761932876e-10,2.7339858377217752e-08,3.3466447391106158e-09,7.053116091171319e-09,5.692419868807974e-10,5.920084740207443e-07,7.09782054242325e-08,2.5318054830414383e-07,5.952451465063291e-08
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9812991832130027,1.6721973120473352,0.00026201373579626264,9.603414462820703e-05,6.58146987399244e-05,2.5123586140374243e-06,1.4667444752258785e-05,1.0274989089564812e-06,2.03969688747363e-06,4.324137721223309e-07,3.1399842725932103e-07,5.042129199300804e-07,1.2112506955763713e-07,8.956773989154954e-09,1.1516654034454676e-06,2.827739595812062e-07,1.8380955020547152e-07,7.132803236942209e-10,5.599861288702046e-07,2.2956682110830684e-08,1.0609203246469967e-07,2.0475279249865252e-09,2.214404738881681e-06,2.3022047145049296e-07,6.511253393959304e-07,1.372054936332745e-07
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03720947709758793,5.191919689717661e-05,1.0094096627111249e-05,1.1586606984859138e-05,5.038876378371526e-07,3.492575552765942e-06,3.1592176830130825e-07,1.7530320572944902e-07,1.4176414708799712e-08,2.8379428806957208e-08,4.491306393461514e-08,1.785475101101497e-08,1.7332648649670546e-09,1.0884371370867285e-07,2.976439317237123e-08,2.139882959717454e-08,5.968581184845334e-11,6.24639830970608e-08,1.4664642833395192e-09,1.1357894069696783e-08,5.410782932813163e-10,3.517743205616597e-07,3.506633616812138e-08,1.2697633833269606e-07,3.078184218630042e-08
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0018837245006083e-05,4.378279766403814e-06,5.1294316795180706e-06,1.5802767405759255e-07,1.1895682366924731e-06,1.0967562036334755e-07,1.8406375690283028e-07,1.6536456204363503e-08,7.059415096932753e-08,7.765979359586339e-08,2.0241139320198442e-08,4.966265176875595e-10,1.401440115067487e-07,1.5357116911474122e-08,3.830593187093001e-08,6.480149750132114e-11,9.294246672286732e-08,2.969496204485722e-09,1.3648850938352552e-08,7.759037856658324e-11,2.1009906747693208e-07,2.853451563922249e-08,3.8130381851964046e-08,7.966729942410211e-09
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.866699382086747,3.531306512371391,0.14771242802996742,0.2589466577808122,0.020371651019553072,0.028403712630643896,0.006758691602269273,0.003019322192037821,0.004337984070310774,0.0006467982347936052,7.073103795107727e-05,0.006704394740690955,0.004530835242432696,0.0005992296380947781,7.295632816095576e-06,0.0008561476849368588,1.7592535588750735e-05,0.0004110775567340852,2.6573790850248358e-05,0.04741164698007544,0.028931292591812763,0.008752517211928393,0.001179245912595217
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5397451272360011,0.02924375010794733,0.043767429531694726,0.0033304662594640932,0.03337137625099347,0.032906659402207494,0.001905783553620588,0.0034375158718956134,0.0006085799623850446,6.39285211210261e-05,0.003922807712786414,0.008155508892427554,0.0001644129359388985,1.2886452036342533e-05,0.0005624410648807088,3.984036324200524e-05,0.00016488338473946706,2.110955617229404e-05,0.023989178872164924,0.008917829475005745,0.003041620497304512,0.0007775223808493825
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8909894726718433,2.733845649791017,0.10887903392484699,0.16235450789682415,0.004957755750548354,0.025303950949961296,0.023125956926703384,0.003240999756764354,0.0001391514064743582,0.007480597203157621,0.0008225544168445342,0.0009597792937232341,5.270881133889738e-06,0.001258693704500033,2.524326710307001e-05,0.001084313898197825,7.669200711157842e-06,0.18955648726881716,0.03537978784031548,0.029459346465294994,0.005057477704295432
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09631212353145746,0.01025730146447601,0.015229924897462555,0.0004121182218317365,0.0007202443024438843,0.0008779411891127742,0.0002826574715754093,1.1313873231388882e-05,0.0002852530566945788,4.8561658341217395e-06,2.3397338270059187e-05,8.351069569201286e-07,2.0145494162515654e-05,4.4611794014493e-07,0.00011494857730520724,3.3223288919970173e-07,0.006977305289031177,0.0012680255430641552,0.0013247203593605983,0.000403399222288936
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.816651205123717,2.7928177189166874,0.0854845872915726,0.10245351529269242,0.1791658080898676,0.03624138524673834,0.0018049785149729658,0.03677496805693345,0.0007772555297673733,0.004264631150371706,0.00012379990265420915,0.00524688315256841,0.00026236965996861983,0.012990880881382755,5.123043127275295e-05,2.532718453135836,0.279358045777964,0.21391076603952905,0.054175133264055875
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0801500412463465,0.030212419650732958,0.006286165084536721,0.008817088646778992,0.006152038266754367,0.002660675438522775,0.0008426278752515781,0.00017722806066622354,0.0008028415172603998,2.6982328168667635e-05,0.0005803086256718215,1.7118975888408272e-05,0.000504226407399555,2.1993078237914077e-05,0.11261118303971784,0.03152689669428854,0.010490010199856514,0.0001150797809505999
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.899561160171188,1.9366898675074662,2.6754003578374514,0.2345235193662943,0.013665925257988931,0.2427060239169798,0.014704403258823273,0.03713709402364171,0.002676400844974669,0.03516414450939109,0.0026308204700242754,0.021739733598671346,0.0005093037278252055,0.1645353134993715,0.038064451497572704,0.03805441027940101,0.0027552154541166107
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027561910432562176,0.09713499021546801,0.023326736706976048,0.0007429890724868216,0.017604733292798436,0.007003214023058479,0.0027673214017882586,0.0007305887445754333,0.0015256760333817176,6.874010205248915e-05,0.0013966914473739767,3.490488736379582e-05,0.009143739462090128,0.0009213692643413873,0.00144341241910928,0.00020332191217065088
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09711664231903328,0.01669015260137341,0.0034811144640496394,0.027104197974598843,0.0004256690562494114,0.0017788500897181203,4.5331678679261245e-05,0.0028418638998000123,0.0005027122261711536,0.0050592810041137914,1.79806677138572e-05,0.006784435586447923,0.0012038062468653354,0.01963272557813822,0.0006481903162978142
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.682688858769909,0.1231597155903299,3.737977661426394,0.1237015550549776,0.33169948506412333,0.026072615224717488,0.33272015498057983,0.02626914269111502,0.3016444955998007,0.003977097519326955,0.02708515336477413,0.007140978602365025,0.005835867417200172,0.00039144740506824593
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9602537403028129,0.32742095718716835,0.02793665106492793,3.7676603408672236,0.12946773915269771,0.31659793359602467,0.003555435582102362,0.3360444174034004,0.027049670306612317,0.00461205676248147,0.0018607683806493858,0.0007077928336007983,0.00018929776233866935
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028459004877978478,0.0015250193645137688,0.12536140180832156,0.008301297427129706,0.0038380392710097855,0.0005350546992244354,0.026934832933673603,0.0012020623807016406,0.000340008471480413,0.00018998945270209955,6.800004995477504e-05,2.4967758638361204e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9968279659814199,0.3148533299144225,0.00350492660841506,3.746849910182241,0.12755079912744516,0.3315655695885549,0.02702899607690412,0.005578795195129438,0.0019975866051545055,0.0011591367337094732,0.0002609408611189412
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003800783284498621,0.0004992852774163836,0.12529635651874105,0.008158897836614942,0.026631381159547995,0.0012472114633699238,0.00024478933051397256,0.00014161406464718862,6.359891221174863e-05,5.205667348517906e-06
