 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,H37,C38,H39,C40,H41,C42,H43,C44,O45,O46,H47
N1,0.0,1.9049754697008898,1.8036417303437395,2.869908505631639,0.08259859465038144,0.1875683561200603,0.010753294635412636,0.030945325791899903,0.030116455440290665,0.003399815566999531,0.009166266213844643,0.004905137092077919,0.0022140620562974833,0.0003084163743011237,0.0017216928818062222,0.0001481172080239901,0.01768046925720705,0.15358911618037602,0.39891154021507724,0.0015944426713341286,0.005433164245310637,0.0008915497527763883,0.0002705817876184069,0.20556534642452245,0.07199871559128115,0.031543269692658346,0.0024644083109262027,0.005925292817301406,0.00040556342533848433,0.0007349355407551134,0.00020451382275421537,6.732392597030845e-05,9.609090551804256e-05,1.9237555085760416e-05,3.1875368432521256e-06,0.00015943326916259548,6.536997262807098e-05,1.5660082633983663e-05,2.45119901820523e-07,4.996699841688934e-05,3.594258712102949e-06,1.0476207795512282e-05,6.03177272351374e-07,0.0007421705328246042,0.00024252528762769981,0.0002228370964846224,5.9201960121435526e-05
H2,0.0,0.0,0.029372250804307498,0.09986171195836435,0.009061292457541503,0.028821114885837495,0.0014071600130247663,0.0022792554107118335,0.0009780388100411042,2.6345904161839684e-05,0.00026138887656279586,0.0002599605310426023,0.00014140871191115068,5.039454641453389e-05,6.004355131428163e-05,1.4129136937768294e-05,0.00021748456273540384,0.0010868808449038259,0.005173252961074626,5.934100488302896e-05,7.466262910027499e-05,1.4555392307435966e-05,4.973217104797811e-06,0.00610151304998785,0.0019846572905387605,0.0003424127517945852,6.50608081831372e-05,0.0001098854368352109,1.0938748691291522e-06,3.6075822234304944e-05,9.510015887004286e-06,5.17226937635229e-06,1.1042112165404738e-05,2.1694102265712445e-06,4.6982756574109885e-08,1.4300897327457207e-05,2.602028100096021e-06,4.4803716372499025e-06,3.71911978991335e-08,7.935184033081022e-06,7.484218145226151e-07,2.5462990834723698e-06,1.0397240979287403e-07,0.00014275811191255539,0.0006394713980111266,6.284391258226663e-05,3.2462204804240002e-06
H3,0.0,0.0,0.0,0.10112387130571687,0.03006238681588247,0.007283614160343954,0.004103187042950207,0.00015830363905844358,0.0011560825841443467,0.00031536472055515574,0.00019373939331490675,0.00018587997098062914,0.00027926791263332973,1.1093721715260685e-05,0.00012558805189410993,1.8655840967607418e-06,0.00025856924441947093,0.0010994985510017763,0.005818545751875348,4.710430413612521e-05,5.854177470943078e-05,6.5890169340665494e-06,5.713404764851049e-07,0.03742132127165487,0.10448880574981911,0.00687694948367823,0.0006313178208565695,0.0004345578929599858,4.8546726708842414e-05,0.0002692211560051394,8.654700902965828e-05,2.0845738452290874e-05,3.642810198167812e-05,9.617548721418956e-06,5.929137842919374e-07,1.660262501423926e-05,5.0911507114559384e-06,4.3266349705195495e-06,4.084612577059943e-07,5.221101629926395e-06,2.8371227389634157e-07,2.271895557903747e-06,2.600329163104931e-07,7.453331900941773e-05,7.927960307352322e-05,8.841314044771842e-06,2.841072963111202e-06
C4,0.0,0.0,0.0,0.0,1.9892058235836507,2.771783468141595,0.08828758153457583,0.09288881758947776,0.17669750532612835,0.010659075803321594,0.03059812091244929,0.016771962375625504,0.001320666068130416,0.0011189159441935548,0.0022706729167496498,0.00013069239357887952,0.002340795777502541,0.0112536549669853,0.018133220347688273,0.0002878646325549239,0.0007674998112547071,0.00011366983976857092,4.206028918574134e-05,2.4180999277875537,0.2867448785942712,0.22399631256593383,0.018183011301908802,0.0357597738313539,0.0016432529077478053,0.0036931366259392306,0.0017197625937350747,0.0008280941238618666,0.00041888125353997663,8.397769406681688e-05,4.69333870922739e-06,0.0005432473540619709,0.0003635707079345796,8.070907671134386e-05,1.0100130813928132e-06,0.00015940393896057836,1.1275315573433531e-05,4.935854754770097e-05,1.0404883208359195e-06,0.003962440285857433,0.0009560518782971567,0.0007982021265126038,0.0001250035871509514
H5,0.0,0.0,0.0,0.0,0.0,0.07870702880936675,0.0347395644056161,0.003379245193400715,0.011206589704598535,0.00017180165284358395,0.00541809816357941,0.0011829274433483583,0.0003980808368557742,0.00021540907096673223,0.00012609403660746032,4.173677397467657e-06,2.642177466349871e-05,8.475476615343869e-05,0.00014866049777451096,3.6453251686108246e-06,5.999664370426316e-06,1.0120915994171753e-07,1.485181053695328e-07,0.08420191241037989,0.02196047179852778,0.010503708315088844,0.009837947102098399,0.0013535140996605577,3.887768366972466e-05,0.0005014713998348075,2.9927746942881583e-05,7.754347507060722e-05,2.32037373084637e-05,4.724166992375878e-06,8.37644814177807e-07,2.5041352204935308e-05,4.080778658210882e-05,1.105486953534296e-06,6.627800974712272e-08,2.334838896445035e-06,5.160911875634611e-07,1.4179803561331639e-06,4.556087285223498e-09,0.00010480650507038725,6.782039302810627e-05,1.2831467965379595e-05,2.3371309592068457e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.980754530153208,1.9732379641306055,2.5169052852987255,0.08378829962316314,0.07794716115654832,0.17658424292351438,0.023132732457742167,0.003010403296919928,0.027893346729245344,0.001059266713975937,0.00398165017905297,0.003355289998508121,0.003413391641227781,5.0237713325462785e-05,0.0012819385596567062,0.00011427900949023684,0.0002319905272636369,0.1861496831499018,0.039584827127460295,0.027175652337202483,0.0007963667631247784,0.0031952085458868407,0.0002111949807078739,0.0008059545657518596,8.303764619355114e-05,0.00017069446211548378,0.0006825316617558169,0.0002156810303935025,4.663871927990115e-06,0.002588662354654714,0.0009091797109435085,0.00040546985460190865,8.410236227440748e-07,0.0012814010374929963,4.041378491637104e-05,0.0001866624213571616,1.7195681989434775e-06,0.0012858771488783727,0.0005456605823688648,0.00017325780255056378,2.7477644988449512e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02645743501113107,0.0745207088519102,0.007885073752085692,0.012473109371780922,0.029664523122464148,0.01370044268810311,0.0002918405788538969,0.00283998581370537,0.0003163469838234345,0.00042860322347948454,0.00014594916860166673,8.677235171838937e-05,1.2019715601274683e-05,0.00017944278819814752,7.825754659185336e-06,1.3835551836427484e-05,0.010967734678638319,0.009354491066461357,0.0015021425344563522,0.0001584116774806521,0.0001329822944289294,1.0246564332350161e-05,2.5611359608657125e-05,6.574043071694291e-06,8.927884516118922e-07,7.649723322034063e-05,3.419593856912595e-05,4.2306125849211895e-06,0.00038691148373981576,0.0005615567472259109,2.336846790984559e-05,5.429618636920708e-07,8.020600046909632e-05,1.396182348623043e-06,1.2483970166621283e-05,2.430907420247763e-06,3.223828145371144e-05,5.473026390345748e-05,8.720960245178766e-06,1.0298989829848892e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08217953035513581,0.012473146069599927,0.00747842713394431,0.011479823518134147,0.0004960589424443107,1.9024555236946128e-05,0.002212388041509139,0.00023821169157556277,0.0004638546467501392,0.00032634580320545226,0.0005411693209860235,7.089759183065425e-06,0.0001222758255084999,2.0009895650208165e-05,3.217300929558853e-05,0.009631203240635378,0.001968245297694904,0.003941022303310948,0.00015505137373894584,0.00030373371076652944,3.17793755377771e-06,0.00010232110713137565,7.140099825830859e-06,2.7980932016502535e-05,0.000653175630993208,0.0004241682882759612,4.074459962755128e-07,0.005130287619633522,0.00024071442177886482,0.0006146987399540116,2.309028923619394e-08,0.0031322105303647207,5.326621363410666e-05,0.00019912270805644283,5.222952104144696e-07,0.00023117938957395445,6.517277881634698e-05,3.183406228357555e-05,1.5527249217495154e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0641453643180494,2.032358603104189,2.446298956016924,0.07651683553183775,0.08071178677292101,0.1828222544521886,0.004643200462932651,0.03370447640086896,0.013153440800922248,0.007965682548974007,0.00046366950994003453,0.009327898970568516,0.0004268995995800884,0.0008845070589645898,0.03141459909549538,0.00892937666473441,0.0045157369727869545,0.00013709952735763142,0.0007219337513672264,6.197923042838838e-05,0.0001623554699883567,4.7398311016078054e-05,5.951332446563207e-05,0.00011211178719627846,2.640661513786391e-05,8.347359636839968e-07,0.0003215073950603442,0.00011948097304981253,5.091867406170625e-05,8.305223575533205e-08,0.000122969993215441,6.276783407033193e-06,1.9887706776161584e-05,3.4538516358040283e-07,0.00017516770705899853,5.939861127748913e-05,1.8979629151219535e-05,2.8859824945381973e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027235736232373187,0.08599407976731888,0.02535137604365434,0.01240072787876545,0.0030719088226752733,0.0001134031613234665,0.0005611445244644298,0.0005748356872824489,0.00019370848403088559,7.544163761563638e-05,0.0001914668849487544,4.6400739037721905e-06,1.9735901911621667e-05,0.001361526664789725,0.0005150846047691227,0.00021317726306568918,6.163167607819986e-06,4.0947085912401704e-05,8.250656547970081e-06,6.749078256929053e-06,1.997016490395964e-06,3.006217764056629e-06,7.097382960785659e-06,1.4149876268465533e-06,1.1682415257396883e-08,1.4905861718705893e-05,1.2275957492757783e-06,5.0368781474574575e-06,5.419726889499543e-10,1.0269971973508873e-05,3.090513134296202e-07,1.2010248348071073e-06,1.2666752313705842e-08,6.042988351051548e-06,3.1713286807733e-06,3.722158959940103e-07,3.8181265926695573e-08
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08585567226627555,0.002008172378508588,0.022354716238162098,0.017031181403651674,0.0004131453796865081,0.004711997307540683,0.005300916063519789,0.00683007842641592,0.00015420195053517105,0.0016825367025268267,5.8529982094546185e-05,0.0001494894780662559,0.002799845934921663,0.00113191645259747,0.00046013998161265057,2.2476192633513747e-05,6.935807935737337e-05,3.76634137877474e-06,1.7546316113392635e-05,4.574634018039703e-06,2.754104120983314e-06,1.8232392593464652e-05,3.4606743273268847e-06,7.930046197479612e-08,6.960844018144563e-05,6.768305641213779e-05,8.417279171668568e-06,1.4122242042446942e-08,1.991586710792248e-05,1.240109926969879e-06,2.958877380332403e-06,7.577082405951785e-08,9.945693199231442e-06,5.987284086628186e-06,1.061589408601904e-06,2.2070488969738733e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.030939123120122,1.9164076050977386,2.872478594086953,0.08845062921194591,0.26131655210485916,0.039265038883231795,0.008425835967673434,0.001849917994669159,0.04620771772042839,0.0015105222601978774,0.004168386548164316,0.0037274268188552395,0.0010423842269964845,0.0009848249142825616,3.218228254830979e-05,0.0001275417137876489,8.80104275313709e-06,3.8837468439190115e-05,7.117286417335222e-06,1.1116244675646314e-05,8.97320885659414e-06,2.767935152095391e-06,4.988853885556921e-08,2.3566362495119897e-05,4.0034228960816876e-06,2.36613740936531e-06,2.4202439163900635e-08,1.0616894331544335e-05,4.0326390760014874e-07,2.4227442598778737e-06,3.6612161302684854e-08,4.3703906987518915e-05,9.246733138887353e-06,5.347429135466042e-06,1.0402401077191925e-06
