 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,H37,H38,N39,H40,C41,N42,H43,H44,N45,H46,H47,C48,O49,O50,H51
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082254016322071,2.024224177094339,2.8337751270358447,0.08240742833787829,0.08665579924227917,0.18248684178050062,0.0077058932718518935,0.009172747832111416,0.03376305538722481,0.0020748617683280512,0.00599050223436598,0.000542975174208496,0.00018577306243861003,4.4975436608751806e-05,0.0014781072134368578,4.1672998895458946e-05,0.00020129009772151818,0.17877794746544398,0.03907897228445738,0.03899717766346614,0.0028784538846029495
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024937648065386897,0.08262617573546804,0.03325956132848762,0.005050764520234452,0.008196623274468573,0.0038960290270950715,0.00020450385321324482,0.0008488624277374068,0.00030151175835890776,0.0002249557321118978,6.743119591512414e-05,1.8813241098092348e-05,3.884348843685714e-06,5.365207146801332e-05,1.4460591122311683e-06,7.172647877418115e-06,0.006862397676692167,0.0007378973908741537,0.0008942598376752153,0.00020309279404906455
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08792483837171128,0.004241869664019848,0.03287792722101868,0.01044693738247715,0.00019920698363984357,0.004282757605219567,0.0009551897909704232,0.0007497856510101375,0.0002018060954045442,8.982636540566524e-05,2.0384783298244002e-05,4.490377173871352e-06,8.273239233891339e-05,1.368635292875453e-06,1.426774727919522e-06,0.011347179695816445,0.0017336536927352597,0.023972127188210623,0.0005841311176104647
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07688490002752,2.0448664204819873,2.842862233062613,0.08430766574018522,0.08322240445160889,0.1865546871714116,0.023445322191278373,0.027872742356111035,0.006630771390425658,0.0030706350320768294,0.00033850115446376616,0.004745475934445395,0.00012378544227442667,0.0005617618885718212,0.028499051951930338,0.007119247779792004,0.0058364542507865075,0.0004208046437509383
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023567093798403826,0.08989683955011918,0.03408015661950148,0.005213152200629567,0.009053946964634907,0.0024651287806669586,0.0006756959656093464,0.0005047872019849908,0.0006604033727950487,4.3103407651345904e-05,0.00023616805668114083,1.434198875238657e-05,3.255626103881859e-05,0.000897433343324705,0.00027812838182006416,0.00013936326887931116,9.769614596422116e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08662926514487057,0.005683531321013069,0.03311571468560093,0.007990869645641663,0.006906748908803717,0.0006758440869185645,0.000705985221290728,0.0004715055019353098,8.41931651283101e-05,0.00016911677025177596,3.3799865748473934e-06,1.1714232648118994e-05,0.0007194645440560254,0.00023047018181820977,0.0005838860139703028,0.00019721239848702332
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0632346227586638,2.056677738576735,2.8340113184164704,0.08965591476146995,0.26492642856386134,0.040132078423650255,0.021087597547823744,0.0020046834793956414,0.04558987979287356,0.0014877211090025266,0.004220533030462548,0.005516852392099397,0.0018791756707438878,0.0005132095179858354,8.346160081462717e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022720862198207348,0.09855875977680106,0.006242470852786397,0.02323137156424715,0.00977262348182717,0.0059528334250058546,0.0001265224607360782,0.0064755811323381485,0.0003496652588110827,0.0005265508828953269,8.485845312034002e-05,4.0068948590099573e-05,1.3690993992176992e-05,4.414577976508127e-07
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09295549904424583,0.01927909527870786,0.019341215446383675,0.015490653999024717,0.0056387897641152485,0.0002816243729701906,0.004034079175500138,0.00015520722028972145,6.986126178754049e-05,7.725191698404466e-05,3.109541177304109e-05,8.533479015415679e-05,7.056449060627301e-06
N39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7333877514754406,3.6624245339216546,0.38437222794057535,0.008793062541644914,0.02804348151260405,0.3829852280803351,0.011690973890298273,0.028591447351764332,0.0014549528301489034,0.0005356746680857949,0.00020911564037773278,2.0543513915782796e-05
