,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37H,38H,39N,40H,41C,42N,43H,44H,45N,46H,47H,48C,49O,50O,51H
1N,0.0,1.018745246862699,1.020741692064384,1.4583998712650474,2.078851116987837,2.4379871703291096,2.4948244571739915,2.757188567905638,3.8260595786666647,4.245316851590302,4.064100075133251,4.951761262048445,5.00276259623627,5.138498124257195,6.230811811068027,6.3825577457401375,7.3914658582010055,7.664093189330181,7.133212034103512,8.569744167536982,8.485271432288537,8.52482797974817,9.40027098413026,2.492250910403178,2.8477743893137992,3.6540353860613526,3.922404429503615,4.925846486581805,4.951142528926797,5.697926222829641,5.9170950692407995,6.703553069840852,5.36236033879446,5.425190842549363,4.461273230809879,6.615578832368768,6.822644242860015,7.501172370380489,6.787011878683597,6.0525803107453955,8.020854146327562,9.038374160425938,8.983649260714229,9.98711812257028,8.419698574592964,7.945055904866162,9.351050826898943,5.96458102090536,5.949706245630692,7.170965516928093,7.831545792217371
2H,0.0,0.0,1.6307758442175022,2.048315943679405,2.3105565302094013,3.331120960112225,3.404711850613303,3.719859905930072,4.587884401429325,4.920417328054708,4.675197359303219,5.827159112907071,5.891636165773149,6.079725649511207,7.029881554621968,7.096829632057349,8.219216690793072,8.563748202093109,8.079537193343434,9.465212278796482,9.251462278545247,9.212443292555387,10.1908114947719,2.7958226325445037,3.144428885581121,3.787672756602446,4.071568126985984,5.0414972467605415,5.180613308456041,5.550774353874365,5.664244638164189,6.602993186516334,5.0651434281121785,5.258281026009343,4.05631090615052,6.159818573146513,6.273123983258079,7.125013104908834,6.241712896292492,5.497913379885578,7.425897543769681,8.435190223252953,8.38907328111215,9.373351846128125,7.807528930123214,7.376244719636648,8.70192275150078,6.1960964131996095,6.276536677160734,7.367696097663014,8.081567415648582
3H,0.0,0.0,0.0,2.0274675907850934,2.912754310787575,2.756957427162331,2.9357594575522423,2.659278897320235,4.2238967288378575,4.531304786197432,4.680700806887162,5.229446362482546,5.350941769805075,5.201558717940735,6.571084669133159,6.7461893777546935,7.724535448050298,7.923284780066489,7.302757814550353,8.84681338236025,8.87389303023888,8.976746676631432,9.764755251685932,2.569232897545128,2.460222429734119,3.8983795940869137,4.376276316512014,4.974106178699403,4.7806159510151565,5.741249085569116,6.134059911339944,6.678376887345614,5.250225522306984,5.113598262122828,4.423798827647771,6.520207272804309,6.882930507020264,7.357991682480038,6.565285023213697,5.767055360250572,7.774588775731664,8.870611411144232,8.909198252360218,9.788536776106744,8.071444687800946,7.505595564253629,9.014151483076386,6.108437592153732,6.228752896590686,7.223169753200142,7.933034411981157
4C,0.0,0.0,0.0,0.0,1.0984422511540672,1.5494146934571142,2.126989611356828,2.1646098505848443,2.6025044125143273,2.8747933104024948,2.840630056900274,3.9443866745870015,4.22277677306323,4.240613177109368,5.071140890112608,5.084116733001255,6.315456890560248,6.780715009160901,6.37309818898805,7.727423228106049,7.320187975128847,7.274681172077791,8.273589449299518,1.5435483182971024,2.4216238730664363,2.4829820868560115,2.6018576277352925,3.8363853362063107,3.9899941079700056,4.835648728111105,5.023822584134448,5.805474652766017,4.877746291001081,5.016749133674136,4.133785500025412,6.258724290068068,6.432674786543277,7.0401946990993,6.739410349438093,6.171315451366125,8.048252539211456,8.92845312604005,8.7380330524153,9.915821112963531,8.651350276106397,8.288678244500554,9.61820383778779,4.667949829200812,4.534314853075088,5.933768222727039,6.517827935873703
5H,0.0,0.0,0.0,0.0,0.0,2.166203372276249,2.5290066398749396,3.061112635700134,2.754202484681119,3.0738765559253443,2.5485912413633653,4.185209783211847,4.397128367304742,4.725024206293223,5.118522237427082,5.047032072395515,6.346711134520025,6.927889697765072,6.654805082532755,7.834597223259334,7.227682940989873,7.067687874118734,8.20408578289863,2.175401787513434,3.266177136039853,2.5792845293285125,2.3263868589348022,4.032569599970236,4.457772634837733,4.910189958185428,4.854943392126198,5.921662053964851,5.103819552952255,5.459823869161239,4.321557553841256,6.379688023807105,6.366426478253631,7.1953683907247425,6.966366362893087,6.480849844430258,8.259330302168477,9.038403298921,8.753131739667774,10.039644090757502,8.951019475197148,8.687375360459106,9.8876809387259,4.716725383842901,4.4436347990342835,6.027654590006477,6.54944198870205
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0958204280925963,1.098654893782796,1.5366340629106297,2.185713088025521,2.1691794473245944,2.5319258650616105,2.775633551598565,2.7746770874959727,3.8338408856352104,4.069810293513766,4.998627025781618,5.324323132495571,4.85184339333227,6.2730445080255715,6.123249290600613,6.238765011832066,7.024067714560076,2.533913143734999,3.208247592230569,3.3455721576973643,3.311154142405249,4.5124903527960765,4.502035717880228,5.799426908364573,6.0761537334273505,6.63862428865927,6.037278345501577,6.025839800472481,5.447266670980303,7.505789870405478,7.755057102338031,8.176244521092896,8.04710820705689,7.489283335839338,9.368671864745243,10.247237184910253,10.051278933360297,11.230054801941428,9.96187522651096,9.550171843331935,10.948754034492206,4.984247231989202,4.602189234874991,6.239796378621279,6.665608390467853
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764270333883827,2.1709558768988284,3.087846191024624,2.5105569136594763,2.7685605805327596,2.5607238076942074,3.1123074668023176,4.128812999547522,4.555976094902182,5.1225963982728375,5.251516401138154,4.728876856825384,6.117997389449875,6.297359548275613,6.494993081157425,7.144007029652296,3.440038331615389,4.070864136966249,4.301121379917192,4.181472594409999,5.550307930715477,5.570257682515176,6.772708305363199,6.979810744384123,7.657641165981706,6.92683077455571,6.943881908669303,6.235254135964058,8.35171883511273,8.552063248377078,9.088416863436002,8.80353492012479,8.181575723854602,10.105790141639865,11.02668158426516,10.855429787764079,12.006561971106358,10.630422664342944,10.181354379196058,11.598783611914849,6.026876258157438,5.571293243843941,7.3030543757842885,7.703731723427142
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1765848702168986,2.548380130687448,3.081438936703553,2.7711406808892276,3.115848970408305,2.5601952334086793,4.140694904693131,4.430507924078281,5.24670115981245,5.434533143824202,4.820107631944192,6.397767257053203,6.443516952123466,6.664167910906073,7.288749492175749,2.685891076458475,2.9403452420403045,3.677642899355605,3.889756615837614,4.611942363872859,4.335265446365392,5.9357985392027395,6.3961674365531085,6.688924530082445,6.064880092135367,5.853952943898952,5.564967112211419,7.567204485343242,7.965146446745892,8.173407931775339,8.021996908464512,7.425581465022981,9.325270206246586,10.264413283035685,10.146531161694933,11.219666611533668,9.839717466741224,9.35325374292407,10.837781589639665,5.151740735132642,4.9220421553881595,6.293842456050308,6.756028764915914
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0979193790680248,1.098711446130539,1.5321645718180361,2.167697771517598,2.1712572552773652,2.4698348094976676,2.565666865993209,3.738102006320701,4.350617300840182,4.122540007688962,5.317759703619383,4.735114037658458,4.758141893832575,5.683532415806728,3.197356527500118,4.0584169788096265,3.4219730031104767,3.058585849571035,4.411378874001506,4.556165041951596,5.8303582229636355,6.012223211955246,6.549550556285501,6.440675408466192,6.515986368905509,6.019722943351758,7.90962728547797,8.085811206220804,8.461395728642634,8.687425682552684,8.27850101874679,10.02347997909295,10.756350967587121,10.435779726611287,11.75202459139663,10.768332989373409,10.458334543661369,11.759602632515893,4.391880657014785,3.6912040025955712,5.636394803355229,5.857875795059907
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766867332225502,2.1577778190170824,3.067777223906825,2.5167565699421983,2.693682245054373,2.422509199700632,4.02545929234556,4.818938214484242,4.663207548567044,5.805763927420755,4.866812769735227,4.771706565248697,5.832566084585551,2.9044308815632998,3.724629819537521,2.823772801612758,2.5219825153459174,3.5483465582026117,3.69061792736213,5.032533663618832,5.279480383756707,5.647520412481034,5.794771116114458,5.850278277400109,5.537481912972145,7.264549846369658,7.480996742814676,7.711694475623882,8.14923630766643,7.835605992942819,9.477300027934714,10.13813296108754,9.783136232963331,11.124194969017406,10.293372141178812,10.035991008879233,11.287476420997876,3.365851825493347,2.6931268070187366,4.570138656589496,4.783356556579386
