,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15C,16H,17C,18H,19H,20C,21H,22H,23C,24H,25H,26C,27O,28O,29H
1N,0.0,1.0220684528283472,1.022297196122211,1.4855801929199834,2.0907622169926503,2.493639001614516,2.6562456998652575,2.7757725653158074,3.8976858791546363,4.283093469152338,4.793074220604352,2.4637948908169642,3.0072606216630757,3.4344329358901047,4.657095441458404,5.03813292133032,5.74610328197184,6.62140451131999,6.188438454432043,5.306085557091116,5.440678150871737,6.109206082275534,3.9450016784698967,3.511371551628402,4.259873585173835,4.8867353499014845,4.646859003757389,5.958926669105328,6.282477163299806
2H,0.0,0.0,1.6270643508467486,2.0387513058120916,2.3852599762045608,3.3590876183866962,3.585413586318297,3.6949703736844874,4.610142828164561,4.843615886530382,5.535444922873935,2.5072517444760134,2.6151094499855474,3.6020518704900124,4.5881694762091225,4.883204698210044,5.85489551762849,6.632916698301421,6.37077522218299,5.61076951383257,5.659652776520727,6.524064092734581,4.397588535568354,4.053038367631253,4.862804875405438,4.571519300728094,4.323779152666607,5.500985635023111,5.733843093299094
3H,0.0,0.0,0.0,2.0523997401845704,2.93475716076904,2.7250125447013795,3.02400422800128,2.5874051343219935,4.200924995362036,4.830623573479481,4.874149196786615,2.7178987907417604,3.4220153335421695,3.3181895916441526,4.542821293727256,5.13010291197862,5.471228925334484,6.297487665426467,6.0305549709472555,4.818096614750398,4.8066942744736325,5.598202518686391,3.5473303139511208,2.884988760878626,4.004323493370669,4.660464066808913,4.2221527048150955,5.852304907636282,6.112111291780556
4C,0.0,0.0,0.0,0.0,1.0939205695653185,1.528896129586698,2.1091109838850968,2.1926897542891273,2.577431644328581,2.914806998152125,3.542572856581454,1.543639771515653,2.393489772235357,2.564604253396699,3.8650620651376877,4.093644488928495,4.891225503714506,5.871014427914561,5.119560140526801,4.62664051205232,5.043774333356591,5.3660245924338135,3.184767637973621,3.1377786759250372,3.2597924358816486,4.524462282562265,4.6314433376236535,5.559967110660577,6.09671528064857
5H,0.0,0.0,0.0,0.0,0.0,2.10796686780135,2.366842038763845,3.04795158717808,2.7343341997151938,2.5723637149168,3.90076258102971,2.0776799108639437,2.486856789609948,3.285337587653402,4.4089702721104285,4.374979664762304,5.536414560756198,6.5091377309685345,5.634413650766823,5.4881465583774816,5.9818078475752365,6.2183187874174015,4.091811729735081,4.1852055930963505,4.042236728184223,5.108349949108252,5.362804356119617,5.963308011433458,6.5337508689792445
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.098242377404465,1.096024793159029,1.5774481778412446,2.3842448508322174,2.4168047213055717,2.6557436577093507,3.7382742565862324,3.103837774942781,4.523259664201293,4.845742223805666,5.139166117703575,6.203550551061399,5.194725986394472,4.589354323611791,5.153961185356498,5.048352836028425,3.058247405631808,2.970384118704122,2.681853976945788,5.4436774526674725,5.543597024997687,6.577794267163415,7.186060688317317
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7611282843394482,2.1856457738714266,2.6914566478169344,3.0980820228379247,3.52713767494378,4.470818396382801,4.154581419413799,5.573154739404375,5.851838254630828,6.2360800870680935,7.2971069500183585,6.281320537140779,5.644897075557309,6.1585174365534625,6.065585524877194,4.111623322828194,3.881689104017221,3.7104706876797073,6.415476626689679,6.442563476179777,7.536041234551314,8.102144439109757
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.225895705028455,3.300417219177558,2.538067489102273,3.033962647545809,4.228252529471702,3.096948719328216,4.531625528516114,5.076444972825008,4.922570685217358,5.9511019457168715,5.089265816678492,4.071137240797739,4.535925152517757,4.438576429470433,2.584660648925403,2.2244617232465616,2.2736727879212113,5.373608229758139,5.312479051160349,6.622182113725009,7.17746530710642
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2523920847766419,1.2629123717052104,3.181203439947546,4.171976149640023,3.3779190930041474,4.570224250263718,4.667320781747643,4.963948223499415,6.057726541508324,4.683597487824477,4.666107990619887,5.495107645314231,4.940679141041874,3.324965962839415,3.6899176056688843,2.5499779592004144,5.812984797671433,6.198499252233448,6.80271614456414,7.563394592237157
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2749243978941673,3.5035415686601192,4.197064486184586,3.995597032851635,5.024917234408941,4.855880167407313,5.606475409762788,6.669386149013138,5.231000993221854,5.59054633374712,6.440582384679803,5.938597748626568,4.306898899311188,4.752605360055153,3.628800969365101,6.264557794635083,6.781254013418347,7.083580829537831,7.874473810914505
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8563480361240803,4.932107102734251,3.591489263261634,4.651424602894727,4.862005992103097,4.635393692323259,5.703784399562127,4.232930093532245,4.200032480775082,5.123437201749721,4.207800587307939,3.0954716679262804,3.5740933778900854,2.0586137909293134,5.997890366804769,6.395865315444279,7.015183886454442,7.808445817881667
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2405238438125727,1.3690110217905642,2.4046938248666385,2.6129798568807323,3.636636313761414,4.5342901350453095,3.964440781256788,3.718550647944896,4.126880369807462,4.61967218864379,2.5878507708045047,2.8892130974985317,2.9869878985306038,3.076463288640277,3.4144953906151043,4.052084461062602,4.659160280856018
