 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,C26,O27,O28,H29
N1,0.0,1.9420224958000931,1.8702187528260419,2.8723685577171567,0.09640582296251687,0.175001618990349,0.01304617590868773,0.007220464435766516,0.034826960704490956,0.009471497094298523,0.00904126683377754,0.25550871097699734,0.0598976654379037,0.03222730670549219,0.005066022279504645,0.0006236488618638347,0.0005472051037294368,8.680856131881853e-05,8.929456964179572e-06,0.0003110592274344348,2.5995692003455417e-05,8.372998837180567e-05,0.002897287933319767,0.0028814411007362928,0.00045476045793213515,0.0019741687969161426,0.00047076513232632844,0.00036603317361584564,5.956163907416823e-05
H2,0.0,0.0,0.02618510301956367,0.09707435633704653,0.005014496617021358,0.0311397719248252,0.0008436807419316406,0.0004713431021932113,0.004908239879412468,0.0008795638096371627,0.0022054047484103556,0.02156388043553037,0.03069795461824365,0.0027324562780777217,0.00034720609372207445,3.649810655392827e-05,4.7422638667304895e-05,8.13855506343053e-06,3.971767663202286e-06,8.054463990658789e-05,7.810483073633634e-07,1.5673535990412546e-05,0.00023250155924225968,6.91692080490025e-05,3.865528807733831e-05,6.983415570527285e-05,7.386625648586609e-05,1.2387125983281955e-05,3.5500164765611686e-06
H3,0.0,0.0,0.0,0.09596824766504897,0.035712095992487036,0.012154942691111725,0.0002661092552198596,0.006084942205297095,0.0013792643202886756,0.0015452236934225816,0.00044473169349046326,0.008400899543759555,0.001127644642119341,0.0013732053502381047,0.00023221412937435293,4.888469260033723e-05,0.00012957578272310144,2.340462268435317e-05,3.867132854606936e-06,0.00023210513767679686,4.419440502112515e-05,2.9818209972720666e-05,0.0014938787790734764,0.0018591034056330002,9.8072229981927e-05,0.00012239160807192562,0.00017940013590533876,3.804870857848641e-05,4.8651078401462655e-06
C4,0.0,0.0,0.0,0.0,1.8684918777263655,2.7716643032120647,0.10948211833586496,0.08504141783172714,0.16266713442781805,0.05925699448590328,0.03947239399046722,2.6545604700590144,0.28437613174695237,0.19042106179272997,0.03585702860266582,0.002453812532921429,0.00426048915956273,0.0012559367333691007,2.9614372391684185e-05,0.0016231339924638044,4.043011073551206e-05,0.0001780305437799612,0.009405808981588382,0.0013875481566774095,0.0008307672293863533,0.005728229545608643,0.0013328625266419147,0.0010185358005648237,7.32980865663091e-05
H5,0.0,0.0,0.0,0.0,0.0,0.09335341972401234,0.0074578697559417595,0.035948504098669565,0.012857947295601857,0.03838220789709634,0.0030055674742501814,0.11962053021235897,0.021047322181669714,0.020321950338490824,0.002709186518904172,0.00016716827001728163,0.000779182671616252,0.00011513089437564794,6.683099034177076e-07,0.00020422147327581186,3.713701144603121e-06,5.138060551468371e-06,0.0009978755355226632,0.0004115289915933573,0.00017960296672381304,0.0003995439521524702,5.447121803359156e-05,1.569523821254304e-05,2.673307484268861e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0215927347863087,1.985873735495704,2.5396207402009616,0.3132157275138674,0.28556082765350166,0.15002841909984882,0.03381187863241654,0.01018426545898965,0.0018975129715113476,0.0001585130879564467,0.001303214374370476,0.00020640335672394983,1.0788760117175222e-05,0.005088530953204148,0.00031294323110286903,7.933328637055315e-05,0.03250361109644524,0.009526118392130134,0.009736476943487449,0.000523016213887284,6.879597269028592e-05,8.680392233650913e-05,1.0396554602332131e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02483380505455335,0.07808593866067626,0.016269520956392003,0.021803422003173978,0.03225016399256386,0.0045742885430682945,0.002242209789364402,0.0003816601924775398,4.3455357344290846e-05,0.00014432050862400736,2.263397271384804e-06,4.508195867725107e-06,0.0008688499937252736,4.3993453892721135e-05,1.388910465771609e-05,0.0025193818808972868,0.0005344852538975431,0.0009552148368010549,0.00011912189607787838,1.4027550983231052e-05,1.9427163500340683e-05,7.970833495463125e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06853650228982477,0.024098524821662304,0.014958913270407326,0.00524155160424522,0.0005677601309388436,0.0009195345225430085,0.0002937999758401144,1.4988576844787715e-05,0.0008174168822216998,8.48932810286751e-05,3.002628411907793e-06,0.002275247521185797,2.6032542633114275e-05,5.560245542302056e-05,0.02467230498336037,0.013516716841951215,0.005504763901919674,2.295980422672983e-05,9.878519829475962e-06,4.8393815290648234e-06,9.363725794742095e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.497247021065172,4.557418655818171,0.014096775458659394,0.003072610731224029,0.0053480534008185365,0.0004010567788073627,6.395516884194485e-05,0.00010899761898730542,1.520981578662095e-05,6.41543967974112e-05,0.0016529745328272838,0.0003800377093241547,0.00012033489109763984,0.016687397072636,0.00106788856925788,0.031030787755404576,0.0002534166771703539,5.621729005109155e-05,3.192144544209019e-05,1.493075924818843e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5994679714178487,0.006415077051289464,0.0009594572225661846,0.0025770871643372995,0.0002251910011211583,3.656186788669746e-05,7.417772297586833e-05,2.024847150616793e-05,2.1733556770819895e-05,0.0005884541844792951,0.0001116439202647479,7.526832315951637e-05,0.006829882058330586,0.0011154975681360035,0.009271735435931072,0.00013247757865500476,2.3000414950652415e-05,1.879423308003003e-05,5.130238483808114e-06
