 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,C34,N35,H36,H37,N38,H39,H40,C41,O42,O43,H44
N1,0.0,1.790986566416216,2.003939973194865,2.9583994776089964,0.08897788351831704,0.20015844785594336,0.02267647320153543,0.00640928725294343,0.03189936330234615,0.00419101756586468,0.00611640338450635,2.3976239976519764e-05,0.001128601958631556,5.212421949274404e-05,0.0017978436176441653,0.00011798581491428983,0.22477142737811187,0.05023407614738007,0.034116699299422654,0.0026576381203197164,0.0057772676249632365,0.0005909353793571714,0.0012460408462479644,3.937377404250597e-05,0.0002198705410729751,0.0003057239589165234,3.11528117146187e-05,0.00016118979714452308,6.825767900771329e-05,1.0338977703971963e-06,6.720813740646037e-06,1.0110153730646942e-05,1.6904964366126762e-06,1.0979416137646414e-06,1.0259507559062797e-06,8.321076420125806e-07,1.0801348360178764e-07,4.939006466170293e-07,4.591318880642348e-08,8.00559940561385e-08,0.0005416880736744956,8.731057066178882e-05,0.00018792650592992788,4.468784093747402e-05
H2,0.0,0.0,0.02724610695528118,0.10520307163389131,0.006697141475689783,0.03270707219569913,0.001333995708339586,0.0005364851990961039,0.004633373381231487,0.0005074830431677224,0.0013001550258915362,9.680675852719034e-06,0.00016207891556618836,1.69192859458267e-05,0.0002947109296791428,3.672368672158477e-05,0.007857134470678151,0.0018815704494978824,0.0007406843332919966,5.0012469943183646e-05,0.0001814814821706756,3.89374570330947e-05,3.656182248301665e-05,2.326127961804758e-06,9.656367937704857e-06,1.5234464960878213e-05,1.890853376096402e-06,7.068811506139028e-05,4.133570568609635e-06,6.365356286508472e-08,3.7322899393288367e-07,2.051671351699369e-07,7.684328129364815e-08,4.0672023526866496e-08,2.072922078433237e-08,4.131057718126385e-09,1.6883596742900409e-09,1.6930614354926377e-08,5.801148450501614e-10,2.286971945153482e-09,1.4241748139243171e-05,2.7071757630059423e-06,5.742562082411418e-06,1.4526796912051054e-06
H3,0.0,0.0,0.0,0.10496009909740989,0.036659662582534835,0.00904704990554106,0.0002921091044856272,0.004920358633523136,0.0009653668331617293,0.00014296396211310736,0.0002929471351735824,3.6775735106076013e-06,3.6441908910833654e-05,2.87862770020908e-06,5.821266047789653e-05,8.22749655404742e-06,0.017729415091314427,0.04064049470666786,0.002881863845040189,0.0008382585057642444,0.00040583818842299113,3.729102990313038e-05,1.7214102434603973e-05,1.1694939479056643e-06,4.389079011346553e-07,8.290972641733507e-05,1.630449841116821e-05,1.6719113747454273e-05,2.4333869503179173e-05,1.1222500062579854e-06,1.3929583855265548e-06,1.9230375640777453e-06,2.145847307843951e-06,1.0240533021566023e-07,4.23920830106006e-07,4.0584162386281264e-07,7.065649376691852e-08,5.684931858596087e-09,2.074484362069029e-09,3.0259326155857025e-09,6.620416313263267e-05,3.571193939888584e-05,7.957133564051588e-06,2.6116383404772847e-06
C4,0.0,0.0,0.0,0.0,2.037815524440778,2.5802440777063187,0.09568770197498333,0.08340508409268876,0.17472204237217404,0.020110574135639186,0.043609288843474994,0.00023705224209091824,0.0062243199824791595,0.00010944857286832033,0.009945156178493175,0.00046910721524695553,2.420201448539794,0.2718245950293888,0.22602839392307525,0.018368197202767167,0.03599666359045306,0.003628376118533949,0.0034953831426138143,0.00019226184866116824,0.0008169511268825147,0.002841328123468337,0.0007144604618489758,0.0011259310767131048,0.0005277133968986519,7.336175548822155e-06,2.631918603523964e-05,5.0834100972119156e-05,8.402322933087625e-06,2.7897120395137254e-06,7.422221625308367e-06,8.36042564467121e-06,8.169896237308905e-07,7.75501206126683e-07,9.5275339395684e-08,1.2765261903080471e-07,0.003225652820701752,0.000425987100616268,0.0010312112663648787,0.0002077583917453607
H5,0.0,0.0,0.0,0.0,0.0,0.07595441482292964,0.003568108197306241,0.034027257384175114,0.010399861126401788,0.0007638215284910821,0.0022216040541107596,1.593223852403014e-05,0.0005377277511222633,2.0412869274899492e-06,0.0005193908864974395,2.0968691532674555e-05,0.09514369138154555,0.021389491064377375,0.012067104391073169,0.011068925942829377,0.0018064391003627112,0.00026179589803576597,0.00011976561780957518,1.1907667928356958e-05,2.9578862766888037e-05,0.00019971164888987758,4.709890073106848e-05,4.4663191778981925e-05,5.457886453841265e-05,1.842480171987404e-06,6.489899663009169e-06,4.026931365697095e-06,8.413796965811571e-07,2.4988193847441664e-07,1.307906910108514e-06,1.2366819972520204e-06,2.1744966383074882e-07,3.5565263512005174e-08,2.0119874655222247e-08,1.5804507258465605e-08,7.942605089783505e-05,0.00011190841584218791,2.5057117568727527e-05,7.916516826966813e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6510861086761246,2.0788737721556787,2.7365103412943412,0.18908149280233527,0.24981556104242472,0.004548922348050821,0.04734320882004231,0.002418162355648734,0.043912669736132046,0.002389253018690085,0.19084888176452722,0.04037553431529457,0.029333244384045346,0.0010260489665504524,0.004128180254209676,0.0003672952335183055,0.0005829305385527117,5.126515798958842e-05,4.930585269324883e-05,0.00042001868074499626,2.6429253152437937e-05,0.0004510773694401671,6.004449898214248e-05,1.7805001953918875e-06,1.1645722998165908e-05,6.848595005728986e-06,1.392960859214476e-06,6.602027782520725e-07,8.615326215349883e-07,6.12690147283601e-07,8.857910116510936e-08,1.4794891851910297e-07,9.27381227366908e-09,4.1832382891016096e-08,0.0006531982503583111,8.259126121755445e-05,0.0002289532968187541,7.232056628592165e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02464561896666151,0.11067358900697677,0.023012434916276026,0.012729642343626502,0.002121279405163712,0.003310056964748842,0.0008950149201032431,0.0017080008680215863,0.00015492642767522824,0.02897190855771825,0.005821570397215536,0.0034185924181884264,7.001843044185385e-05,0.0008177073972013282,4.6652503188138184e-05,4.0135778715866266e-05,7.0600951047605776e-06,1.2493257259160728e-05,2.6949496300554543e-05,7.88187783351546e-06,1.5913760450736447e-05,2.918025582054895e-06,4.816456431466776e-07,2.0883357760848043e-06,1.4092095612650013e-07,4.066651237977226e-08,5.2016925211617604e-08,4.85235340796919e-08,6.32875263306687e-09,8.004108487114081e-11,7.2431135533790325e-09,6.394853535596212e-10,5.592732943426881e-10,0.00012449613574494478,3.9278929045982736e-06,4.4101746361047134e-05,1.1331656641466736e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10248637018608964,0.012149649335076229,0.039831974317450225,0.00015447738781038112,0.0046543487296379915,5.653605045075061e-05,0.007174845361468507,0.0003536752188937342,0.014849462096557131,0.012066570130574994,0.0020836095011080857,0.0006651781193198758,0.00014090821929224617,2.442587117257311e-05,1.6122520075878555e-05,1.5141984543998177e-06,4.857649589684598e-06,6.268307596524192e-05,7.776386257374313e-06,1.5581976133161035e-05,1.7608005608793498e-05,3.054063413276964e-07,2.527548465636187e-06,8.672342246551779e-07,5.740250872410257e-07,1.0799906680070137e-07,3.1751854989714445e-07,2.565865673265222e-07,4.7808636383095404e-08,8.595226863583605e-09,2.135406074188495e-09,1.7992758394314023e-09,3.211916725165409e-05,1.1324695292302955e-05,6.182868521720231e-06,8.380390950080141e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1468453611821716,3.8805681109489614,0.11782916599936732,0.5310395620793876,0.0365237705854482,0.49656074959659535,0.029234347875824795,0.013695608212630689,0.0034295449985252413,0.0045704218170053434,0.0032726927987000165,0.0013206965841772722,0.0005815653425758072,0.0003257559332765225,1.8039993614715755e-05,1.487356366314252e-05,4.361428454549565e-05,5.574538011865471e-06,4.552136728674938e-05,1.1029898003084293e-05,7.768780718730994e-07,9.79608443252289e-07,1.2543719266067122e-06,2.1021584972746865e-07,3.1351335405549463e-07,1.348150058255726e-07,4.40141908475411e-08,1.239191094182246e-08,7.919873741546457e-08,2.6040229972323914e-09,1.3938956766601507e-08,0.000714239881858203,0.0004204170896863618,6.115838910819571e-05,6.5933306887533405e-06
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41199781708853117,0.025719628657973503,3.939057540534412,0.11043624571719945,0.5272294636311732,0.02969210648152454,0.027522512099286717,0.003364404950580907,0.01968092673593376,0.010178984310920458,0.012619697948864195,0.008455275635494752,0.0016013647239825624,0.00013905965782967655,0.00015705892749751094,0.00015833795938630102,1.2546754772468915e-05,0.0002462377712336705,2.8752982264401705e-05,5.613081397903841e-06,3.5914127699543386e-06,3.0430963577077197e-06,7.348361837911099e-07,9.771815118742033e-07,5.106799737669698e-07,5.287823490185417e-08,5.709556682997885e-08,1.8183216815570447e-07,3.899419676045568e-09,2.372988594512293e-08,0.007766534352039556,0.0033061716183390294,0.0004948918071131236,2.7116619825795496e-05
