,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30H,31H,32N,33H,34C,35N,36H,37H,38N,39H,40H,41C,42O,43O,44H
1N,0.0,1.0198986210461738,1.0210594278684086,1.4650201832186693,2.0846980366341636,2.445925188913803,2.539787994526353,2.7202379800797294,3.811745270858049,4.590332477259034,4.819290368470885,5.072328057363404,5.759176700672824,6.681974026007796,5.92254932847558,6.851024026756933,2.488022327905402,2.8835830956086594,3.5912986209093725,3.8427942233403467,4.89089523752496,5.030943115737208,5.597582824281103,5.728951040263893,6.63319935369317,5.295984115815469,5.434976692104522,4.363772983991581,6.512369350663869,6.675806748523624,7.426791604432775,6.660823422463809,5.929520130502557,7.86340806183429,8.867379177079538,8.806610203661252,9.81633504493971,8.268712547071283,7.796711789028648,9.155426477973345,5.947759358136208,5.982166348708674,7.138428099258635,7.803663980969039
2H,0.0,0.0,1.6296924737832075,2.0488310511023813,2.3457363652879764,3.343164803980151,3.4739353710078005,3.6679456823809713,4.587902273220855,5.246647054076469,5.586105834298613,5.850034365745862,6.404779830037408,7.271890068970859,6.625771181221294,7.543146301503729,2.7430148724081684,3.1593175189477525,3.6258323489993414,3.9004458951191716,4.930372738724608,5.242133610217622,5.39859019971642,5.37035989627831,6.479326650421546,5.050033109536856,5.370339038677552,4.034554120126823,6.115798781143419,6.137925358474692,7.097692759771635,6.257211480444773,5.577128743927939,7.4174716779512435,8.361976589544486,8.270090151181906,9.312224408766482,7.863315779073369,7.473138409468442,8.706949724122776,6.01846865637935,6.050679580008435,7.225286792028525,7.899359179065171
3H,0.0,0.0,0.0,2.0248332642730382,2.9176464234597828,2.7086150798745483,2.9236579017726014,2.554395653490984,4.139407962188771,4.794888496072837,5.264467178275169,5.587863731634187,6.043953313545417,6.927195845239106,6.326698970851353,7.290859682909699,2.5847700386107677,2.513384317886351,3.872155760344976,4.335340053456334,4.983709881572356,4.943211834227626,5.602280448921564,5.8855359866369525,6.596689967955796,5.06719694255051,5.045406458319786,4.149583699216329,6.253814302915374,6.5526833319984075,7.154260785352659,6.224162484255607,5.402649912143429,7.388440484423607,8.485408118884315,8.529750090107049,9.399212202881849,7.670642132461171,7.110179658242671,8.56181867827737,6.197846462807627,6.413914083144364,7.279245988622931,8.024598479851228
4C,0.0,0.0,0.0,0.0,1.0970183584620081,1.5502127792773077,2.1366011260099813,2.1527635395384785,2.579404589566221,3.21615474159262,3.6895432265792234,4.161148760959412,4.366784725938637,5.261040644408558,4.635239063132087,5.586993754449105,1.5368308669807718,2.411955440299718,2.476564260258504,2.581363260206212,3.8069248424797806,3.96013642743859,4.808810979280624,4.99930522822875,5.7769094245006976,4.857581592672998,4.973162420765329,4.126069207589136,6.2459152374541755,6.450286329192696,7.0308545963616815,6.679383515261533,6.07761882567735,7.9716673608009465,8.87757129028953,8.703553827684473,9.858699109054854,8.550186303580526,8.151784744918412,9.494713146598624,4.679216273663969,4.64815760007038,5.893219318978942,6.494877734153948
5H,0.0,0.0,0.0,0.0,0.0,2.1691556890463994,2.518760191124646,3.0559816773997817,2.7727403068779686,3.4399788778806784,3.60140437183247,3.9843685948331697,4.38007948439703,5.262019773512117,4.502834641413712,5.369941477788748,2.175885945090909,3.283294543894655,2.553040830449462,2.259409597924807,3.9834294225948748,4.37512270811663,4.992607385562419,4.974564677204235,5.963156181568801,5.287816650990869,5.577182909489423,4.580829998815685,6.62399086528827,6.6709592541635585,7.4051233519466,7.208979237972238,6.705516096367646,8.501389064731406,9.298225878418952,9.021213494990347,10.298428166059317,9.18339247199337,8.87377664794865,10.107675194459224,4.582705894755817,4.2891972571631145,5.890986386571117,6.371682983003446
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0946146681570132,1.0986783387370649,1.499662686389426,2.5321818525413295,2.5797889027927408,3.0394523160181937,3.5925849142685373,4.599578834466163,3.6633597087331684,4.611040803540737,2.5172065785071087,3.1016087260684944,3.433676733743056,3.4277478616952424,4.514044922142856,4.3664602116505025,5.762113448027496,6.129988209375072,6.594127277147953,5.864222737656311,5.737554174917743,5.278375259806375,7.3378500338063715,7.688059118049481,8.013993773124671,7.740259538292321,7.093092994042882,9.033058797906216,9.995476184550773,9.86906765745888,10.954499973820248,9.533867992049572,9.040499917034804,10.504802459890128,5.194445298662393,5.132853889082142,6.292585467245128,6.824346994201808
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765503238037767,2.135495802261044,3.41733315816784,2.7102475928090257,2.7567605459905824,4.279531335741195,5.342409810305976,4.014514411177975,4.847217521171976,3.4361878353892688,4.01035087608769,4.359406736168385,4.24868559254313,5.539743411589533,5.450115745595356,6.748033300845719,7.033786274515177,7.62168252290733,6.805459662943237,6.72047583263835,6.1263463399778955,8.239578385386192,8.534385490768965,8.974962561260007,8.568393197383779,7.870536318780006,9.839084266303251,10.83342804616809,10.728456162911513,11.790950096275191,10.277220825878073,9.747997135559608,11.22409654274723,6.175304486831316,5.992204807308442,7.316270152690379,7.802932631999291
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1403304017465934,2.8365966491793646,3.2781524778523794,3.7817535731138174,3.981510037938865,4.902093881423867,4.2287059517497765,5.185529290290527,2.674009423068814,2.7962434046006854,3.7953938962807054,4.041751915417003,4.66444878194013,4.285525986848561,5.832806810034748,6.3601859450784906,6.612774666226624,5.722596182716186,5.410353698530478,5.178062117879133,7.180512963134234,7.667610831560169,7.824127665985026,7.432934092098274,6.718806822434005,8.687191206729603,9.729473849140016,9.700558339380462,10.65089620210263,9.07543535702108,8.50105363827529,10.049460827280592,5.522487802720836,5.679454406689648,6.482446382650628,7.10503204101765
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3864025358185967,1.375373537042335,2.2476679483153936,2.1540931825511906,3.209048163359341,2.195115917437075,3.176078577921489,3.129021851282391,3.8579968553287256,3.541212485168723,3.2699852219790624,4.374674804831457,4.202966218431583,5.83566536053736,6.2257072525281165,6.507982328440707,6.2720731680752015,6.126068728475325,5.900591748853437,7.792721029287269,8.150191107819321,8.320480379437917,8.409564199982942,7.886896571383808,9.728695290212322,10.58367530357429,10.361674380266908,11.548738556093705,10.352501495010513,9.927130706202435,11.346850801415236,4.63165432325568,4.417265336553059,5.645807635765813,6.01454349442991
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2598528789971453,3.3221433756636634,1.3167672587370858,2.14023596935384,2.217782088513258,3.185975827499355,3.0901416827107036,3.7137291875713503,3.1415775421462784,2.955260487357941,3.5333965323287146,3.231786758346959,5.066026612452094,5.576510238520985,5.562257698151606,5.675363842080717,5.458925056392475,5.540678774717362,7.190597462546019,7.617163556224408,7.562504146100186,7.941603363325215,7.538261091763113,9.250232766704457,10.015971894092674,9.74826412648655,10.962068866751292,9.961280630812436,9.603390343644742,10.966991319548578,3.6043967105792,3.5588641822418516,4.443258193128181,4.804339057484802
