 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,C23,H24,H25,C26,H27,H28,H29,C30,H31,H32,H33,C34,O35,O36,H37
N1,0.0,1.8202213363820747,1.7444927401326922,2.5947686382298936,0.09885686845212838,0.1788062837312188,0.019564456604859726,0.007044854394637312,0.033129029841157384,0.001429063363604488,0.0015248459489176636,0.003934352506866801,0.0024016559557993866,0.0011947762794209255,0.22223983319829552,0.06272904134933407,0.035442972519196425,0.0017095475471893273,0.00783806020760218,0.0004354198115593677,0.0005630233364190274,0.0003043815052041765,0.00011913860732556958,2.0409548338373718e-05,8.358852619738677e-06,6.0338178691950184e-05,5.212179211566692e-06,5.024999295111243e-06,1.3503592629415806e-05,1.36643081547691e-05,7.495908618482261e-06,1.6239313345156603e-06,2.4401415051888975e-06,0.0015512928634556639,0.0001796043695408006,0.00043778600201194867,0.00014265254147161066
H2,0.0,0.0,0.02827053398975332,0.10171983949011687,0.0029091425838634333,0.029601234700937895,0.0016487917818017728,0.00012825729056586965,0.004250367225675067,0.0003090871368849335,0.00013772838318493186,0.000616329815201655,0.00038281051432131896,6.176623920817192e-05,0.03254951159938335,0.09090146161883417,0.005545472094882653,0.00015782219457172175,0.0007316950045368475,6.01041485390752e-05,4.666497812566561e-05,3.0980541547043217e-05,8.488923372573787e-06,8.684658512336796e-07,2.6945623865515245e-06,8.1027106583198e-06,4.485876308857328e-06,2.2455150254785394e-06,5.264826381523591e-07,4.092700264357596e-06,3.558500626610339e-06,3.839308913011763e-07,2.4257358921531136e-07,0.00012008606002666955,5.188261130573135e-05,2.0474027883743418e-05,5.83652636176879e-06
H3,0.0,0.0,0.0,0.10035299779495643,0.033639096536926205,0.023885296337626483,0.002399825914059406,0.007489827397136883,0.002388884059075558,0.00012271509893935217,0.0011059820406895682,0.00015895031847679153,0.00016612049971964638,9.203832258020128e-05,0.006214136251443181,0.002156987633124441,0.0006085924555403466,2.7113457794047946e-05,0.00017321826389793404,1.2661128670599098e-05,4.94375423023552e-05,2.719054396305154e-06,6.288416532496122e-06,1.3417078694732965e-06,6.729984716180581e-07,4.284218986017052e-06,6.078210443849486e-07,1.1879139338866196e-07,1.4089877875544943e-06,6.212211257627942e-07,3.6847269324624676e-07,1.8243508104198725e-07,8.060027534284586e-08,2.256899162655923e-05,4.024188734685907e-06,4.5233931241783765e-06,1.2068365633499667e-06
C4,0.0,0.0,0.0,0.0,1.8174837870541347,2.802827167058312,0.10179913053504652,0.08257850121900567,0.16767348493764936,0.003482933880308847,0.018326757217928202,0.02754067087529541,0.010448213905644266,0.010950230520061527,2.5144823061727357,0.26643115237030107,0.2123732808774601,0.00882469357234672,0.03504602255647865,0.004870268039072978,0.003002190799245158,0.0006319178819020888,0.0008083957769225436,0.00011452871920525354,1.2998992618529215e-05,0.00027005552041940717,1.1868084169419646e-05,2.5352770697928406e-05,6.382469738319685e-05,8.587026830965405e-05,8.31463005499522e-05,1.9921831739821982e-05,2.5982819696901416e-05,0.004474414064463639,0.0003573455907212031,0.001240907840572833,0.000265772804387443
H5,0.0,0.0,0.0,0.0,0.0,0.07558995662522161,0.003312553666095397,0.03531592810514983,0.01472825081879281,0.00021557922093573545,0.01040510101972525,0.0009147674026219743,0.0007372070159737953,0.00047278093922242803,0.11869081043049468,0.028023447626527975,0.017237908883758202,0.00019579805860869826,0.0016309393773492609,0.0002446108223361776,0.000921211835450908,7.993065432021496e-05,0.00016100905652316477,3.682558522100088e-05,4.623631907563208e-06,6.541203922605376e-05,1.023279392109444e-06,4.33149657141918e-06,2.184209891464839e-05,1.623743396117483e-05,3.389695337085996e-06,6.2581866071553804e-06,3.1134683942113384e-06,0.0001355815386883119,1.3946652782648172e-05,2.4433090085151932e-05,3.262390233960133e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.929600032590601,1.8349075025313322,2.6234166332305455,0.07924904817218414,0.0826159173229204,0.1503902968344463,0.04663524008854461,0.08587530656603858,0.16538518206705943,0.03534955584719464,0.021736392678778624,0.008427605501546642,0.002809969531688855,0.00038701526451589974,0.0008293202892331597,5.8735812210830574e-05,0.0001777635064326294,3.1128454794249194e-05,2.154270019261162e-06,0.00012239001784496162,4.027949588980562e-06,1.4677816009944777e-05,0.00025318940926588596,1.7855042232700624e-05,1.3293076568832163e-05,2.5487214405650604e-06,2.290129146320652e-06,0.0003149767065193654,0.00030544823978118085,8.274134820807078e-05,1.425070639760051e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025318359947338998,0.0916342951461806,0.027926473257364526,0.001915774213297139,0.03431382132561245,0.006571822966486063,0.0978205861612349,0.029330827695246864,0.004464417242038055,0.00264292324390758,0.0012674085128800971,0.00028118240792118776,0.00012107489066259802,0.00012092986367040481,5.22069307207218e-06,2.24903728098802e-05,3.195944493938896e-06,1.0017823726116148e-07,2.0122451182102985e-05,1.7542799521930164e-06,7.5318317618311426e-06,2.199213670150968e-05,2.844904850252128e-06,5.764262839491607e-06,1.8488931918803075e-07,2.759222197390443e-07,9.139955664339006e-05,0.00011833762394375391,1.6981558795592377e-05,3.890118779326102e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07876574365591726,0.009734137379026508,0.02941522787697659,0.0026070216831772797,0.0010697374741380772,0.0009910727681161635,0.010480401175429144,0.0011712278055562297,0.003451857845901296,0.00047471309396218686,0.0002327778936983549,2.8467531329345874e-05,0.0001545091824941558,6.699211875904609e-06,3.1720004841417904e-05,6.972121424864142e-06,5.549091781631432e-07,1.7165987062917054e-05,7.858454824649641e-07,9.313972122448888e-07,3.666889645370652e-05,2.1864317798492294e-06,1.2274861687089356e-06,8.815305652110084e-07,3.4652968494697234e-07,3.3262890517526955e-05,2.473905446009894e-05,5.703200138595932e-06,1.9542319831256094e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.119287995903477,1.7477132579942192,2.33949021869877,0.3129975979141191,0.29125092190975305,0.009604246332719807,0.0024689188741538054,0.03460773791597689,0.084126187396795,0.003999335810421306,0.0008146098394644641,0.0002434827118981131,8.083058126162612e-06,8.006666955799602e-05,1.5825127743340772e-05,8.883304329909691e-07,0.0005006125556376584,5.135106739384554e-06,9.15374535148672e-06,0.0011411145484530039,4.972129098387845e-05,2.1183297613802665e-06,8.882990578218397e-06,1.4715992113112364e-05,0.0008870542061135411,0.002611818746627678,0.00031509065915417966,3.243821703635685e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022012563821016906,0.07708653548337474,0.020447147085136286,0.020862683691167394,0.0014361271362266503,0.00046300957479972205,0.014644450190216762,0.061750388034663484,0.001533996328383358,0.0002310383775983027,0.00012352314738484083,1.312900604899525e-06,2.6987307449655162e-05,5.013041709300836e-06,2.0096100272759543e-07,4.427335440992941e-05,1.0272973416380893e-06,2.801584938483259e-06,3.345721132719248e-05,1.5194805209173268e-05,3.8987856676442334e-07,3.021770718092398e-06,6.209139049362378e-06,0.0006849532489121568,0.004206786674473273,0.0003304041422109716,2.500491457246845e-05
