,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36S,37C,38H,39H,40H,41C,42O,43O,44H
1N,0.0,1.0188857534191664,1.01647053886718,1.4664478742357578,2.0782038650524792,2.5300289156310103,2.6229423186076204,2.881698511946558,3.8932525650232686,4.06757972085678,4.306585219185112,5.084910100236587,6.0115751340720465,5.276704511204308,5.367868590978108,5.538698592328773,5.832684520400499,6.3208831694926095,6.293069932450705,6.4924156899360215,6.318098494002712,6.023298984731142,6.990040594747991,2.4805427615682247,3.6417994975198793,2.629377854088018,2.1032327896056753,4.055479280659222,4.6448439645856725,4.915028083737891,5.926061885515342,5.019969067330974,4.831910134917825,3.885256254107875,5.380214239569287,5.999066153655684,7.561223100463493,8.354630787232074,7.83064562406718,7.696878213109849,4.550859027710928,4.143161682185424,5.888319107631546,6.328913013776246
2H,0.0,0.0,1.637028771294561,2.068096752310684,2.9071229970667773,2.589631809949058,2.5274793126167054,2.6144831262875696,4.111383690239101,4.482301927596341,4.582785090350551,5.077120305998328,6.086643217686494,5.085559874975151,5.283595035719078,5.272204661187733,5.897997221049656,6.576018336077742,6.600147264084538,6.84904125660329,6.306191213270349,5.885623024223067,7.063681660433226,2.9663131355396,4.077650280068284,3.017400478621731,2.4833063621006732,4.352093264486845,5.114436585404505,4.971708361074462,6.001484821201319,5.1394500932356,4.570723139454493,3.523473685592898,5.057954396130254,5.600494380251125,7.241932729173834,7.9844951408877085,7.463383721513084,7.518912576012037,4.770123215781566,4.30411649848119,6.09600040125438,6.499441694629989
3H,0.0,0.0,0.0,2.066597499280849,2.2404398380765813,2.979035296871003,2.7567316237578847,3.545094857034966,4.231533268936493,4.465702326579954,4.394797818160503,5.531688368022146,6.3841696136468435,5.664760040310335,6.034230009903528,6.257447503607865,6.569620530558913,6.955056869257946,6.800337298704909,7.1503521299562935,7.173769047207353,6.940268173712606,7.852696223744459,3.3180968355463056,4.416653804522621,3.5366371663395073,2.9405976856357343,4.953755306757528,5.455077860125835,5.902598154949622,6.897864873847318,5.98775648395412,5.842864974603111,4.8847140013855705,6.358813512128872,6.991576050891393,8.573579307947321,9.35597297428915,8.835773018281284,8.711037570488703,5.357923172374287,4.836458625042161,6.694882853679559,7.071882801272369
4C,0.0,0.0,0.0,0.0,1.0976514393464427,1.5519915111343796,2.156154474655044,2.1581155051885315,2.611388092133589,2.6243165452602453,3.162124891021924,3.8831472586030245,4.737956950030434,4.294634092632612,4.192804574929743,4.55950218565817,4.560794214354611,4.916084700784811,4.846307106654843,5.100412475040944,5.1983824827315415,5.089757621597939,5.84502912130023,1.549237965194707,2.4400757916511506,2.4375395853585626,2.5024803532096804,3.8318714478712135,4.222175856868875,4.514490315106627,5.557721070009156,4.306999028328362,4.67665032159166,3.861541357704692,5.466929771302105,5.617194778896177,7.173069501899151,7.897865114743563,7.633100766239034,7.194987740863118,4.779152038966132,4.737096314715636,6.025205845855356,6.653265892956808
5H,0.0,0.0,0.0,0.0,0.0,2.1709178663411803,2.6115969667290306,3.050660469639228,2.725833698412007,2.5251334652345268,2.9856477743085437,4.19984542219612,4.865843801161388,4.721865839730703,4.721490193277301,5.25878420837882,4.987923376914451,5.056958402142344,4.829027004495833,5.163779031348957,5.76303381085824,5.815780267044812,6.318228252730726,2.1303683842824817,2.7763388028732767,3.062420329291313,3.123936919645123,4.3845008221866575,4.5372139314093545,5.2325552370028525,6.213682336653749,4.950916729818399,5.609859412674625,4.871356465193767,6.40323273719938,6.580061802285085,8.064605427858856,8.795365951240136,8.557860049412739,7.987021503100763,5.32977337295589,5.29710821545674,6.53674239115118,7.162227401188841
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0965114533104612,1.0996481129750957,1.5447706153546081,2.1658712134197504,2.1801809228025966,2.5810347353600447,3.525594275301607,2.7956793024196718,3.1391218636066394,3.4540616758836102,3.8941647387405998,4.405189181681917,4.230292408160684,4.888048138206027,4.728062344355566,4.663269079323359,5.541462324637619,2.5372501061372357,2.9329017138213387,3.592633945043869,3.779363064752245,4.855440138537863,5.31218744450493,5.109799229075681,6.190534048779541,4.715443301804219,5.003528546765904,4.154501606689545,5.8963050352592905,5.447432359153451,7.150107503986923,7.693554446835647,7.726418582013158,7.298282024757931,5.926759161116411,5.947799131011984,7.1249484533353025,7.800885863202342
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.756707170756744,2.172438464532936,2.9964067650900597,2.3309629462001813,3.116697961229846,3.9898255841083925,3.0012343880225,3.924063253662609,4.129820084748696,4.848058252657367,5.354587303118886,5.068980904516362,5.90080373940912,5.715202134019553,5.609769062062574,6.569931386983296,3.4582482016018945,3.997580547311041,4.363746029945845,4.3289819851446145,5.711033680251371,6.227591038988695,6.038348284456546,7.130147428554265,5.734576699197399,5.781028072760121,4.830825114861875,6.585620714146229,6.214391017932052,7.979951191821702,8.498362231545318,8.496702292879974,8.218193464095917,6.6281150104499105,6.4738216914299915,7.887756193024181,8.48566534484741
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.184381111711945,2.7848203626451222,3.0154637847087176,2.6109033569655624,3.691068185771812,2.6665193329357733,2.721768526547556,2.7417806938417892,3.566659124632286,4.389915272088957,4.421777962005117,4.918654181334533,4.183034898314636,3.931289408415613,5.0774389688912,2.6601664272539476,3.007955258261724,3.513908523046397,3.7623572381688533,4.621653443217347,5.231157794081295,4.59196898180137,5.672172601697362,4.240992196090742,4.235217932045359,3.380668887401171,5.128207343655781,4.488102328954335,6.248851450544594,6.747306583603112,6.81495388797556,6.504886015971482,5.675330890526139,5.746626403070627,6.819047832098964,7.498117655980206
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092232548805874,1.0970985559365378,1.5362858123089278,2.1864249863160183,2.181809066209838,2.523862856337435,3.2122052036364153,3.198843071193077,3.3628157090628434,2.931401135701516,3.966411414591963,4.348801158879714,4.613387469201468,5.086142733447136,3.2188559209366105,3.026550363866448,4.510893271422333,4.925281346767546,5.59750551573415,5.81793339277648,5.720317315259848,6.729930731794833,5.057232932009678,5.847157595457058,5.186851822391869,6.8541854576404555,6.0293529085229665,7.615213952039357,8.04493417985153,8.353086934707807,7.639880283570714,6.875479337442516,7.087487315058606,7.96243674141045,8.736985059924331
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7612806681872215,2.1576800280279724,2.557440870629331,3.071873981971055,2.747387253994748,3.595944282738705,2.9376898842048185,2.781085425749587,2.374874585697295,3.171253722686353,4.062746209050918,4.4627039010569245,4.629354667388547,2.8330291697924714,2.361504218241824,4.180190637354079,4.736756927548234,5.132509129416071,5.165097506381876,5.332034356634647,6.271113530842916,4.5897414239149725,5.741872716132892,5.220422092354391,6.771850743311334,6.054524048648028,7.4857468977771005,7.974069230088562,8.24999175243685,7.355870906912896,6.493492468983556,6.833898579729547,7.497910550615633,8.317307149618426
