 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,S36,C37,H38,H39,H40,C41,O42,O43,H44
N1,0.0,1.9176104493225938,1.910091184191681,2.9827082588310962,0.09321456962758257,0.20496108396402477,0.017470484339979775,0.004884305780806564,0.036149212914095966,0.0019041598903888346,0.0002993663193774365,0.006249502487896408,0.001334451762461497,0.0001887112697307458,0.00033322260461937647,2.3888848635023052e-05,0.00012574720189412192,4.0092279640566164e-05,1.1029083638480763e-05,2.53443621669458e-05,4.8447947488136633e-05,5.368596456500896e-06,4.484989883701829e-06,0.19568231123941632,0.03705385924100017,0.09299931544131392,0.14398248663070523,0.010996667866000787,0.0011665911796476802,0.0017010532952225627,0.00022838129074931324,0.0002526627331596032,0.00023812219266924894,0.00028654059980393054,7.268840436891466e-06,3.283566483403e-05,1.0690470618232584e-05,1.2684242233218512e-06,3.9601747348072536e-07,6.731972253204432e-06,0.0019099771600573634,0.001399006228304342,0.0003182517832014675,1.5620788776038452e-05
H2,0.0,0.0,0.028899164925278775,0.10054316938306407,0.029142775359978446,0.01982716927776873,0.0030804385731906248,0.003926691283206107,0.0020244441186277884,0.0007038183599958892,9.989041821345523e-05,0.0002517968341392285,7.514190331381343e-05,4.449806698114678e-05,3.772660514633763e-05,7.526892482401237e-06,1.974279112926247e-05,4.224471766511861e-06,1.1781205586647303e-06,2.1166557053753365e-06,7.630746388542775e-06,9.825269728924724e-07,2.3415306271701297e-07,0.005108359411710062,0.0013292391360147926,0.002692505074156526,0.0030500242734670113,0.0002336987519979683,0.0001546145397628429,5.967685834484815e-05,8.122809530552999e-06,1.8601537003837265e-05,0.00011238150669468094,0.00027499745782333385,9.428582157688936e-06,2.3665267689931824e-05,1.0910994034940558e-05,2.02191292331122e-06,5.166322303296056e-08,1.5606302561366192e-07,8.00613390294913e-06,1.3596121535841554e-05,6.732300469436403e-06,1.4767814682237201e-07
H3,0.0,0.0,0.0,0.11075563977143021,0.01166540785228376,0.005489615356433886,0.0018192408215220723,6.530291896633678e-05,0.0005116484434974922,3.2793753799387204e-05,3.469757957108577e-05,0.0001364530601817293,2.7091736043205472e-05,1.092201811969673e-05,7.9121098311985e-06,5.466378449892062e-07,7.219612613074133e-06,2.370155306574695e-06,2.8936601026430253e-07,6.299445196145115e-06,2.054006608243064e-06,1.2079889244454023e-07,4.875898702572101e-07,0.023421424228065257,0.004635148641219833,0.00431226586432909,0.00102733458497406,0.0004509868079975998,0.0002932792933609818,4.897646235213493e-05,1.3261309499412732e-06,4.957942136707416e-05,1.581203424050326e-05,1.4938704895772759e-05,1.7374011673787493e-07,1.459720827989841e-06,3.252096145711647e-07,6.693335175000925e-08,4.616288262759838e-08,4.990410884531116e-08,6.277384583330825e-05,2.954548975664384e-05,7.318302952863398e-06,3.9404068985504637e-07
C4,0.0,0.0,0.0,0.0,1.9255812217830752,2.70406864396784,0.08898355956483739,0.08221087393552384,0.15827953186029864,0.01899050191644691,0.0033845881596130667,0.02546562292017776,0.003030279026672078,0.0008943810960797549,0.001802719638441086,0.0002562283765669138,0.0006931691720672428,0.00040418281875390094,0.00013967303061601655,0.00012484055540773475,0.00021920328209208695,2.0881690730001345e-05,1.653561531611558e-05,2.572483527112931,0.27116365963107025,0.23619649658033323,0.022306119307136107,0.03827534694420154,0.0016500629205741246,0.00351613642903853,0.0006701822440629002,0.002086100836998561,0.0004381017391687225,0.0004279401994500276,1.8642987347661233e-05,0.00011284353542276304,2.155534975034623e-05,6.035440829332828e-06,1.7941523691167305e-06,5.166271299206215e-06,0.004806924964977255,0.00039998014865597065,0.001430514140495942,0.00028292511872696213
H5,0.0,0.0,0.0,0.0,0.0,0.07870210004235845,0.0025721863597081285,0.03174178992138721,0.012705529910695623,0.002966632534538327,0.0008840913399155159,0.0011781971176739736,5.0599620297964165e-05,0.00027904786131949244,0.00035347824120335325,0.00011906799092353815,0.00013235773497854986,3.3577500913928304e-05,5.463094112867495e-06,3.325780488339092e-06,1.2197287728499262e-05,4.005081536639921e-06,2.6903960037572006e-07,0.10019482118738643,0.017432470502403152,0.023648108551258984,0.0008599922528158555,0.002076131186971697,0.0005854248596348643,0.0007720260455537087,6.496048117665687e-05,9.493834185092531e-05,0.0002143331545365612,0.00039143126598162326,2.262002406272501e-06,4.576195101335667e-05,4.76491995649031e-06,1.160990985349386e-06,9.69212706536382e-07,1.6310589863177682e-06,0.00022533803052260382,1.0755238401327638e-05,8.552483993773397e-05,2.442094526644567e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.035804193559235,2.0591794390507214,2.7175595991264156,0.07735750837575184,0.08386767470420275,0.1658566729009129,0.02820478240578228,0.010893092846246177,0.019389178867621773,0.0019006163523802577,0.0033261702035620178,0.0021604532597753467,0.0008631470739475233,9.265343492570466e-05,0.000975402952456364,3.097596607892772e-05,2.3840818720533008e-05,0.17997810876407438,0.03555132971914156,0.031886815191491,0.0047996853686033125,0.004131733922360964,0.0005541010351112208,0.0007479518967866972,0.00013984758553331478,5.8550325271911063e-05,0.00040400030989005964,0.0005522650757739944,1.3443075204011556e-05,0.00029595367094625846,3.0306317333472776e-05,4.1168763345034165e-06,7.29240106767115e-06,2.059234355256123e-06,0.0007634252273513997,8.811237075480316e-05,0.00023392959498561017,4.429739744815642e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02475279940493169,0.08448865098912539,0.018762886877507157,0.012801214090778501,0.004353170888236724,8.586061661830513e-05,0.0009883784603628154,0.000836440236733571,0.00011925191436268356,0.000264391533804309,0.0004271221618555865,0.0004662920663174308,6.938453624316665e-06,4.2500030112524456e-05,3.2752916037104285e-06,9.251047771163812e-06,0.025703513445364257,0.005882037941250418,0.003341442756709334,0.00017178921632665656,0.0008567465901716531,2.279481969380548e-05,6.935139118069422e-05,3.091698482982075e-05,2.1928771922974377e-05,6.748004720336098e-06,1.7629204007940658e-05,4.773078057240809e-07,1.4363163956865321e-05,1.4764434276282046e-06,2.2192291337930214e-08,3.608721588221897e-08,1.7821143294405317e-07,0.00013435331456634891,5.699101584766275e-06,4.2528679105480194e-05,1.2369230284470234e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07522982178748117,0.0029471229311455183,0.02117372396413808,0.020384100863796162,0.002610057698550383,0.0015108759124684568,0.01267763760951146,0.001753677160788003,0.0012726230795110371,0.0006970600478799494,0.00011815944831838898,4.623485020083251e-05,0.0005050858962329929,3.2133879689588696e-05,5.822890257300983e-06,0.016143068258922533,0.00276812900731227,0.0014652924345062157,5.3835197604046314e-05,0.00034665956019774846,3.5609198902442074e-05,8.838337581162925e-05,2.7268263516511126e-05,3.617108144116088e-06,0.00038591433159562705,0.0007019000664691966,2.0943018926411483e-05,0.0003897663495433523,2.9558350974623337e-05,1.1636514563040379e-06,2.3605318137720488e-05,1.7705091492903335e-06,5.4698561689825453e-05,3.962136795321314e-06,2.0632248233676265e-05,5.677609372201076e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9683718905438705,2.0926365024340927,2.637786138687973,0.0847555599873192,0.08275193646994161,0.1697314614812625,0.0083344920221875,0.03289117005908293,0.014086328201345505,0.007582526980210891,0.0004170275083316133,0.010069062129322681,0.00014962169445909002,0.00027311666901408405,0.014402362817043407,0.040752085291546225,0.0037701015449218417,0.0006930345316534803,0.00041780553025363987,7.00139883224038e-05,0.00023823492709594551,2.1607544342439056e-05,0.00014227139739830807,5.7802880166032966e-05,8.791593216261884e-05,1.054308004055926e-05,7.500456553143076e-05,4.940048776491679e-06,4.837176351690786e-07,2.035200121097702e-06,7.472444012446289e-07,6.853206200221895e-05,3.654496791435924e-05,1.585757837409274e-05,3.0234170065313037e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02757758540991606,0.09245913600908628,0.003988141621892316,0.033004490833629996,0.008143578393937423,0.00037037034776221667,0.004595194967120575,0.012042071710181568,0.005989191702939323,0.00011609327287320781,0.0010571763000625234,1.757852539596705e-05,8.005128520438554e-05,0.008904903915024853,0.05005507888907912,0.0024293049644381615,6.057844115914257e-05,0.00018180391040623078,2.8984693330347255e-05,0.00012834397487382354,6.118240786445739e-06,4.8767172432961914e-05,1.6423350258198965e-05,1.0858485228082415e-05,5.700044275247507e-06,1.0271019851848529e-05,1.002795941063006e-06,8.598313505636668e-08,4.099965800197225e-07,2.5742624942814984e-07,1.557463927737146e-05,1.783487003004236e-05,4.929085672622513e-06,6.669968117822833e-07
