 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,C34,N35,H36,H37,N38,H39,H40,C41,O42,O43,H44
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037598678084362014,1.5268683135172267e-05,2.0184788085075844e-05,4.356503651825605e-06,5.077347655646491e-07,4.839116404253829e-07,9.225877395380166e-09,9.987914117992602e-08,2.265574194915132e-08,2.207529492537219e-09,5.041338820843677e-07,6.672396302143113e-08,2.1491831359021774e-07,1.7185048408752124e-06,5.1064747763618357e-08,7.875949714630792e-08,2.4016963141804126e-05,4.066043851613799e-06,7.016412163451946e-05,0.00036635564985509905,6.338160329910636e-07,0.00028439982112993256,4.226505396331959e-06,7.75752870829649e-08,9.221717869323243e-07,1.666805130584592e-07,4.135806674909759e-08,3.460258324317067e-08,7.477964247826208e-09
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8682946543678867e-05,1.75290626872604e-05,6.897497131341801e-06,2.9506688603575526e-07,1.3816706946334634e-06,3.097003742347226e-08,1.8789615285896843e-07,1.483904021881699e-08,6.840952626596675e-08,2.056172092590458e-07,4.654761065481239e-08,6.084142389894964e-08,2.653103086114328e-07,1.614242206571248e-08,4.211191129144254e-08,3.6937077345644553e-06,6.304012569735562e-07,1.638917526236572e-05,6.813723992304954e-05,4.184075907964768e-06,0.00012799857997536357,1.8210183984068706e-06,2.580102058669098e-07,9.20123556902297e-07,3.0358631031290884e-07,5.653951373751909e-08,8.52426119690719e-08,2.4748460614176793e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.703742982605567,3.4752957097168733,0.13836542944733288,0.2696960050858803,0.02515132867332337,0.03082172627701843,0.0008992398659635192,0.0034233314387774882,0.006317841674098101,0.0006184529449220211,0.0036807325054957207,0.010410694843719537,0.015298716322691641,0.0005275298331983702,0.0013020215789020517,0.0003245031783751795,0.0032031035599045243,0.022805961391811874,0.034470123606925474,0.0005224365836645761,0.001064555175798218,0.00015738609488313848,5.383528265734405e-05,0.02900746456254752,0.008278895559993144,0.005688289892174514,0.001235307890916748
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5365287763275511,0.027579244524502555,0.06516362120407952,0.02904974398155391,0.011185260361202556,0.000952090731815125,0.000882282375460175,0.028512050608681505,0.0028448608093454286,0.029207226625437066,0.014358408215602012,0.010580001365867786,0.0010859138492502751,0.0019367199742953561,0.00025872625881584455,0.01203417731624054,0.10208444455229482,0.27899791252185535,0.001528376271421994,0.0034586985861443237,0.0004309173329677396,0.00017934069693381627,0.00797542609168539,0.004694531719118711,0.0012266141064466163,0.00026966598892985694
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8363892775304926,2.776522540689921,0.09495268831964909,0.16583395407188778,0.009732851229364847,0.025875355892301277,0.00851576958741275,0.0013883127934821715,0.0010963557337764218,0.004266098772671312,0.002741360053931996,0.00020471014791212383,0.000704802227381493,8.961626646919463e-05,0.0010211774069870116,0.007882233573607345,0.009221509308586895,0.00012587528887220145,0.00038551380129794866,7.311189085446035e-05,3.134907272339671e-05,0.19611055624212523,0.073136652079556,0.027274565325228997,0.005431834680820757
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09445033764826227,0.016296905746959522,0.008780662217856339,0.0007413953066703893,0.00026015268822887627,0.0005646405575397972,0.00013320871907995802,0.00016207789200972655,5.083472593525595e-05,7.13838940458178e-05,1.4947413803145793e-05,1.2930542744538087e-05,4.94102379966499e-06,3.142361218722023e-05,0.00016589332993988126,7.044177706472254e-05,3.877384687989149e-06,1.0263987602954217e-05,1.7106668948052572e-06,6.156519585243103e-07,0.04293042438066119,0.11095192659085751,0.006843634169868995,0.0002127233900208747
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9784021082745173,2.7078711739027663,0.08293950908162406,0.10160745039782859,0.1542215863227795,0.020029583719574084,0.017254758907317536,0.009766532795838667,0.0005328174449013012,0.0004939853762400137,0.0020055858498421036,0.00016666637966589182,0.0005369017694832334,0.0006488961041443697,0.0005970092232212565,1.1440977122023632e-05,0.0001392339446999319,1.271662480717417e-05,2.2944911123090606e-05,2.5738070798785806,0.28498527080540614,0.21796778857843865,0.052700875194394925
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07965151301956419,0.03122164458139287,0.0031004305426221013,0.011689394390017371,0.0003776364726970627,0.006316267768763151,0.0006125199818569627,8.718227784765276e-05,0.00029978333928970535,7.210177098349035e-05,3.842708039103471e-06,7.007268151593138e-05,0.0002768581000903714,9.39409654689971e-05,2.963421263046939e-06,1.8553803325049856e-05,4.8998441057879205e-06,7.751273991551955e-07,0.11097691909908458,0.029734170788209502,0.010635250841873445,0.0005704496558147643
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0122804648478843,2.100031951152838,2.6801542410239336,0.09036873088533626,0.0805462710042526,0.17046397041330075,0.006026640352633894,0.007346400037337553,0.03308630263652024,0.000628806784899516,0.005163356294871635,0.0015032087873051853,0.00048139597608387596,1.2188956938108397e-05,0.0016343570594197776,0.00010568978908498394,0.0002363339569877443,0.18932668703799244,0.040740680509382496,0.0357057585695824,0.002435878073145825
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026223360330760004,0.07643425945446602,0.001277292672750896,0.026077569366569575,0.020494912312568392,0.0006292906972868995,0.0050606991808075374,0.0018017002273972293,6.792999169968894e-05,0.0005060133267569267,0.00014362244503707267,6.353722208141122e-05,5.681717745398274e-06,0.00012392816486683778,2.87953147504183e-06,1.4050191456282946e-05,0.00707326542372444,0.0010232512632406543,0.0007648075204348403,0.00015172099997839972
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09181690239738327,0.012789715330107532,0.0013764699736675823,0.020713552555012726,0.00033771871176146995,0.00015741669449842455,0.00252054966996762,9.953258910289087e-05,0.0005489359499137869,0.00016128946096416463,2.5742830322750265e-05,2.8757110936972197e-07,0.00014578131814380058,1.84130743527966e-05,3.9309915200957946e-05,0.016615534543746424,0.0028603841257696105,0.02319005910373062,0.0004201008245285909
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6648233111084727,2.045677660364268,2.7561813549616634,0.07900415603333555,0.08083352057292492,0.18031107769735732,0.004563805132716814,0.03209347788576106,0.008833565129770848,0.002197476204791604,9.331491029540562e-05,0.009354873895761368,0.0004443278301922149,0.0005659989519805064,0.029427120861934664,0.007479329076657923,0.004990342282022928,0.00042077845468335706
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025744344837771216,0.09441558666154082,0.03324661812973306,0.00708056977166116,0.006919696890913984,0.002207759589625269,0.00047538027613147626,0.0005449713135583512,3.3065249414043762e-06,1.9392148666863562e-06,0.00016168097777335966,7.149879734935638e-06,9.522022146990494e-06,0.002327263010864611,0.000897858630389492,0.00028820448283017885,9.73720311008286e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08313213303836053,0.004609509888213292,0.03215224080520129,0.007148144797282541,3.868616635194222e-05,0.0016155442197103298,0.001153955746202251,0.0018749379423472767,4.001632415961964e-05,0.0006281747817497019,1.3610894218807346e-05,4.574061983886324e-05,0.0013660662675594182,0.0004048396171870694,0.00013464956181852283,2.870353892681088e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6560065513716193,2.0842274734868003,2.8034666433953,0.09061055143598562,0.2561376609691385,0.037424931004593404,0.012099967700343717,0.001847407252263622,0.04435321229465333,0.0015339454457413693,0.004397236924464032,0.002500466658841405,0.0005271247070132573,0.0010348132329229681,6.93438742220831e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029118985075478054,0.09803004545806793,0.026648583390085134,0.015868333326531925,0.019501447329832167,0.009514122552835902,0.00022995728479058286,0.0018950024283503897,0.00022309405851417274,9.730818940423269e-05,8.800573109346566e-05,7.216011642230402e-05,2.231640615213415e-05,2.1055435144301526e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11388601450390434,0.006325323633729063,0.024186948213566817,0.004559518953741959,0.00015561090566551528,1.6709790435109895e-05,0.003951170396712889,4.793391219370946e-05,0.0003565202403650325,4.234407797110151e-05,1.0369797283860116e-05,2.039589699043276e-05,6.341653089325661e-07
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7172191859794905,3.591067700747719,0.402203264973774,0.008785490620053849,0.027649344094436645,0.3515749737004144,0.013806158022982795,0.028513491728780038,0.0008094989885997772,0.0002097957400955669,0.0002674287192499514,5.851823958402669e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15564958291536346,0.02871072419884302,0.000899921239409629,0.001947881814819974,0.016325785345407184,0.006244666855875769,0.001065085332068616,3.727739268089003e-05,2.007126993031072e-05,6.886382688420234e-06,1.204259529874463e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.842370629202842,0.15396023809239134,0.15406973551147496,3.6644957575032486,0.149490016195304,0.1509455023900812,0.00018235941429828317,7.102888091631288e-05,5.604494039584962e-05,9.737509127916155e-07
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7440705930183173,1.744556544944863,0.397349635997023,0.033895411450344914,0.012719834082850712,0.00010408990783480898,5.778759544108891e-05,2.6301727371738637e-05,4.839755209595786e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04316298199488244,0.02741023256966746,0.0018994466044739422,0.0009214336219376396,2.8331909947887368e-05,2.7991663717696902e-05,1.1093614718071798e-05,3.0271636899392718e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009911264791073626,0.0008160468479285754,0.00539458197443432,1.5826818378084084e-06,1.2081699350963149e-06,3.815253052374956e-07,1.2333284282739498e-07
N38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8506315123830395,1.816169215175162,6.148296944014087e-05,2.0876434402086752e-05,1.954677131869864e-05,3.0123871641585254e-07
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03612161744285336,3.89738261541428e-06,1.382024438889573e-06,1.2889439349184073e-06,7.179922345557088e-08
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.551267822094367e-06,2.7214460369684446e-06,3.380085029314195e-06,6.214832848350227e-08
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.089776861734583,3.598341835577281,0.17300896394864562
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5109490441710883,0.057147821488558126
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.624341706039281
