 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,C34,N35,H36,H37,N38,H39,H40,C41,O42,O43,H44
N1,0.0,1.6512585686805012,2.027080337216149,2.889953184425813,0.09455478801979356,0.20930713491378555,0.018592095486603344,0.009553885885574154,0.033704964320919156,0.0016152792706637387,0.0007063840777846719,0.004822542090893639,0.0006316413626057116,0.0015420811438447007,7.319361097879451e-05,0.00034525416174269186,0.24105232832694684,0.04542115741645776,0.040958488863424014,0.0126746181016687,0.004698866874843166,0.001271332533886449,0.0011478250587072109,4.746539039057751e-05,0.00010997473459983809,0.0006742321134101392,0.00012177903004217949,0.0003912545596955752,0.001870296784528644,0.004859539036610516,3.4373696704115275e-05,0.00016283090712321258,3.9909835117812875e-05,6.883523214240572e-05,0.0005906206996634245,0.0002670940833487956,2.5692091592199873e-05,1.9985814206494035e-05,2.7717066629628917e-06,1.2729861050830849e-06,0.00039301002609656854,0.00018319163043806208,0.00012252200889086018,2.0383760345521473e-05
H2,0.0,0.0,0.028401165477472734,0.10293787513924901,0.005585771041608512,0.03260289052578036,0.0011021536659714393,0.0006484179332766349,0.004991849758168021,0.00011649412732639419,0.00012917353575159218,0.0009206433065424013,7.061461808333114e-05,0.0003053998217327214,2.6999916368897203e-05,0.00010585264568674368,0.007091096736712821,0.0009399307932970169,0.013586050904501046,0.0072055982561183285,0.0014693726159235032,0.0008263284606218058,0.0001104165436551785,6.30453673660103e-05,9.911509865512258e-06,1.4076241318439209e-05,2.0695635776224464e-06,7.084098780918424e-06,2.0067629396325337e-05,3.559209380266104e-05,8.028566380602342e-07,1.909669776090084e-06,3.3072261773625655e-07,1.999979791000861e-06,1.3723032270207547e-05,6.352173481216639e-06,9.840725234688819e-07,1.2353643652485147e-06,6.740571367735981e-08,3.4658383274432936e-08,9.70172319555429e-05,9.802992064877891e-05,3.782206225777518e-05,4.74505862224639e-06
H3,0.0,0.0,0.0,0.09825404476376143,0.03669856166782259,0.01406913394499798,0.000444055357244455,0.0071096328030162415,0.0012834371733355665,0.00029266759872226267,0.0002766634141819768,0.00010618309547427707,0.00019870146011580214,3.3776721975464774e-05,5.338227143436569e-06,5.147393570492653e-06,0.008644959483836478,0.0009627293981739893,0.0017041986432787537,0.000132508598171599,0.00018933720818159472,8.400695167987138e-05,8.065257530376346e-05,2.373660035881464e-05,1.9322596647164403e-06,0.0003968139490136968,0.00011899819249161503,8.826896070956991e-06,0.001380786477369944,0.0028348520361984875,3.596200030497876e-05,0.00032336600144788896,5.563330389124488e-05,5.824407876497961e-05,0.000493416965195892,3.787233555163638e-05,2.6753472015528246e-06,3.9065290491357985e-06,7.521771459018112e-07,1.3083002481373285e-07,1.6407859591005547e-05,7.117113195898028e-06,6.385989095192279e-06,1.645620560708494e-06
C4,0.0,0.0,0.0,0.0,2.0915299817149444,2.4896218861629023,0.10402608112149236,0.08945340674446745,0.1541039438407743,0.01677601812325058,0.0035409885347086334,0.022929810451944393,0.004564851597007036,0.004809862171994861,0.0002805187484742344,0.0012019747824053573,2.555493716985746,0.251913541830589,0.21571893157564104,0.011650523631487775,0.036513920018228174,0.002536550705352414,0.002931199320871991,0.00020227430037667027,0.0008334536428955541,0.0015048092221507103,0.00014484653244539736,0.0014954648610532306,0.0006787824423745425,0.0010642197660803987,3.799723732655913e-05,0.0001265782594149223,1.674544057461702e-05,0.00019967847623209023,0.0011409864955392035,0.0012540961805328488,0.00012978860145473892,5.290026439079554e-05,7.6816644970501e-06,2.1041661959486646e-06,0.003978838020234854,0.00042673954905909917,0.0011554012708555883,0.00022860254275691716
H5,0.0,0.0,0.0,0.0,0.0,0.08231460657287948,0.00478763741864463,0.03304476397709677,0.00636912043429172,0.0006281529249383411,0.0006555989441003884,0.0006680023718899086,0.0008416119512094644,0.00013670761597373016,5.0287554952621605e-05,4.004530366530368e-05,0.10467971356414685,0.02440545590048626,0.011304113936659421,0.0027753360056526066,0.001057587412113925,0.00010644636136647456,0.0005338331113967643,1.699556013567971e-05,7.485904986603842e-05,3.1772063582291565e-05,1.0848274071717512e-05,3.906740216397253e-05,0.00013868750805834384,0.000599250035358434,6.931190712489155e-07,2.5035549098162413e-05,3.668322141825442e-06,8.80314426063844e-05,0.0004640511283615645,0.0004146085700869051,3.354407234357204e-05,2.2742243739992674e-05,4.994112171807785e-06,7.950468414730238e-07,0.00011313543544066995,1.5238536565820304e-05,2.8016017601495413e-05,3.504141323773524e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8746631924604094,2.0946582864847803,2.70317654708757,0.0773654492470286,0.08097130217736992,0.17281436421130458,0.047980554894641966,0.030028012156363887,0.00240564865229298,0.0044302337353635535,0.16632412050974332,0.03437199975190394,0.02506526955859674,0.0018279321728361664,0.005261051893837937,0.00015083177510366585,0.0005123257943707993,2.23507149663682e-05,0.00014130775561349562,0.00014126496203165084,1.9028402165055525e-05,4.922034937249187e-05,0.00011130682655599577,7.978315742085407e-05,1.212598820266031e-05,0.00044807686296684246,9.373812139279458e-06,0.001239445375432996,0.0051498803027624634,0.002550864626620797,0.00097774441747156,0.0004013325246430971,4.807709523835246e-05,2.6615382823225175e-06,0.000767156324629592,9.617769631166395e-05,0.00024702601667847546,6.391329265109658e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02622737247172946,0.08776928269678297,0.020919428773523263,0.012589694583224231,0.004551230959858543,0.000503121248604077,0.0010202680902315908,1.673698595583417e-05,4.404449570172275e-05,0.0283815079710108,0.003942976720021529,0.00398852015177642,0.00013436402379096712,0.0011326134912561514,3.187162376971919e-05,4.656186906459858e-05,2.4133238651913302e-06,1.782517690540608e-05,7.41212964039395e-06,9.111316505716616e-07,4.043855482027681e-06,7.89203646822667e-06,8.323786628183782e-06,2.3734259277929937e-06,1.451226868687261e-05,2.720829694879967e-08,7.818060180819764e-05,0.0002733737070281794,7.171514865467188e-05,7.908088166264093e-05,1.575414913779216e-05,3.824846494859813e-06,2.4297280654117515e-07,0.0001782091043118772,6.816156438049781e-06,5.792206453325566e-05,1.8046353335021692e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08061106880924451,0.0033674881927256983,0.02029746943291344,0.028762673250803727,0.04242330927369187,0.0047003074992010285,0.000567599240345773,9.277199277502035e-05,0.008918426913922861,0.004687993311646932,0.0007611947911889683,0.0005083261546638962,0.00012818322760144163,7.949405138818477e-06,2.1724510962606303e-05,2.65792467502024e-06,2.0628363130992255e-06,6.115172160314764e-05,1.1340633627732188e-06,1.601646325632977e-05,8.506098929261796e-05,0.00017574553679744476,9.250143806482924e-06,0.000599103633420639,4.666869142244678e-06,0.0011351035375475327,0.012482788628308095,0.0028772781652157686,0.0022837713065095855,0.0006013309375354492,4.424548663028993e-05,6.81150949821685e-06,4.787717625531762e-05,1.1197503368975958e-05,9.458248627303156e-06,2.0636231690129847e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0842992875077764,1.8164866919079823,2.6316489501944322,0.27944883346203414,0.23645473652743432,0.015955526986729307,0.042990446056587306,0.01645156781137394,0.029615462016675004,0.0030297702730746057,0.00021762471967157193,0.00033585232119792696,2.788167986822465e-05,4.245020194820759e-05,3.1687669377333805e-06,8.035225778080246e-06,0.00010204718474175756,2.2089252150525596e-05,2.778740949560543e-05,0.0001046602937223029,0.00010028891501279169,8.107531698109405e-06,6.804888166339618e-05,7.98093030163205e-06,0.0002828827534830103,0.0011956221092130487,0.0004529856606773075,0.0009197715261710648,5.86582026473742e-05,5.780605732197408e-06,1.3901987726883114e-05,5.25122730789529e-05,2.9321347003993803e-05,1.3770079606525987e-05,2.723006007898654e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02655694028386102,0.11330556196051678,0.02866600226894489,0.01859965867737967,0.00031788685494249513,0.0001073855047100114,0.010725370930646072,0.02593921411066924,0.0024678327905027775,6.640016510939262e-05,0.00025351581149246627,5.365441383231584e-05,6.238714103889986e-05,3.1105641138395868e-06,1.4337803086794665e-05,3.480531929289654e-05,8.112365206480732e-06,1.0223733089009812e-05,5.763556069249276e-05,3.989517219071814e-05,8.393275757523355e-06,1.000335362633109e-05,2.0612371764983095e-06,2.8601045557241633e-05,0.00012968768217103133,3.109268082535088e-05,6.721137661935828e-05,5.617249083544884e-06,1.7041620892221943e-07,1.3888758543245672e-07,1.4291596384774508e-05,1.611138340651408e-05,4.020085740963353e-06,4.547734238080636e-07
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10437240514750323,0.026172114386442402,0.013136784847385563,0.0073844639407887325,0.0010908069677022514,0.000707795687363344,0.003239911677131224,0.00026581172404172015,1.4037317441761843e-05,2.6573570923504874e-05,2.2971115880565662e-06,1.5576916592152656e-06,3.2308453890017574e-07,1.8947128799240431e-07,2.2093775345011224e-05,5.885290897067463e-06,8.39435901456298e-06,1.1504005173135212e-05,3.3123842029247896e-06,1.6016109898320252e-06,1.0553032378957106e-05,6.889832637746451e-08,5.528190613279804e-05,0.00032182531044555596,0.00012162323110587181,9.754630811786846e-05,1.0577750054863166e-05,1.4051236714163196e-06,3.0696447563816065e-06,5.969079862611082e-06,5.6840661059043285e-06,8.917847101885812e-07,1.4717986562828855e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.741427505281082,3.7719655210872016,0.1390133090240464,0.1460703505912816,0.0010904669472048545,0.0022731155089737443,0.00022426404918665654,2.9883264601071602e-05,3.069301963909421e-05,3.34116496536474e-06,5.748868135813101e-06,5.579754587259345e-07,1.426656510705726e-06,1.1775117230106158e-05,1.0336643387898192e-06,1.943051275876684e-06,5.5876217581157794e-05,1.5177293022139438e-05,2.6024901222942987e-06,0.0006349036692784304,0.00010875544648303315,0.002362483571388352,0.014020794910252515,0.000943023762610129,0.021292125018553265,0.00020625741061772174,7.193596426868787e-06,6.261298506959889e-05,3.71275771857138e-06,4.69792780868894e-06,9.951014933451408e-07,2.586888183664371e-07
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5574453401676225,0.032689707886436215,0.026591508742014103,0.0005944971040846014,0.0011699139731874142,0.00013332340310323598,1.9158420747955596e-05,1.3563648423670083e-05,2.6777408023148652e-06,6.662147057703849e-06,1.190980164933464e-06,7.298979646241932e-07,3.114581723184795e-05,1.8259284800814513e-06,9.691533270572705e-06,0.00018324689586472764,2.218911193030415e-05,9.47967745867917e-06,0.002614577486271641,0.0003589306733507991,0.01091510927790773,0.08101293270745713,0.003926898612873986,0.20660282186532974,0.0006560336772841041,2.3040485687353396e-05,0.0003012999995113397,2.6200091305106366e-06,2.1875594640868856e-06,4.5502655877938114e-07,7.735406926112631e-08
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9154829993584972,1.7423091637316657,0.00038074812798946644,0.00041409373187942244,4.528942255146995e-05,7.444592123762028e-06,6.994240213414882e-06,4.080720170662744e-07,1.1001455749448663e-06,2.2029410728929832e-07,2.5339059950280074e-07,6.4857365747322815e-06,8.748202495745261e-07,1.217914312734436e-06,2.5534115557446224e-05,7.988918406365286e-06,1.0431995632886881e-06,0.00023400766483736013,4.186138230255487e-05,0.0008674483901092989,0.004891247708168789,0.00038617290144538075,0.005544231095737651,6.227111195182544e-05,1.044995457943898e-06,1.6007626781666673e-05,1.5463962583506241e-06,6.812742750217371e-07,2.8600038351478396e-07,6.568220756175691e-08
