,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30H,31H,32N,33H,34C,35N,36H,37H,38N,39H,40H,41C,42O,43O,44H
1N,0.0,1.0165050616697036,1.0188408799728512,1.4675782964795065,2.0710552015673276,2.4233900148426044,2.5283404102107805,2.6700662148427203,3.8506019585643263,4.119463612503212,4.3308046499174075,4.938521176584896,5.0130219481259495,6.1685287824738015,6.430948937803955,6.973448059561634,2.517087009411414,3.4996769091818174,2.976743204764873,2.8663153893573967,4.387840955118475,4.944675118360872,4.986774066488724,4.752875501183246,6.03077682446073,5.227668428971353,6.276820579433891,5.33540243581753,4.581518804000449,3.5150608796498073,4.910536706889785,5.433767448995066,6.377737953666241,5.429514880967633,4.647003525261833,4.05263209446312,4.903565476206307,6.586426484887732,7.1221490036745525,6.886596005599341,5.165026396165515,4.926974959096937,6.461861611470977,7.008843490253811
2H,0.0,0.0,1.6420958395328789,2.0826079162924436,2.392737246297558,3.3419947645522505,3.4774837452928127,3.623344674436465,4.667423446762121,4.773307068608522,5.116931787147117,5.831905953416714,5.930175812700221,7.04066825094889,7.25646624578969,7.871162104590657,2.7530225194475335,3.885657169755409,2.71893663826602,2.330176070797461,4.072678371699734,4.8012598300298235,4.672843651947123,4.294041033588942,5.657198217307957,5.188053215364746,6.204113978695433,5.438530776020762,4.669353531688532,3.691677560568195,4.844406682883629,5.730790652509829,6.616917720841294,5.946023578107964,5.288538185218213,4.62247061294264,5.6809606747660295,7.1643051665287745,7.640264111878412,7.570087867365188,4.60937293979212,4.223965655343363,5.9284403429707355,6.384680053712771
3H,0.0,0.0,0.0,2.0632680726398993,2.937233369864245,2.645770529029094,2.8418196855798867,2.4547905685511227,4.130894723188147,4.460000307445528,4.771768380970365,4.949707122298378,4.77026652095362,6.261148308608993,6.672716260315098,6.962898399742964,2.762620442076786,3.4998566313585324,3.289383711497888,3.3921305946438896,4.556288856377457,5.128994084420164,4.848520696538276,4.559372760516302,5.9312760854256705,4.856356632553297,5.84980025855819,5.047420722647117,3.9563995917628096,2.8880608161942205,4.226830913645939,4.6841928042331205,5.602152262059267,4.6927662876556715,4.057465595161042,3.6269395155481505,4.36914730679669,5.794715106946468,6.254313070393293,6.139010182529294,5.511999558028835,5.429765801444674,6.745913204077611,7.369091395714977
4C,0.0,0.0,0.0,0.0,1.0996947005820077,1.5390797601450443,2.1164990923387887,2.1569189495459478,2.6258785665812234,2.703444602500395,3.1747380158601666,3.8741781636831694,4.181512124805917,5.021488649070878,5.213357601412299,5.889720107409213,1.5488824749818417,2.459044329167596,2.4689152241825063,2.6267174452525004,3.855519251696363,4.115185077091729,4.741097746743855,4.83485979720775,5.737337131581263,4.90738297838684,6.002525636621204,4.726010138151381,4.568857238854523,3.5523569494515352,5.181625590374575,5.345170595647213,6.339123780636918,5.169995931976625,4.1543537791583915,3.3864311557583697,4.327930720917879,6.362489689729188,7.064482118425147,6.565729140567673,4.7578073086221835,4.689927718324872,5.988783729073784,6.602281503078962
5H,0.0,0.0,0.0,0.0,0.0,2.1722146607506003,2.47162738536572,3.0675914923301297,2.876135783501762,2.8359762114513902,3.0860924107896976,4.337619558894597,4.892929897515368,5.297416526589623,5.2793044029154546,6.247476049160756,2.1503691714692237,3.1364193446329223,2.7451411933666496,2.604235134418262,4.113329699292261,4.333950028763117,5.253207420009755,5.366376045461838,6.158316987166788,5.646206387993455,6.740383032767634,5.427712514213758,5.498725647552682,4.5259023978043045,6.087504151245517,6.3607020577341356,7.344522825285908,6.210038968030719,5.157928514509224,4.335383380067835,5.2844181770875975,7.410314673554395,8.137477237230534,7.585467007771315,4.717232290152378,4.454329421181542,5.962739038024762,6.456461872921443
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0939731255279217,1.0955183776403996,1.5384140179402759,2.1901333420720683,2.1790319510015665,2.563945913921202,2.8905629679609595,3.756717934879534,4.055355750126887,4.576363125314229,2.567189475849581,2.8412460037216434,3.7987983470558486,4.128362144636007,5.038460172855454,5.080730615854541,5.792711409999097,5.987906581965207,6.802206258298465,5.591562483069028,6.644261181244737,5.2344462535839416,5.078811715312887,4.078741761511522,5.813731209886548,5.4561305524401575,6.465111774100235,4.903810880077059,3.7144107181153325,3.1990754483147597,3.522327952278589,5.889678119771436,6.667828237627266,5.864596120942205,6.113122926440769,6.162221527726132,7.262344381239393,7.944286880359853
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7514021258813492,2.168752672476805,3.0194274524059104,2.3353862499004934,3.1167131557612255,3.476642982894646,4.166657403747743,4.363584918474893,4.969778664703336,3.4727577646919348,3.908772119211382,4.570993428422232,4.708329543831826,5.912676971810002,6.045022005490719,6.682725976387774,6.7604691561298145,7.712533844887301,6.553987048002026,7.610011136845657,6.273568116926856,5.924756669954834,4.877242590011124,6.554573346475706,6.294728640039979,7.293834629599502,5.727717855454652,4.591387591909362,4.1942321293057345,4.303841556704514,6.626678489760188,7.347303567860872,6.547907963378362,6.866448754960167,6.755976529060935,8.080789077119016,8.697109558648144
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1550478205949006,2.78394099886627,2.9919232374065188,2.5492432190333374,2.371143108944294,3.8828266194953334,4.4237431053713205,4.523751070014631,2.8135322283300033,2.813555873135553,4.061333223323001,4.539100107761502,5.184881363624688,5.253319343306383,5.654908103264135,5.821804388979874,6.69521052581076,5.203183909719546,6.194546510570225,4.8936563037492045,4.469990928769,3.505781165455304,5.20325449612364,4.635844902998879,5.626943849612064,3.9839875560751836,2.849549691970071,2.561363173620456,2.628410601599348,4.894989270722936,5.641243831948246,4.869063784979602,6.423240352744292,6.599927957942308,7.523450422735136,8.27832636293552
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0961521600748934,1.0968150176025246,1.5342965078173079,2.4480612906749255,2.437260977603465,2.6038384686087293,3.3731033065434453,3.171345512311353,3.0332652376720506,4.451026936546985,4.891922809836808,5.465833868803669,5.197073958614445,6.363988348419622,6.789581068376839,7.262540743694961,6.078242864779743,7.08404749293345,5.461108773207944,5.837956476861893,4.982636109439824,6.731893055850237,6.068188942673263,7.04777768808766,5.342294833266373,4.031580532966479,3.509340863518183,3.643622291148154,6.2237645347795025,7.127613866844737,6.03810128813576,6.539714296836616,6.708223737992206,7.546064185644343,8.246282916258176
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7582996312126566,2.119986515456309,2.9909806893043496,2.8066952669645815,2.8706747324432613,3.7299544813656498,2.760075543162929,2.489240026539679,3.940949962766454,4.460867524594592,4.767679261254207,4.349754847315685,5.773672225066117,6.328385777696246,6.578736915177731,5.571086884691896,6.557760096934125,4.860873724475125,5.6049879954197,4.853239293982886,6.551439349769745,5.9460048472024,6.900314767900145,5.345277305725954,4.069359902238363,3.3606447805253294,3.868627637138359,6.323890060125497,7.255083904225488,6.227967917125807,5.806076707921658,6.0724658450713935,6.713720364918766,7.4193662156487
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1547963909039685,3.2427987272298173,2.5672670839677982,2.3451966550677157,3.5531664961275964,3.963031326915187,4.003511968043402,5.138362010684921,5.4180756130033,6.215034761829249,5.9506340634209645,7.247141593296209,7.64510263368437,8.125881630195172,7.085565060736741,8.108345760287227,6.474096547074024,6.873726653041616,5.980798289105092,7.733938475709173,7.151250590970779,8.135916846616379,6.422564863853349,5.111875986974353,4.60330948420028,4.66491690172674,7.268075095024516,8.167452747302727,7.028117484033618,7.1291860098394055,7.162238089074605,8.159814221672306,8.780928109208396
