,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26C,27H,28H,29H,30C,31H,32H,33H,34C,35O,36O,37H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.190723318313629,2.6297574749458135,3.195407466704894,2.871348521988665,3.7010178857788913,2.688072278874061,2.368421667047422,3.512689373840352,4.484120200667717,4.015398465391723,4.477479333295291,3.390922366692956,5.304916795852149,5.2506687485540375,6.414381142971145,6.729701105518784,7.339503095521331,6.3133978083432005,6.056847295941784,5.635477172294226,7.012635799689152,6.415619324393663,3.4711020330681843,2.8510162528820318,4.800554695025769,5.0226977995474265
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.287254892613433,1.2417301911320882,3.7343743231104454,4.906501143235926,3.351772073067528,2.4234014421212304,4.495969135397877,5.371702883503768,4.585049021226457,4.547522006631786,3.928453122666803,6.035629675414157,6.332872896563932,7.117497784284336,7.120406854188737,8.097807915539228,7.224861025183428,6.44895018601737,5.991457643036069,7.515739575028602,6.462791853974583,5.087127504915011,4.776527677544873,6.431969542233725,6.861134703280286
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2589317525548864,3.368526418789558,4.589419877619574,2.6411363605239933,1.5756106810777508,3.7023514541597944,4.498638426260745,3.618994468616796,3.3877237790493324,3.118546471288358,5.099529873360017,5.567882110131205,6.079556749860057,5.970737889575307,7.0774474523669335,6.25228181603171,5.499472280249709,5.183253152055969,6.591438223304185,5.392625042463567,4.611279998714338,4.588273793838511,5.893442156410242,6.469814252892216
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.910612962469147,6.074449742283979,4.583329189389974,3.626334004971689,5.717150971026779,6.593335598007932,5.682334939339834,5.575759822010852,4.948437686821647,7.086701314196187,7.397528083779952,8.218763753901458,8.17886682009352,9.172953541482576,8.395461218000177,7.326889386256368,6.769711124061969,8.384341210031018,7.279469685899494,6.286975779957781,5.892703667745627,7.641395157682107,8.034736150068484
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2417600692522863,1.3492823155222724,2.0717023045198086,2.4178089188170984,2.731795471110238,3.704672641382935,3.90352514162309,3.890969498795579,5.0235543410856724,5.207505265396909,5.470888589019656,5.588534908571779,6.520642184923919,5.02543034771876,6.217485813925868,6.302265911967251,7.1478448649357516,6.397513649617481,2.9577828320138093,3.3000499691413894,3.8867878825881004,4.46178816328462
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2827994434878303,3.2100453793748884,2.7624090493800804,2.759377883718246,4.269499056738418,4.612462421626174,4.611752453306222,5.34373061170341,5.377339942940288,5.5770730023494215,5.810570612723181,6.558195967477058,4.911883214234272,6.7076953795752905,6.8960996724568675,7.526763128150386,6.991339428616654,2.885553118963357,3.339363078944281,3.435173067612807,3.9283731559470834
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0753553023032567,1.4443397733415373,2.089243687631905,2.4247416191631164,2.6041716049276404,2.6107733596801643,3.84807805529901,4.162721781790584,4.458479664545306,4.551086218172179,5.521314338945475,4.22954691222962,4.931647788405319,5.006228880870063,5.9043512781254295,5.078541008862662,2.4625274373939927,2.9363252269188624,3.5571157941271667,4.252284766359639
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207789750210749,2.978032330838883,2.567696139369468,2.5428457495767893,2.410097615093315,4.103319782917041,4.5134484122516,4.922838408078901,4.919237984437174,5.970303830695067,4.907639258244014,4.894187950726999,4.80213027927455,5.946309554028144,4.932937538456966,3.2142126809060017,3.4414846819330673,4.4288783781257,5.074856370752197
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967159981520893,1.5460158774237958,2.1417925631151205,2.14582469865224,2.630124848005647,2.86150067357277,3.165332279041049,3.4796800938500927,4.1862395522457785,2.8873323956015597,3.9465696710812583,4.197943385108183,4.795187890420671,4.268315707794218,1.5319817019393638,2.455152855971638,2.3999550194009305,3.218910992736054
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1876506714492012,2.5055211285174894,3.065903993995595,2.898333845223573,3.2248333395376956,2.857100082102193,3.0635482411097215,3.8861838678275253,2.3122833423116216,4.315750560377384,4.802255204844479,5.050370758826902,4.540572112693603,2.121962807303898,3.254161621633776,2.3955273480626276,3.345495401589797
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986083859333051,1.096920540043478,1.540738285499347,2.158190863796781,2.5629592005355373,2.804015878588628,3.5148673824894026,2.8610423288388094,2.5154598145757103,2.748109864307387,3.4836283958731715,2.787591306434663,2.5211732395426374,3.1870593249867274,3.2981501759982446,4.047268002063247
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7532335331951412,2.1686400582787395,3.06659876011745,2.8125178305047442,2.607049424091529,3.7979400485776864,3.2296815290767333,2.7665273357569715,3.104527065726193,3.7828041415506504,2.5862403799359757,3.45169346907163,4.157871225646097,4.192155191340064,5.020153694724987
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172603428626056,2.512956913309701,3.504166289381321,3.793869138243976,4.335692467650155,3.8639053688923997,2.695655781673734,2.467786887915683,3.711996949412836,3.054616731051404,2.7681222363015654,3.00530928373765,3.8014100204141275,4.373328632204295
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1002233086479196,1.5373612527307965,2.183697204248939,2.184371247489735,2.1914136615376187,1.537325706081898,2.1885330932312237,2.189024792736515,2.184910455628375,3.0872217549103724,3.8082939754057863,3.3218594317957306,3.983584501926154
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1447613056720973,3.068604485038988,2.5127952147365504,2.4751434228156484,2.1430040173418714,2.4964660494498507,2.4914091535816434,3.0685060726185975,2.726569800737004,3.286822477269244,2.7990939435894355,3.2460300547289584
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0988276858007127,1.0981908021980358,1.094562885129034,2.528846393524868,3.4915544670196614,2.769490795378498,2.8040178882742994,3.7422011253075307,4.738068961359032,3.509945138414364,4.286572032338823
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773229402034902,1.7761198470610708,2.8305638066789047,3.83647448026505,3.1835594753823746,2.6619751304588206,4.408736877421424,5.438360619846376,4.327521366639835,5.1879147148580795
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770160640467489,2.733976364544272,3.7488142255364734,2.518198336639721,3.090877650211399,4.544371850055976,5.468448365368937,4.116306800829028,4.751720969088586
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4900705230369176,4.344795184532249,3.755405278802891,3.8323477596331137,3.3037222377409465,4.420959353235554,2.79764643878381,3.6227262165309617
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965466894674494,1.0980507273489057,1.0984052086884992,4.45070525839851,4.949367298681011,4.792038767590527,5.3527444743661645
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7762417342575232,1.7700934338844434,4.56129457164519,4.796299528756998,5.1161752500331135,5.563171572933724
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7736171848503328,5.118533988563718,5.622238363166657,5.2234668919802445,5.696086254651592
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081041424704489,5.66295574030011,5.487382501656333,6.158251630513546
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2105127292780298,1.365064285420843,1.8700523399200908
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247808309727884,2.2481019396283237
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9760866968418708
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
