,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26C,27H,28H,29H,30C,31H,32H,33H,34C,35O,36O,37H
1N,0.0,1.0220296353533926,1.0236515628268839,1.4735675139126394,2.10038934148847,2.46124418198286,2.6171804954333964,2.6653051086431603,3.887388227714473,4.609459228923399,4.2593511118798935,4.499553736001839,4.547780480875166,5.308635859210188,2.488014593208328,2.789012887787346,3.665598071884157,3.9380174546450233,4.880895225399222,5.016948370951951,6.081743743660558,6.066188296562137,6.186598809094196,7.462614896564049,7.694640584751384,7.811341906814313,7.777399164003147,8.878248616104838,7.3151001026064355,8.587063688069337,8.632454843748219,9.558943523058653,8.638752255581059,5.356896267198707,5.505959818932987,6.166421384096504,6.630476229212237
2H,0.0,0.0,1.6048808666073804,2.030966718300817,2.3031673552241383,3.3330108459915513,3.490019209320425,3.6357070436243974,4.635280475956036,5.455659283329671,4.948549429352912,5.024255298889999,4.8392911946923745,5.858505043741891,2.730265261072106,2.954721596183192,3.803837202848692,4.145786264307256,4.936820921318167,4.8758303367555795,6.121714632158567,5.975063218605566,6.380308438463847,7.460593498864754,7.79641102766779,7.629895997371638,7.483684302535678,8.69864835312436,7.113492454464813,8.598464371438796,8.758625032004462,9.554828130813965,8.558966991524926,5.608878145598295,5.959740646864297,6.302153559611821,6.87236180959199
3H,0.0,0.0,0.0,2.005304142285071,2.8949611348202526,2.792366574812457,3.1489655343861473,2.597042591869548,4.208758006792155,4.878404662069165,4.386985902952673,5.077592856698625,5.141940555389113,5.966328740218765,2.4915828016331796,2.3358704664725094,3.820451429336363,4.307312677778963,4.837753508449889,4.9133864764148845,6.192858226757805,6.328162364285434,6.345781417003627,7.467237116457202,7.576288090911442,7.7644403543828995,7.8449840405080575,8.791294208932783,7.155645833422537,8.704964929946927,8.779813767958261,9.617993586610174,8.864801302159757,5.0621104196289055,5.195175718247739,5.728329690394072,6.099477475202277
4C,0.0,0.0,0.0,0.0,1.094506170051766,1.547053906559711,2.1310995299969355,2.156889678761558,2.634075665180413,3.5378755239210418,2.9435601627631525,3.164982392363726,3.148305152047509,4.130072087169595,1.5437043007207718,2.436297253738214,2.4406494743144864,2.533717046922611,3.797083017191024,4.179406057697249,4.836562294098795,4.8520244200790295,4.813771831464772,6.286720502649925,6.536027912527044,6.831990964864823,6.832504732491966,7.90572879231997,6.478740188381453,7.309546975430802,7.268958058305188,8.314174689104725,7.378990543240635,4.365002399520767,4.448531289705174,5.38907235928493,5.889970174023915
5H,0.0,0.0,0.0,0.0,0.0,2.1487980082971343,2.4376624510348863,3.0467290184750304,2.8631551359002354,3.81300633815401,3.316391267839563,2.810006596315029,2.58074168106327,3.68819775507264,2.1543381013832565,3.2263205188799193,2.5604963998340264,2.3192429215836845,3.986225223561839,4.359249929581317,4.7574704259648986,4.54023821341828,4.728965205060936,6.267035756681534,6.681874101787307,6.809160856821604,6.654400552322932,7.901550156730832,6.590209661595507,7.134893856254738,7.098942987802047,8.18363550720985,7.049834722819058,4.859244009284217,5.034661541785953,5.928679878664733,6.533255754305439
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.097305001417716,1.101565444628721,1.5446997439727586,2.149756124745298,2.1710192726866993,2.6019910878141714,3.1921637398724387,3.380365017143701,2.5589753923668965,3.357481612255045,3.2073297763760618,3.0302291256776357,4.486092412333012,5.134925457901676,5.367337526177327,5.552011109554172,5.037521888031681,6.804968070881233,6.899300802485827,7.616850961165323,7.750077771231165,8.646539442634152,7.33961567208458,7.707464629467408,7.453032629722983,8.713597988725688,7.890717215914505,4.706244267784156,4.376792574439107,5.8740068896758375,6.17996321598535
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7633365499314937,2.1730472378150867,2.444213298694738,3.072012953421455,2.880590218099024,3.647173666169438,3.294541593952945,3.4738461199122517,4.259639918244308,4.138401308061785,3.832970663328176,5.488750576574519,6.09671404176371,6.30003546534966,6.370693354034128,5.942123815421984,7.777878878745902,7.929469433605735,8.582419012141951,8.638255834832492,9.62940890472466,8.3313687089968,8.606047612985876,8.321367517265465,9.640087809385205,8.711362497041968,5.795548590323625,5.462393047049825,6.957991664719062,7.2701376524560875
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1742569027920045,2.4819230689961436,2.4712121726427068,3.5406284384028646,4.145084473485843,4.297078112216978,2.815319604262118,3.229440360269785,3.6719485922996236,3.7431937770891572,4.756737238620859,5.366804391359163,5.805014375282996,6.152051881910195,5.505322524002677,7.133628945267667,7.073972650928031,7.91750823675525,8.172189095124885,8.90704120332316,7.529032080470308,8.148613253981491,7.902487376291813,9.093899252765107,8.453258282472035,4.647874554157806,4.193623242719408,5.700098348228519,5.858001625490333
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964362480998482,1.0971585988842572,1.5594397124828314,2.413950111853446,2.4039588963322696,3.1354588478723113,4.0932772536182,3.1535697406855245,2.636567924757837,4.262390294433769,5.154943248485234,4.756524273764596,5.016281680259472,4.149544351636357,6.153130244853397,6.216453276572712,7.215413845795651,7.406389318246873,8.187632198370896,7.128425854509339,6.8334576786311825,6.402477993744282,7.840817719874744,7.061586945117988,4.437732715514454,3.911654763045491,5.756466944378483,6.026865788549637
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716075401465552,2.1658384481359785,3.28145459907018,2.5022808718475984,4.133051857589055,4.976264176631798,4.213605086867331,3.7001050863468055,5.232558219901807,6.161395418377503,5.664259387140201,5.9861111499451445,4.9454281994902445,6.984807723396392,6.951894464781242,8.134832786406198,8.383741241390775,9.064716762029821,8.065767480226787,7.580588389679536,7.034814781454922,8.555446908668765,7.864613904601731,5.213329191815336,4.489418153341373,6.514339422926382,6.6566558768965685
