 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,H25,C26,H27,H28,H29,C30,H31,H32,H33,C34,O35,O36,H37
N1,0.0,1.9438644232694466,1.8329586627917664,2.7495722144548194,0.08563226733067408,0.20067745452346866,0.015461816066321799,0.00902588253211678,0.03512173029527463,0.002797638752986442,0.0005438671094581959,0.002868065176427681,0.003406598119879048,0.0013626342811626502,0.21646906147093997,0.058119102781128265,0.03419908942658326,0.0022564291806181913,0.00728536185767617,0.00023097920009840234,0.0011492526005422998,3.3434221730965774e-05,4.2884113867658336e-05,0.00037212082522385115,7.396232585277218e-06,4.237873075263465e-05,6.298984986941036e-07,1.7980684881013786e-06,1.5628488974517296e-05,9.309873153380555e-05,2.5610352212268594e-06,2.0655695697868737e-05,1.4165788495557052e-06,0.0010317678890902349,0.00016354244642548255,0.0001152133703864397,1.1654120753767927e-05
H2,0.0,0.0,0.026205487883740775,0.10511308926525809,0.008585092897996915,0.031708144564768226,0.0006705062179082066,0.001006844448081523,0.004491988883864817,0.0008373128585568157,5.76257660052093e-05,0.00017637355322219772,0.00019559373462274543,0.0001258191580136847,0.007509973930207137,0.0047220970800385675,0.0005192661997631687,3.5391918163041325e-05,0.0001738253178326099,3.975447390169862e-06,1.2547575053645232e-05,1.331432340379024e-06,9.883458684800672e-07,4.013259642388078e-06,4.710979795152781e-07,2.985862892490587e-07,1.9321886535195176e-08,9.29921495362862e-08,5.192398555564637e-08,1.2317560047492293e-06,3.061966658002291e-08,2.694690532933919e-07,3.648430424441074e-08,4.363927280559565e-05,3.2040859467730165e-05,5.8899930199807216e-06,1.0264522343206295e-06
H3,0.0,0.0,0.0,0.10456349908632578,0.03385176372382337,0.0078065299972934765,0.00019142930985149853,0.004695778135282991,0.0006418749418846126,7.725086814702742e-05,3.2849862832362575e-05,0.0006919672719235548,0.0005286929674852558,0.0001648446191446773,0.02557379136666782,0.07065897497186557,0.004179529136674076,0.0003936613196395822,0.0005510842782692205,2.535569858586051e-05,0.00010655582572582922,6.947466303586225e-06,1.1119726506914063e-05,1.6729834406703503e-05,8.137116394024702e-07,1.8121527132208826e-06,7.224899634117321e-08,5.908016853517495e-08,5.773558899857534e-07,4.500460550338481e-06,3.1697510904926673e-07,1.0056831252214238e-06,3.420290690669958e-07,0.00017952632271245328,6.785787430940715e-05,3.7249947979711706e-05,2.7907724198250605e-07
C4,0.0,0.0,0.0,0.0,1.8056773652659457,2.652490558767654,0.09407014550859394,0.0836691126858311,0.1453974595930271,0.02869694598105621,0.005113262496867277,0.018879799564376937,0.02993892914431283,0.0052180520268610975,2.7279211531052003,0.2703101383736122,0.23541598238017641,0.014692442651135007,0.037621745225907166,0.0019315643086086354,0.004168292938442855,0.00013864013032960365,0.00013897854137612242,0.0013873081984224211,5.351995388980235e-05,0.00011441774591450238,2.123310419044344e-06,7.072497008264733e-06,4.8386921526200055e-05,0.00023128742793927792,5.484330498850554e-06,5.9378387426312074e-05,2.5218272119431617e-06,0.007509440861867306,0.001730950881194085,0.0011238099808441177,6.65733796418877e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08361314666173403,0.0060702001833949915,0.03512574914761113,0.005461824688377304,0.00035187056178598297,1.9619854852326313e-05,0.01143477910143953,0.031048984648265332,0.0017726195259728517,0.09883985510548832,0.02346772089410476,0.012219102134878312,0.004849181590487195,0.0015342514816976127,9.11120370121754e-05,7.776972366413393e-05,1.1270340082525365e-05,1.862850663458815e-05,1.3745065954529068e-05,2.2784538529219134e-06,4.333316887872307e-06,1.3120093100837948e-07,1.6645454272712357e-06,1.8660503628975533e-06,5.115785290943364e-06,2.686479185776136e-07,8.295252598156111e-07,1.9116686611475586e-07,0.0006207300695422191,4.5319887353234556e-05,8.363254102106144e-05,1.9587860701664184e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1504207891169704,1.8930965404561442,2.6963880807264693,0.10148644249415417,0.08538131736129118,0.16338726545574864,0.02911340231579486,0.037333183643870185,0.1737230807509288,0.0334502453598753,0.028565659028684964,0.0007200389435689791,0.0030818546803463853,0.0007374670551043572,0.00030093754021905117,4.015905406018483e-05,3.609664235049159e-05,6.61093877942498e-05,9.33946032355415e-06,1.8179015953412314e-05,4.898933487762491e-07,5.279186865658758e-06,8.883088484568091e-06,1.4379621473145643e-05,5.575765498200269e-07,2.232096043774945e-06,1.5413927467733401e-07,0.0014991622555356743,0.0007996473836142798,0.00021720420977561217,2.7504973890701834e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02185827998286527,0.0822082722543489,0.006300408759534637,0.03423197164374292,0.00659329721974089,0.000799220756434682,0.003964252026604775,0.030024438201763592,0.005103930020162073,0.003555180867624186,6.111835431665824e-05,0.000524833348213738,8.538842890848386e-05,7.443529294526297e-05,3.3990136432127116e-06,2.5909098938958763e-05,2.5648668145139553e-05,3.6267579188731247e-06,1.8145150342263605e-06,5.217531118262286e-08,6.811790127514428e-07,2.618528684994459e-07,3.981787183859886e-06,3.1110791209876254e-07,9.963061446960353e-07,1.1084114515114152e-08,0.0003246416144695452,0.00019239121204051024,4.554204999529521e-05,4.394356148518241e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08341562573513395,0.004114297705319903,0.005888523875804186,0.029545601583683023,0.003198417863647496,0.0049674798291410305,0.008181750230092044,0.0029770797841290886,0.0008635835299299899,3.856071811836337e-05,0.00014407798754301204,1.4138497693716445e-05,1.2955500945821541e-05,4.133010840234874e-07,1.705857996636695e-06,4.561787391610395e-06,1.23256956197082e-07,1.8115449451627796e-06,2.5711225148938865e-08,1.5307166645328607e-07,1.1169746774175593e-06,4.710579841749052e-07,8.058601919103126e-08,1.3065914949983437e-07,4.268279685248899e-08,3.877136392982372e-05,5.014349677656682e-05,9.819503773766947e-06,7.429673973824436e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9220526814679229,2.1347319350585003,2.615439372725252,0.26517506811388747,0.2963540040479432,0.014917713680880601,0.0034436234214338113,0.019015789227264185,0.00971881587888157,0.0016046973138761356,0.0006970113842323933,0.00021907685238668761,7.830908546724302e-05,0.0001329640359937212,1.8434633178882054e-05,4.112242258269561e-06,2.2775866326998906e-05,3.516578939155579e-07,4.424408673209257e-06,6.039929954404499e-06,3.1666709171401797e-06,6.406465504760206e-07,5.186950813307334e-07,5.889583312157498e-07,0.0016632159545749425,0.006592368149547764,0.0006930254060595747,0.00014042312015460912
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02494008449474472,0.0842453033370405,0.023401960645072828,0.020862755129722577,0.0018829600164937954,0.0008728640385813335,0.0011702454319488798,0.0007038320829226841,0.00012864289497960257,4.457573445559859e-05,2.4356482537069013e-05,7.185463792636071e-06,2.26596365602294e-05,3.9146738290973815e-06,2.1313588804972028e-07,1.2061993990286624e-06,5.9549658315560805e-08,1.6310453720969065e-07,2.2462624094110595e-07,4.844267154080484e-07,3.865654640833327e-08,1.5915818241118984e-07,5.504100375475218e-08,8.451858875724305e-05,0.00013453365373661264,1.1062593576749435e-05,9.572252181788699e-06
