,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27C,28H,29H,30C,31H,32H,33H,34C,35H,36H,37H,38C,39O,40O,41H
1N,0.0,1.018963124102133,1.0172758071283488,1.471085370660964,2.0647480133433325,2.578785935971094,3.450575563645559,3.1248004017221485,2.885460516205718,3.289189090375978,3.1406021578832655,3.442138401038343,2.8943714367674054,4.16470117002801,4.612479919495083,5.228353287833505,5.1498085715860915,4.9383017039083095,2.4828844188631396,3.625525695311007,2.6571600245209837,2.1661310078761056,4.092499300014756,4.627911167005832,4.935410153029966,5.943295674625465,4.92201065738841,4.105286906275997,5.085137621212712,5.159923909532206,4.431132300871039,6.079725500400362,5.5083849474385955,6.256385580193935,6.552898312623992,7.092131937089728,6.425435345849533,4.684754969761167,4.3808027544887,6.010426917857224,6.474548339424788
2H,0.0,0.0,1.6351478242156932,2.061601899127483,2.9199231868040427,2.7266878659317,3.696712327318878,2.7318565419891963,2.224274896339766,2.859574732259315,3.3632590212273,3.937442659494418,2.98069205136145,4.249126637345933,4.204998667232732,4.6462439086062375,4.894679329763288,4.571316750541336,2.8689255541753633,3.9420486605411598,2.9636809103263224,2.5472607329232915,4.345140928322416,4.9543138424116275,4.8779281884666705,5.948953041786121,4.701299940657183,3.7498538439086673,5.013076137623791,4.930883083100315,4.069051398840738,5.73551374727388,5.404868813843016,5.878287701286699,6.117918037759533,6.804931058694469,5.925530785323136,5.0989631292189905,4.884880060862459,6.411388892588226,6.93234908827473
3H,0.0,0.0,0.0,2.0596113015026263,2.2829705888437295,2.892728471663424,3.824294867453488,3.5984530928885827,3.2401402616619777,4.010672521252693,2.924309686636081,3.0905412142995505,2.4426276075974767,3.967853274566909,4.961314890540049,5.6443601927459435,5.554422957276875,5.0704089771816045,3.3511296612225934,4.430605398307791,3.6048644143383695,3.028415868350571,5.02421471520086,5.534745022926602,5.926627497999593,6.918869682062697,5.846677619018093,5.0047153322228874,5.926939929184981,6.175988098946222,5.428377778248369,7.089519595672212,6.505805802760488,7.168502402829551,7.384537230235352,8.022110348417542,7.358416502501308,5.47004144248348,5.011623700642468,6.8015794932934694,7.181541219145654
4C,0.0,0.0,0.0,0.0,1.100143233501269,1.5530904214460035,2.124244984144738,2.5682317151618035,2.877152012973963,2.702801276775907,2.5384923344521173,2.7544714172461076,2.8442413456875224,3.5026392463555047,3.9486085752891857,4.734102212371116,4.207157652795728,4.372489124373338,1.5451065856591977,2.4269382283242673,2.4482151046022724,2.5048737141737836,3.8150995654945894,4.002428119514262,4.820430364862347,5.76399054940926,5.2519831623868845,4.606455116368023,5.5435608023016005,4.81513326203886,4.144800017851284,5.823947154091647,4.873570346236069,6.617137153718656,7.127471453612716,7.3426222310004325,6.692632351232979,4.64887665682256,4.634841956190803,5.8490339970598555,6.435259184209546
5H,0.0,0.0,0.0,0.0,0.0,2.150902096420646,2.44003221445404,3.4917186354861185,3.8390385292304705,3.7183810527984953,2.677891018285603,2.431217713887064,3.0867107446298543,3.676247590763801,4.723829797355997,5.616489854238407,4.857589031178848,5.016147648704419,2.104664141645005,2.805788957263369,2.9590520473205113,2.9439447252931457,4.200526489982439,4.269617744965342,5.439159015293606,6.282098013247946,5.947852747299111,5.400091146379075,6.090107799128366,5.592422894476813,5.052849095391285,6.648664313757767,5.542053724604131,7.391707669014388,7.904676193773,8.043429225044298,7.5665490937923785,4.779455060385464,4.653402756377345,5.928000863674824,6.4177385817387265
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.096936940567016,1.5431068696235484,2.178942285845348,2.160583238616923,1.536195492662518,2.186524894641236,2.192976857381013,2.1902560731557963,2.5849998887033756,3.5283372038147762,2.8267867159398,2.902060448404616,2.5514142228578263,2.8724120960316024,3.705234392223225,3.925129024424438,4.970757898694159,4.991802570549373,5.7587311897044176,6.7193840194932735,6.264389730081119,5.556886272011522,6.742740873643782,5.352784883758622,4.534143852320392,6.265025937696734,5.291928515293876,7.472783410290407,8.019881655154922,8.239768685994411,7.33634307287108,6.020603331631652,6.133420447848842,7.146732798733935,7.816867156574188
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1435551080832695,3.0613901862107773,2.499797321097963,2.15424144093962,2.5052911977046715,3.0817883783128086,2.5086210093617693,2.7571025073748356,3.747523463085109,2.5504852533919946,3.1710969548864028,2.627988307279425,2.4676504133272683,3.9581705179556375,4.394233074149706,5.02471232684003,4.8044522970116414,5.867964016247473,6.726700593287591,6.619819582849546,6.054217619539329,7.129182388057153,5.358249513277375,4.669086538587061,6.286984075304762,5.073493772295721,7.824899347338195,8.488479493556913,8.489882602508853,7.662878441657704,6.133572269321711,6.399972644337721,7.123753351716392,7.841876152932336
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1012401552007602,1.0979722137747603,2.561679624969006,3.516932922353139,2.8417807354856066,2.826327325515929,1.5343435429914278,2.179604593463093,2.180708029134266,2.196026608697301,3.1264111153149643,3.388644900592047,4.041928349615934,4.313417907036986,5.209697595638283,5.335641031716388,5.582010501442174,6.596222988464286,5.948166590572021,5.157210171116597,6.61969729697829,4.887955127914006,3.900696899640128,5.613140482292787,4.9699102262394055,6.919127191957071,7.437469500446424,7.760866442106908,6.587692207922345,6.450129355688576,6.671266576534751,7.555987021597308,8.302865808080599
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7643623876499703,2.7907469367313564,3.8056348159562314,2.624338256946057,3.13921580212529,2.1580892414271124,2.5073374769770815,3.077808615104595,2.5170048136929006,3.6391201009879732,4.179393476481073,4.288281732931647,4.328325483084271,5.541621776315377,5.865341420883853,5.8246765969112495,6.8958653015896685,5.903323588219426,4.97656057445253,6.530916705800055,5.2599698158813215,4.206867353829357,5.917993918922079,5.549121469921469,6.818721438953759,7.18383308617379,7.755872968183332,6.50826798522752,6.674653874011653,6.748407329905358,7.865341978690821,8.551000782518784
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4924233519658485,4.326668707236979,3.8030702462263077,3.8439421512791885,2.1489864337950384,2.46038790933819,2.524415111063822,3.0788023425671196,2.6843977338710716,2.8431035696759874,3.455404098121615,3.8984347215745747,4.438599311557808,4.556145932447263,4.633951120375492,5.625186855030323,5.087380434059305,4.388687787509747,5.8492556963079965,3.822480659036144,2.8358827400441737,4.525299461862349,3.9230271240433345,5.996591185282168,6.599699532646752,6.791520583034304,5.624270055198177,5.7919785629804394,6.164640517884427,6.815593337031582,7.61897106239855
