 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,C27,H28,H29,C30,H31,H32,H33,C34,H35,H36,H37,C38,O39,O40,H41
N1,0.0,1.6632877704345859,1.9222764720597634,2.963773991717656,0.09336110715342072,0.18089150757861408,0.027195780193167374,0.027331893135298005,0.013475480039402798,0.0007389817687077915,0.023866804374905154,0.0006032030502580721,0.013178369380271171,0.0019443420453190141,0.004666029581732574,0.0004296293332559653,0.0008654102501844951,4.009525668557945e-05,0.18680878767316034,0.03758326176360845,0.0820804607389628,0.12534936630673554,0.010714157704334273,0.0022622838790913313,0.0006515441440538006,0.00011848172162387538,0.00027743407267132036,0.00012049071438746672,1.6900425524601914e-06,0.00017704895278562033,6.381167438174185e-05,1.69323669293453e-05,8.278569941999603e-05,2.8348612891047897e-05,1.4015556878410607e-06,5.323274990032267e-06,1.6283035085828956e-06,0.0012657687317477323,0.0007756505484964663,0.0002627708755402053,3.277122826816914e-05
H2,0.0,0.0,0.02927431631482258,0.09731221429080672,0.03299725500252282,0.009608643286294627,0.00071935270527268,0.0180986077687898,0.016803247756782547,0.00036064668034963,0.0006531348641301005,0.00010449830487857525,0.00026381394765429,4.085419949229063e-05,0.0031818679497249702,6.76719222705291e-05,0.0011063560514403825,3.1683959271333606e-05,0.005707112206805198,0.0011632680836577425,0.00425218468726829,0.002169547986563547,0.0003658618776680722,0.00015854406807469523,0.00010203188600255153,1.887242604814432e-05,8.285568462595982e-05,0.00016286210707705528,5.094755681334107e-06,2.9710116205339254e-05,5.285341867944382e-05,1.5126742334281573e-06,2.565532831955153e-06,2.249209564808563e-05,1.210761590986209e-07,5.687024317913014e-06,1.0750324022090751e-06,8.828236131153133e-05,1.2319658029169567e-05,2.7521150843368147e-05,7.683280252246405e-06
H3,0.0,0.0,0.0,0.10617153213295727,0.009222890546024765,0.0038869493323864246,6.645620308498579e-05,0.0004056108459434826,8.462599484704292e-05,4.036460556089416e-05,0.008431725379020927,8.444525072270892e-05,0.007328096840133469,0.0007901119539315271,7.948323965101256e-05,2.8675205021588823e-06,1.0503279841422852e-05,3.6387644646307393e-06,0.027947261360318776,0.005227441893540963,0.004680357806601254,0.0008755037685406197,0.0005483246087015781,0.0005581213932868145,5.4848816629538e-05,1.5886589384006555e-06,1.5538852927710067e-05,8.018213922600381e-06,4.915837181762583e-07,2.8445679023936243e-05,3.6657929776140463e-06,2.101268155696445e-06,2.235405751482844e-05,2.190361846565736e-06,8.056132492217927e-07,5.548390311638229e-07,1.9908354498276992e-07,2.779773875349889e-05,2.848670848476509e-05,1.0637374031952085e-05,4.203642398170615e-06
C4,0.0,0.0,0.0,0.0,1.8395141642494501,2.740190228143765,0.1007376606375181,0.15804613793549419,0.005762577488336973,0.011487039320030368,0.17374112653931703,0.011918567347165343,0.007302008805726512,0.029527303351686518,0.03245889091731009,0.0031049347117488857,0.0006714238236003034,0.0006670110188577993,2.5991034281172802,0.28054638631106843,0.22190533007798857,0.020438055167179003,0.03679962375942111,0.005229103691384518,0.003662705256494564,0.0008668874090620449,0.000416742938847775,0.00011562995661629216,1.211003308965175e-05,0.0009541982897847134,0.0003404606588550685,7.728298199238814e-05,0.00047333587726461346,8.327156353027387e-05,1.3227531944659532e-05,1.7378925516231547e-05,4.717324875169737e-06,0.0037589324633554855,0.00027980797843865646,0.0011093221080672178,0.00023154038510164732
H5,0.0,0.0,0.0,0.0,0.0,0.08554357230222553,0.004001366174300802,0.02642061727084477,0.00033293461808003855,0.001488317028427888,0.01410446150920941,0.007013658325572436,0.00019239884981470112,0.0009316563170986836,0.003002256092105693,0.0008249559640789439,8.05619016195358e-05,0.00013258040562780238,0.1107780244407075,0.024625393378808202,0.019170244806045345,0.000395726011426456,0.001735626944400881,7.346222266191305e-05,0.0005807278478120459,1.3371108907866969e-05,7.536206837965853e-05,5.925151568075826e-05,5.077309285894671e-06,0.00022243028790658315,0.00017160319276077196,6.651019818670889e-06,1.8189001254054205e-05,1.3939583747069051e-05,5.511848985895185e-06,4.748359735184948e-06,1.6249360967890425e-07,0.0005934482344975844,5.5567128348088524e-05,0.00013869292406165634,5.4788550435613814e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9389167267440732,2.60258997704865,0.0786331133458289,0.08852308520345176,2.7386529413971616,0.0858012953972529,0.08322137529693574,0.08727696363943616,0.15923687201953007,0.028673141190415308,0.009911674865335618,0.005613281741429388,0.1724550698922927,0.047614010610847995,0.025784903272537435,0.004971360211730169,0.004546689297550088,0.0005060647063922508,0.0011531093957588279,0.0001518082880340721,7.906600043189327e-05,2.699115939686081e-05,3.338222337223584e-06,0.00025945344896427525,0.00040412167031211865,1.0680211240732262e-05,2.780786828027182e-05,1.8970432695261663e-05,5.608438046422748e-06,5.033582513025436e-06,4.259163737252436e-07,0.0004714262605803321,8.574986632149673e-05,0.0001308057900885201,2.2378287734992064e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08039684084784371,0.035037003049019244,0.003329389231330415,0.08477644275959362,0.004119477311625097,0.03494357701711803,0.005054924823083562,0.011119170536246004,0.000599691866419505,0.0052261148530377,0.00011355021945980148,0.015014982967181956,0.03227522156857876,0.0028957059377978656,2.2740143167609972e-05,0.00031016860735477714,3.5495571260479863e-05,2.7376772840703723e-05,3.5335560466531746e-06,9.677449819056605e-06,1.8435447284304018e-06,4.0372766396679083e-07,1.4939635642141624e-05,2.4014993080800906e-06,1.5087517732936817e-06,4.8537938630577315e-06,1.1974317820628855e-06,5.0683877095281105e-08,8.622577585271074e-08,4.820633980884281e-08,4.058031968146025e-05,2.4772659258931462e-05,5.998854108457685e-06,1.4318579144578791e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0049448413804636,1.852203238800779,0.1624744644157399,0.03111270540188804,0.009192531267651072,0.005838390300367369,2.908505792553616,0.08897286013307726,0.08263872587817622,0.08132865565895608,0.022236674813764595,0.011212956367538565,0.0024717151945719135,0.00018415828912687893,0.00039202048069977846,4.3462812691630326e-05,0.0002521236573692909,0.00010445988602136858,2.1064168387360804e-05,1.1239857010014731e-05,7.553541681026843e-07,0.0016912293845596504,0.0019928850487067606,6.37669641887495e-05,6.7779356338615315e-06,4.999021768009593e-06,3.719605095042766e-07,1.1212184165554362e-06,9.195046413168484e-08,6.02705042566376e-05,9.28451714084233e-06,1.4687183470002418e-05,4.152881663443964e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02287603488092138,0.010105987419764428,0.0004740303849382066,0.005083688569924361,0.0001465669488072141,0.08141238582793076,0.003907867372958451,0.03360877968527376,0.005277765907087506,0.0007343881980359512,0.0007876196442909711,0.00012650516822221292,6.624673408328619e-05,1.3321490746953657e-05,1.80813364658583e-06,3.887197996377267e-06,5.848030892874334e-07,6.162828294353773e-07,2.480100194102164e-07,3.3039207814056226e-08,1.1156303570514225e-05,9.100639863635074e-05,8.046233099801015e-07,1.4656989282268995e-06,1.2593207276978546e-07,7.315290373455241e-09,1.184754450100911e-08,7.173078797606536e-09,3.8997495814818706e-06,8.756869148696111e-07,5.113821337499047e-07,7.199400586799243e-08
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029856637019612275,0.001780793024263705,0.0003743802421434239,0.0007263598333937527,0.08486986072874803,0.0056028624360291435,0.004290882866572199,0.032560621735789,0.01619354137180884,0.008279843948957089,0.0005080598395009739,6.09543840890403e-06,0.00015492322822208138,1.3549446464367065e-05,0.0004047552557076006,0.00019184130456140203,1.8482911612327513e-05,2.456306614018189e-05,3.711247617221858e-06,0.0023050940427213895,0.004275654435911935,0.00023923315995011407,5.3663920517310615e-05,4.362212640329766e-06,6.377586769801269e-08,1.683619193615371e-06,2.8110225280819634e-07,2.4164691285744055e-05,4.242831231682231e-06,6.656236854474251e-06,1.4122020433049443e-06
