,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22C,23H,24H,25H,26C,27H,28H,29H,30C,31O,32O,33H
1N,0.0,1.0200610965258448,1.015395197384072,1.4656103796152513,2.1502510846818277,2.428255138988683,3.3994790019176855,2.740247461133761,2.727128538089724,2.127490631028998,2.4383016022569355,2.6674092993370877,3.6839093300760717,3.9906181674473755,4.902291002174798,4.837007316674528,5.868735742493076,6.190668807540798,6.81015213731453,5.703464205491834,4.852535200965602,6.999313800989778,7.195842595091648,7.172104608554896,7.872868588649868,5.8905857527891445,6.169855912586119,6.837037622994862,5.147010328014507,5.845798561852667,5.949156457997324,6.9117826178776225,7.553235225932509
2H,0.0,0.0,1.6572962180649313,2.031699693818793,2.712330446701925,3.1977904010662437,4.0621771355443155,3.6915031070941646,3.3064576180028857,2.6587993084167483,2.341952376006551,2.0866721241688317,3.6975369870383616,4.242457871238697,4.711728024133165,4.469527648321466,5.594396169087095,6.069260965408373,6.4798432721703145,5.255468251263375,4.458756325178495,6.580855314205981,6.700518628440961,6.897083495775679,7.42051808295847,5.218520222826326,5.416535169594919,6.166156582985442,4.4224592994188425,5.821803162623509,6.130087642180059,6.7679068191953835,7.499284295056195
3H,0.0,0.0,0.0,2.066801517398157,2.285589964177811,3.0080754697687104,3.981839455873463,2.978072544119485,3.509218188214926,2.907664980229425,3.2199920758926805,3.4763507157047275,4.390391971975016,4.619972453487565,5.676348106267645,5.693595868483307,6.495957580672896,6.726607664050953,7.49224147019809,6.197775380059243,5.244125704127864,7.366544560514408,7.46120316239846,7.468209332000765,8.314163399076614,6.463847697516398,6.6196935006548046,7.4715737428053375,5.812428410101109,6.660089861513487,6.7040221439563625,7.779676100042698,8.421301364059307
4C,0.0,0.0,0.0,0.0,1.1023224094238646,1.5490481054628868,2.2123733064187925,2.160952687525797,2.4187358731731665,2.376948112955702,1.5435895438099043,2.4237103704041925,2.459106016761125,2.582793887039327,3.834261857677191,4.039870875412057,4.814552563039309,4.981882224267149,5.794107325799574,4.908910565636116,4.096867164213743,6.179500509336502,6.551566012700321,6.214598070919978,7.030176341049905,5.403577620095563,5.866847430828608,6.301816210455648,4.789084632923254,4.660092558476975,4.639668517129419,5.845447803365222,6.433254050641569
5H,0.0,0.0,0.0,0.0,0.0,2.1737277491753737,2.584010897542815,2.423593427671922,3.3554108720948412,3.3796244621514004,2.145898210888874,3.0906491421494846,2.708418974916504,2.665992784233098,4.13812418605448,4.55331953086722,4.831999747767672,4.798712723080251,5.890347953303856,4.829994893151074,3.902336044022628,5.902243944090615,6.230201731444193,5.778232388379515,6.836117506408272,5.56737193876367,5.9534962674755665,6.516639792843891,5.144727049515462,4.995378733626359,4.88612104401869,6.258236984905152,6.83555236628678
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0963517254349768,1.1046477095771694,1.4059932872472916,1.889346164953328,2.56799820500314,3.5279721868877374,3.031771853896302,2.731331587144252,4.325157371959153,4.5972808163326135,5.541557767059262,5.605211211706367,6.426206759837675,5.993826560828353,5.318268618406316,7.280328329485433,7.797310310275308,7.231101108074199,8.041508325197622,6.53999800902136,7.149843062553663,7.314499269444868,5.881684254521829,4.663045417962594,4.3210631126459775,5.855275972289745,6.237215939409955
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77225290307203,2.027954780398165,2.79043640544246,2.7926516659808756,3.902349312466874,2.727014059022949,2.1175013954381625,3.914511940472229,4.378328603786441,5.121887374808083,5.052528376569807,5.952194915971411,5.820463133944795,5.262618615688715,7.040795954488398,7.68496550622577,6.899930005839572,7.728715214812446,6.524967807640042,7.248719262554483,7.205763802877351,5.966822800419698,3.9653572233505816,3.4187484709226985,5.199812127246424,5.4730550508169715
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087700568701502,2.38434451483696,3.4957745692207314,4.438319087840871,3.975165989265602,3.566343900893862,5.333530088615602,5.665899203760237,6.452022336986353,6.407351993765567,7.383062603741823,6.835207397614357,6.0661244709457245,8.034450329213954,8.497068129071716,7.895038841362041,8.858578102595853,7.456993157019533,7.993996072188681,8.284721626866785,6.836881577576645,5.647599568410999,5.181398771926236,6.87662447663603,7.209217083791441
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9799583413801226,3.0272408249895673,3.6317976169717765,3.642362210792944,3.546979562303097,4.661891882052163,4.648434370728264,6.071479216504739,6.330938755310104,6.821377204933031,6.567642430165519,6.015678024270289,7.9836661258800365,8.50875125014124,8.08702561765412,8.652936885635816,6.836183827435325,7.482044016525883,7.519581194014925,6.012284606920019,4.890622578658968,4.6754533082107885,5.877211315272864,6.231327832725977
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0860640347869595,3.4389543283002943,4.013482863397983,4.1032497541029525,5.05542630814359,4.907403882729947,6.402945891021291,6.751541231402752,7.183908977352358,6.6863551490830115,6.0648719205013215,8.121782759515936,8.534284298939808,8.300829527664966,8.8374087881103,6.813097171932722,7.342875474153685,7.560436139264682,5.930439751732019,5.514407092567147,5.44729531476457,6.466531604596214,6.916916974607832
