 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,C22,H23,H24,H25,C26,H27,H28,H29,C30,O31,O32,H33
N1,0.0,1.612209024108476,1.900664333643795,2.9726416181368505,0.09075698891032336,0.2235511331608279,0.02845477537239882,0.007701674776398937,0.08955603598331967,0.18329697998739214,0.18415141488893216,0.07752258528761483,0.027527791434277693,0.002459615606627552,0.006191952262986217,0.0005013695250222217,0.0005997275959992582,2.0355166442831418e-05,0.00016049625285785574,8.66607993476598e-05,3.0092229030276307e-05,9.273950474272818e-06,5.570420575917723e-07,9.047959675934081e-07,2.6882357734292484e-06,0.00013022513821797643,4.198511175390607e-06,4.783707540978455e-06,0.0001194767678741604,0.0008049028691349686,0.0001843034508328227,0.00025412134140780085,6.449777738148921e-05
H2,0.0,0.0,0.0315863078864449,0.0993639604916795,0.007600610326222945,0.021467755559412605,0.0013787798515032534,0.00022436027363825772,0.0015849483889406324,0.0016306769439744517,0.045718004059046136,0.1147932720658692,0.007512615531383049,0.0001753144854783617,0.0008275430480694235,5.821368107228331e-05,8.824685188080217e-05,1.5134517686643534e-05,1.631777864119499e-05,2.1306247255492572e-05,3.2134825354024343e-06,3.5086122134320163e-06,3.0383201465866705e-07,6.880876057824281e-07,1.8725072969960621e-06,7.86396503213993e-05,4.715181607162222e-06,2.718498921971957e-06,3.075180114398002e-05,0.00010520944822556277,6.264956223533957e-05,1.5264583106522345e-05,3.5715194879326617e-06
H3,0.0,0.0,0.0,0.10646900320718711,0.012360741325160074,0.006928929984054144,9.098574081622957e-05,0.0006767158538216744,0.0033867191767193994,0.0010157401551831313,0.020832977899376437,0.0032887978739019053,0.0028110993793345473,0.00013012494316599899,0.0007424867572557448,3.957833982259906e-05,0.00010336411077183083,2.6939057902186647e-06,3.649797099680718e-05,9.213061388346766e-06,3.1980366910211444e-06,1.2965920234142558e-06,1.0033156461197734e-07,1.9680394869325823e-08,6.799661755874098e-07,5.730986113894332e-06,3.5736162362631774e-07,3.599455835612275e-07,1.8995409463151702e-06,6.581965793328592e-05,8.226025233981638e-06,2.0784257668271522e-05,5.197922003707944e-06
C4,0.0,0.0,0.0,0.0,1.7735012203718723,2.7251256371971904,0.08170338272552291,0.09394267286824487,0.22407861819730823,0.030465351088415304,2.6169932988317317,0.28146987842264015,0.21839328095093719,0.011973766251262563,0.03594701428942401,0.004293242244984508,0.003469110236638706,0.00014597898066726067,0.0010169336563596865,0.0005078128594852016,0.00035403141124268345,7.819534552598595e-05,9.056386966799224e-06,8.683587368052414e-06,3.201563535348839e-05,0.0011613299808465455,7.794212316447613e-06,4.018955490159293e-05,0.0020209511748494613,0.003486683616423597,0.0005920979575769064,0.001052507017085813,0.0002140928410073739
H5,0.0,0.0,0.0,0.0,0.0,0.08927747303042866,0.0021361712976810665,0.006032261143784856,0.028430907777263426,0.004217331212891029,0.10552385435240663,0.028768817578203154,0.011804634503504552,0.0012905446401685339,0.0016195721359886228,0.00023348902102693359,0.00033687925964209775,1.222576207293713e-05,8.798042246294102e-06,0.00011614531866532829,7.268076358024622e-05,2.0513131247845706e-05,2.6735887637130418e-06,1.136824201664055e-06,1.066821149398045e-05,9.882293425567124e-05,2.1719994374169715e-06,2.6577483307477223e-06,8.293604582898517e-05,0.0002552544585703309,3.0431188432600287e-05,6.939284244666943e-05,2.3137688111463106e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9479705625816475,2.039232115847347,2.8025561856797068,0.11640229165527805,0.16644177552319958,0.03658144607367088,0.03426715053566423,0.01966048722428626,0.003688840522905773,0.000338564705861355,0.0011728607026406934,3.054801220936376e-05,0.00014236291116587196,0.00013880861298126712,8.642386801693824e-05,2.197193990351176e-05,5.230096497221837e-06,6.889426900080764e-07,1.0857952994713926e-05,7.763894391300818e-05,1.2123957568999089e-06,7.579766091003748e-06,0.00011634806306859424,0.0008683441740496289,0.0011592109958731972,0.0002464791523557469,3.83929043007436e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02459604481309241,0.09705717905420941,0.03619590178385246,0.009301681776129556,0.0016445121127591777,0.011773782055992221,0.020637514465961182,0.0011626240265867338,8.243201624136276e-05,0.0003800279996308831,7.941993814597481e-06,3.818357416807139e-05,2.827925502768558e-05,2.9350829899854602e-06,6.091232772842403e-06,1.4704803712461967e-06,4.380890383792746e-08,2.5812238184652614e-06,1.2114538581631251e-05,2.755239580931601e-07,8.457130893368969e-07,1.1771736059484894e-05,0.0005495916660251954,0.00224595280777784,0.0002506421954202587,1.4785256124083546e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1218784792716785,0.007328541504062702,0.02946484929132076,0.004747003612995959,0.004376432126571794,0.0017555098302948213,0.00047280147740780265,9.516612233073651e-05,0.0001388906689767655,1.0309942064523625e-06,5.14472519252962e-06,1.1795757483001879e-05,2.6498091154625314e-06,2.7132959081743735e-06,1.0938247578806681e-06,2.346614274006953e-07,1.4334654272474268e-06,3.771382110029364e-05,2.0869022288039218e-07,1.933437940415672e-06,7.188887213782635e-05,0.00020538456785867965,2.5266808485913117e-05,5.223486878236372e-05,1.2069088119348592e-05
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7114018462906464,0.028325125847673438,0.004403685516374517,0.004323899726490499,0.002187000060029476,0.0005734991404794665,5.033385170527538e-05,9.959540463679029e-05,5.955574345684056e-06,1.4902884270640016e-05,3.605182034026322e-05,0.00010568414369027668,3.881639629235711e-06,3.6672135994564314e-07,2.525502460493101e-07,1.3352496472940345e-06,1.3080672146129069e-05,3.736115912200688e-07,9.358755956867526e-07,1.5044428194999071e-05,9.52109834221615e-05,9.374993054285519e-05,2.1821396128468562e-05,3.4617517085111515e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002228803372969934,0.000715935389262623,0.0005425879253416754,0.0007643672853376859,0.00013731033263431058,9.164847934783893e-06,8.391914020688951e-06,1.3200927087009262e-06,2.7774056505780464e-06,2.1801886185279784e-06,1.980804260393043e-06,3.933073086104244e-07,4.306587753077906e-09,9.321864613553998e-09,2.455308267812484e-07,1.0842260901311462e-06,1.172938053350947e-07,2.7223175713686487e-08,4.6107075424295374e-07,1.0861598660150129e-05,3.114152163885553e-05,4.471345210199651e-06,7.177177325790041e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9094562303643885,3.5410065647429203,0.13973830150252486,0.2695941233399591,0.025202923919412257,0.031091573418325857,0.0008023400495185129,0.0037925625348500525,0.00627748093329536,0.00814614331494723,0.0009284990796319115,0.00010576699143061141,3.00233155630103e-05,0.00040369148283758705,0.003552751463388515,0.00010744718952282462,0.0002442149747297062,0.004709685986540757,0.02985685821995912,0.006535505869785588,0.005783261971482406,0.0013504857650855628
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5314989621404878,0.02619578106186804,0.06277570820172193,0.036110694466106374,0.009895707433538514,0.0008765158517965999,0.0013980039812957479,0.0043336494387973545,0.0020686753288692294,0.0008213345860642735,3.544207291228396e-05,6.0794951738607494e-05,0.0001295489069039757,0.017187919002747742,0.0002479509574184746,0.0005109081571692542,0.036680472736826064,0.009931183354974393,0.0039047547407596583,0.0015250733621718499,0.00038749325888798314
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7236256020523681,2.82481421907649,0.09797933636422629,0.17986830269881618,0.008635542354662462,0.026861783682905926,0.016268723578836367,0.008907968284710854,0.002573294718100083,0.00026695057133196975,7.177181055961768e-05,0.0005142080053652798,0.002249438681737284,0.00015925219386492273,0.00030825038722626097,0.0007587077100696948,0.1977010663652911,0.055941381087141244,0.028181435486443737,0.005291335484735038
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09582286089333181,0.024016382314856255,0.005370823575940653,0.0013297321980825227,0.00010942094654309287,0.00031589170707357894,6.588936305340631e-05,4.955895055702708e-05,4.257528646745001e-06,5.87251354655649e-06,2.7010174493247163e-05,0.0003229304117509102,3.3777940172008414e-05,9.809990804576785e-06,0.00018826844244079766,0.03110054785858396,0.07442432571754798,0.00503392630459587,0.0001701838093497443
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9529073146114402,2.6724890645081025,0.08910479654927683,0.09377715695682198,0.15021238301664078,0.007913281064796163,0.03297987487242554,0.0045492928815684675,0.0009959027391408526,0.0007648611009010153,0.01744241864085161,0.0019021203577445078,0.0005530368284327736,0.006530427963437058,2.678585620861776,0.2727802628688237,0.2224858103880928,0.05416139464104619
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08147100130708829,0.03237086184542837,0.0034617241522429953,0.007942364715563088,0.00013613027001557754,0.0012329149212000345,8.130940262263131e-05,0.00020047932415390157,2.250356382438312e-05,0.009440391756053934,0.0007410798668183727,3.572071653579201e-05,0.010669761886051177,0.11135796789366936,0.026740700039208476,0.010979615776685825,0.0008664887271041533
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.030537918395012,1.9610626363644164,2.7566823334437727,0.08221969615413349,0.18494795707399822,0.030480173225933882,0.010642385311242952,0.00962506669658536,0.1599022535822373,0.030842432651360774,0.01048694606070244,0.005320242931401875,0.2083257584811831,0.0435406848307494,0.030922227059490645,0.001997708681218846
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02327742479120487,0.0834623309282887,0.0033455749771611476,0.014640376339477568,0.0010533994646608758,0.006462566530032632,0.00025755165151908344,0.02943284367434651,0.0016596558550017182,0.0005045248223556342,0.000349589946223805,0.011111782329559006,0.0023312646593594,0.000998103191619082,0.00013923372381219323
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08021100188367347,0.03517329543044534,0.0077820408807669494,0.0003831930728257493,0.00016741841136136415,0.0038624546269361293,0.010867487928904018,0.0006164348181705304,0.005398265058352836,0.00013336210664705028,0.011733319632925454,0.002031744855944595,0.012159247811365681,0.0002213442867673443
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9345084295933006,2.7110667033229516,0.08636134488825853,0.08279291410727829,0.08236332149133996,2.8096512718486597,0.0868757136833882,0.08101112110902098,0.08829701674111767,0.0314760403213277,0.008065956775196129,0.0051207971043474715,0.0004312016332607138
