 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,N29,H30,C31,N32,H33,H34,N35,H36,H37,C38,O39,O40,H41
N1,0.0,1.992350853747317,1.998474807825715,3.081362536085655,0.09546904252949584,0.20044994524763185,0.03606648062139628,0.0034751118514196877,0.027002833986738056,0.006428775080956052,0.004690091251055559,0.00014159150752868221,0.0007446106882696979,0.2333935746472658,0.04466306865881267,0.03548573359103982,0.0023364025125210963,0.0076783885143472674,0.00038715072102946113,0.000963077503417592,6.795661938019393e-05,0.0002287817459704078,5.4319514505810074e-05,9.018236515667688e-06,2.201153045278126e-06,9.404575173251051e-05,4.477021776749801e-05,5.049869442941279e-06,1.2647123626821632e-05,2.0483244320690375e-06,2.59140982336592e-05,0.00017140415359487987,0.00019038028070517132,5.448640135408134e-06,9.622735075667799e-06,1.763467287196896e-06,5.088651944262779e-07,0.0006581267590883844,9.232493704362799e-05,0.00023037659310873315,7.640536113717733e-05
H2,0.0,0.0,0.02711660868967769,0.11447578146909321,0.006490661312096968,0.03467129822330184,0.0024516875169140473,0.00014323109600056227,0.004453416344169847,0.0006586637248240379,0.0013475970060585762,1.7180839699149075e-05,0.00016560653745312237,0.00939055135768152,0.018734750702113723,0.0014109553746054493,0.00016059397893286587,0.00032330708238359485,3.052949940585137e-05,1.3403867849981488e-05,3.4812538445283536e-06,1.0263813738919936e-06,7.752565489682617e-06,7.681813678495075e-07,7.983053496030124e-07,1.5017639520831239e-05,2.5696790640239442e-05,1.5374121038469468e-06,8.176357786826571e-06,3.928233363037492e-07,6.911482651417167e-06,0.00011423409240052251,3.92683989391962e-05,4.2036470482287314e-07,3.604012024260861e-06,7.375693922284654e-08,7.31727811675853e-09,5.6454835166586115e-05,1.1032979699177048e-05,1.1920479596305711e-05,2.619411850757203e-06
H3,0.0,0.0,0.0,0.10652953173409496,0.0369529715139707,0.008686145394331768,0.0016018550720011682,0.0011116832102389118,0.0012013752259358856,0.0008613347098473945,0.00024749150536385045,2.342740316430003e-05,2.507059214829077e-05,0.011480709109370602,0.018112279468118886,0.0016673352870166802,0.00020369684513887876,0.0002575292182041,1.1867192895476109e-05,5.399926076388173e-05,1.9476360249015556e-06,1.1231834081915082e-05,8.239257583864124e-06,1.1424460166775674e-06,6.665785317050421e-07,8.753283254192556e-05,2.3631276715230243e-05,6.746314081151894e-06,7.984717542486308e-06,3.0961735146828318e-06,8.457546287310436e-06,6.531746368798608e-05,3.2208208930351034e-05,3.4860910345102525e-06,3.149736379937096e-06,8.455158275744168e-07,2.834659584838306e-07,1.0044207903292524e-05,9.096201787461844e-06,1.106920413329604e-06,3.330510622845395e-08
C4,0.0,0.0,0.0,0.0,2.0335886024339276,2.7057321379493544,0.0901604477955833,0.07391633876160075,0.17231479767657845,0.04013726976312457,0.028797023119984957,0.0014535050730039023,0.0036982288620421855,2.6525423984779835,0.25981107327409436,0.22208245077328875,0.014234975642957504,0.03635032703940322,0.004579248787742296,0.004250909237707767,0.00029406502210815866,0.0009874355600193452,0.00030996864509401367,6.669966518457748e-05,2.6641310169495114e-05,0.0010209490280748967,0.0012208444935740692,3.955894500018431e-05,0.00015600360033236893,2.9290682373006582e-05,0.00039709596953380055,0.0028160252834627947,0.0064331837536887315,3.388261542069948e-05,0.00012835664534720237,2.4684437391897518e-05,8.835211324664805e-06,0.002908818433303123,0.0006820667519208679,0.0008576842879640806,0.00018238510246482154
H5,0.0,0.0,0.0,0.0,0.0,0.07813911179523803,0.0015422424995199524,0.025063918352459913,0.023050097404228254,0.015019158933091359,0.0027581283985481653,0.00015092656797754955,0.00021786861049810646,0.10837166862063619,0.02417990456026664,0.012986581915311546,0.0014941700503690036,0.001588780840359183,0.00013791793336825897,0.00042371566416155027,1.746956411463607e-05,2.2726858027510843e-05,3.878147171909596e-05,1.5120897981946158e-05,4.875740984067178e-06,0.0003240091247698196,0.00017720647633789888,6.3139480230844924e-06,5.011424332468373e-05,1.218583910111981e-05,5.495222210782913e-05,0.0004572205987363187,0.0003699777259045245,1.3133751026961349e-05,2.0176040162911413e-05,6.020598352307616e-06,1.6757106371390051e-06,0.00037289113268901275,7.85905019834443e-05,7.286052211119554e-05,1.6385017307829486e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9810527620988334,1.7251733399324496,2.6313466822828078,0.27966900749654555,0.23829867075200928,0.015301156355407186,0.042982292574538894,0.17776980895257213,0.03453128623297668,0.03224171461675042,0.004969635763561242,0.0029838308311984363,0.00023593229509888403,0.0011181086910515697,2.8678891852984556e-05,0.0001007253773375183,7.750894349001225e-05,3.87246337897329e-05,1.2532123253805594e-05,0.0002080707873503701,0.0004130126292059,3.6625242401111535e-06,3.319813774491087e-05,5.074099832413914e-06,3.846078230568262e-05,0.00021337786447797602,0.0004150363582434702,4.145996157611798e-06,1.4034468800022681e-05,2.2558382327675375e-06,7.510893936801821e-07,0.0011904136872400162,0.002197064095262616,0.00036195517398478205,5.9527314543506016e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028454723126071002,0.10367577279805884,0.024872671776384414,0.01253160445967405,0.007388429254553408,0.0015049486720257743,0.02175622554138701,0.0027410161691615587,0.004964778278252369,0.0004802464379978222,0.000479897620180747,5.6727476131168686e-05,0.0001542719535074788,4.125262051069001e-06,7.065829726426998e-06,9.051926417091849e-06,5.967589117528149e-06,2.7403648650281554e-06,1.8028766518796147e-05,3.914287571626929e-06,2.5669859793353567e-07,3.984846464355485e-06,3.0783200299921987e-07,7.712303677465115e-06,5.871758706454955e-05,0.0001359203228685768,8.011361916082649e-07,2.9321899793766093e-06,8.203539421103301e-07,2.1878889122639578e-07,0.0002399504529075891,0.00011002621716982297,7.471115127333228e-05,2.27256578897439e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11582977127361205,0.02544977446840324,0.02062227325522714,0.00015714113031317645,7.92357413588185e-05,0.01872941283472529,0.002337255587592235,0.004360892064680488,0.0005585642894896381,0.0004126197139262544,4.512375702625526e-05,0.00024405280975525745,4.9765170404558745e-06,5.96397103880264e-06,2.198333767988725e-05,1.2204792851022717e-05,1.8516448645478079e-06,5.078189118901122e-05,5.386763818582274e-05,3.414989055983142e-06,9.53562460326296e-06,2.7149101275991683e-06,6.219293094744671e-06,4.637623852565831e-05,7.747224870779945e-05,1.1183572339312775e-06,2.4315806483876656e-06,7.185767108008889e-07,2.43548913703151e-07,0.0011312233927558424,0.005499934182116029,0.00048366307819502907,2.24063229683491e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4057578082302085,3.793867021073833,0.13694916973661386,0.15236000471618116,0.009724303493152536,0.0029361584347342012,0.016993950099882665,0.040868285383982794,0.0023342439027699002,0.00041436638231218126,0.00018377506052852377,3.2277054411888884e-05,2.0671598493171572e-05,1.8670301621531715e-05,3.569390126578753e-06,9.71387289072645e-06,1.4876366543181696e-05,1.6075968537920815e-05,7.954151410860533e-07,3.00215160384254e-06,4.5867649312025804e-07,3.7069169811221325e-06,1.7437900221711766e-05,2.1948848383579467e-05,3.981860551283134e-07,1.1807154174925394e-06,1.8329906048553113e-07,7.475646857102447e-08,0.0007907391460927893,0.0033031286356182687,0.00025242539445990975,2.379115534389964e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5485247933958519,0.031236515533440645,0.025893380243773856,0.009302665860931328,0.0022797644883183685,0.10341258403547852,0.26636525599312155,0.009725675307476436,0.002031937772623782,0.00037682300103139554,0.00014372163179787734,5.2093322724378055e-05,5.194796174680383e-05,7.662539568520366e-06,4.198859732096327e-05,3.568671860219863e-05,9.735485787754072e-06,2.0820325067338885e-06,6.049944517957928e-06,1.0988728124106117e-06,4.259987423815836e-06,1.6895496682930305e-05,1.31172179573813e-05,7.677409489259546e-07,1.0528594970651839e-06,2.0732476457840932e-07,1.1258078425058216e-07,0.0015301669773800375,0.0035457923295788493,0.0002936258120931137,3.193256361067043e-05
