,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29N,30H,31C,32N,33H,34H,35N,36H,37H,38C,39O,40O,41H
1N,0.0,1.0186479727769753,1.0203331934666207,1.456121663991628,2.0721904403409046,2.4545908053782313,2.421915465297938,3.0039685242018073,3.739996503884053,4.2871148579683895,4.655423329953462,4.6779469108836755,5.570618845173763,2.5100046615567457,2.7631455573546755,3.7251630126166013,3.9563451624968944,4.963141707858803,4.901780238532234,6.023340600115241,6.125151765299592,6.986985150275544,6.192961627019147,7.2298574794026305,6.289060737053776,5.40142201943028,4.313933874319088,5.7771552495626235,6.003336114676301,6.920551454140565,5.864025728179391,4.954807409369359,4.126226637267684,5.230520046323141,6.968352171449378,7.7129384540759425,7.10722746743355,5.776597965892186,5.630078852829003,6.989882078760902,7.545921531594069
2H,0.0,0.0,1.617091242561386,2.0355956039868746,2.3497343051369186,3.3476685446410768,3.4109109932273136,3.8910189116651046,4.506707046922508,4.858199834215098,5.504672900277054,5.604407765579612,6.367452801166606,2.697621820863843,2.645453706011179,3.9670817980751285,4.343302803013845,5.127440034650044,4.99263737955749,6.000158423796755,6.121807436218057,7.013032264441999,5.92165659947479,6.917652896441112,6.0113828331174,4.946473620183705,3.887147821251989,5.323674116466145,5.350851725947514,6.2367849285739645,5.151949972825049,4.324708330306636,3.6242589098499476,4.593955317719365,6.179567632469412,6.894596715285059,6.297614710333014,6.158781033830516,6.18982819067838,7.30733799360763,7.960971270465157
3H,0.0,0.0,0.0,2.0363218104075016,2.9237698010389694,2.7213723558061216,2.6496129341109134,2.9079412730390835,4.189208794327328,4.822870280576797,5.062407623992982,4.981525870229405,6.0279723801271246,2.6871623262660536,2.6606887366011986,3.9457492610429115,4.307034366285687,4.999336515976201,4.753241313630103,6.201412446263997,6.463861689138151,7.088059312122027,6.364453705364275,7.439857654990097,6.291082147413146,5.728718880325087,4.652864127399392,6.263195113886241,6.260270616231771,7.2279208118061815,5.944394773326915,4.867968890558968,4.0478467029310155,4.987693939267712,7.007304865046014,7.838707019038669,7.045333164850694,5.711326707167157,5.574673594578846,6.847642150487255,7.367219678463916
4C,0.0,0.0,0.0,0.0,1.097930802135845,1.5535088350190918,2.1447027718900578,2.20099804775452,2.575699144363782,2.91482775176851,3.7304971148100723,4.024141357180139,4.557551298814064,1.552302718076726,2.431836162094965,2.4649360925660395,2.5278533033303234,3.8354994291364157,4.032171308646615,4.89167968700517,4.88098796961802,5.838254508815055,5.322021439543658,6.340297104866738,5.569776174788406,4.706188537417746,3.660027979802424,4.991286776880844,5.622827262790742,6.518112902669114,5.756738938997664,4.96935809698605,4.009492420915673,5.469653919269512,7.007859945571809,7.693168497324943,7.329704612187995,4.578539503112874,4.39314498430099,5.858386992119004,6.399839623912939
5H,0.0,0.0,0.0,0.0,0.0,2.1575531328296633,2.6818741838208626,3.032819006437682,2.5897388265249788,2.650509442339099,3.724172631530844,4.165459557606258,4.404643270037633,2.1415718775310606,3.073336720218723,2.738180295721438,2.5913800600702057,4.175723492834238,4.557886221047533,4.949218378222889,4.7168236638156005,5.955166149599814,5.345711811708933,6.270308762447453,5.785832333595628,4.554712071503295,3.5778727778844552,4.601026222971816,5.515977490190008,6.312187871601795,5.849719105733381,5.282662037764333,4.392842231907775,5.898959784355889,7.093592407986768,7.663235294446326,7.508888947370184,5.015183973238044,4.859696375897541,6.3023772131768725,6.876566949612402
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0945528204074857,1.0985660155194774,1.5267252054314588,2.4229776992830363,2.442350926336257,2.620441389091034,3.3731259875521493,2.5808133249309857,3.5747995095452727,3.001094267750184,2.6686362021911685,4.265531391632036,4.588172842142045,5.508473859587116,5.448172621939053,6.298349069595968,6.27470571499002,7.279942977709067,6.515670597404716,5.927914396046351,4.948579991422923,6.18256416836739,6.985755458204937,7.878268973971598,7.150674778243565,6.300784468119823,5.294243054379386,6.756474406813212,8.428735348691008,9.13662706671286,8.74471252266435,4.484626384538133,3.8997366363716037,5.80751480227069,6.125483217929818
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7674469605963425,2.1683272729592113,3.2649657641094,2.564819314585922,2.3402387630836214,3.5683168910734793,3.436341787576048,4.25936536682508,4.050756005428153,3.748713697732222,5.317970437301928,5.5519713433554445,6.572476208744891,6.513739672699429,7.378124414636755,7.260459474564046,8.280281961490775,7.463175608107632,6.804215608438705,5.778498706367406,7.053923869552436,7.758263600112995,8.660530250076738,7.827237756076882,6.921427496066748,5.95451029072243,7.2760501857887965,9.050775465962824,9.781338941459401,9.282822910180279,5.52421779756543,4.882931309437199,6.827799419028193,7.10301641275548
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1305902837655486,2.917172226733156,2.9227504543840284,3.0256884681952907,3.808546423206092,2.6597758652517327,3.5122341414621827,2.9563099296247985,2.7716865214336464,3.9423749133741857,4.147817785683655,5.356947980920171,5.465732188668083,6.018280047360108,6.207469390393321,7.234657805113613,6.308588297676299,6.096260077836842,5.1583068086621875,6.4935410730673615,7.157117913429862,8.086674457531927,7.233719555771605,6.2836303087453835,5.261378704729845,6.674470561347065,8.509755357945332,9.276269683844934,8.791499752369093,3.910586336378882,3.2580749845540367,5.162687218291746,5.397880452465301
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2356057060747712,1.351249361358134,2.0789378067369597,2.0388222896152812,3.3912080021687787,4.58518356559519,3.2459732139067157,2.453880116393656,4.462546793034533,5.099798342182792,5.485145155535853,5.1609820021601545,6.202939605948067,6.480564012760626,7.365733432593489,6.923572626610882,6.226659683262236,5.387304468215291,6.261001336494919,7.465752909592918,8.258443397450884,7.8783561278105925,7.211245365640838,6.204865459492523,7.809612622608818,9.201901426341161,9.806938327546302,9.649856782159564,4.468591758723182,3.722577855893829,5.793696079711583,6.01779368738786
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2605281107507738,3.1778529852342907,2.4909970329301254,3.3191065453442166,4.566075988445345,2.7748363298269387,1.791960491928763,3.9011706234068138,4.731717941457503,4.652952501536529,4.15877990138451,5.359812346127831,5.718428009614883,6.501918595694812,6.306191598028343,5.528554923611176,4.8350576494477675,5.431515290604181,6.869015087947106,7.575931567189585,7.464170272717468,6.972071213320083,5.999859867799311,7.69413084890272,8.802444433851432,9.318457486068377,9.362392120130892,3.9915938927022596,3.418673468938396,5.274952170197219,5.571850154146506
