,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21N,22C,23H,24C,25H,26N,27H,28C,29O,30O,31H
1N,0.0,1.0198632296670507,1.0187724239763076,1.4677893151300225,2.0951631997202718,2.4376627920460776,3.3931707906226394,2.659152425800275,2.845397672101111,3.0464529352416143,2.4987828353643633,3.17708324643445,3.3005760761867613,3.440225150738687,4.608604943549891,4.687500585104597,5.4471973184456015,6.405381756774173,5.115049938454293,5.920604570912793,5.295785442152696,7.258937299323375,8.145926655735408,6.397599100000453,6.609350239826444,7.498886396742856,8.447442535036386,5.605402299366909,5.671556465079506,6.766611273618626,7.407115812786277
2H,0.0,0.0,1.6452623973411986,2.022772639114773,2.918326680891863,2.51209445029756,3.548889791821682,2.806733127376064,2.3682410105104346,2.5513119640420188,2.7722714865232208,3.0452752520448825,3.8069387510769466,4.164330273752777,4.966854357111618,4.83094952933716,5.930977654833652,6.799243014094123,5.58266981348723,6.5939213003911,6.114405127933398,7.95206421930228,8.775831060613829,7.271636077519335,7.5493165989572315,8.307598492272785,9.276071434215737,5.938113332552321,6.0607923854503385,7.005725776055761,7.644906258376982
3H,0.0,0.0,0.0,2.063400882137686,2.50112742067377,3.33179155428279,4.186827789018238,3.6424790918473726,3.702439393912923,3.709531612201214,2.621272713993219,3.3594056577541687,3.0731056434426347,3.180283539556219,4.27837103923322,4.3432591172744335,4.882609528118503,5.838959166481621,4.391153197485958,5.404110942882657,4.848181922391741,6.757048003119867,7.625029962671824,6.00009860230929,6.28561552735976,7.056577518762485,8.021750856239077,5.482546697429934,5.729325406857715,6.574103804122644,7.308098955765149
4C,0.0,0.0,0.0,0.0,1.099230953780329,1.5394526786743141,2.169958952234204,2.155702025352841,2.4443436754088443,2.5180926555315795,1.5379425680353263,2.4361102049339918,2.4558849799483804,2.6146647507819036,3.8197368716509668,4.077122618870041,4.88016991341414,5.8288284879784955,4.848044737729232,5.244522384337287,4.634992698578607,6.5215052651343255,7.399618981281868,5.691061541883436,5.933209573486706,6.743415607810012,7.670392680660933,4.511860673954015,4.377949408068414,5.760169562149159,6.282659130906294
5H,0.0,0.0,0.0,0.0,0.0,2.1604870579842226,2.48469550734989,2.4618972887690194,3.372939155565624,3.5282118791199757,2.1652357460945666,3.280787067989539,2.5460382146736174,2.268135527329325,3.972531176595583,4.492050029548632,4.830003099117892,5.851213459700658,4.864080403195991,4.871760403273589,4.026035213345661,6.066855925106356,7.023430633087992,4.931703535546567,5.033199463051548,6.083803236435571,6.959812944490602,4.577807392141533,4.301131939491635,5.90475375050546,6.381273407578151
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1022800304896494,1.0947790298628162,1.4164108354312426,1.9142579163020255,2.512312175036171,2.866901480348933,3.6688365039589432,3.919973265678622,4.871559894330736,5.028518918851816,6.134861311421723,7.000633391169947,6.227289343600405,6.50840425944069,5.922868028165313,7.716306897563323,8.557165061454512,6.881300494876337,7.051959559047525,7.9084783851424145,8.789379655018326,5.2168279935636495,4.8479484406365305,6.423182465701318,6.779703240943403
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7817528040109343,2.093050187490648,2.3486041767968606,2.7378853389764486,3.044737921179568,3.7339383323607382,3.95954993297273,4.795844079201832,5.05975370782564,6.127195181807641,6.936511609938148,6.4100772200582,6.3955959403208045,5.850837404313346,7.493442758813218,8.297288677403266,6.705813488739519,6.8767014047001656,7.654258387897181,8.482788837632082,4.813362322639962,4.23164040480957,6.0145856488018765,6.227591562061688
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028134045615925,2.8109525491998353,3.4573802124627315,3.922709622076522,4.506268965992267,4.5785492711489235,5.806391350254203,6.026030531662372,6.966616432826548,7.8928365082921195,6.998412082977973,7.209118849766367,6.456929456504834,8.400378934346747,9.30270098495921,7.319974107469423,7.340078824205251,8.448720206449003,9.293744352240502,6.186188049074344,5.747925349075531,7.435191293981744,7.778613682058447
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9797096744001145,2.9678094578459597,2.7480474663367556,4.310800457081999,4.81622840140306,5.312068004996449,5.172939239245921,6.669194828484337,7.424350372998178,6.687401385619167,7.307889664159679,6.912808941132154,8.562993367017066,9.320162225565356,7.981938557447286,8.261183805508127,8.928065429679801,9.849396604128925,5.706185293370228,5.50738069027995,6.744339523597673,7.127612082601045
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.486304713073619,1.9305226449086563,3.832259178726581,4.506064923614399,4.63879164540409,4.3779995100709455,6.053333281224359,6.7195620674224,6.110015526924777,6.829210130531685,6.609627393862595,8.076413949740925,8.758408182972339,7.738201484310811,8.139255499207101,8.573979731783012,9.513330864254714,5.017123412343364,4.946379361958397,5.955451821427723,6.363683856138641
