 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,H4,H4,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,H6,H6,H7,H7,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,H9,H9,H10,H10,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,H12,H12,H13,H13,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,H19,H19,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,H21,H21,H22,H22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,O24,O24,O24,O24,O24,O24,O24,O24,O24,O24,O24,O24,O24,O24,O25,O25,O25,O25,O25,O25,O25,O25,O25,O25,O25,O25,O25,O25,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,H29,H29
1N1S,N1,0.0,0.023852459702384365,0.0016277712686623147,5.3610507326773416e-06,0.0005541647707805186,0.0003083717947229836,0.003048967637802935,3.0189184485607257e-11,0.0012558889636007375,4.3280907857518036e-05,4.812920421620737e-06,6.447455465549701e-05,3.428784772774307e-08,4.0309955962158917e-05,0.008103517078634326,0.0011284260036359406,0.001065968890930885,0.0020522879903435154,0.003103295612120638,0.0060462129191098946,8.471289202538479e-05,0.0005169137484850594,0.00036575746802758324,0.00033112878507801646,5.200023825202571e-05,2.8513303660576694e-05,0.0007703908190156428,2.2190344895173242e-05,0.00015327024000352796,5.6689502356183086e-05,0.00035658542359495726,1.0125512983627516e-07,1.6042601971577586e-06,3.424332910118011e-05,2.6739272413589532e-05,7.796835160478466e-05,2.850219489536343e-06,3.153336153416397e-05,3.3881497276233574e-05,2.0213957572234875e-05,8.26890901797217e-05,6.5756191568178135e-06,1.634157207494602e-05,1.5569184635855216e-05,1.7184397925751327e-06,2.573419865864457e-05,4.5095557562158106e-05,2.2200982987552464e-05,4.48951320564106e-09,3.2061877375255676e-08,2.0924950949741117e-07,2.0089018950120163e-05,1.0939619303762527e-06,6.689643954449487e-05,5.352622751186864e-05,3.2598321734411684e-05,6.0061505838593376e-05,5.637513757816848e-06,7.791894396680377e-05,3.3751331960374387e-06,3.772361365950161e-06,3.835554744649472e-05,3.3490032559951866e-05,2.2244770099544287e-07,4.769989925490492e-06,3.433208553005329e-07,5.011480164718307e-05,1.485681457125132e-05,0.0010777165712677894,0.0021150536389853425,9.295391390162777e-06,0.002037069610757669,0.007432463153556279,0.0005206179051686632,4.149231961458888e-05,0.00010537018919576369,0.0006869507502262895,0.00025728292484933357,7.79591142785474e-06,5.364228610338362e-05,0.00030808582357394476,0.00041396336057047955,0.0001592484131334171,1.9996799475174853e-05,0.00028150801283466365,2.8619573821941913e-08,2.166964009064909e-06,3.452902134370994e-05,7.780832460557718e-05,5.7673059947749294e-06,4.845421389676474e-06,2.998194571812718e-05,0.00014014642986337478,0.00011053427535312466,1.4095830195848258e-05,2.035145696241414e-05,2.150299910463893e-05,2.089700612106782e-06,1.5214299819987787e-09,1.084298601372602e-05,8.908508088878442e-06,1.768917136191206e-05,0.00022936161829067991,1.208587505963088e-05,1.4978309700541814e-05,4.186616837653645e-06,2.106673154211869e-05,1.651358664700453e-05,2.69000797192831e-08,1.6133355550118633e-07,4.000007368915037e-06,5.254107704466549e-10,6.418418667664127e-07,2.0862632094109657e-08,9.399863055564728e-07,1.1455405831917176e-05,1.2257245560753915e-05,6.398332070833845e-07,7.938612956781554e-06,2.3184933510833616e-06,6.8706752065494925e-06,5.554661064444133e-08,4.984639871974395e-07,4.583811504921265e-06,1.1368359192631683e-06,1.1445190892661605e-06,4.5317864333371816e-07,2.447004829320143e-08,5.986812757097226e-06,6.282017206427071e-08,1.6501500932353252e-07,2.329562887481984e-06,5.30218010985628e-06,6.341759528627477e-07,1.7696703273895054e-06,1.299071701321708e-07,6.49059627821913e-07,1.6017558979175561e-06,6.4866128024476666e-09,2.2245206510174143e-08,2.168279042424892e-08,1.0638079306346526e-10,1.226615974625478e-07,1.3199490667137326e-08,2.402640308929449e-10,5.464767647289648e-07,7.740982049808665e-09,5.671963720921269e-08,5.7591014179791955e-08,5.271206029444642e-07,9.947354651096418e-08,7.38765610908132e-08,3.9819259001205864e-11,1.7638004723430356e-07,3.305387630270218e-08,1.8418820080245979e-09,4.7673090225464065e-08,4.091660982252776e-09,1.3151378569498107e-08,1.9015344854267369e-13,3.234567769183627e-08,6.324752543918066e-08,2.6024510324518246e-08,3.9461323098066714e-11,7.386859235403165e-09,1.106252689453413e-08,1.2634439716663337e-08,4.873209169531378e-09,7.116939193529959e-08,5.891053644901945e-09,4.780620344035924e-11,3.469649234588701e-09,1.5418177845560876e-10,3.270379689279679e-09,2.0662386801539867e-09,3.045113744493122e-09,2.4251946006970115e-09,2.5301039041636386e-10,6.64726718113684e-10,2.8631474968676685e-09,3.576749985079175e-08,5.947515813176096e-10,1.558186732975031e-07,8.280531815785253e-10,1.186823661569747e-08,4.372504802674371e-09,4.2122468180139094e-08,9.954481683394079e-12,1.1748463313310253e-11,1.3766474488141611e-09,2.5011709370303947e-10,1.756347886572307e-09,4.1567695119315573e-10,5.539888547900773e-10,1.5746199899524527e-09,5.4519136538644375e-08,2.8558129860911663e-08,1.2979315400230007e-09,1.6478549635934314e-09,2.2967282964359015e-08,1.2192199028149275e-08,1.215785944141956e-10,8.544820406797271e-11,1.2893533463120832e-11,5.337159048046658e-10,2.3385384184670954e-09,5.107249559377358e-08,3.5395060216103502e-09,1.087801100307928e-07,9.889614238645095e-08,8.147491570298371e-10,3.3917940189809315e-07,1.901933631698327e-07,1.4905306577883692e-07,1.3312460356296185e-08,1.6327686896966398e-07,3.8995990103707356e-08,1.7821435271958563e-08,1.7202717028652614e-10,1.0899503521955012e-09,4.272684701878138e-08,1.3482861982438976e-07,5.252453791904088e-07,6.046630329770153e-08,2.901738049843061e-08,1.7212069547412057e-09,3.1423033064470474e-09,3.5614555748963994e-10,2.050041714163342e-08,2.0564906708098185e-08,2.9442920476685508e-08,8.03713540165063e-10,6.091018245335533e-10,2.889422867635716e-10,1.950331809941197e-08,4.394765729109906e-08,8.558727593310778e-08,8.768718418039612e-09,2.5447793650101858e-08,1.3419709787854117e-11,2.0987367399527557e-09,1.6118065548909044e-08,7.44856132328664e-09,2.4880874582855483e-09,1.147676133295139e-08,1.0128556326982618e-10,1.735272203706728e-10,6.07783073869328e-10,1.1395138832526186e-08,6.19391226086563e-08
2N1S,N1,0.0,0.0,0.025629865973351595,0.00045270024795751596,0.007930429328284028,0.2790767272611774,0.04367490476650149,0.00031997444439424427,0.01702731723381179,0.002176123198002644,1.3339580035021115e-05,0.0020288634787581916,2.5450335681131975e-06,0.0007275299576143812,0.10612017371922944,0.14893300864480752,0.003212338105548884,0.004636774351530981,0.02783161580564908,0.05935976462989112,0.0012150091632023852,0.03589341509055499,0.08412256921536176,0.13970717659346388,0.004426324261813441,0.0013604038144099384,0.03662793497402417,0.0011704599385520265,0.00788623251926901,0.0031799113142596536,0.00830422606292558,3.231904496781013e-05,0.00010090698176412616,0.000442677827331206,0.001992151652384422,0.004548766068958265,0.00021232738126020223,7.536765463544981e-05,1.2171132445004673e-05,0.0003670216109221691,0.001225727276181754,0.00036025932591976506,0.00010660358373848489,1.0872635660685859e-06,4.9950963479261645e-05,0.0001303376015560076,0.0019324325611482784,0.0010132432667258051,5.7697382931820584e-05,4.88693202349566e-07,0.00010258467436696783,0.0003289695356767375,1.3374523115672332e-06,0.0026870844673125838,0.004710111998838418,5.5897030935003755e-05,0.0015452565484315173,0.0009678795584440181,5.4545980481712775e-05,3.6864756729926285e-05,1.777865316698879e-05,4.615956624332007e-05,0.00032160161235350593,1.1615690769239961e-06,5.447524593948927e-05,0.00012286624571755667,0.002245781541466485,0.0009797464875935802,0.0030244530980021445,0.00432593326691455,0.00010730130571978691,0.019329437486208523,0.07265553627820065,0.03392989974536942,0.00020051033222490133,0.04493187343141569,0.17151570833581653,0.013270290638853321,0.00032044826021371264,0.0023461821641839187,0.016249356669228332,0.023046954286383592,0.0038565987415788427,0.0002008321878705921,0.006799791812151845,1.4649067459515663e-05,7.579923250000675e-05,0.0003355274867593572,0.0026886244765234046,0.0005130431951778647,6.160661502985221e-05,4.123640898434644e-05,0.0006371479624549536,6.372473321114569e-05,0.0005647191681683594,0.0002218597774081843,1.095681533724857e-06,1.1059514273270565e-06,7.1109439549355e-05,3.494428722183862e-05,4.060492361923629e-05,0.00023510129475923236,0.00603554635212733,0.0007690272344533788,0.0005353266653225219,0.0004225927261285456,0.004615754872685063,0.0011949896642469149,0.0005046549707623527,5.5494867236882683e-05,9.443442135426139e-05,0.00013818893837647117,3.600732075415003e-05,1.9824378527655284e-06,5.871859010797564e-06,6.420592738365372e-05,0.0003995846214133181,6.2600588539574176e-06,0.00024307308341819933,4.3687666089198274e-05,7.966130965098017e-06,2.653830101895238e-06,0.00019912216240136615,0.00021037348492525254,8.35499165408038e-06,2.9056271924066124e-06,5.785995415541478e-05,6.519055995024559e-07,0.00020196216553314272,0.00010879110162731465,4.98091152545399e-06,4.573971279731026e-05,0.00022248267071089955,2.9312311026874482e-05,6.222978304837312e-05,8.448449051456919e-09,1.1812224731677645e-06,1.1243760306367534e-05,2.9515959516501766e-06,1.2381678098805082e-05,2.8074649738307755e-07,5.969193996202549e-06,8.725116015684264e-06,2.6497026794913836e-11,1.238469524267316e-06,1.7380748403628132e-05,1.0320940813102197e-07,1.2199318222272382e-06,5.000776337471535e-06,2.7116993979170445e-05,4.823501458250945e-06,1.1479735495534271e-06,9.526400899240173e-07,9.337560495925601e-06,2.2691267429486572e-06,5.302693839581707e-10,1.688263521870681e-06,1.4726361574624036e-07,1.58601762079158e-06,2.539474819318599e-07,8.830946569560183e-07,1.5962805823832582e-06,2.5421561975491613e-06,4.2219494122974766e-07,6.61120465039744e-08,5.247585495027351e-07,7.415817906419875e-07,2.9925702849098457e-07,3.684420250671394e-06,5.408904195647324e-07,5.919589263214675e-10,1.6808754832453587e-08,7.998640771944565e-08,1.7827999787556337e-07,1.4004721227145467e-07,4.578832863977311e-07,3.0823307661798083e-07,1.2794173631647254e-07,2.1317674292475886e-09,8.129734130335464e-08,1.569689268787755e-06,1.8768873566443744e-08,6.287271979488196e-06,3.383598468076343e-08,5.482730642825118e-07,1.755279623871786e-07,2.6360961027371843e-06,1.8058561312983556e-09,4.795417396508128e-10,1.336550210506715e-07,3.899920564265358e-08,1.3596986803143807e-07,1.0876062273013076e-09,8.088358871560786e-09,4.6642758100290393e-08,2.0247474821211142e-06,9.348862901603638e-07,4.967330813343551e-08,1.0420297513746846e-08,8.411868059887695e-07,6.781303212299861e-07,9.091616348655407e-11,2.5069436526692357e-08,1.885578360116824e-10,1.158104574461305e-07,1.6758517595860667e-07,6.753745451781867e-08,3.441182134800158e-07,5.373157896393366e-07,3.019922378388884e-06,3.851469543292296e-08,6.484484324165152e-06,3.640178460884158e-07,3.466407763497159e-06,9.92041627512208e-07,1.1252377704717986e-05,1.0575124682610237e-06,1.8279182310010356e-06,1.925172599115399e-08,5.798024416137082e-08,1.7562876486465484e-07,2.9300474793103604e-06,1.3255242731879946e-05,1.1792931262633033e-06,1.921169557217439e-06,4.4868081561233453e-07,7.499299092827982e-07,1.1857400838977128e-08,6.101094385257966e-07,2.492868655945557e-07,1.1122984249212209e-06,1.824640680769818e-07,3.787461233528688e-09,6.589829992798002e-08,9.393775979305019e-08,2.0693640019331383e-06,3.479412130857895e-06,3.762200107004787e-07,8.085959417591937e-07,4.408685638779275e-07,2.8678485541888676e-07,8.143263841020598e-12,1.5386075835621682e-07,3.582469365603913e-07,5.107143599136776e-07,4.326272673438325e-10,1.5849048518035147e-08,3.83925664593221e-08,3.100177612402888e-07,1.5278705145505e-06
3N1P+1,N1,0.0,0.0,0.0,0.010330745571248467,0.014079255937236468,0.02999702549258698,0.17149258588924576,0.010515865972100968,0.019864180985850854,0.004831829230431017,5.021401596083663e-06,0.0005579527067502976,0.004273028033852322,0.004091254926618104,0.130239480337905,0.0272920021532288,0.006295273174945049,0.033793040200986724,0.03284115227709927,0.11359582754286679,0.0008594098307095344,0.006745438257339753,0.0034934679740117325,0.039502338109024926,4.574584251582081e-05,0.029761862878681322,0.0004605654309213225,9.484133592696509e-06,0.040829377019147683,2.844915771849088e-07,0.006964890094932397,0.002798227782285778,0.00022826977147927252,0.007322427664107067,0.0017617302020949133,0.0016462802754708683,0.007760412627927149,0.0022078737240569524,2.556947298337775e-07,2.118821860186415e-06,0.0015582759683563374,5.629776963056443e-05,1.8855586913835154e-05,0.002713356492670016,0.0004446083618439012,0.0028731429407848896,0.0008076939524293003,0.0004283905442892255,0.00022565430794729835,0.0006761238698831384,0.00038111674304097676,0.014752521010679587,0.0045512061759613864,0.00020677398568968997,0.00437915207435946,0.002874374828837567,0.001162061793584357,0.0011738944717807342,0.0012241781577766453,1.9925308449852963e-06,9.791141684156734e-05,0.0007550916660123974,0.0031769377621804207,0.0004760627790285632,0.0008809078312501661,3.0365171806323588e-05,0.0012861513153676896,0.002545958321084729,5.719859077268907e-06,0.00019945567779044993,0.002316684359126686,0.00021317967510370295,0.0014562336519219343,0.0024661157925414123,0.03141781909650154,0.0035928243461702536,0.010137652505923356,0.00034578935323703597,0.0043621323010463176,0.0583187464638939,2.155141559878615e-06,0.0003585231740266259,0.00010350044950468984,0.0008744948936616481,0.016802285185106847,0.0046152261014582585,0.0003439006464629468,0.0075391698600877355,0.007370025913017386,0.0003408592348326245,0.00844263475102025,0.0011972731350335941,0.0008893640674987324,0.0073833752626293325,0.00015562483681019756,0.0016089000859738078,0.002112392855308176,0.001815637760179456,0.00011444918486591682,0.0015299473110010897,0.0001254175359328702,0.0020623269358615026,0.007333545955267251,0.0015956767880038747,0.001957679420459879,0.0005710345739813327,0.0008231056387231206,3.783333343232442e-05,5.8983745647278596e-05,3.293749744814889e-05,0.0011720417011014117,0.00010904051816851279,0.0001955857294648755,0.0006222283416537078,1.7010625808167035e-05,0.0006218204846804021,0.00015775753422619943,0.001352726424783679,0.0008985341708944716,4.7849831279922483e-05,0.00015541484681236284,1.028757973653427e-05,4.462234356683581e-06,0.00030918048892036865,0.0005628016479275466,0.0004022257217897174,0.00019722391660126348,0.0007112124698998024,0.0005154499187698391,0.0004691943826564682,9.656715604045019e-06,0.0002786034919259883,0.0006512393775461867,7.475024363001737e-05,8.632138830755309e-05,2.791908455090919e-06,2.5304029813710827e-05,0.00015888840634792345,1.926236056615238e-05,4.570443693729942e-05,0.00015913931752509214,2.407613608013115e-05,3.616455397770224e-05,3.346759319633463e-05,1.0605004264085949e-05,3.94846847062702e-05,1.4404026684733395e-06,5.308829057026898e-05,3.3596016986603416e-05,0.00018132709144680348,2.5659528402055543e-05,8.333837006269107e-06,2.585007942368378e-06,1.859652841940118e-05,2.4811949779213194e-06,1.5028831810148802e-06,3.639460211957157e-05,7.723874615450654e-06,4.743151529318368e-07,2.5287891780578775e-08,1.721962550371714e-05,4.198900218632673e-07,1.4428874874461428e-05,4.397550845247622e-06,3.461891016076635e-07,5.221885546635718e-06,4.622814581800583e-06,8.192901059800306e-07,1.7103757222525218e-05,2.437108598485338e-06,1.7910761500594674e-06,6.915252727335286e-06,5.9517479833459674e-08,2.4898590389454966e-07,2.651031552947103e-06,2.5824448690592305e-07,3.317877986575013e-06,2.6622502624640276e-07,4.917585827435289e-08,1.538133869161129e-06,6.772463442050736e-06,1.7260991702627848e-07,2.096190584977009e-05,2.4782153218438907e-08,1.0224041293582786e-06,2.931800575645127e-07,4.063693199718443e-06,8.836191778271996e-10,2.284326943158277e-07,1.2400805342593912e-06,3.4135092641385256e-07,9.654069257347686e-07,3.445264074031229e-10,4.849479484647645e-09,9.230765929402196e-08,1.6553982487010899e-06,4.156105535280119e-07,4.3421762185857915e-07,1.0192534860564706e-07,3.6585528295773884e-07,5.701425020987472e-08,7.812288593811445e-10,2.6671815067658144e-07,8.945453267017456e-09,2.118529978112349e-07,4.5781448299031524e-07,3.929656378076629e-08,8.787144345046016e-06,2.0723124069643717e-05,2.392751572433127e-06,1.1566543137497831e-05,4.237950248509037e-07,4.070702164682416e-06,6.555665076124484e-06,1.1856989114988892e-06,9.074179796897397e-06,7.372450812059839e-07,4.007709903941503e-07,8.854893063237057e-08,3.796903941255536e-06,1.113324121782e-07,4.358441714202854e-06,9.023350058257051e-07,5.068263768670533e-07,6.667273598104373e-06,7.150039786907314e-07,6.102830197640685e-06,3.4435599705062714e-08,2.260780132434803e-06,1.6234236872580965e-06,2.8859096445899013e-08,3.637331169148439e-06,1.2630012857783868e-07,1.093764390169838e-08,2.9215182495434533e-08,3.3824489475975383e-07,6.463450841209806e-07,8.135194757841191e-07,2.2145387346128587e-07,1.8498274467759757e-08,1.851300481803264e-07,1.8931308076730602e-08,2.8857316536345934e-10,7.718590397942648e-07,4.966064572897722e-07,9.695646063789809e-08,2.461407899723156e-07,5.5206597071588703e-08,3.304680973315044e-08,1.8672620782922422e-07
4N1P-1,N1,0.0,0.0,0.0,0.0,9.846268297142302e-06,0.00018856293918290135,0.011606417111072798,0.2933827906126125,1.3406895102985317e-05,0.0026145627054903198,0.044174733944950084,0.007102048105372294,0.015362342328245404,9.023608975700093e-05,0.1908162224545853,0.09279902760477121,0.009879821119946453,0.06666813050583631,0.13438352855874447,0.20175787908584075,0.003497394483543026,0.032395435892201174,0.07616640368107053,0.06831103826219431,0.0019740899891327324,0.009184523340788564,0.02953193123542963,0.0005409659836739245,0.0005913297395474526,0.0010690485000617311,0.012385905385470242,0.001251867434599152,1.2387168102367951e-05,4.583171859096069e-05,0.0009421002109983867,2.9147104907423227e-07,0.001584779283515747,0.0003343970832609955,7.1860712068883e-05,0.0009599491688221384,0.0001127014447339647,0.0016792363779860597,0.0008537089892979299,0.0013591466207953928,3.199721448998716e-05,0.005489261884536578,0.002814153966364863,0.0017074612588205973,4.938840093249297e-05,2.9947273869623814e-06,1.3057600063426378e-06,0.00018450215306531348,0.00023548141150975255,0.004888663421300343,8.84361478741269e-05,0.00016647659675150805,8.17970740030205e-08,0.0017256948885311374,0.0001370032343008809,0.00010974011835429565,0.0004696027274437853,0.0004991442575192906,0.0016425135308706373,3.4376821524739753e-05,0.0002639957106471691,9.895875230370166e-09,0.001032269030836197,0.000632628912605071,0.0028682207797467996,0.01832484015567104,0.00010954200575996609,0.014174690861200823,0.09216291769583362,0.008250052774021022,0.001273125453403079,8.014501716013811e-05,0.05593388157730983,0.0007486839266119816,1.3353024144180381e-05,0.0026340460190552584,0.027640776215150265,0.0024994407526794937,0.008511256886619467,0.0010389923116895794,0.0007260852042478838,0.0009666659094142993,5.274894436624322e-05,0.00010926747049877505,0.0003020297431466368,8.607455610487591e-06,0.0005195462572680221,0.0001717170176189775,0.0015244709652972865,0.001057357194143016,9.372543483143758e-05,0.00034717890850077815,0.004389903303534171,0.00022750580941566234,0.0010659818231979479,0.001914841280287849,2.0078721925331777e-05,0.00042760496405058745,0.0006036083789870972,0.0035551890605916014,0.00030333398193116423,9.05897438654435e-05,1.031037938936663e-05,0.0006424167391534397,3.789648391272493e-05,0.00013075210925195258,7.116608884638609e-05,0.00010662076903100726,1.3813046658039951e-05,1.5192154034116001e-05,5.9618443698505885e-05,0.0018477919229082929,0.0005091663165730509,0.0007893545130981394,0.002005766982778212,0.0004052861466572466,0.0003770979222670334,5.0223669516125113e-05,0.0002341447639273575,0.0002634510670773693,9.364558511393284e-05,0.00043288745461467215,1.2597875229669597e-06,4.5172185368036466e-05,0.00033369741558120225,0.0004966342480110519,3.517156436094737e-06,9.786281366830352e-05,0.0006357669384025044,4.954062582385177e-08,0.00029763543790561897,2.912485640216289e-06,5.0476667037724354e-05,5.277359109712165e-07,4.8324874795113715e-06,2.1548423805306527e-05,1.5036764446030304e-05,3.80012534189067e-05,5.6127550083218125e-06,2.8003360446060555e-06,8.011196867530046e-05,1.482780701778097e-06,4.314270583005708e-07,5.785659551893474e-06,2.416859971754448e-05,2.2692671887369897e-05,1.045005971933577e-05,1.4173432116848517e-07,2.2168590962934331e-07,6.697902068530937e-07,5.553468795937988e-10,1.1314680972152047e-06,2.6080914849790915e-05,1.0844581852964552e-05,1.5267822479181348e-05,4.992959184990653e-06,1.9514029864886595e-05,4.011643207846305e-06,4.782834044370077e-07,1.5071884629236365e-07,3.7794602514296116e-07,8.270702427370935e-06,7.254311729099072e-06,1.3100924611819664e-06,2.9554220985161805e-05,2.4311077724270547e-06,3.059802322624705e-07,4.089608245383403e-06,7.396093137934656e-07,4.152488419784106e-07,9.474273263698763e-07,4.823734547354519e-07,1.7504566105497332e-06,4.6228237637890857e-07,1.1230092411551595e-08,4.4182939396009147e-07,2.56564571765594e-06,2.574421045231645e-07,2.0160627502985307e-05,5.457629903560246e-10,4.372914812478257e-07,2.2782663045006757e-07,6.743540252873714e-06,5.827527349566708e-09,1.363931361186843e-07,9.252887260835507e-07,2.507551188912771e-07,1.530042522679409e-06,9.079046625615206e-09,4.937094160162303e-07,1.45735194134744e-07,8.877562359010938e-06,1.984542358890451e-06,2.5141936133010745e-07,1.2234047774839496e-07,6.625296395945668e-07,9.075526996582539e-10,4.7442138884079554e-08,6.946609372171508e-07,8.390036732031092e-08,2.2178839254038962e-07,2.054952767505114e-06,1.312923414431566e-08,1.6865638738927657e-06,1.279877902238269e-05,3.566702488910778e-11,3.283753705840553e-06,4.992326099184652e-07,4.4979015800805655e-07,1.918049469473715e-06,1.0243749848370953e-08,1.6839305102100965e-05,7.192582409665249e-07,7.250352438425978e-07,7.568916810640758e-06,3.117289804954737e-06,1.5261044761238907e-07,4.386516170740151e-06,6.6996589618284474e-06,6.25910003826391e-08,1.407253814100784e-05,1.5809396547439292e-07,5.571648726387934e-06,2.2043847680564e-07,4.3170400676473264e-07,4.264453651980915e-06,1.0390854821018536e-07,1.3318717004828784e-06,1.1947349776164629e-09,9.211748697168787e-09,8.659663253141048e-08,2.4438629568912518e-06,2.1298514512047007e-06,9.816166945952887e-07,5.140611181175814e-08,3.265634340721135e-08,3.803734718310636e-07,1.9062211942255658e-07,3.823782739331705e-07,2.736720590146291e-07,6.754709092060551e-07,1.2372197710774913e-07,7.040159528681755e-07,8.382792548999873e-08,9.240632805607163e-07,2.6459733488692905e-06
