 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,O24,O25,C26,O27,O28,H29
N1,0.0,1.9458402927455878,2.860018381022294,0.09568827390928303,0.1922005925422086,0.01593162534006276,0.003610495102048139,0.23255785889615466,0.004511643401180487,0.029639610746542866,2.8204002365450496,0.08127808387441515,0.10092824596617356,0.18250446072984564,0.072926945976936,0.025728676841593703,0.003360411520028861,0.005623587139865549,0.0003421494607707132,0.0009812832501356061,7.633191587319565e-05,3.54026890916348e-05,0.00022335881900401033,0.0001464736815106893,5.7326773694299504e-05,0.0004221116702724792,0.0001954368389200864,7.290438083956685e-05,1.3503682060211908e-05
H2,0.0,0.0,0.10475492809109799,0.016144518935315322,0.01153673011096179,0.00019774548295914407,0.00012200275054974341,0.006353278028238041,0.000851550811950208,0.0001675510896517185,0.09734990487314876,0.011338196710376058,0.02472515188438451,0.0529372940303352,0.13117129952349416,0.008716404467465022,0.0005918729434790659,0.0007464372370984407,5.809419932556459e-05,0.0001715579891394814,2.354166148288428e-05,9.098647247185454e-06,4.380343256837893e-05,1.9969528777252776e-05,6.507823475665475e-06,6.0017464642236895e-05,5.42798160825253e-05,8.017868285747909e-06,4.326636426910113e-07
C3,0.0,0.0,0.0,1.9889470261928721,2.481600480040558,0.07348015346083847,0.08026875345815898,0.19917645761074726,0.003841468212963939,0.027320062634536013,0.24524203084001686,0.026808169429840323,0.005205154897639952,2.663031460720562,0.28983796812690754,0.23425475553498143,0.019750985008852084,0.03623570048564223,0.0026027495998279804,0.0040682264969856274,0.00034662736120627535,0.00011786791268586505,0.0011978659064304231,0.0005775093689162764,0.0003413469344542841,0.003310835962660269,0.001874319088604512,0.0007000951311264825,0.00011647133781034213
H4,0.0,0.0,0.0,0.0,0.07464259164847631,0.0037122929932593696,0.0119951366494917,0.017702281743438908,0.00050831911562077,0.00019188637090250538,0.012210877646676055,0.0002595289604272466,0.0008199513300450878,0.09569290199413794,0.027055140036520875,0.012002172230775932,0.008004964921788593,0.0018151162140311872,9.497178572570597e-05,5.6943546919985266e-05,2.616872185323693e-05,5.87396483298086e-06,9.253008428355969e-06,6.867291519885299e-06,2.9290202288589917e-05,0.0004958629531364167,4.4201275580024735e-05,9.843613870819112e-05,2.6527674320320216e-05
C5,0.0,0.0,0.0,0.0,0.0,1.8093724005447085,2.17229227514233,2.584608001765055,0.08138050357613125,0.07632530798551196,0.2221515775262489,0.028095479501652587,0.007057461232537365,0.18398688819842385,0.03889202466166812,0.032948979702230125,0.0030203826419142876,0.0030269174323565573,0.0006405290101588745,0.00035538517098296363,4.563908574239939e-05,9.00212938526046e-06,6.670683975415481e-05,4.3320267238716736e-05,5.81234839814454e-05,0.0030390450821050075,0.011197398717581589,0.001155952559437956,0.00016876045723102084
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.02670622899171793,0.07734561464356693,0.008946104601632587,0.001185531877547552,0.027077897706686338,0.0012497603197321183,0.0004364348006529184,0.021191958051364645,0.0034480702840523625,0.006643293084561019,0.002026863315463423,0.000750897170653797,0.00020834084499887773,0.0001470294642140768,6.390007143197707e-06,6.207899112098403e-06,2.818717320196562e-05,1.6994617688892433e-05,1.1969754594387538e-05,0.0045830491192204725,0.03489078050824623,0.002199709820488227,0.00011250175518551231
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08000229916297008,0.03036468347452259,0.008294023670069706,0.0059929283972244285,0.0002339687177979055,0.0017016512402632245,0.018671691539525748,0.0049759434296103855,0.0013301698697838482,0.00010434988755636532,0.0003053314467782453,2.315805148889183e-05,2.0876717166551373e-05,6.194900391109925e-06,1.5083862263676195e-06,4.428433497460915e-06,9.075165546823527e-07,1.31678251480416e-06,0.00020075710239941813,0.00021893544616613525,6.706108154119761e-05,1.5323799030353413e-05
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.073796968291087,1.695475409145716,2.7683352290021532,0.07440400041519446,0.07804817311465584,0.01324397389165155,0.005031663972261749,0.004977457197174101,0.00047199823771648663,0.0005531574150643703,9.439142563771874e-05,6.373658827432682e-05,7.025181211206544e-06,2.789846944128982e-06,1.2559855644911355e-05,1.0387928947613867e-05,1.2227942399758995e-05,0.0003234841037639269,0.0006885155985827812,9.387706975851062e-05,1.922684232924521e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024873368977790244,0.08109385635128241,0.00792847342550651,0.03127036082889667,0.002045711134232464,0.004673098804492626,0.0005726598759019375,1.3781688602776399e-05,3.201887692672045e-05,7.70449785725269e-06,8.726269310921353e-06,4.924160643682285e-07,1.2712903776357365e-06,2.662161948441266e-06,2.2226296743088625e-06,2.5329462705059314e-06,7.273372764515784e-05,0.00026744279494661516,2.697632200321376e-05,2.3429770874550115e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07733470521776997,0.0012215007181217707,0.006394543816279574,0.001984846895556558,0.0004479310737310893,0.0007747481678361812,6.154856792783825e-05,7.49148411340883e-05,1.3374840586610759e-05,6.1812617693224325e-06,9.823100051153943e-07,2.6878024872445394e-07,4.1240169590395226e-07,7.24427132281491e-07,1.3071206563797233e-06,5.5043983912428374e-05,9.076108619221479e-06,9.843265527331724e-06,2.679080072898188e-06
