,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24O,25O,26C,27O,28O,29H
1N,0.0,1.0226871555749792,1.4736964008295286,2.1298109192151182,2.447846645446424,3.3257430838845883,3.017914149166871,2.405640972042234,2.8063114799432975,3.3730416478211787,1.4725588848953801,2.1170519461777033,2.1153082002123353,2.467936251779842,2.7310583310011007,3.670653379029064,3.9208551800700846,4.943887634999127,5.122138597571035,6.148345430563419,5.960069883148443,6.676169089032582,7.332924388533033,8.432494710335957,7.177536624634215,5.407580121092612,5.1563846969403135,6.576003711440979,6.985358828560213
2H,0.0,0.0,1.9965213682610836,2.7964682852954637,3.0205479007693827,3.687270776578469,3.8050903160564067,2.8113891930437296,2.8159092116067934,3.8500547793162214,2.0430205362405887,2.2668842041953354,2.922337222883433,2.310485081113157,2.0988565078647885,3.637676666987486,4.136967677026402,4.71090109781183,4.694607492369906,6.035271179357339,5.959271750790949,6.659429612711033,7.0636382981767625,8.230134642040069,6.749785598328587,5.153200300678674,5.0356807198328895,6.192685223372184,6.62441738812105
3C,0.0,0.0,0.0,1.0995831047081155,1.5673639576029572,2.221668089752733,2.197076279536086,2.4338580030943526,2.8536681310294236,3.402260005614202,2.377257610413827,3.286648370419993,2.9002564122586016,1.5418660117653953,2.4185715190713166,2.443747032350293,2.5127765139428924,3.820806197577623,4.2450246263761455,4.911796040492427,4.726615331443899,5.328868624489887,6.239797229614685,7.2615084491421955,6.283404403579253,4.30196188084017,4.029670157796864,5.5736767146546935,6.00084852878403
4H,0.0,0.0,0.0,0.0,2.2021777118329386,2.8154416722677262,2.3508570475697823,3.308463084044547,3.887986714817576,4.139379603781617,3.1034926155914326,4.071036386361663,3.3025227760480775,2.163634063630986,3.2144609717216244,2.5849839571026014,2.3400703656763655,4.046995074526666,4.53838842536711,4.841346882661569,4.422447672161061,5.248020849271483,6.208077107187237,7.136384163763062,6.370578552106025,4.7729719496562915,4.5972327906978965,6.068934195386916,6.574616909732554
5C,0.0,0.0,0.0,0.0,0.0,1.0942802944516503,1.0981430732823565,1.5370021538546432,2.1704686015833254,2.210971106346551,2.3852837390705988,3.368810746089455,2.792529072267797,2.5473818671954636,3.322358738551199,3.190237784308082,3.0238028637882834,4.380174437609018,5.026252046428095,5.449575832070887,5.43127111039519,5.579518428387146,6.901112282919891,7.830617017682276,7.099017757642913,4.366652791652708,3.669798862845067,5.660406903061173,5.8487287436961815
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7767493686641567,2.2111946397194866,2.436774368496522,2.7432392294763006,3.3509527744674887,4.230202955474034,3.855585346502603,2.583388763179783,3.3561068249763326,2.8879843069375295,2.704078145160379,3.8194635982611067,4.590518837947255,4.851596016590633,5.001993010670674,4.839244891261377,6.312931309997804,7.185000857835155,6.600487781547821,3.5383653537987048,2.6957018612568326,4.813790730714414,4.918843724452245
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1763715599781395,3.060406186336729,2.443652355045919,2.820394417421391,3.881099423934515,2.7950881978039295,3.408887396860939,4.318177960440147,3.841839763335168,3.408248120346688,5.0979658657705835,5.83622418284103,5.958175926972737,5.803962024371831,5.986185030789406,7.484971087028969,8.317800556255465,7.807442954030295,5.15736078357498,4.4244235735844795,6.4812129465512545,6.660365862480469
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967983687217653,1.0971858364928666,1.5377960573946572,2.2208088673672224,2.1752632983901976,3.3306377592054237,3.618779363326299,4.325465554454179,4.398111290641776,5.395213068243918,5.8547012357035815,6.659255512599789,6.738631150316263,6.853778182951532,8.000511670693255,9.014860519967197,8.02582213925825,5.20192375888859,4.446186863079598,6.362659215213124,6.439249471442594
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7781582627839525,2.1715489408046884,2.4675006565154574,3.0664018100439008,3.2483643828272295,3.2105549214062803,4.293627167021265,4.572727812547152,5.130384567272064,5.480642119235172,6.518137694419777,6.756161146103089,6.744749537207871,7.739096396958761,8.796842177957537,7.660758382498303,4.753571959814871,4.023461922366175,5.776228924209301,5.790277277796273
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2208699651862025,2.741308469495762,2.4625556359042204,4.366702415416691,4.686452330480788,5.252290193647049,5.206266171971005,6.288389951112005,6.825572262028814,7.49145901199178,7.586929582055792,7.567699821339192,8.88181372293315,9.841896289558274,8.979474085276937,5.949429883183232,5.043632505381,7.086908223381649,7.0467629158457505
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964806328318335,1.101714176356518,3.5056515081411828,3.689342999896473,4.690375999424534,4.834893675129746,5.912207185283972,6.1957647801457645,7.1720705040816,7.081695258021118,7.5509936434272324,8.439101886230638,9.51597754832349,8.337500475973586,6.056670204706308,5.532585027775029,7.223372898859934,7.454870656757887
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7690779104527223,4.164571204651753,4.039221380618981,5.451604936913088,5.7327116018922455,6.56568326430547,6.7103097628341954,7.917066695988497,7.885729043900206,8.356855828061148,9.081922150274567,10.211877834135656,8.85234948287888,6.653929581474845,6.16766950956134,7.7161036704136094,7.918346346645297
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.273324375313209,4.64084353243319,5.331352803265884,5.2999665121471455,6.65546745013212,7.018065889473218,7.793726851111803,7.588762180953774,8.121962479433988,9.132704356974928,10.15636330994284,9.115756928532344,6.868035399672003,6.296458454164447,8.096818518128844,8.331788774311303
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2305486176309002,1.357287496243258,2.0253501304441643,2.480457736645893,2.749565804137935,3.7763435617128454,3.799253660088174,4.350385604876047,4.943349683808243,6.054618063713654,4.858553353541077,3.079713260449665,3.154804663036759,4.245920324065116,4.792512270507812
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2876235798169784,3.1526748546651673,2.8727866983450427,2.727513139404638,4.334637627332888,4.5308158432512124,5.009148781575825,5.214448838074217,6.415917345320926,4.849497102582433,3.2794983562366564,3.4795041966927087,4.18174151519887,4.707212056291768
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0120905346161018,1.4620969546659135,2.1098599384140844,2.4927236109709168,2.50034230147756,3.044389777289844,3.813840951678112,4.835202913010201,3.9853527909151576,2.42798431339052,2.7614623778801963,3.623523678207659,4.283240910541895
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1070682753033627,2.961250997114266,2.634760849319026,2.4202006693802605,2.9156956324457854,4.146250649560535,4.984899862389928,4.572779148433654,2.906997451693408,3.003934895980493,4.162259629447242,4.739996479820798
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971737715635632,1.5417526903524605,2.1468599847431222,2.2079792015077815,2.616113150131491,3.6974278968839744,2.7846836453227506,1.5210495395111308,2.448397897775099,2.3858030596209194,3.205972730165985
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110772746309234,2.6516645915466803,3.0032822687890715,2.536029356254002,3.7660935119827808,2.1903750207869916,2.1530232298987344,3.2082095157873676,2.5727467594516162,3.4880300928048515
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0997125452191878,1.0966875825944586,1.5923329066818797,2.38618414163316,2.4074141606087034,2.5226906911702347,3.43137501693328,3.0002127372330127,3.8248113166861333
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7660199351966348,2.1787357991597176,2.8032632722594077,2.931980061106234,3.387514157241295,4.147925268596464,4.048526898465702,4.868547140121583
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2152667683907437,2.5448837052728006,3.249261094206541,2.612871533197234,3.2844975035522554,3.0534008068755294,3.6761764980170164
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2495023166808774,1.25464154581836,3.4434612535250513,4.562597266362449,3.3096311109915044,4.195994756742747
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281547633635781,4.348326257510879,5.37677597593932,4.097984619722234,4.856646042027966
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6545657243593617,4.860095396469906,3.3831235616363737,4.325608410809545
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.220023518277846,1.3496565262688718,1.8618336735737655
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.242654726990763,2.245691420878603
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975673622821481
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
