 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
N1,0.0,1.8513229261378958,2.855993210933179,0.09687377617175785,0.19693570121180987,0.014379359437453054,0.004448087014960134,0.2349382437188839,0.004909530614742641,0.029111152751391645,2.8977002485430177,0.08361347031709498,0.10095264542473181,0.1861023243991098,0.061182123074469116,0.02658755014689272,0.0033989410552627275,0.005424932670457128,0.0004066105370116313,0.0008272954698313462,2.5353695956242817e-05,0.00019739638720661645,0.0001031232890208178,8.121811989836303e-05,1.1347432622543785e-05,2.5844854198292522e-05,1.7119663855688638e-05,0.00016235970987552029,0.00020859292418307085,8.04142900989735e-06,0.000515206043456673,0.00011284155318892763,0.00016390846410130333,3.584253167954188e-05
H2,0.0,0.0,0.10495774167084138,0.01837321231693445,0.010066848091252356,0.00017965751294068966,0.0001601692625059492,0.006464271111276787,0.0010041226545836057,0.0001924966660917793,0.09626324927715812,0.010766013457234935,0.025319176590633985,0.04555705588531511,0.09835500738861247,0.0070738822894487186,0.0007383919730685751,0.0007090825807737344,6.624118910569798e-05,8.285721783174438e-05,7.540968319119656e-06,1.012883767881334e-05,4.4234878587956494e-05,1.6485036342883674e-05,4.740162228289435e-06,1.8314866656155004e-05,8.570206106672806e-06,0.00011392526589459884,2.4098588632393003e-05,1.2494851636235538e-05,0.00010388626497270792,4.48506732994014e-05,1.5777228382862774e-05,3.390859219631892e-06
C3,0.0,0.0,0.0,1.8369710629847371,2.671512388959971,0.07060465362206725,0.08136244800102066,0.19677155233140822,0.0036367267841999062,0.027241826513272116,0.2482247713260615,0.026868339563901555,0.005456359016219325,2.6302339679476505,0.27361503473353443,0.2399486250018164,0.01869535497093655,0.036813104374609745,0.003064424604558247,0.003718905099380332,0.00016871118281169828,0.0009440634198721876,0.0006806386589779112,0.0006783172310276253,3.447479710327883e-05,0.0003660038633011842,0.00011862197540930819,0.0027602397261922013,0.006645321755188283,8.785696113777774e-05,0.003296801679662953,0.00047024187874439294,0.0010482333236425528,0.0002148256346888866
H4,0.0,0.0,0.0,0.0,0.07383888549970141,0.00487654829387707,0.012644029456792882,0.014956923314657589,0.0004527090276240653,0.00012369688570235127,0.010318141375225354,0.0001520362026419253,0.0009246059103042992,0.10438754468589329,0.025529118362798253,0.013492434354643645,0.00941824303767369,0.0019810023271324972,0.0003626171187145477,0.00010402496780104187,2.0459631775215925e-05,5.990767404151498e-06,0.00011724367527288226,7.487053008059519e-05,5.78148280538926e-06,3.890080776702831e-05,1.4410633414563279e-05,0.0003403147821687824,0.00032577198637917526,2.194451076453774e-05,0.00011229481034802369,0.00010037792700356984,4.7183723501764696e-05,1.551940047761491e-05
C5,0.0,0.0,0.0,0.0,0.0,1.7681183298260579,2.0349015944862465,2.6391570276013057,0.08061481500460221,0.0773494850837162,0.2225577517588458,0.02812022474985376,0.007238147130458561,0.18567536991207584,0.03842225581687991,0.03353576238236505,0.0015273497778960365,0.0032448045575193263,0.00021036816817276982,0.0012495168008102575,3.608396563326011e-05,0.00011452278175483332,0.00023956979565513403,0.00040450388137225346,4.379089500350375e-06,3.244221924705859e-05,2.2651589894062685e-05,9.214169004652384e-05,0.0002133240343811238,5.389740052708092e-06,0.0007179761627151837,0.00016917415966220817,0.00019874782992718165,6.177572775745155e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.02604822191328715,0.07683290613138394,0.009255894043438406,0.0012830698805841312,0.026897751852479557,0.0013137726751117906,0.00048347330476250505,0.02112321853405974,0.002798758229393683,0.005344085642745577,0.0008375280925767559,0.0003437031793971368,3.0448116121739588e-05,0.0001919837900417054,5.429487486496853e-06,1.1240866562900464e-05,3.418054533155246e-05,2.0091711397052237e-05,5.449434050674995e-07,6.328905119534767e-06,5.7692294767042185e-06,2.8449399513075235e-05,4.6125860836854216e-05,1.0050115639703705e-06,0.0001614502291604758,0.00027917256868970064,4.260248884957463e-05,4.962996715596191e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807943728593421,0.029463962642675146,0.008688935132261877,0.00544091251667056,0.00020938244964474606,0.001509957722907851,0.016755790654072067,0.004656971583104519,0.001132856119435699,0.00010056713757689018,0.000272786434274197,2.0600699340400652e-05,1.2982254149918049e-05,1.815777747493641e-06,1.5975594522821268e-06,1.3114909209521741e-05,1.213090779694781e-05,2.9689332858851003e-07,2.86741510846511e-06,2.3568990429323478e-06,1.540242428732519e-05,4.9110169185961894e-05,2.607182445490963e-07,5.778115631716041e-05,5.634591784375864e-06,1.942877151939193e-05,5.299423606386355e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1529640244438335,1.8194118574817033,2.5029457458093485,0.07606313318901381,0.08167580050095147,0.013832970838752207,0.003965168543869593,0.0050591231479363286,0.000276185802200124,0.0006184220269936647,2.9384760966477685e-05,0.00019410327499916336,5.751407052168034e-06,2.4300492091899883e-05,2.6982327861899136e-05,2.7208355013241814e-05,2.2228559233283818e-06,3.329474199731397e-06,3.0017208390020755e-06,1.144198695875176e-05,1.2432773543125109e-05,6.604987160541143e-07,0.00012351526477508146,1.4864174813361553e-05,4.024808919961265e-05,1.3021909060939585e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025355996354751165,0.08116274146774516,0.007941158033832885,0.031199873544429213,0.001187427214138559,0.0028944474641398044,0.000379665398468676,1.053146439722319e-05,1.949097149123169e-05,1.937518674166583e-06,6.465287347712234e-06,2.645065224626819e-07,1.5829853201587696e-06,8.409679949972215e-06,2.962868857592227e-06,1.6267060340968698e-06,1.0275181254737475e-06,4.5237002477271915e-07,7.661317882323715e-06,4.877897648691842e-06,6.251174677895932e-07,6.494974683191046e-06,2.442743487374166e-06,1.0397291392294505e-06,2.939452419248312e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07789601906134802,0.0012188815369476025,0.006375982261903168,0.0024011467755327143,0.0005982699984270479,0.0008506758425903538,4.794443666211734e-05,0.00010149917272306297,6.301392891261415e-06,4.0757132156565845e-05,1.0216107324545476e-06,4.218373026443345e-06,3.551945341517815e-06,3.3204682965415344e-06,3.403580737249001e-07,4.485102391704743e-07,4.834420194166356e-07,1.551438497449098e-06,1.5244320241691867e-06,1.578746178232393e-08,2.8320305331508422e-05,1.950988708809831e-06,7.445203801026423e-06,2.6250536435679095e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.943414433915043,2.126322826212717,0.027706889591156775,0.005911091899035159,0.006158578023091693,0.0008004921594407799,0.0013683623084402297,3.759999575758677e-05,0.00016198011810661384,6.558376524967713e-06,4.262436743629472e-05,1.638821500067611e-05,1.1814208083160693e-05,8.989878643728133e-07,3.0622408926928024e-06,1.2558912024923652e-06,1.2797793210811426e-05,1.973395404009093e-05,7.978121147056427e-07,0.00014534854592956892,2.293229452264567e-05,4.948410470576037e-05,1.5057603347190529e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02492690585058921,0.001523219380169083,0.0002519196523360634,0.0009663018697343428,0.0001930886796586151,0.00021352023935161668,2.30761518316136e-06,4.0308361832774864e-05,2.3910411881544746e-06,1.3431962818000187e-05,3.1599273000448846e-06,2.858200043309722e-06,2.669733389915052e-08,6.504833562903656e-07,1.4875818910020655e-07,2.652548541592914e-06,5.100760026577333e-06,1.916315315320105e-07,1.0371106342388359e-05,2.4827903426505316e-06,4.315846935387668e-06,1.4227194997662451e-06
