,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21C,22H,23C,24H,25C,26H,27C,28H,29C,30O,31H,32C,33O,34O,35H
1N,0.0,1.0155981466964494,1.0202441439590353,1.465766577646224,2.1517746591859708,2.4252865097124405,3.3994234172931774,2.7343688979782836,2.7270048876705038,2.1237789358619175,2.4342821074292473,2.6638190074975987,3.684015642364737,3.9968540959654755,4.887413475735876,4.800244891892432,5.873729350984998,6.2626947811295945,6.779357829160409,5.637329394047307,5.98128507073096,6.357929146476915,5.589534002762273,5.690316288870205,6.271432949855985,6.835312041299226,5.896878984625334,6.21732139963105,6.231318772876073,6.9392621597064075,7.083654346596085,5.83506155145412,5.9704221814976215,6.87662685345844,7.528214141596935
2H,0.0,0.0,1.6568516278013647,2.0657066711420313,2.2904918961140806,2.9865710807547514,3.964835263530876,2.9449281702374144,3.4896680414626253,2.8885304293552867,3.2247434789274045,3.476313489682781,4.405444353442689,4.649344177198571,5.669652482851828,5.650055201418759,6.50419724758551,6.820619784985037,7.463894706312986,6.114340118891,6.472319022448147,6.967698913699733,5.851421273576397,5.909511608784032,6.5906690597954745,7.157559089494696,5.977282646837513,6.131595561951681,6.351064523626569,6.910782644827023,6.934731584324242,6.672306412852281,6.760754348551583,7.762174634815462,8.420856871563217
3H,0.0,0.0,0.0,2.0301669530743958,2.6964881891704553,3.207229793520203,4.074998969646078,3.6921260481711435,3.333261757747511,2.681223047892251,2.338960358640318,2.0831322980253724,3.6993970743616233,4.24908290182406,4.689706888706702,4.40918601760172,5.614358052878996,6.161028801645531,6.4440785786099415,5.242143734376491,5.365753894699232,5.681885515148574,5.325647278893836,5.6195744472917095,5.578136080576447,6.035536751022538,5.53974526785601,5.9757673442711345,5.662897740390239,6.3314139554585624,6.583207025745265,5.785678599118937,6.124849769329305,6.6966592581178315,7.432859645800443
4C,0.0,0.0,0.0,0.0,1.102675652509279,1.547608685963334,2.2138586150633626,2.159371141255394,2.4188056316969884,2.3722545423572488,1.5434655147997662,2.4220906217071048,2.463263273165213,2.5997506663924836,3.831252100985642,4.027123276899717,4.799635395391532,5.027279110587138,5.767603803230016,4.7774166559556885,5.4192170858642275,5.846614014695242,4.706866517738002,4.618846441746849,5.937243332133944,6.678618466696614,5.2915223250321795,5.631560201030656,5.879875804294948,6.799531704599232,6.917095458277723,4.690961037562227,4.70740072700054,5.862467517876495,6.4686407571233255
5H,0.0,0.0,0.0,0.0,0.0,2.1735910590256,2.5835311748226224,2.4249297267566985,3.3564057915696117,3.378382366331807,2.1409161701377184,3.066868604035568,2.7256711856365783,2.730600983547708,4.129741766322145,4.509135956844777,4.7869125314310805,4.846799953170652,5.840635141438221,4.6104177327709746,5.398707268804973,6.0062448991829624,4.227390084492914,3.9933833571285304,5.807095825743705,6.642373224904969,4.729915135611805,4.895180176226022,5.506721044108661,6.386441943446871,6.366268489072912,5.061933760676195,5.021418776129847,6.300950752379958,6.913490424250083
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0966480988177025,1.104899341538799,1.4060027070377699,1.8886989580400642,2.57623087296164,3.551728118102664,3.025927147481867,2.7065658131956654,4.351413701263929,4.668431147910892,5.52495371491506,5.596592637087067,6.431858977395915,5.856535290413972,6.627055908855805,6.9460809194417585,5.86223545042788,5.588146004471246,7.3125904984490875,8.074672740729062,6.6243467109138345,6.936271868356178,7.31267610287302,8.294883931462019,8.395709074905131,4.730261834598072,4.3990466685042975,5.940079934257735,6.339115335720109
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7698478755138576,2.028676742357821,2.7901307379216562,2.810638826365135,3.935877399598721,2.7281134354354144,2.086404431409591,3.965054007659376,4.490563539818521,5.1006660339861,5.013576426847361,5.9777717990445565,5.662172593200341,6.594089667074316,6.897057624364358,5.701332535167574,5.290937375513457,7.42548458357477,8.261437524615637,6.642120492431661,6.970823725972471,7.448686416596988,8.538175871235971,8.636340283007844,4.083332640224643,3.546253650549101,5.34815679487735,5.644740487324371
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087334120348107,2.3876193133356827,3.501454209991127,4.4520516387962115,3.9769725081937004,3.5671445405270186,5.36015748117051,5.725625841168999,6.4238013640991065,6.3989999493161855,7.381554521763283,6.659148324826552,7.468920679794799,7.878041839650899,6.47503953695057,6.1106893030754375,8.044738494405378,8.82388557230619,7.126254870717646,7.285253722137392,7.88805401900788,8.777375565035088,8.771757917770614,5.738692266444736,5.303679677105709,6.98354864014902,7.346208987002429
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980179354036103,3.0367088773697004,3.6774039854533567,3.6211465731954706,3.4774694896350042,4.687761907607429,4.753903924478266,6.081792217057958,6.3191273430443315,6.846593592597774,6.514661136278038,7.098326205529454,7.2232886129968215,6.765326888914168,6.633322261659325,7.839459438023349,8.478458868947534,7.539647013964627,7.976847921352084,8.045305640128367,9.024548412636674,9.240075810728568,4.901222147590295,4.649111911736312,5.920429023677698,6.266649378580405
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.081378942327391,3.4672050206283633,3.985374142455048,4.041317642260403,5.05605111749779,4.963143919820237,6.410446209578634,6.758659398567813,7.185543718181274,6.647791687567509,7.078853306799432,7.212768554794144,6.876870264403856,6.860617559478432,7.681443801799627,8.238258407245851,7.496473749143045,7.9278019151088595,7.879121331608885,8.753378789763385,8.981913930867906,5.488332477894665,5.400454326265271,6.453934729500867,6.895218925027417
